name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992
				BuildingsAndImprovements,"54,500,000","33,200,000","15,600,000","14,500,000","14,600,000","13,900,000","14,000,000","13,400,000","12,169,000","11,843,000","11,790,000","11,926,000",,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"45,200,000","41,100,000","35,100,000","33,400,000","32,100,000","30,900,000","29,600,000","46,000,000","40,158,000","36,477,000","37,702,000","40,853,000",,,,,,,,,,,,,,,,
				Leases,"2,400,000","2,200,000","2,200,000","2,000,000","1,600,000","1,500,000","700,000","100,000","111,000","111,000","111,000","344,000",,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-45,100,000","-39,000,000","-34,900,000","-34,200,000","-31,700,000","-27,700,000","-24,300,000","-39,600,000","-36,217,000","-34,371,000","-33,119,000","-34,656,000",,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,,,,,,,,,,,,,,,,,"4,447,000","17,879,000","42,774,000","43,672,000","19,467,000","10,191,000","9,973,000","6,320,000",,,,
		NonCurrentAccountsReceivable,"66,200,000","7,900,000","2,200,000","2,300,000","10,000,000","1,400,000","1,100,000","1,100,000","506,000","12,002,000","3,956,000",,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,,,,"1,598,573,000","1,218,013,000","1,050,013,000","1,017,917,000","810,553,000","625,780,000","563,528,000","526,011,000","857,445,000","780,731,000","768,453,000","571,245,000","571,988,000","666,971,000","1,037,930,000","1,032,614,000",,,,
		OtherNonCurrentAssets,"35,100,000","38,100,000","33,400,000","26,300,000","37,000,000","33,000,000","28,100,000","28,900,000","30,901,000","26,056,000","15,785,000","13,556,000",,,,,,,,,,,,,,,,
TotalLiabilitiesNetMinorityInterest,"5,067,900,000","4,246,500,000","3,449,800,000","3,044,300,000","2,461,300,000","2,083,200,000","1,683,300,000","1,511,300,000","1,218,647,000","869,041,000","678,026,000","801,603,000","676,732,000","514,866,000","246,368,000","290,423,000","586,215,000","518,477,000","572,995,000","408,808,000","397,265,000","475,666,000","866,619,000","828,275,000","487,400,000","350,200,000","148,300,000","86,000,000"
	CurrentLiabilities,"206,400,000","186,400,000","151,700,000","143,900,000","127,800,000","114,400,000","117,600,000","105,800,000","139,758,000","211,997,000","174,595,000","146,129,000",,,,,,,,,,,,,,,,
		PayablesAndAccruedExpenses,"206,400,000","186,400,000","151,700,000","143,900,000","127,800,000","114,400,000","113,800,000","105,800,000","95,858,000","75,297,000","77,295,000","84,829,000","79,834,000","78,294,000","55,705,000","65,059,000","33,117,000","28,341,000","39,307,000","33,054,000","34,028,000","26,765,000","26,650,000","35,707,000",,,,
			Payables,"206,400,000","186,400,000","151,700,000","143,900,000","127,800,000","114,400,000","113,800,000","105,800,000",,,"77,295,000","84,829,000",,,"55,705,000","65,059,000","33,117,000","28,341,000","39,307,000","33,054,000","34,028,000","26,765,000","26,650,000","35,707,000",,,,
				AccountsPayable,"206,400,000","186,400,000","151,700,000","143,900,000","127,800,000","114,400,000","113,800,000","105,800,000",,,"77,295,000","83,948,000",,,,"65,059,000","33,117,000","22,247,000","34,209,000",,"34,028,000","25,989,000","26,650,000","33,138,000",,,,
				TotalTaxPayable,,,,,,,,,,,"0","881,000",,,,"0","0","6,094,000","5,098,000",,"0","776,000","0","2,569,000",,,,
					IncomeTaxPayable,,,,,,,,,,,"0","881,000",,,,"0","0","6,094,000","5,098,000",,"0","776,000","0","2,569,000",,,,
