name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,03/31/1989
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,463,000","3,769,000","3,555,000","3,559,000","3,800,000","3,400,000","2,800,000","2,900,000","2,000,000","2,800,000","2,500,000","2,400,000","2,000,000","2,200,000","2,400,000","2,500,000","2,200,000","2,200,000","2,300,000","2,200,000","1,700,000","2,800,000","2,500,000","2,500,000","2,800,000","2,700,000","2,700,000","2,700,000","2,500,000","6,000,000","3,000,000","3,000,000","2,800,000","3,000,000","3,100,000","3,000,000","3,000,000","3,100,000","3,100,000","3,100,000","2,900,000","3,000,000","2,900,000","3,000,000","2,600,000","1,500,000","2,900,000",
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,463,000","3,769,000","3,555,000","3,559,000","3,800,000","3,400,000","2,800,000","2,900,000","2,000,000","2,800,000","2,500,000","2,400,000","2,000,000","2,200,000","2,400,000","2,500,000","2,200,000","2,200,000","2,300,000","2,200,000","1,700,000","2,800,000","2,500,000","2,500,000","2,800,000","2,700,000","2,700,000","2,700,000","2,500,000","6,000,000","3,000,000","3,000,000","2,800,000","3,000,000","3,100,000","3,000,000","3,000,000","3,100,000","3,100,000","3,100,000","2,900,000","3,000,000","2,900,000","3,000,000","2,600,000","1,500,000","2,900,000",
	OtherOperatingExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"418,000","-51,000","94,000","25,000","1,007,000","98,000","-12,000","-2,913,000",,,"42,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OperatingIncome,"403,953,000","120,654,000","105,569,000","105,685,000","72,045,000","110,005,000","97,047,000","102,076,000","64,498,000","108,695,000","96,550,000","83,271,000","51,227,000","106,173,000","76,573,000","68,089,000","57,263,000","108,527,000","63,813,000","65,442,000","72,835,000","75,311,000","74,140,000","76,650,000","59,101,000","74,918,000","62,887,000","57,788,000","38,026,000","61,981,000","23,366,000","40,540,000","35,559,000","61,438,000","50,146,000","51,689,000","41,683,000","57,225,000","48,086,000","43,428,000","31,084,000","58,195,000","36,218,000","43,763,000","31,143,000","57,973,000","48,190,000","49,672,000","40,727,000","61,145,000","44,488,000","38,409,000","35,142,000","45,681,000","37,251,000","33,077,000","24,619,000","44,876,000","32,441,000","33,186,000","27,479,000","34,361,000","25,465,000","25,643,000","25,250,000","27,680,000","20,868,000","17,437,000","23,345,000","21,286,000","12,551,000","15,078,000","12,914,000","11,729,000","11,098,000","13,066,000","11,265,000","13,045,000","13,022,000","14,029,000","12,089,000","9,600,000","20,700,000","10,300,000","10,600,000","6,500,000","10,100,000","11,000,000","8,600,000","9,600,000","8,500,000","9,100,000","6,200,000","1,300,000","6,200,000","7,100,000","4,700,000","-1,500,000","6,200,000","5,200,000","5,000,000","7,700,000","6,100,000","6,600,000","5,700,000","-26,800,000","4,300,000","4,100,000","2,800,000","600,000","6,400,000","6,800,000","9,200,000","-4,700,000","6,700,000","9,200,000","10,500,000","14,000,000","-12,700,000","12,000,000","7,300,000","2,100,000","2,000,000","6,000,000","46,700,000"
NetNonOperatingInterestIncomeExpense,"-31,347,000","-8,164,000","-7,951,000","-7,960,000","-7,272,000","-8,264,000","-7,949,000","-9,566,000","-8,204,000","-9,887,000","-10,457,000","-10,750,000","-10,377,000","-10,554,000","-10,488,000","-10,273,000","-9,933,000","-9,085,000","-8,972,000","-8,985,000","-8,996,000","-8,740,000","-9,013,000","-8,988,000","-9,054,000","-9,339,000","-9,690,000","-9,332,000","-8,659,000","-6,673,000","-6,648,000","-6,526,000","-6,482,000","-5,713,000","-5,033,000","-4,967,000","-5,121,000","-4,925,000","-5,815,000","-5,700,000","-5,667,000","-5,661,000","-5,923,000","-6,542,000","-6,940,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"31,347,000","8,164,000","7,951,000","7,960,000","7,272,000","8,264,000","7,949,000","9,566,000","8,204,000","9,887,000","10,457,000","10,750,000","10,377,000","10,554,000","10,488,000","10,273,000","9,933,000","9,085,000","8,972,000","8,985,000","8,996,000","8,740,000","9,013,000","8,988,000","9,054,000","9,339,000","9,690,000","9,332,000","8,659,000","6,673,000","6,648,000","6,526,000","6,482,000","5,713,000","5,033,000","4,967,000","5,121,000","4,925,000","5,815,000","5,700,000","5,667,000","5,661,000","5,923,000","6,542,000","6,940,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"23,856,000","6,152,000","6,355,000","5,871,000","5,478,000","4,099,000","3,843,000","3,971,000","4,683,000","524,000","321,000","190,000","312,000","293,000","483,000","101,000","234,000","10,000","161,000","-37,000","481,000","429,000","-158,000","64,000","65,000","278,000","378,000","224,000","474,000","132,000","-119,000","130,000","102,000","817,000","-35,000","29,000","56,000","-43,000","86,000","384,000","152,000","349,000","309,000","47,000","301,000","516,000","371,000","224,000","474,000","788,000","231,000","466,000","884,000","-825,000","33,000","-85,000","279,000","-287,000","181,000","-564,000","2,789,000","-424,000","185,000","251,000","-489,000","238,000","436,000","1,043,000","283,000","626,000","6,062,000","2,702,000","2,326,000","47,279,000","3,925,000","4,232,000","3,763,000","3,210,000","5,272,000","3,670,000","3,377,000","5,000,000","2,700,000","3,200,000","2,700,000","6,800,000","1,500,000","1,300,000","2,100,000","2,200,000","3,400,000","1,900,000","1,500,000","2,900,000","800,000","1,200,000","500,000","9,500,000","1,100,000","1,300,000","1,200,000","500,000","800,000","900,000","1,000,000",,,"2,700,000","3,300,000","8,600,000","1,000,000","1,700,000","200,000","11,600,000","100,000","100,000","100,000",,"200,000",,"-2,300,000","1,600,000","13,200,000","4,300,000",
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-119,000","130,000","102,000","817,000","-35,000","29,000","56,000","-43,000","86,000","384,000","152,000","349,000","309,000","47,000","301,000","516,000","371,000","224,000","474,000","788,000","231,000","466,000","884,000","-825,000","33,000","-85,000","279,000","-287,000","181,000","-564,000","2,789,000","-424,000","185,000","251,000","-489,000","238,000","436,000","1,043,000","283,000","626,000","6,062,000","2,702,000","2,326,000","47,279,000","3,925,000","4,232,000","3,763,000","3,210,000","5,272,000","3,670,000","3,377,000","5,000,000","2,700,000","3,200,000","2,700,000","6,800,000","1,500,000","1,300,000","2,100,000","2,200,000","3,400,000","1,900,000","1,500,000","2,900,000","800,000","1,200,000","500,000","9,500,000","1,100,000","1,300,000","1,200,000","500,000","800,000","900,000","1,000,000",,,"2,700,000","3,300,000","8,600,000","1,000,000","1,700,000","200,000","11,600,000","100,000","100,000","100,000",,"200,000",,"-2,300,000","1,600,000","13,200,000","4,300,000",
	OtherNonOperatingIncomeExpenses,"23,856,000","6,152,000","6,355,000","5,871,000","5,478,000","4,099,000","3,843,000","3,971,000","4,683,000","524,000","321,000","190,000","312,000","293,000","483,000","101,000","234,000","10,000","161,000","-37,000","481,000","429,000","-158,000","64,000","65,000","278,000","378,000","224,000","474,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"396,462,000","118,642,000","103,973,000","103,596,000","70,251,000","105,840,000","92,941,000","96,481,000","60,977,000","99,332,000","86,414,000","72,711,000","41,162,000","95,912,000","66,568,000","57,917,000","47,564,000","99,452,000","55,002,000","56,420,000","64,320,000","67,000,000","64,969,000","67,726,000","50,112,000","65,857,000","53,575,000","48,680,000","29,841,000","55,440,000","16,599,000","34,144,000","29,179,000","56,542,000","45,078,000","46,751,000","36,618,000","52,257,000","42,357,000","38,112,000","25,569,000","52,883,000","30,604,000","37,268,000","24,504,000","50,814,000","41,950,000","42,720,000","33,618,000","53,467,000","37,007,000","33,171,000","30,526,000","39,483,000","31,512,000","27,138,000","19,489,000","39,606,000","27,808,000","27,832,000","23,052,000","30,824,000","22,515,000","22,918,000","22,496,000","23,550,000","20,191,000","17,538,000","22,777,000","21,141,000","18,233,000","17,314,000","15,047,000","55,765,000","14,751,000","16,902,000","14,779,000","15,678,000","17,900,000","17,303,000","15,090,000","14,400,000","23,000,000","13,100,000","12,900,000","13,200,000","11,500,000","12,300,000","10,600,000","11,600,000","11,900,000","10,800,000","7,700,000","4,000,000","6,900,000","8,100,000","5,000,000","7,900,000","7,200,000","6,300,000","6,100,000","8,100,000","6,800,000","7,400,000","6,600,000","-15,500,000","4,200,000","6,700,000","6,000,000","8,800,000","7,100,000","7,800,000","9,100,000","6,400,000","6,500,000","8,800,000","10,200,000","5,600,000","-13,300,000","11,100,000",,"3,100,000","14,500,000","9,600,000",
TaxProvision,"88,879,000","29,234,000","21,463,000","23,524,000","14,658,000","23,005,000","18,458,000","21,693,000","17,334,000","31,582,000","22,470,000","22,061,000","8,615,000","25,244,000","20,636,000","17,954,000","14,745,000","28,690,000","16,860,000","16,299,000","21,097,000","20,636,000","20,659,000","21,917,000","14,948,000","18,550,000","17,214,000","15,310,000","8,898,000","17,271,000","5,156,000","11,309,000","9,337,000","16,791,000","10,718,000","14,955,000","12,102,000","15,676,000","14,573,000","12,214,000","9,234,000","18,036,000","10,489,000","12,814,000","8,699,000","17,803,000","14,427,000","15,643,000","11,839,000","15,208,000","11,832,000","11,781,000","11,023,000","12,640,000","11,156,000","6,046,000","7,211,000","14,302,000","10,289,000","9,898,000","8,529,000","10,411,000","7,795,000","8,594,000","6,887,000","8,796,000","7,672,000","6,665,000","8,655,000","7,449,000","6,921,000","6,498,000","5,731,000","21,292,000","6,028,000","6,437,000","5,560,000","5,556,000","6,821,000","6,659,000","5,861,000","5,600,000","9,000,000","4,800,000","4,900,000","5,200,000","4,700,000","4,600,000","4,000,000","3,800,000","3,800,000","3,700,000","2,700,000","900,000","2,500,000","2,900,000","1,700,000","2,900,000","2,200,000","2,100,000","2,100,000","2,200,000","2,600,000","2,100,000","2,300,000","-1,700,000","1,500,000","2,400,000","2,200,000","4,300,000","2,300,000","2,200,000","2,200,000","2,100,000","2,300,000","2,900,000","3,400,000","1,500,000","-4,500,000","3,400,000",,"4,500,000","5,500,000","2,500,000",
