name,12/31/2019,06/30/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016,06/30/2016,12/31/2015,06/30/2015,12/31/2014,06/30/2014,12/31/2013,06/30/2013,12/31/2012,06/30/2012,12/31/2011,06/30/2011,12/31/2010,09/30/2010,06/30/2010,12/31/2009,06/30/2009,06/30/2008,12/31/2007,06/30/2007,12/31/2006,06/30/2006,12/31/2005,06/30/2005,12/31/2004,06/30/2004,12/31/2003,06/30/2003,12/31/2002,06/30/2002,12/31/2001,06/30/2001
			LongTermEquityInvestment,"48,426,000,000","27,749,000,000","28,749,000,000","27,259,000,000","32,686,000,000","32,918,000,000","34,261,000,000","32,872,000,000","32,184,000,000","25,405,000,000","25,250,000,000","25,063,000,000","24,397,000,000","24,548,000,000","24,017,000,000","21,931,000,000",,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinAssociatesatCost,"24,513,000,000","4,867,000,000","4,433,000,000","4,204,000,000","4,067,000,000","3,785,000,000","3,695,000,000","4,357,000,000","4,324,000,000","4,093,000,000","4,100,000,000","4,038,000,000","4,094,000,000","4,088,000,000","3,857,000,000","2,886,000,000",,,,,,,,,,,,,,,,,,,,,,
				InvestmentsInOtherVenturesUnderEquityMethod,"2,936,000,000","2,517,000,000","4,048,000,000","4,397,000,000","3,540,000,000","3,422,000,000","4,266,000,000","3,764,000,000","3,771,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsinJointVenturesatCost,"20,977,000,000","20,365,000,000","20,268,000,000","18,658,000,000","25,079,000,000","25,711,000,000","26,300,000,000","24,751,000,000","24,089,000,000","21,312,000,000","21,150,000,000","21,025,000,000","20,303,000,000","20,460,000,000","20,160,000,000","19,045,000,000",,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"1,608,000,000",,,,,,,,"0","5,319,000,000","5,337,000,000","8,648,000,000","6,798,000,000","6,651,000,000","7,051,000,000","6,407,000,000",,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,,,,,,,,,,"5,319,000,000","5,337,000,000","8,648,000,000","6,798,000,000","6,651,000,000","7,051,000,000","6,407,000,000",,,,,,,,,,,,,,,,,,,,,,
				HeldToMaturitySecurities,"1,608,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		FinancialAssets,,,,,,,,,,,,,,"12,000,000",,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"25,992,000,000","24,308,000,000","27,412,000,000","27,540,000,000","25,509,000,000","26,664,000,000","24,844,000,000","20,261,000,000","13,575,000,000","9,802,000,000","5,877,000,000","2,344,000,000","2,729,000,000","547,000,000","40,000,000","57,000,000",,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"25,992,000,000","24,308,000,000","27,412,000,000","27,540,000,000","25,509,000,000","26,664,000,000","24,844,000,000","20,261,000,000","13,575,000,000","9,802,000,000","5,877,000,000","2,344,000,000","2,729,000,000","547,000,000","40,000,000","57,000,000",,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"9,721,000,000","9,241,000,000","9,482,000,000","9,791,000,000","9,248,000,000","8,019,000,000","7,422,000,000","6,694,000,000","7,828,000,000","6,768,000,000","5,974,000,000","5,525,000,000","4,895,000,000","2,903,000,000","963,000,000","420,000,000","7,744,000,000","9,629,000,000","1,435,781,000","6,304,000,000","103,854,000",,,"3,692,802,724.01","3,855,263,275.08","3,477,141,378","2,558,351,952.5","2,454,726,151.9","2,419,579,509","2,352,252,878.8","1,327,111,617.25","1,212,939,372.45","1,117,641,309.65","639,503,643.8","537,371,563.2","439,975,062","461,983,088.64","505,128,436.8"
TotalLiabilitiesNetMinorityInterest,"309,505,000,000","289,673,000,000","261,414,000,000","256,980,000,000","237,244,000,000","260,227,000,000","255,310,000,000","276,826,000,000","278,321,000,000","288,868,000,000","283,249,000,000","296,717,000,000","279,853,000,000","284,958,000,000","146,290,000,000","129,996,000,000","121,408,000,000","117,033,000,000","112,160,296,000","93,356,000,000","92,131,327,000","68,332,720,000","55,616,663,000","51,545,876,653.87","45,543,842,683.52","51,252,821,208","47,414,008,730","47,763,518,811.8","41,174,583,574.5","39,667,487,514.5","37,359,092,274.4","26,819,947,721.2","26,767,787,098.05","24,882,777,839.7","20,527,055,639.04","19,071,645,804.3","11,009,051,704.32","13,825,320,013.7"
