name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003
		DepreciationAndAmortizationInIncomeStatement,"473,370,000","143,197,000","161,533,000","90,258,000","78,382,000","78,537,000","84,286,000","79,851,000","78,184,000","78,216,000","92,341,000","87,834,000","90,535,000","94,851,000","37,880,000","38,416,000","39,280,000","39,441,000","40,069,000","39,739,000","37,212,000","38,513,000","25,033,000","24,001,000","22,935,000","23,244,000","24,607,000","25,782,000","23,993,000","24,783,000","18,703,000","16,939,000","16,418,000","16,900,000","17,250,000","19,481,000","17,826,000","16,656,000","16,857,000","16,605,000","16,240,000","16,623,000","1,214,000","36,283,000","17,003,000","16,148,000","19,433,000","16,826,000","16,277,000","17,040,000","16,831,000","16,914,000","16,247,000","17,345,000","15,764,000","15,238,000","15,013,000","15,907,000","15,595,000","16,307,000","16,256,000","17,343,000","17,144,000","16,541,000","16,602,000","18,930,000","39,265,000","11,703,000",,
			DepreciationIncomeStatement,"131,345,000","35,407,000","38,485,000","29,363,000","28,090,000","27,437,000","31,212,000","27,673,000","25,090,000","25,814,000","26,161,000","25,979,000","26,292,000","22,226,000","13,126,000","12,877,000","12,739,000","12,558,000","11,972,000","13,076,000","11,302,000","10,872,000","9,247,000","8,838,000","8,543,000","8,419,000","8,787,000","8,598,000","8,213,000","7,980,000","6,196,000","5,896,000","5,715,000","5,748,000","5,792,000","5,618,000","5,205,000","5,230,000","5,223,000","5,252,000","5,257,000","5,380,000","5,677,000","5,413,000","5,394,000","5,196,000","5,374,000","5,229,000","5,088,000","5,333,000","5,186,000","5,011,000","5,024,000","4,988,000","4,438,000","4,400,000","4,622,000","4,626,000","3,987,000","3,996,000","4,327,000","4,423,000","4,511,000","4,107,000","4,208,000","5,123,000","11,290,000","3,346,000",,
			Amortization,"342,025,000","107,790,000","123,048,000","60,895,000","50,292,000","51,100,000","53,074,000","52,178,000","53,094,000","52,402,000","66,180,000","61,855,000","64,243,000","72,625,000","24,754,000","25,539,000","26,541,000","26,883,000","28,097,000","26,663,000","25,910,000","27,641,000","15,786,000","15,163,000","14,392,000","14,825,000","15,820,000","17,184,000","15,780,000","16,803,000","12,507,000","11,043,000","10,703,000","11,152,000","11,458,000","13,863,000","12,621,000","11,426,000","11,634,000","11,353,000","10,983,000","11,243,000","-4,463,000","30,870,000","11,609,000","10,952,000","14,059,000","11,597,000","11,189,000","11,707,000","11,645,000","11,903,000","11,223,000","12,357,000","11,326,000","10,838,000","10,391,000","11,281,000","11,608,000","12,311,000","11,929,000","12,920,000","12,633,000","12,434,000","12,394,000","13,807,000","27,975,000","8,357,000",,
				AmortizationOfIntangiblesIncomeStatement,"342,025,000","107,790,000","123,048,000","60,895,000","50,292,000","51,100,000","53,074,000","52,178,000","53,094,000","52,402,000","66,180,000","61,855,000","64,243,000","72,625,000","24,754,000","25,539,000","26,541,000","26,883,000","28,097,000","26,663,000","25,910,000","27,641,000","15,786,000","15,163,000","14,392,000","14,825,000","15,820,000","17,184,000","15,780,000","16,803,000","12,507,000","11,043,000","10,703,000","11,152,000","11,458,000","13,863,000","12,621,000","11,426,000","11,634,000","11,353,000","10,983,000","11,243,000","-4,463,000","30,870,000","11,609,000","10,952,000","14,059,000","11,597,000","11,189,000","11,707,000","11,645,000","11,903,000","11,223,000","12,357,000","11,326,000","10,838,000","10,391,000","11,281,000","11,608,000","12,311,000","11,929,000","12,920,000","12,633,000","12,434,000","12,394,000","13,807,000","27,975,000","8,357,000",,
	OtherOperatingExpenses,,"3,278,000","5,787,000","4,284,000",,"3,431,000",,,,,,,,,,,,,,,,,,,,,,,,,,"5,891,000",,"-19,000",,,,"8,000","298,000","10,000","11,000","-24,000","6,963,000","-2,605,000","-4,667,000","-2,251,000","-56,147,000","47,923,000","-2,947,000","6,352,000","-307,000","-547,000","-1,277,000","152,000","136,000","423,000","16,000","64,000","203,000","-2,000","647,000",,,,,"-48,918,000",,,,
OperatingIncome,"724,296,000","285,182,000","240,679,000","67,907,000","130,528,000","112,887,000","275,756,000","187,504,000","168,797,000","116,252,000","160,822,000","129,072,000","138,685,000","52,435,000","107,737,000","72,897,000","64,007,000","57,929,000","67,346,000","48,315,000","52,542,000","37,904,000","69,537,000","41,696,000","34,942,000","27,700,000","33,358,000","25,153,000","28,192,000","17,825,000","35,873,000","23,553,000","23,461,000","17,505,000","18,075,000","8,186,000","13,019,000","9,166,000","30,910,000","12,856,000","13,957,000","9,794,000","22,172,000","-13,633,000","9,358,000","-955,000","72,101,000","-36,799,000","16,166,000","-61,000","12,693,000","8,325,000","13,421,000","6,103,000","18,873,000","9,809,000","11,079,000","6,089,000","6,906,000","2,868,000","7,016,000","1,820,000","14,592,000","8,760,000","11,693,000","52,033,000","-1,534,000","2,017,000","33,692,000","33,692,000"
NetNonOperatingInterestIncomeExpense,"-352,677,000","-101,284,000","-106,831,000","-93,199,000","-51,363,000","-52,957,000","-53,887,000","-56,237,000","-56,281,000","-54,589,000","-52,668,000","-53,605,000","-55,685,000","-79,237,000","-45,228,000","-29,622,000","-20,577,000","-20,654,000","-20,440,000","-20,396,000","-20,391,000","-19,293,000","-15,920,000","-15,530,000","-15,339,000","-15,170,000","-15,891,000","-16,900,000","-16,903,000","-16,549,000","-13,638,000","-12,438,000","-12,574,000","-12,909,000","-12,922,000","-13,069,000","-13,308,000","-13,705,000","-14,113,000","-14,309,000","-13,881,000","-11,963,000","-11,799,000","-8,663,000","-8,895,000","-9,825,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,000","1,000","3,000","1,000","4,000","5,000","10,000","35,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"352,677,000","101,284,000","106,831,000","93,199,000","51,363,000","52,957,000","53,887,000","56,237,000","56,281,000","54,589,000","52,668,000","53,605,000","55,685,000","79,237,000","46,310,000","29,622,000","20,577,000","20,654,000","20,440,000","20,396,000","20,391,000","19,293,000","15,920,000","15,530,000","15,339,000","15,170,000","15,891,000","16,900,000","16,903,000","16,549,000","13,638,000",,,"12,909,000",,,,,"14,115,000","14,310,000","13,884,000","11,964,000","11,803,000","8,668,000","8,905,000","9,860,000",,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,438,000","12,574,000","12,909,000","12,922,000","13,069,000","13,308,000","13,705,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"150,412,000","38,140,000","34,435,000","59,621,000","18,216,000","13,398,000","-8,710,000","3,804,000","7,354,000","3,182,000","-20,635,000","-1,382,000","-2,223,000","25,805,000","-15,408,000","-126,000","-147,000","-136,000","-134,000","-115,000","-150,000","-118,000","-767,000","-172,000","-198,000","-128,000","-36,163,000","-1,132,000","-84,000","-91,000","-3,268,000","4,000","-495,000","19,000","-441,000","82,000","-902,000","-347,000","-482,000","-65,000","-7,903,000","124,000","-8,071,000",,"-314,000","18,211,000","-35,337,000","-47,923,000","2,947,000","-6,352,000","307,000","547,000","1,277,000","-152,000","-136,000","-423,000","-16,000","-64,000","-199,000","426,000","-16,362,000","-48,000","363,000","-1,018,000","2,947,000","-6,521,000","-20,064,000","857,000",,
	EarningsFromEquityInterest,,"14,158,000","15,864,000","3,217,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"92,696,000","12,356,000","9,242,000","53,708,000","17,390,000","12,489,000","-10,455,000","2,230,000","5,216,000","359,000","-20,519,000","-1,221,000","-1,323,000","25,912,000","-15,262,000",,,,,"0","0",,"-638,000","0","-71,000",,"-34,956,000","-1,048,000","0","-7,000","-3,268,000","4,000","-495,000","0","-441,000","82,000","-902,000","-347,000","-482,000","-65,000","-7,903,000","124,000","-8,071,000","0","-314,000","18,211,000","-35,337,000","-47,923,000","2,947,000","-6,352,000","307,000","547,000","1,277,000","-152,000","-136,000","-423,000","-16,000","-64,000","-199,000","426,000","-16,362,000","-48,000","363,000","-1,018,000","2,947,000","-6,521,000","-20,064,000","857,000",,
		RestructuringAndMergernAcquisition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","314,000","356,000",,,,,,,,,,,,,,,,,"0",,,,,,,
		ImpairmentOfCapitalAssets,"83,228,000",,"0","63,317,000",,,"19,911,000",,,,"19,985,000",,,,"15,262,000",,,,,,,,,,,,,,,,,,,,,,,,"0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"-52,847,000","-5,281,000","-9,759,000","-20,417,000","-17,390,000","-12,489,000","-9,456,000","-2,230,000","-5,216,000","-359,000","534,000","1,221,000","1,323,000","31,804,000",,,,,,,,,"0",,"71,000",,"33,676,000","1,048,000",,,"2,775,000",,,,,,,,"482,000","65,000","7,903,000","-124,000","-8,093,000",,,"-18,567,000",,,,,,,,,,,,,,,,,"-363,000",,,,,,,
		GainOnSaleOfBusiness,"96,608,000","7,075,000","-517,000","96,608,000",,,"0","0","0","0","0","0","0","57,716,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,"-499,000",,,,"-1,245,000",,"5,000","-7,000","-493,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"25,633,000","11,626,000","9,329,000","2,696,000","826,000","909,000","1,745,000","1,574,000","2,138,000","2,823,000","-116,000","-161,000","-900,000","-107,000","-146,000","-126,000","-147,000","-136,000","-134,000","-115,000","-150,000","-118,000","-129,000","-172,000","-127,000","-128,000","-1,207,000","-84,000","-84,000","-84,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"522,031,000","222,038,000","168,283,000","34,329,000","97,381,000","73,328,000","213,159,000","135,071,000","119,870,000","64,845,000","87,519,000","74,085,000","80,777,000","-997,000","47,101,000","43,149,000","43,283,000","37,139,000","46,772,000","27,804,000","32,001,000","18,493,000","52,850,000","25,994,000","19,405,000","12,402,000","-18,696,000","7,121,000","11,205,000","1,185,000","18,967,000","11,119,000","10,392,000","4,596,000","4,712,000","-4,801,000","-1,191,000","-4,886,000","16,315,000","-1,518,000","-7,827,000","-2,045,000","2,302,000","-22,296,000","149,000","7,431,000","-26,906,000","-48,331,000","5,511,000","-13,649,000","-923,000","-5,337,000","-205,000","-7,501,000","5,725,000","-3,208,000","-1,654,000","-6,036,000","-4,949,000","-8,011,000","-19,548,000","-11,264,000","1,746,000","-5,361,000","1,627,000","-16,233,000","-49,434,000","-10,759,000",,
TaxProvision,"184,929,000","64,344,000","54,432,000","39,507,000","26,646,000","16,441,000","58,669,000","35,243,000","33,264,000","17,504,000","-292,337,000","32,013,000","32,322,000","-5,941,000","26,690,000","17,533,000","18,484,000","14,865,000","19,356,000","10,649,000","12,101,000","6,581,000","22,001,000","10,590,000","8,461,000","5,049,000","-6,244,000","3,526,000","4,838,000","480,000","-136,991,000","1,558,000","1,574,000","1,580,000","1,448,000","1,458,000","1,393,000","1,426,000","2,041,000","1,477,000","1,595,000","1,628,000","1,335,000","-3,905,000","1,391,000","1,379,000","-5,626,000","-3,003,000","1,634,000","1,679,000","1,682,000","1,507,000","1,086,000","1,532,000","1,121,000","733,000","714,000","1,251,000","1,158,000","876,000","1,380,000","1,544,000","1,548,000","924,000","945,000","968,000","-16,398,000","273,000",,
NetIncomeCommonStockholders,"332,282,000","156,915,000","113,212,000","-5,847,000","68,002,000","54,892,000","153,109,000","100,514,000","87,732,000","48,122,000","378,481,000","46,475,000","43,992,000","6,049,000","20,482,000","24,799,000","24,529,000","21,727,000","27,174,000","17,282,000","20,321,000","12,907,000","30,849,000","15,404,000","10,944,000","7,353,000","-12,452,000","3,595,000","6,367,000","705,000","161,097,000","9,561,000","8,818,000","3,016,000","3,264,000","-6,259,000","-2,584,000","-6,312,000","14,274,000","-2,995,000","-9,422,000","-3,673,000","967,000","-18,391,000","-1,242,000","6,052,000","-21,280,000","-45,328,000","3,877,000","-15,328,000","-2,605,000","-6,844,000","-1,291,000","-9,033,000","4,604,000","-3,941,000","-2,368,000","-7,287,000","-6,107,000","-8,887,000","-20,928,000","-12,808,000","741,000","-5,702,000","1,175,000","-16,714,000","-42,470,000","-17,195,000","-9,757,000","-17,696,000"
	NetIncome,"332,282,000","156,915,000","113,212,000","-5,847,000","68,002,000","54,892,000","153,109,000","100,514,000","87,732,000","48,122,000","378,481,000","46,475,000","43,992,000","6,049,000","20,482,000","24,799,000","24,529,000","21,727,000","27,174,000","17,282,000","20,321,000","12,907,000","30,849,000","15,404,000","10,944,000","7,353,000","-12,452,000","3,595,000","6,367,000","705,000","161,097,000","9,561,000","8,818,000","3,016,000","3,264,000","-6,259,000","-2,584,000","-6,312,000","14,274,000","-2,995,000","-9,422,000","-3,673,000","967,000","-18,391,000","-1,242,000","6,052,000","-21,280,000","-45,328,000","3,877,000","-15,328,000","-2,605,000","-6,844,000","-1,291,000","-9,033,000","4,604,000","-3,941,000","-2,368,000","-7,287,000","-6,107,000","-8,887,000","-20,928,000","-12,808,000","741,000","-5,702,000","1,175,000","-16,714,000","-35,090,000","-17,195,000","-9,757,000","-9,757,000"
		NetIncomeIncludingNoncontrollingInterests,"337,102,000","157,694,000","113,851,000","-5,178,000","70,735,000","56,887,000","154,490,000","99,828,000","86,606,000","47,341,000","379,856,000","42,072,000","48,455,000","4,944,000","20,411,000","25,616,000","24,799,000","22,274,000","27,416,000","17,155,000","19,900,000","11,912,000","30,849,000","15,404,000","10,944,000","7,353,000","-12,452,000","3,595,000","6,367,000","705,000","161,097,000","9,561,000","8,818,000","3,016,000","3,264,000","-6,259,000","-2,584,000","-6,312,000","14,274,000","-2,995,000","-9,422,000","-3,673,000","967,000","-18,391,000","-1,242,000","6,052,000","-21,280,000","-45,328,000","3,877,000","-15,328,000","-2,605,000","-6,844,000","-1,291,000","-9,033,000","4,604,000","-3,941,000","-2,368,000","-7,287,000","-6,107,000","-8,887,000","-20,928,000","-12,808,000","198,000","-6,285,000","682,000","-17,201,000","-35,613,000","-17,353,000","-9,757,000","-9,757,000"
			NetIncomeContinuousOperations,"337,102,000","157,694,000","113,851,000","-5,178,000","70,735,000","56,887,000","154,490,000","99,828,000","86,606,000","47,341,000","379,856,000","42,072,000","48,455,000","4,944,000","20,411,000","25,616,000","24,799,000","22,274,000","27,416,000","17,155,000","19,900,000","11,912,000","30,849,000","15,404,000","10,944,000","7,353,000","-12,452,000","3,595,000","6,367,000","705,000","155,958,000","9,561,000","8,818,000","3,016,000","3,264,000","-6,259,000","-2,584,000","-6,312,000","14,274,000","-2,995,000","-9,422,000","-3,673,000","967,000","-18,391,000","-1,242,000","6,052,000","-21,280,000","-45,328,000","3,877,000","-15,328,000","-2,605,000","-6,844,000","-1,291,000","-9,033,000","4,604,000","-3,941,000","-2,368,000","-7,287,000","-6,107,000","-8,887,000","-20,928,000","-12,808,000","741,000","-5,702,000","1,175,000","-16,714,000","-32,513,000","-10,874,000","-9,757,000","-9,757,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"5,139,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetIncomeExtraordinary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-2,577,000","-6,321,000",,
		MinorityInterests,"-4,820,000","-779,000","-639,000","-669,000","-2,733,000","-1,995,000","-1,381,000","686,000","1,126,000","781,000","-1,375,000","4,403,000","-4,463,000","1,105,000","71,000","-817,000","-270,000","-547,000","-242,000","127,000","421,000","995,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"543,000","583,000","493,000","487,000","523,000","158,000",,
	PreferredStockDividends,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,380,000",,,"7,939,000"
DilutedNIAvailtoComStockholders,"332,282,000","156,915,000","113,212,000","-5,847,000","68,002,000","54,892,000","153,109,000","100,514,000","87,732,000","48,122,000","378,481,000","46,475,000","43,992,000","6,049,000","20,482,000","24,799,000","24,529,000","21,727,000","27,174,000","17,282,000","20,321,000","12,907,000","30,849,000","15,404,000","10,944,000","7,353,000","-12,452,000","3,595,000","6,367,000","705,000","161,097,000","9,561,000","8,818,000","3,016,000","3,264,000","-6,259,000","-2,584,000","-6,312,000","14,274,000","-2,995,000","-9,422,000","-3,673,000","967,000","-18,391,000","-1,242,000","6,052,000","-21,280,000","-45,328,000","3,877,000","-15,328,000","-2,605,000","-6,844,000","-1,291,000","-9,033,000","4,604,000","-3,941,000","-2,368,000","-7,287,000","-6,107,000","-8,887,000","-20,928,000","-12,808,000","741,000","-5,702,000","1,175,000","-16,714,000","-42,470,000","-17,195,000","-9,757,000","-17,696,000"
BasicEPS,,"3.43","2.46","-0.13","1.48","1.2","3.36","2.21","1.92","1.04","8.27","1.01","0.94","0.14","0.67","0.81","0.8","0.71","0.89","0.55","0.65","0.41","1","0.5","0.36","0.24","-0.41","0.12","0.22","0.02","5.53","0.33","0.31","0.1",,"-0.22","-0.09","-0.22",,"-0.11","-0.33","-0.13",,"-0.65","-0.04","0.21",,"-1.59","0.14","-0.54",,"-0.24","-0.05","-0.32",,"-0.14","-0.08","-0.26",,"-0.31","-0.74","-0.45",,"-0.2","0.04","-0.59",,"-2.41","-2.01","-2.01"
DilutedEPS,,"3.3","2.36","-0.13","1.42","1.15","3.22","2.12","1.86","1.01","7.97","0.98","0.91","0.13","0.64","0.78","0.78","0.69","0.86","0.54","0.63","0.4","0.96","0.48","0.34","0.23","-0.41","0.11","0.2","0.02","5.16","0.31","0.29","0.1",,"-0.22","-0.09","-0.22",,"-0.11","-0.33","-0.13",,"-0.65","-0.04","0.21",,"-1.59","0.14","-0.54",,"-0.24","-0.05","-0.32",,"-0.14","-0.08","-0.26",,"-0.31","-0.74","-0.45",,"-0.2","0.04","-0.59",,"-2.41","-2.01","-2.01"
