name,09/30/2019,09/30/2018,09/30/2017,09/30/2016,09/30/2015,09/30/2014,09/30/2013,09/30/2012,09/30/2011,09/30/2010
CommonStockEquity,"2,925,900,000","3,050,400,000","2,780,000,000","3,008,600,000","2,975,900,000","2,283,100,000","1,498,600,000","1,231,500,000","1,497,700,000","2,061,700,000"
NetTangibleAssets,"-4,812,400,000","-4,988,500,000","-4,605,900,000","-2,904,800,000","-3,066,100,000","-3,246,500,000","-889,500,000","-871,100,000","-680,100,000","-632,300,000"
WorkingCapital,"1,323,400,000","1,408,200,000","1,911,500,000","1,442,900,000","1,170,700,000","699,100,000","522,100,000","83,300,000","1,000,000","72,800,000"
InvestedCapital,"10,005,400,000","10,304,600,000","9,951,200,000","7,572,100,000","7,503,300,000","6,139,200,000","2,907,200,000","2,177,100,000","2,282,200,000","2,778,200,000"
TangibleBookValue,"-4,812,400,000","-4,988,500,000","-4,605,900,000","-2,904,800,000","-3,066,200,000","-3,246,600,000","-889,500,000","-871,100,000","-680,100,000","-632,300,000"
TotalDebt,"7,079,500,000","7,254,200,000","7,171,200,000","4,563,500,000","4,527,400,000","3,856,100,000","1,408,600,000","945,600,000","784,500,000","716,500,000"
NetDebt,"6,028,800,000","6,264,500,000","5,645,300,000","3,419,900,000","3,686,000,000","3,587,700,000","1,006,600,000","887,400,000","782,800,000","711,700,000"
ShareIssued,"84,000,000","75,300,000","71,900,000","64,900,000","62,100,000","46,600,000","34,500,000","34,400,000","34,500,000","34,500,000"
OrdinarySharesNumber,"72,100,000","66,700,000","66,100,000","64,900,000","60,300,000","44,800,000","32,700,000","32,650,000","34,500,000","34,500,000"
PreferredSharesNumber,"3,200,000","3,200,000","4,700,000","4,700,000",,,"4,700,000",,,
TreasurySharesNumber,"11,900,000","8,600,000","5,800,000",,"1,800,000","1,800,000","1,800,000","1,750,000",,
