name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,"441,900,000","480,300,000","567,500,000","587,000,000","589,600,000","608,100,000","620,800,000","518,200,000","517,800,000","520,300,000"
TotalCapitalization,"25,801,635,000","24,534,357,000","22,314,109,000","20,961,360,000","19,596,720,000","23,615,936,000","21,325,101,000","19,190,366,000","17,650,070,000","15,234,973,000","12,758,042,000","10,874,497,000","8,175,094,000","6,333,113,000","5,175,284,000","4,023,046,000","3,332,253,000","2,817,527,000","2,498,655,000","2,239,925,000","2,119,900,000","2,423,100,000","2,022,300,000","1,731,200,000","1,452,800,000","1,233,700,000","1,086,100,000","984,000,000","1,072,600,000","1,028,400,000","942,300,000"
PreferredStockEquity,,,,,,,,,,,,,"4,977,000","52,887,000","99,062,000","98,826,000","148,416,000","147,999,000","147,582,000","147,164,000","147,200,000",,,,,,,,,,
CommonStockEquity,"21,640,716,000","19,364,188,000","16,283,273,000","13,981,581,000","12,943,035,000","17,712,582,000","15,418,459,000","13,284,764,000","12,640,904,000","10,231,632,000","9,998,042,000","9,014,497,000","6,985,117,000","5,546,784,000","4,217,230,000","2,846,598,000","2,074,965,000","1,524,396,000","1,495,104,000","1,233,761,000","982,400,000","1,280,300,000","1,281,000,000","1,265,100,000","1,163,700,000","1,043,400,000","933,100,000","834,000,000","650,200,000","610,000,000","582,300,000"
CapitalLeaseObligations,"369,365,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"21,640,716,000","19,364,188,000","16,283,273,000","13,981,581,000","12,943,035,000","17,712,582,000","15,418,459,000","13,284,764,000","12,640,904,000","10,231,632,000","9,998,042,000","9,014,497,000","6,990,094,000","5,599,671,000","4,316,292,000","2,945,424,000","2,223,381,000","1,672,395,000","1,642,686,000","1,380,925,000","1,129,600,000","1,280,300,000","1,281,000,000","1,265,100,000","1,163,700,000","1,043,400,000","933,100,000","834,000,000","650,200,000","610,000,000","582,300,000"
WorkingCapital,"786,351,000","1,329,026,000","553,566,000","1,527,312,000","772,957,000","2,031,713,000","1,210,299,000","665,826,000","731,619,000","307,347,000","493,981,000","343,535,000","-182,131,000","95,068,000","391,197,000","-45,401,000","-80,505,000","118,441,000","-38,426,000","24,749,000","-18,100,000","-16,200,000","-9,000,000","8,500,000","48,500,000","-8,200,000","31,500,000","52,300,000","-3,600,000","1,000,000","31,000,000"
InvestedCapital,"26,816,159,000","25,447,450,000","22,670,344,000","20,967,939,000","19,603,299,000","23,622,515,000","21,331,680,000","19,596,945,000","17,650,070,000","15,454,973,000","12,795,042,000","10,911,497,000","8,170,117,000","6,280,226,000","5,202,297,000","3,924,220,000","3,183,837,000","2,669,528,000","2,351,073,000","2,092,761,000","1,972,700,000","2,423,100,000","2,022,300,000","1,731,200,000","1,452,800,000","1,235,400,000","1,116,100,000","984,000,000","1,072,600,000","1,028,400,000","942,300,000"
TangibleBookValue,"21,640,716,000","19,364,188,000","16,283,273,000","13,981,581,000","12,943,035,000","17,712,582,000","15,418,459,000","13,284,764,000","12,640,904,000","10,231,632,000","9,998,042,000","9,014,497,000","6,985,117,000","5,546,784,000","4,217,230,000","2,846,598,000","2,074,965,000","1,524,396,000","1,495,104,000","1,233,761,000","982,400,000","1,280,300,000","1,281,000,000","1,265,100,000","1,163,700,000","1,043,400,000","933,100,000","834,000,000","650,200,000","610,000,000","582,300,000"
TotalDebt,"5,544,808,000","6,083,262,000","6,387,071,000","6,986,358,000","6,660,264,000","5,909,933,000","5,913,221,000","6,312,181,000","5,009,166,000","5,223,341,000","2,797,000,000","1,897,000,000","1,185,000,000","733,442,000","985,067,000","1,077,622,000","1,108,872,000","1,145,132,000","855,969,000","859,000,000","990,300,000","1,142,800,000","741,300,000","466,100,000","289,100,000","192,000,000","183,000,000","150,000,000","422,400,000","418,400,000","360,000,000"
NetDebt,"3,147,471,000","4,527,628,000","5,552,843,000","5,386,463,000","5,941,758,000","3,822,720,000","4,595,012,000","5,435,746,000","4,393,440,000","4,434,488,000","2,111,249,000","1,565,689,000","1,130,769,000","515,187,000","341,256,000","1,056,642,000","1,104,429,000","1,135,284,000","853,457,000","838,848,000","965,500,000","1,136,500,000","732,000,000","458,500,000","266,100,000","186,200,000","79,900,000","17,400,000","418,600,000","414,800,000","344,700,000"
ShareIssued,"582,213,016","580,408,117","578,827,768","576,950,272","550,150,823","549,028,374","546,378,440","543,916,990","538,646,168","508,447,042","505,254,354","499,415,128","493,049,374","487,470,082","484,148,276","475,709,776","463,641,600","458,881,040","461,806,472","467,617,168","476,420,000","614,896,000","620,256,000","639,028,000","639,400,000","603,308,000","639,360,000","640,000,000","607,200,000","607,200,000","607,200,000"
OrdinarySharesNumber,"581,914,196","580,023,075","578,476,807","576,700,117","549,858,644","548,294,857","546,171,610","543,264,462","538,038,902","508,154,670","505,017,304","499,161,306","493,049,374","487,470,082","484,148,276","475,709,776","463,641,600","458,881,040","461,806,472","467,617,168","476,420,000","614,896,000","620,256,000","639,028,000","639,400,000","603,308,000","639,360,000","640,000,000","607,200,000","607,200,000","607,200,000"
TreasurySharesNumber,"298,820","385,042","350,961","250,155","292,179","733,517","206,830","652,528","607,266","292,372","237,050","253,822",,,,,,,,,,,,,,,,,,,
