name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
NetIncomeCommonStockholders,"-1,547,000,000","-605,000,000","3,107,000,000","2,509,000,000","1,040,000,000","-2,474,000,000","362,000,000","961,000,000","811,000,000","2,668,000,000","1,860,000,000","1,831,000,000","659,300,631","1,614,857,483","2,431,267,474","1,345,000,000","617,000,000","149,000,000","30,000,000","-21,000,000","85,000,000","45,200,000","-49,100,000","-175,600,000","254,800,000","89,600,000","69,100,000","29,200,000"
	NetIncome,"-1,547,000,000","-605,000,000","3,107,000,000","2,509,000,000","1,040,000,000","-2,474,000,000","362,000,000","961,000,000","811,000,000","2,668,000,000","1,860,000,000","1,831,000,000","659,300,631","1,614,857,483","2,431,267,474","1,345,000,000","617,000,000","149,000,000","30,000,000","-21,000,000","85,000,000","45,200,000","-49,100,000","-175,600,000","254,800,000","89,600,000","69,100,000","29,200,000"
		NetIncomeIncludingNoncontrollingInterests,"-1,543,000,000","-588,000,000","3,145,000,000","2,538,000,000","1,041,000,000","-2,484,000,000","382,000,000","1,010,000,000","870,000,000","2,768,000,000","1,975,000,000","1,945,000,000","741,864,983","1,661,535,405","2,463,886,300","1,345,000,000","626,000,000","149,000,000","29,000,000","29,000,000","128,000,000","50,300,000","-47,600,000","-175,600,000","254,800,000","89,600,000","69,100,000","29,200,000"
			NetIncomeContinuousOperations,"-1,543,000,000","-588,000,000","3,145,000,000","2,538,000,000","1,041,000,000","-2,484,000,000","382,000,000","1,010,000,000","870,000,000","2,768,000,000","1,975,000,000","1,750,000,000","677,513,356","1,660,542,258","2,395,153,774","1,345,000,000","594,000,000","149,000,000","30,000,000","-21,000,000","85,000,000","45,200,000","-49,100,000","-175,600,000","254,800,000","89,600,000","69,100,000","29,200,000"
			NetIncomeDiscontinuousOperations,,,,,,,,,,,"0","81,000,000","-18,212,725","-45,684,775","36,113,700",,"23,000,000",,,,,,,,,,,
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,"114,000,000",,,,,,,,,,,,,,,,
		MinorityInterests,"-4,000,000","-17,000,000","-38,000,000","-29,000,000","-1,000,000","10,000,000","-20,000,000","-49,000,000","-59,000,000","-100,000,000","-115,000,000","-69,000,000","-82,564,352","-46,677,922","-32,618,826",,"-9,000,000",,"1,000,000","-50,000,000","-43,000,000","-5,100,000","-1,500,000",,,,,
DilutedNIAvailtoComStockholders,"-1,547,000,000","-605,000,000","3,107,000,000","2,509,000,000","1,040,000,000","-2,474,000,000","362,000,000","961,000,000","811,000,000","2,668,000,000","1,860,000,000","1,831,000,000","659,300,631","1,614,857,483","2,431,267,474","1,345,000,000","617,000,000","149,000,000","30,000,000","-21,000,000","85,000,000","45,200,000","-49,100,000","-175,600,000","254,800,000","89,600,000","69,100,000","29,200,000"
BasicEPS,,"-1.08","5.41","4.34","1.8","-4.29","0.63","1.66","1.39","4.52","3.15","3.43","1.46","3.74","5.765","3.31","1.59","0.395","0.075","-0.085","0.385","0.93","-0.255","-0.905","1.325","0.485","0.385","0.175"
DilutedEPS,,"-1.08","5.34","4.28","1.78","-4.29","0.63","1.66","1.38","4.5","3.14","3.42","1.45","3.72","5.6","3.11","1.495","0.38","0.075","-0.085","0.385","0.93","-0.255","-0.905","1.26","0.485","0.385","0.175"
