name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
OtherIncomeExpense,"3,061,000","786,000","784,000","780,000","711,000","1,469,000","589,000","279,000","534,000","2,131,000","-11,050,000","-857,000","-459,000","-20,019,000","-1,298,000","-5,561,000","-762,000","-3,495,000","409,000","1,892,000","-889,000","-205,000","17,244,000","34,557,000","1,000","249,000","4,406,000","1,956,000","3,891,000","758,000","5,332,000","-21,495,000","-3,958,000","-2,146,000","-243,000","225,000","-13,536,000","-458,000","-8,363,000","396,000","1,458,000","5,346,000","-7,000","-6,441,000","457,000","196,000","-1,695,000","-1,924,000","84,000","66,000","52,000","-2,000","-85,000","84,000","93,000","-4,517,000",,,,,,,,,,,,,,"969,759","-86,797","-1,700,000",,"348,619","1,065,013","98,297","97,248","592,382","14,131","13,630","12,583"
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,,,"0","852,000","1,171,000","-1,549,000","929,000","18,869,000","34,283,000","-110,000","49,000","4,100,000","2,142,000","3,859,000","461,000",,,,,,,"439,000",,"3,023,000",,"1,419,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"0",,,,,"0","0",,,"0","-11,975,000","0",,"-21,766,000","-231,000","-6,115,000",,"-3,972,000",,,,,,,,"0","0","0","0","13,783,000","5,332,000","-21,495,000","-3,958,000","-2,146,000","-243,000","225,000","-13,975,000","4,399,000","-11,386,000","396,000","39,000","5,346,000","-7,000","-6,441,000","457,000","196,000","-1,695,000","-1,924,000","84,000","66,000","52,000","-2,000","-85,000","84,000","93,000","-4,517,000",,,,,,,,,,,,,,"969,759","-86,797","-1,700,000",,"348,619","1,065,013","98,297","97,248","592,382","14,131","13,630","12,583"
		RestructuringAndMergernAcquisition,,,,,,,,,,,"0","0",,"0","231,000","6,115,000",,"3,972,000",,,,,,,,,,,,"0","0","0","0","0","0","0","3,467,000","0","0","0",,"0","0","3,324,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,"21,766,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,,,,,,,,,"0","11,975,000",,,,,,,,,,,,,,,,,,,"-13,783,000","-5,332,000","21,495,000","3,958,000","2,146,000","243,000","-225,000","10,508,000","-4,399,000","11,386,000","-396,000",,"-5,346,000","7,000","3,117,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"3,061,000","786,000","784,000","780,000","711,000","1,469,000","589,000","279,000","534,000","2,131,000","925,000","-857,000","-459,000","1,747,000","-1,067,000","554,000","-762,000","477,000","-443,000","721,000","660,000","-1,134,000","-1,625,000","274,000","111,000","200,000","306,000","-186,000","32,000","297,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"507,888,000","-88,311,000","-72,865,000","-61,403,000","730,467,000","-41,576,000","-34,348,000","-31,828,000","-31,182,000","-17,027,000","-32,673,000","-23,580,000","-22,533,000","38,378,000","-12,489,000","-27,218,000","-21,524,000","-30,504,000","-26,390,000","-26,763,000","-24,256,000","-32,022,000","-10,643,000","7,512,000","-25,218,000","-23,492,000","-17,240,000","40,103,000","-18,925,000","-21,280,000",,,,,,,"-39,898,000",,"-36,266,000",,"-31,270,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaxProvision,"110,333,000","0","0","0","110,333,000","-110,265,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"397,555,000","-88,311,000","-72,865,000","-61,403,000","620,134,000","68,711,000","-34,314,000","-31,833,000","-31,963,000","-13,684,000","-32,353,000","-23,317,000","-22,053,000","38,572,000","-12,357,000","-27,183,000","-21,548,000","-30,459,000","-26,418,000","-26,807,000","-24,295,000","-32,061,000","-10,672,000","7,480,000","-25,255,000","-23,459,000","-17,200,000","40,100,000","-18,876,000","-21,280,000","-15,521,000","-22,099,000","-29,401,000","-23,682,000","-22,736,000","-22,908,000","-42,158,000","-28,241,000","-36,266,000","-28,757,000","-31,270,000","-29,772,000","-34,835,000","-37,983,000","-50,614,000","-62,481,000","-56,184,000","-65,815,000","-55,005,000","-40,926,000","-32,813,000","-39,132,000","-32,409,000","-36,409,000","-20,138,000","-19,013,000","-12,719,000","-19,569,629","-16,131,720","-16,349,382","-25,034,957","-18,193,177","-13,624,454","-16,955,929","-12,507,477","-14,610,054","-11,875,635","-11,762,315","-8,811,435","-8,778,543","-10,268,023","-7,313,638","-6,469,734","-2,802,484","-2,019,554","-3,145,680","1,084,994","1,064,906","-1,418,594","-11,089,587","-17,309,763"
