name,11/30/2019,11/30/2018,11/30/2017,11/30/2016,11/30/2015,11/30/2014,11/30/2013,11/30/2012,11/30/2011,11/30/2010,11/30/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999,11/30/1998,11/30/1997,11/30/1996,11/30/1995,11/30/1994,11/30/1993,11/30/1992,11/30/1991,11/30/1990,11/30/1989,11/30/1988,11/30/1987,11/30/1986
			CommonStock,"365,000,000","365,000,000","365,000,000","365,000,000","365,000,000","365,000,000","365,000,000","363,000,000","363,000,000","361,000,000","360,000,000","360,000,000","360,000,000","360,000,000","359,000,000","359,000,000","355,000,000","5,868,000","6,200,000","6,176,000","6,170,000","5,955,000","2,972,000","2,947,000","2,848,000","2,826,000",,,,,,,,
		AdditionalPaidInCapital,"8,807,000,000","8,756,000,000","8,690,000,000","8,632,000,000","8,562,000,000","8,384,000,000","8,325,000,000","8,252,000,000","8,180,000,000","8,094,000,000","7,707,000,000","7,677,000,000","7,599,000,000","7,479,000,000","7,381,000,000","7,311,000,000","7,163,000,000","1,089,125,000","1,805,248,000","1,772,897,000","1,757,408,000","880,488,000","866,097,000","819,610,000","594,811,000","544,947,000",,,,,,,,
		RetainedEarnings,"26,653,000,000","25,066,000,000","23,292,000,000","21,843,000,000","20,060,000,000","19,242,000,000","18,782,000,000","18,479,000,000","18,349,000,000","17,224,000,000","15,770,000,000","13,980,000,000","12,921,000,000","11,600,000,000","10,233,000,000","8,623,000,000","7,191,000,000","6,325,850,000","5,556,296,000","4,884,023,000","4,176,498,000","3,379,628,000","2,731,213,000","2,207,781,000","1,752,140,000","1,390,589,000","1,089,300,000","850,200,000","652,500,000","635,000,000","493,500,000","353,700,000","236,800,000","191,800,000"
		TreasuryStock,"8,394,000,000","7,795,000,000","6,349,000,000","5,789,000,000","3,475,000,000","3,087,000,000","3,077,000,000","2,958,000,000","2,851,000,000","2,394,000,000","2,264,000,000","2,296,000,000","2,213,000,000","1,890,000,000","1,144,000,000","1,058,000,000","1,058,000,000","0","727,637,000","705,137,000",,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-2,066,000,000","-1,949,000,000","-1,782,000,000","-2,454,000,000","-1,741,000,000","-616,000,000","161,000,000","-207,000,000","-209,000,000","-254,000,000","462,000,000","-623,000,000","1,296,000,000","661,000,000","156,000,000","541,000,000","160,000,000","8,241,000","-36,932,000","-75,059,000","1,116,000",,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,"-13,000,000","-16,000,000","-18,000,000","-11,181,000","-12,398,000","-12,283,000","-9,945,000","19,405,000","4,816,000","546,000","-4,926,000","-9,428,000","537,900,000","534,600,000","518,600,000","401,100,000","399,700,000","398,600,000","398,700,000","16,000,000"
	MinorityInterest,,,,,,,,,,,,,,,,,,,,,"0","132,684,000",,,,,,,,,,,,
TotalCapitalization,"35,040,000,000","32,340,000,000","31,209,000,000","30,954,000,000","31,184,000,000","31,651,000,000","32,648,000,000","31,097,000,000","31,885,000,000","31,042,000,000","31,132,000,000","26,833,000,000","26,276,000,000","24,565,000,000","22,699,000,000","22,051,000,000","20,711,000,000","10,429,872,000","9,545,631,000","7,969,694,000","6,798,762,000","5,848,490,000","4,620,392,000","4,347,516,000","3,494,904,000","3,090,838,000","2,658,400,000","2,161,400,000","2,092,800,000","2,105,100,000","1,713,000,000","828,700,000","725,700,000","393,000,000"
CommonStockEquity,"25,365,000,000","24,443,000,000","24,216,000,000","22,597,000,000","23,771,000,000","24,288,000,000","24,556,000,000","23,929,000,000","23,832,000,000","23,031,000,000","22,035,000,000","19,098,000,000","19,963,000,000","18,210,000,000","16,972,000,000","15,760,000,000","13,793,000,000","7,417,903,000","6,590,777,000","5,870,617,000","5,931,247,000","4,285,476,000","3,605,098,000","3,030,884,000","2,344,873,000","1,928,934,000","1,627,200,000","1,384,800,000","1,171,100,000","1,036,100,000","893,200,000","752,300,000","635,500,000","207,800,000"
NetTangibleAssets,"21,279,000,000","20,342,000,000","20,049,000,000","18,412,000,000","19,523,000,000","19,891,000,000","20,054,000,000","19,441,000,000","19,180,000,000","18,391,000,000","17,238,000,000","14,538,000,000","14,960,000,000","13,576,000,000","12,484,000,000","11,133,000,000","9,438,000,000","6,736,847,000","5,938,963,000","5,169,232,000","5,468,907,000","3,848,012,000","3,392,491,000","2,811,295,000","2,118,302,000","1,695,381,000","1,389,900,000","1,140,000,000","917,000,000","772,600,000","621,600,000","752,300,000","635,500,000","207,800,000"
WorkingCapital,"-7,068,000,000","-6,979,000,000","-7,204,000,000","-5,383,000,000","-4,505,000,000","-5,418,000,000","-4,783,000,000","-5,519,000,000","-4,793,000,000","-4,511,000,000","-3,449,000,000","-4,131,000,000","-5,284,000,000","-3,420,000,000","-2,977,000,000","-3,306,000,000","-1,183,000,000","-487,654,000","478,748,000","-1,165,812,000","-613,277,000","-764,834,000","-450,117,000","-371,809,000","-338,332,000","-324,508,000","-296,200,000","-163,400,000","-187,500,000","-353,000,000","-292,700,000","174,200,000","160,100,000","-52,600,000"
InvestedCapital,"36,867,000,000","34,766,000,000","33,411,000,000","32,051,000,000","32,558,000,000","33,376,000,000","34,116,000,000","32,831,000,000","33,185,000,000","32,395,000,000","32,082,000,000","28,441,000,000","27,419,000,000","26,057,000,000","26,369,000,000","23,713,000,000","21,197,000,000","10,578,514,000","10,195,093,000","8,217,913,000","7,680,845,000","6,554,499,000","4,680,012,000","4,413,885,000","3,567,656,000","3,175,482,000","2,750,000,000","2,259,300,000","2,270,900,000","2,323,600,000","1,896,200,000","842,400,000","739,500,000","426,700,000"
TangibleBookValue,"21,279,000,000","20,342,000,000","20,049,000,000","18,412,000,000","19,523,000,000","19,891,000,000","20,054,000,000","19,441,000,000","19,180,000,000","18,391,000,000","17,238,000,000","14,538,000,000","14,960,000,000","13,576,000,000","12,484,000,000","11,133,000,000","9,438,000,000","6,736,847,000","5,938,963,000","5,169,232,000","5,468,907,000","3,848,012,000","3,392,491,000","2,811,295,000","2,118,302,000","1,695,381,000","1,389,900,000","1,140,000,000","917,000,000","772,600,000","621,600,000","752,300,000","635,500,000","207,800,000"
TotalDebt,"11,502,000,000","10,323,000,000","9,195,000,000","9,454,000,000","8,787,000,000","9,088,000,000","9,560,000,000","8,902,000,000","9,353,000,000","9,364,000,000","10,047,000,000","9,343,000,000","7,456,000,000","7,847,000,000","9,397,000,000","7,953,000,000","7,404,000,000","3,160,611,000","3,604,316,000","2,347,296,000","1,749,598,000","2,269,023,000","1,074,914,000","1,383,001,000","1,222,783,000","1,246,548,000","1,122,800,000","874,500,000","1,099,800,000","1,287,500,000","1,003,000,000","90,100,000","104,000,000","218,900,000"
NetDebt,"10,984,000,000","9,341,000,000","8,800,000,000","8,851,000,000","7,392,000,000","8,757,000,000","9,098,000,000","8,437,000,000","8,903,000,000","8,935,000,000","9,509,000,000","8,693,000,000","6,513,000,000","6,684,000,000","8,219,000,000","7,310,000,000","6,334,000,000","2,493,911,000","2,183,016,000","2,158,014,000","1,227,827,000","2,131,750,000","934,925,000","1,271,372,000","1,169,418,000","1,192,443,000","1,062,600,000","759,500,000","878,100,000","1,157,100,000","890,300,000",,,"159,200,000"
ShareIssued,"813,984,373","825,000,000","840,000,000","844,000,000","842,000,000","836,000,000","835,000,000","831,000,000","829,000,000","829,000,000","857,000,000","856,000,000","792,165,601","794,000,000","849,000,000","805,000,000","797,977,751","586,776,338","586,364,115","584,469,510","617,254,814","612,903,484","594,777,972","594,072,188","569,710,310","565,064,000","564,668,000","564,276,000","562,376,000","545,028,000","544,988,000","538,444,000","538,892,000","434,296,000"
OrdinarySharesNumber,"683,984,373","696,000,000","718,000,000","726,000,000","772,000,000","777,000,000","776,000,000","776,000,000","777,000,000","790,000,000","787,000,000","785,000,000","792,165,601","794,000,000","849,000,000","805,000,000","797,977,751","586,776,338","586,364,115","584,469,510","617,254,814","612,903,484","594,777,972","594,072,188","569,710,310","565,064,000","564,668,000","564,276,000","562,376,000","545,028,000","544,988,000","538,444,000","538,892,000","434,296,000"
TreasurySharesNumber,"190,000,000","177,000,000","154,000,000","145,000,000","97,000,000","91,000,000","91,000,000","88,000,000","85,000,000","70,000,000","70,000,000","71,000,000",,,,,,,,,,,,,,,,,,,,,,
