name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001
		AdditionalPaidInCapital,"2,061,000,000","3,311,000,000","3,590,000,000","3,244,900,000","3,212,300,000","1,831,900,000","524,972,000","262,641,000","102,613,000","27,208,000","26,488,000","26,316,000","21,152,000","20,459,000","20,312,000","20,405,000","7,427,013","2,847",
		TreasuryStock,,,,,,"0","107,000","107,000","107,000","107,000","107,000","107,000","107,000","107,000","107,000",,,,
		GainsLossesNotAffectingRetainedEarnings,"-145,000,000","-154,000,000","15,700,000","-193,700,000","-72,300,000",,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,"30,000",
	MinorityInterest,"153,000,000","395,000,000","405,600,000","337,600,000","343,700,000",,,,,,,,,,,,,,
TotalCapitalization,"7,925,000,000","7,477,000,000","8,021,900,000","7,431,500,000","7,989,700,000","2,247,200,000","637,484,000","354,015,000","108,814,000","38,845,000","28,617,000","30,247,000","18,236,000","16,624,000","13,874,000","17,861,000","8,326,214","959,205","782,565"
PreferredStockEquity,"41,000,000","41,000,000","41,200,000","41,600,000","42,000,000","42,200,000","42,737,000","42,794,000","42,794,000",,,,,,,,"773,896","1,188,819","1,200,794"
CommonStockEquity,"2,702,000,000","3,534,000,000","3,563,200,000","2,658,400,000","2,675,100,000","1,612,900,000","413,106,000","202,265,000","65,566,000","34,013,000","28,404,000","26,527,000","18,202,000","15,338,000","11,286,000","17,302,000","7,552,318","-229,614","-418,229"
CapitalLeaseObligations,"2,244,000,000",,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-2,799,000,000","-2,145,000,000","-2,394,500,000","-3,160,500,000","-3,770,000,000","384,300,000","-92,784,000","166,639,000","83,348,000","8,508,000","2,270,000","3,981,000","6,515,000","5,586,000","3,090,000","8,472,000","6,775,768","959,205","782,565"
WorkingCapital,"84,000,000","375,000,000","590,800,000","342,000,000","262,800,000","852,000,000","72,839,000","271,907,000","83,070,000","12,314,000","970,000","4,428,000","3,781,000","2,078,000","1,342,000","3,714,000","3,437,322","722,531","-85,926"
InvestedCapital,"7,968,000,000","7,803,000,000","8,084,400,000","7,537,400,000","8,112,500,000","2,206,800,000","596,775,000","311,712,000","67,695,000","40,525,000","36,362,000","31,482,000","18,286,000","16,741,000","14,116,000","19,524,000","9,727,692","1,479,483","221,232"
TangibleBookValue,"-2,840,000,000","-2,186,000,000","-2,435,700,000","-3,202,100,000","-3,812,000,000","342,100,000","-135,521,000","123,845,000","40,554,000","8,508,000","2,270,000","3,981,000","6,515,000","5,586,000","3,090,000","8,472,000","6,001,872","-229,614","-418,229"
TotalDebt,"7,510,000,000","4,269,000,000","4,521,200,000","4,879,000,000","5,437,400,000","593,900,000","183,669,000","109,447,000","2,129,000","6,512,000","7,958,000","4,955,000","84,000","1,403,000","2,830,000","2,222,000","2,175,374","1,709,097","639,461"
NetDebt,"4,889,000,000","3,767,000,000","4,124,300,000","4,505,600,000","5,147,600,000",,"162,145,000",,,"5,951,000","7,463,000","3,848,000",,"1,324,000","2,444,000","1,368,000","146,076","1,705,339","599,972"
ShareIssued,"92,000,000","116,000,000","119,900,000","111,087,027","109,523,493","77,421,683","30,583,073","18,002,985","8,410,353","8,171,880","8,053,804","7,999,884","6,707,192","6,584,009","6,571,258","6,681,758","3,416,845","1,688,228","1,625,728"
OrdinarySharesNumber,"92,000,000","116,000,000","119,900,000","111,087,027","109,523,493","77,421,683","30,538,073","17,957,985","8,365,353","8,126,880","8,008,804","7,954,884","6,707,192","6,584,009","6,571,258","6,681,758","3,416,845","1,688,228","1,625,728"
PreferredSharesNumber,,,"70,000",,"72,885","73,335","74,175","74,275","75,000",,,,,,,,,,
TreasurySharesNumber,,,,,,,"45,000","45,000","45,000","45,000","45,000","45,000",,,,,,,
