name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
		GoodwillAndOtherIntangibleAssets,"716,746,000","730,160,000","759,721,000","797,052,000","847,724,000","920,179,000"
			Goodwill,"662,396,000","660,981,000","660,981,000","660,981,000","660,981,000","670,294,000"
			OtherIntangibleAssets,"54,350,000","69,179,000","98,740,000","136,071,000","186,743,000","249,885,000"
		NonCurrentDeferredAssets,"376,000","713,000","6,343,000","97,000","157,000","138,000"
			NonCurrentDeferredTaxesAssets,"376,000","713,000","6,343,000","97,000","157,000","138,000"
		OtherNonCurrentAssets,"9,477,000","6,691,000","5,943,000","4,903,000","3,927,000","5,190,000"
TotalLiabilitiesNetMinorityInterest,"416,788,000","378,230,000","447,187,000","368,395,000","570,567,000","694,942,000"
	CurrentLiabilities,"343,002,000","257,026,000","192,706,000","168,603,000","134,017,000","133,640,000"
		PayablesAndAccruedExpenses,"97,537,000","72,886,000","20,640,000","13,875,000","11,644,000","8,343,000"
			Payables,"22,404,000","16,737,000","16,674,000","10,911,000","8,728,000","6,252,000"
				AccountsPayable,"22,404,000","16,737,000","16,674,000","10,911,000","8,728,000","6,252,000"
			CurrentAccruedExpenses,"75,133,000","56,149,000","3,966,000","2,964,000","2,916,000","2,091,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"34,119,000","31,344,000","19,707,000","21,453,000","17,195,000","18,216,000"
		CurrentDebtAndCapitalLeaseObligation,,,"16,500,000","12,375,000",,
			CurrentDebt,,,"16,500,000","12,375,000",,
				OtherCurrentBorrowings,,,,"12,375,000",,
		CurrentDeferredLiabilities,"192,359,000","147,935,000","73,756,000","65,668,000","51,051,000","58,139,000"
			CurrentDeferredRevenue,"192,359,000","147,935,000","73,756,000","65,668,000","51,051,000","58,139,000"
		OtherCurrentLiabilities,"18,987,000","4,861,000","62,103,000","55,232,000","54,127,000","48,942,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"73,786,000","121,204,000","254,481,000","199,792,000","436,550,000","561,302,000"
		LongTermDebtAndCapitalLeaseObligation,"45,212,000","79,721,000","205,111,000","151,267,000","377,882,000","491,518,000"
			LongTermDebt,,"79,721,000","205,111,000","151,267,000","377,882,000","491,518,000"
			LongTermCapitalLeaseObligation,"45,212,000",,,,,
		NonCurrentDeferredLiabilities,"12,849,000","4,195,000","12,028,000","12,030,000","21,104,000","33,768,000"
			NonCurrentDeferredTaxesLiabilities,"12,849,000","439,000","560,000","12,030,000","21,104,000","33,768,000"
		OtherNonCurrentLiabilities,"15,725,000","37,288,000","37,342,000","36,495,000","37,564,000","36,016,000"
TotalEquityGrossMinorityInterest,"726,283,000","589,703,000","503,530,000","610,710,000","413,474,000","401,970,000"
	StockholdersEquity,"726,283,000","589,703,000","503,530,000","610,710,000","413,474,000","401,970,000"
		CapitalStock,"360,000","356,000","355,000","407,000","326,000","313,000"
			PreferredStock,"0","0","0","0",,
			CommonStock,"360,000","356,000","355,000","407,000","326,000","313,000"
		AdditionalPaidInCapital,"666,585,000","639,381,000","630,341,000","623,629,000","438,716,000","417,553,000"
		RetainedEarnings,"68,109,000","-41,487,000","-120,402,000","-9,584,000","-23,009,000","-14,336,000"
		TreasuryStock,"6,030,000","6,030,000","6,030,000",,,
		GainsLossesNotAffectingRetainedEarnings,"-2,741,000","-2,517,000","-734,000","-3,742,000","-2,559,000","-1,560,000"
TotalCapitalization,"726,283,000","669,424,000","708,641,000","761,977,000","791,356,000","893,488,000"
CommonStockEquity,"726,283,000","589,703,000","503,530,000","610,710,000","413,474,000","401,970,000"
CapitalLeaseObligations,"45,212,000",,,,,
NetTangibleAssets,"9,537,000","-140,457,000","-256,191,000","-186,342,000","-434,250,000","-518,209,000"
WorkingCapital,"-25,974,000","-78,912,000","-62,735,000","-35,355,000","-39,296,000","-319,000"
InvestedCapital,"726,283,000","669,424,000","725,141,000","774,352,000","791,356,000","893,488,000"
TangibleBookValue,"9,537,000","-140,457,000","-256,191,000","-186,342,000","-434,250,000","-518,209,000"
TotalDebt,"45,212,000","79,721,000","221,611,000","163,642,000","377,882,000","491,518,000"
NetDebt,,"56,446,000","195,126,000","126,543,000","363,002,000","437,233,000"
ShareIssued,"36,265,278","35,865,910","35,666,510","40,662,856","39,642,113","39,642,113"
OrdinarySharesNumber,"36,065,278","35,665,910","35,466,510","40,662,856","39,642,113","39,642,113"
TreasurySharesNumber,"200,000","200,000","200,000",,,
