name,08/31/2019,08/31/2018,08/31/2017,08/31/2016,08/31/2015,08/31/2014,08/31/2013,08/31/2012,08/31/2011,08/31/2010,08/31/2009,08/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004,08/31/2003,08/31/2002,08/31/2001,08/31/2000,08/31/1999,08/31/1998,08/31/1997,08/31/1996
		PrepaidAssets,"67,099,000","58,902,000","52,742,000","45,290,000","39,067,000","40,410,000","35,464,000","29,313,000","22,545,000","20,498,000","17,169,000","19,185,000","20,748,000","21,341,000","18,856,000","16,368,000","12,039,000","6,690,000","5,728,000",,,,,
		CurrentDeferredAssets,,,,"46,627,000","44,643,000","41,253,000","37,771,000","31,718,000","28,531,000","27,849,000","27,956,000","23,807,000","18,705,000","14,289,000","10,166,000","10,000,000","11,051,000","4,339,000","5,264,000",,,,,
			CurrentDeferredTaxesAssets,,,,"46,627,000","44,643,000","41,253,000","37,771,000","31,718,000","28,531,000","27,849,000","27,956,000","23,807,000","18,705,000","14,289,000","10,166,000","10,000,000","11,051,000","4,339,000","5,264,000",,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,"8,674,000","9,800,000","14,800,000","12,300,000","17,300,000"
	TotalNonCurrentAssets,"1,111,625,000","1,141,220,000","1,093,333,000","1,083,460,000","1,069,130,000","1,099,332,000","1,049,514,000","524,765,000","485,989,000","476,787,000","474,833,000","480,050,000","485,525,000","486,825,000","219,602,000","317,998,000","186,386,000","192,056,000","202,056,000","205,760,000","186,400,000","147,300,000","90,800,000","52,900,000"
		NetPPE,"310,854,000","311,685,000","316,305,000","320,544,000","291,156,000","294,348,000","251,536,000","174,597,000","148,813,000","143,609,000","131,885,000","128,931,000","127,608,000","122,100,000","102,219,000","103,284,000","106,935,000","112,721,000","121,149,000","116,378,000","106,800,000","77,500,000","49,700,000","39,000,000"
			GrossPPE,"792,156,000","767,082,000","727,732,000","698,027,000","631,499,000","589,712,000","507,321,000","396,818,000","350,015,000","327,614,000","303,191,000","281,458,000","261,842,000","238,994,000","206,051,000","199,910,000","191,879,000","182,345,000","176,400,000","157,369,000","136,500,000","91,700,000","63,900,000","53,200,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,
				LandAndImprovements,"28,134,000","28,154,000","28,169,000","27,205,000","20,783,000","20,851,000","20,471,000","16,039,000","11,555,000","11,527,000","11,527,000","11,563,000","11,600,000","11,600,000","11,552,000","11,552,000","11,552,000","11,552,000","11,429,000",,,,,
				BuildingsAndImprovements,"187,207,000","186,208,000","182,032,000","178,828,000","150,870,000","144,955,000","123,675,000","81,266,000","80,019,000","79,228,000","79,137,000","82,156,000","80,808,000","76,958,000","70,137,000","69,537,000","68,228,000","68,867,000","68,169,000",,,,,
