name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
		CurrentDeferredLiabilities,"82,490,000,000","68,076,000,000","67,176,000,000","60,590,000,000","50,930,000,000","54,007,000,000","46,804,000,000","38,131,000,000","34,130,000,000","29,099,000,000","21,193,000,000",,,,,,,,,,
			CurrentDeferredRevenue,"82,490,000,000","68,076,000,000","67,176,000,000","60,590,000,000","50,930,000,000","54,007,000,000","46,804,000,000","38,131,000,000","34,130,000,000","29,099,000,000","21,193,000,000",,,,,,,,,,
		OtherCurrentLiabilities,,,,,,,,,,,,,"126,713,917,680","23,891,540,000","25,391,157,500","22,119,216,800","20,960,275,800","10,927,065,600","10,231,706,880","42,593,644,800","4,735,061,760"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"627,186,000,000","435,222,000,000","446,626,000,000","524,653,000,000","578,403,000,000","507,863,000,000","426,686,000,000","413,400,000,000","275,002,000,000","216,622,000,000","154,034,000,000","82,711,000,000","85,695,893,480","74,544,100,000","80,581,603,500","55,231,816,800","55,488,439,450","72,242,804,160","64,444,852,800","57,607,243,200","86,770,834,560"
		LongTermProvisions,"137,935,000,000","132,780,000,000","131,546,000,000","125,392,000,000","117,996,000,000","109,154,000,000","94,531,000,000","83,928,000,000","68,702,000,000",,,,,,,,,,,,
		LongTermDebtAndCapitalLeaseObligation,"455,025,000,000","269,422,000,000","289,858,000,000","372,887,000,000","434,475,000,000","370,301,000,000","302,862,000,000","293,774,000,000","185,551,000,000","191,716,000,000","130,218,000,000","32,827,000,000","40,725,821,000","35,564,397,500","44,581,867,000","38,460,284,900","41,961,942,350","60,636,936,000","58,269,405,120","53,275,125,600","84,444,694,080"
			LongTermDebt,"290,882,000,000","269,422,000,000","289,858,000,000","372,887,000,000","434,475,000,000","370,301,000,000","302,862,000,000","293,774,000,000","180,675,000,000","131,352,000,000","85,471,000,000","32,827,000,000","40,725,821,000","35,564,397,500","44,581,867,000","38,460,284,900","41,961,942,350","60,636,936,000","58,269,405,120","53,275,125,600","84,444,694,080"
			LongTermCapitalLeaseObligation,"164,143,000,000",,,,,,,,"4,876,000,000","60,364,000,000","44,747,000,000",,,,,,,,,,
		NonCurrentDeferredLiabilities,"21,411,000,000","17,015,000,000","12,660,000,000","13,640,000,000","13,120,000,000","15,900,000,000","15,166,000,000","22,286,000,000","20,749,000,000","21,515,000,000","21,449,000,000","12,460,000,000","20,205,851,280","19,548,332,500","20,765,042,000","14,337,755,800","11,523,184,800","9,925,417,920","4,834,398,720","3,166,414,200","1,183,765,440"
			NonCurrentDeferredTaxesLiabilities,"21,411,000,000","17,015,000,000","12,660,000,000","13,640,000,000","13,120,000,000","15,900,000,000","15,166,000,000","22,286,000,000","20,749,000,000","21,515,000,000","21,449,000,000","12,460,000,000","20,205,851,280","19,548,332,500","20,765,042,000","14,337,755,800","11,523,184,800","9,925,417,920","4,834,398,720","3,166,414,200","1,183,765,440"
		OtherNonCurrentLiabilities,"12,815,000,000","16,005,000,000","12,562,000,000","12,734,000,000","12,812,000,000","12,508,000,000","14,127,000,000","13,412,000,000","4,876,000,000","3,391,000,000","2,367,000,000","37,424,000,000","24,764,221,200","19,431,370,000","15,234,694,500","2,433,776,100","2,003,312,300","1,680,450,240","1,341,048,960","1,165,703,400","1,142,375,040"
TotalEquityGrossMinorityInterest,"1,444,305,000,000","1,410,658,000,000","1,381,319,000,000","1,372,735,000,000","1,344,034,000,000","1,317,781,000,000","1,269,935,000,000","1,180,748,000,000","1,082,546,000,000","1,010,129,000,000","907,701,000,000","847,126,000,000","776,398,512,560","616,407,970,000","543,839,033,500","434,602,875,000","362,218,731,400","321,454,402,560","293,118,534,720","277,586,222,400","214,576,111,680"
	StockholdersEquity,"1,230,156,000,000","1,214,286,000,000","1,193,520,000,000","1,189,024,000,000","1,179,716,000,000","1,175,894,000,000","1,132,735,000,000","1,064,010,000,000","1,002,745,000,000","938,926,000,000","847,223,000,000","790,838,000,000","733,451,947,240","585,553,262,500","515,549,489,500","425,215,452,900","356,614,423,850","316,603,447,680","293,118,534,720","272,600,980,200","210,379,125,120"
		CapitalStock,"183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,036,084,480","178,679,712,500","179,078,303,500","175,827,906,000","175,827,906,000","175,785,028,800","175,826,419,200","175,599,576,000","159,973,896,000"
			CommonStock,"183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,021,000,000","183,036,084,480","178,679,712,500","179,078,303,500","175,827,906,000","175,827,906,000","175,785,028,800","175,826,419,200","175,599,576,000","159,973,896,000"
		RetainedEarnings,"743,124,000,000","732,182,000,000","712,437,000,000","711,197,000,000","711,755,000,000","707,303,000,000","669,300,000,000","603,808,000,000","556,717,000,000","499,288,000,000","424,067,000,000","378,600,000,000","332,454,190,800","263,586,690,000","203,872,022,000","143,625,902,500","89,577,861,150","58,989,598,080","51,820,780,800","33,011,728,200","3,327,788,160"
		AdditionalPaidInCapital,,,,,,,,,,,,,"53,363,609,400",,,,,,,,
		TreasuryStock,,,,,,,,,,"256,617,000,000","240,135,000,000",,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"304,011,000,000","299,083,000,000","298,062,000,000","294,806,000,000","284,940,000,000","285,570,000,000","280,414,000,000","277,181,000,000","263,007,000,000",,,"-2,717,000,000","164,598,062,560","143,286,860,000","132,599,164,000","105,761,644,400","91,208,656,700","81,828,820,800","65,471,334,720","63,989,676,000","47,077,440,960"
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,"-2,717,000,000","-1,344,134,720","-569,217,500",,,,,,,
			OtherEquityAdjustments,,,,,,,,,,,,,"165,942,197,280","143,856,077,500",,,,,,,
