name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990
DilutedAverageShares,,,"52,667,939","53,078,734","53,449,754","54,481,484","55,369,016","37,058,254","55,572,750","55,982,250","57,013,875","58,417,875","60,260,625","63,878,625","64,050,750","64,546,875","65,422,687","67,083,187","69,558,750","69,057,562","70,348,500","73,583,437","72,732,876","71,799,961","69,703,682","69,539,765","71,611,333","71,415,696","64,991,334","56,868,444","71,085,555"
TotalOperatingIncomeAsReported,"83,337,000","67,011,000","55,790,000","74,103,000","79,594,000","71,302,000","68,006,000","55,825,000","44,234,000",,,,,,,,,,,,,,,,,,,,,,
TotalExpenses,"408,194,000","400,757,000","377,062,000","330,181,000","304,078,000","286,937,000","284,419,000","265,337,000","258,876,000","242,249,000","211,837,000","201,528,000","236,337,000","226,851,000","205,629,000","167,381,000","161,021,000","127,505,000","132,264,000","134,410,000","134,155,000","112,058,000","97,578,000","76,751,000","58,210,000","62,800,000","69,600,000","40,100,000","33,800,000","25,300,000","33,700,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"66,807,000","53,711,000","42,572,000","54,498,000","53,376,000","45,728,000","44,158,000","37,547,000","27,449,000","13,986,000","21,894,000","27,721,000","28,589,000","23,156,000","17,133,000","11,462,000","7,521,000","14,227,000","14,611,000","14,156,000","12,794,000","9,697,000","5,230,000","3,022,000","2,075,000","2,100,000","5,100,000","2,700,000","1,600,000","400,000","1,000,000"
NormalizedIncome,"67,978,813.747","54,963,000","43,405,295","55,191,936","53,579,435","45,979,913","46,679,359","37,532,326","27,451,480","15,467,620.137","22,051,375.891","27,673,000.456","28,119,306.889","23,366,312.537","16,855,711.963","11,170,010.364","7,528,290.734","14,104,606.004","14,497,197.317","13,818,562.661","12,520,008.94","9,549,446.391","5,010,272.674","3,145,968.067","2,323,437.039","2,418,181.818","5,340,000","2,888,372.093","1,600,000","480,000","1,000,000"
InterestIncome,"118,000","66,000","196,000","298,000","292,000","161,000","276,000","221,000","86,000","98,000","258,000","71,000",,,,,,,,,,,,,,,,,,,
InterestExpense,,,,,,,,,"44,000","277,000","45,000","9,000",,,,,,,,,,,,,,,,,,,
NetInterestIncome,"118,000","66,000","196,000","298,000","292,000","161,000","276,000","221,000","42,000","-179,000","213,000","62,000",,,,,,,,,,,,,,,,,,,
EBIT,"84,800,000","68,576,000","56,885,000","75,051,000","79,899,000","71,695,000","71,903,000","55,803,000","44,361,000","21,790,000","32,738,000","43,901,000","43,388,000","35,666,000","25,831,000","17,814,000","12,246,000","21,340,000","22,811,000","22,842,000","20,827,000","15,977,000","9,203,000","4,925,000","4,635,000","4,500,000","9,900,000","5,300,000","3,200,000","1,400,000","2,400,000"
EBITDA,"107,654,000"
ReconciledCostOfRevenue,"334,873,000","328,666,000","313,709,000","267,548,000","253,658,000","239,140,000","237,384,000","231,348,000","232,615,000","219,939,000","189,364,000","177,737,000","212,549,000","205,148,000","187,570,000","149,904,000","145,807,000","112,596,000","117,193,000","118,399,000","120,233,000","97,317,000","86,952,000","68,605,000","51,797,000","53,800,000","60,000,000","32,800,000","28,900,000","22,100,000","29,700,000"
ReconciledDepreciation,"22,854,000","22,766,000","17,655,000","15,007,000","13,035,000","11,741,000","11,553,000","12,312,000","13,407,000","11,397,000","9,886,000","9,061,000","9,412,000","9,665,000","9,146,000","8,503,000","5,732,000","5,435,000","4,915,000","4,380,000","3,465,000","3,063,000","2,848,000","2,517,000","2,497,000","2,700,000","1,700,000","1,100,000","800,000","300,000","300,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"66,807,000","53,711,000","42,572,000","54,498,000","53,376,000","45,728,000","44,158,000","37,547,000","27,449,000","13,986,000","21,894,000","27,721,000","28,589,000","23,156,000","17,133,000","11,462,000","7,521,000","14,227,000","14,611,000","14,156,000","12,794,000","9,697,000","5,230,000","3,022,000","2,075,000","2,100,000","5,100,000","2,700,000","1,600,000","400,000","1,000,000"
TotalUnusualItemsExcludingGoodwill,"-1,463,000","-1,565,000","-1,095,000","-948,000","-305,000","-393,000","-3,897,000","22,000","-4,000","-2,279,000","-235,000","76,000","724,000","-321,000","424,000","467,000","-12,000","188,000","180,000","536,000","436,000","238,000","359,000","-167,000","-406,000","-500,000","-400,000","-300,000",,"-100,000",
TotalUnusualItems,"-1,463,000","-1,565,000","-1,095,000","-948,000","-305,000","-393,000","-3,897,000","22,000","-4,000","-2,279,000","-235,000","76,000","724,000","-321,000","424,000","467,000","-12,000","188,000","180,000","536,000","436,000","238,000","359,000","-167,000","-406,000","-500,000","-400,000","-300,000",,"-100,000",
NormalizedEBITDA,"109,117,000","92,907,000","75,635,000","91,006,000","93,239,000","83,829,000","87,353,000","68,093,000","57,772,000","35,466,000","42,859,000","52,886,000","52,076,000","45,652,000","34,553,000","25,850,000","17,990,000","26,587,000","27,546,000","26,686,000","23,856,000","18,802,000","11,692,000","7,609,000","7,538,000","7,700,000","12,000,000","6,700,000","4,000,000","1,800,000","2,700,000"
TaxRateForCalcs,"0.199","0.2","0.239","0.268","0.333","0.359","0.353","0.333","0.38","0.35","0.33","0.368","0.351","0.345","0.346","0.375","0.392","0.349","0.368","0.37","0.372","0.38","0.388","0.258","0.388","0.364","0.4","0.372","0.36","0.2","0.286"
TaxEffectOfUnusualItems,"-291,186.253","-313,000","-261,705","-254,064","-101,565","-141,087","-1,375,641","7,326","-1,520","-797,379.863","-77,624.109","28,000.456","254,306.889","-110,687.463","146,711.963","175,010.364","-4,709.266","65,606.004","66,197.317","198,562.661","162,008.94","90,446.391","139,272.674","-43,031.933","-157,562.961","-181,818.182","-160,000","-111,627.907","0","-20,000","0"
