name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
DilutedAverageShares,,"280,515,000","281,144,000","280,221,000","291,256,000","312,302,000","306,775,000","294,564,000","280,667,000","270,816,000","265,871,000","257,782,000","254,323,000","295,591,000","312,457,000","314,383,000","305,774,000","266,794,000","267,500,000","257,660,000","262,696,000","242,037,000","233,647,000","219,552,000","91,590,000","61,965,000","197,608,500","182,857,143","202,962,963","176,923,077","140,740,741","132,380,952","100,769,231","45,714,286","26,686,000"
TotalOperatingIncomeAsReported,"502,751,000","491,796,000","396,209,000","323,955,000","244,901,000","285,430,000","206,644,000","189,007,000","211,672,000","120,377,000","-28,966,000","-123,591,000","-1,573,268,000","317,915,000","224,592,000","118,832,000","101,172,000","-9,964,000","174,755,000","240,451,000","63,415,000","-12,750,000","105,188,000","234,007,000","91,259,000","117,860,000","58,754,000","-2,300,000","65,700,000","-13,900,000","52,500,000","40,700,000","19,900,000","4,500,000","2,300,000"
TotalExpenses,"1,866,540,000","1,835,902,000","1,730,724,000","1,609,671,000","1,530,227,000","1,412,150,000","1,364,036,000","1,253,110,000","1,114,639,000","1,029,098,000","938,968,000","944,847,000","1,200,566,000","1,304,106,000","1,259,200,000","1,165,626,000","1,073,766,000","1,062,612,000","984,016,000","1,270,638,000","1,216,135,000","1,106,053,000","1,110,882,000","681,886,000","650,200,000","430,558,000","370,318,000","370,900,000","368,800,000","406,200,000","178,900,000","102,100,000","47,200,000","19,400,000","14,300,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"992,412,000","988,979,000","345,777,000","204,101,000","203,086,000","252,417,000","158,898,000","164,243,000","439,948,000","72,229,000","126,538,000","-149,871,000","-1,854,038,000","296,252,000","142,174,000","49,343,000","74,474,000","-17,566,000","71,949,000","141,287,000","49,977,000","-14,075,000","31,982,000","181,742,000","29,038,000","97,270,000","36,648,000","-12,800,000","55,400,000","-21,700,000","38,000,000","27,800,000","13,100,000","3,200,000","1,500,000"
NormalizedIncome,"997,357,800","997,314,870","359,900,192","201,980,096","227,419,512","249,498,415","162,238,790","172,232,150","433,749,600","59,704,391.79","142,449,350","-116,211,167.447","-912,474,650","279,613,858.967","147,308,200","67,125,200","101,251,623.541","27,695,000","24,664,200","91,879,400","51,623,398.023","20,683,600","185,651,000","194,036,925.459","89,833,000","84,859,339.586","44,066,401.817","-1,980,000","52,565,204.678","-24,820,000","34,895,204.263","26,226,415.094","13,306,842.105","2,866,666.667","1,369,565.217"
InterestIncome,,"9,509,000","8,070,000","3,879,000","2,917,000","2,667,000","1,827,000","1,706,000","1,473,000","1,303,000","1,201,000","2,600,000","20,400,000",,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"18,075,000","18,829,000","23,139,000","25,664,000","23,670,000","28,311,000","34,121,000","37,581,000","34,742,000","43,025,000","36,343,000","28,872,000","11,614,000",,,,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-8,566,000","-9,320,000","-15,069,000","-21,785,000","-20,753,000","-25,644,000","-32,294,000","-35,875,000","-33,269,000","-41,722,000","-35,142,000","-26,272,000","8,786,000",,,,,,,,,,,,,,,,,,,,,,
EBIT,"498,977,000","497,797,000","399,529,000","340,710,000","260,823,000","295,907,000","215,123,000","196,577,000","223,013,000","138,451,000","-26,425,000","-124,633,000","-1,590,111,000","310,907,000","224,695,000","163,566,000","123,714,000","56,872,000","309,051,000","159,802,000","63,415,000","-12,750,000","105,188,000","234,007,000","91,259,000","117,860,000","58,754,000","-2,300,000","65,700,000","-13,900,000","52,500,000","40,700,000","19,900,000","4,500,000","2,300,000"
EBITDA,"625,274,000"
ReconciledCostOfRevenue,"156,964,000","155,134,000","154,112,000","136,582,000","154,999,000","144,004,000","132,089,000","121,309,000","116,983,000","120,044,000","82,268,000","87,524,000","103,492,000","103,280,000","103,123,000","91,825,000","102,548,000","87,614,000","126,781,000","234,667,000","253,940,000","222,735,000","195,704,000","183,096,000","153,473,000","116,530,000","94,607,000","45,400,000","69,200,000","61,400,000","97,400,000","47,200,000","23,200,000","8,900,000","6,500,000"
ReconciledDepreciation,"126,297,000","123,351,000","118,721,000","115,524,000","119,588,000","118,165,000","115,634,000","98,308,000","89,217,000","91,648,000","88,335,000","93,139,000","128,720,000","130,649,000","147,117,000","184,717,000","210,613,000","232,732,000","242,543,000","230,434,000","206,810,000","163,896,000","102,414,000","56,637,000","51,742,000","46,019,000","44,257,000","44,000,000","37,600,000","40,000,000","20,100,000","14,600,000","6,900,000","2,800,000","1,600,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"992,412,000","988,979,000","345,777,000","204,101,000","203,086,000","252,417,000","158,898,000","164,243,000","439,948,000","72,229,000","126,538,000","-149,871,000","-1,854,038,000","296,252,000","142,174,000","49,343,000","74,474,000","-17,566,000","71,949,000","141,287,000","49,977,000","-14,075,000","31,982,000","181,742,000","29,038,000","97,270,000","36,648,000","-600,000","55,400,000","-21,700,000","38,000,000","27,800,000","13,100,000","3,200,000","1,500,000"
TotalUnusualItemsExcludingGoodwill,"-8,243,000","-11,419,000","-15,368,000","3,273,000","-28,427,000","3,095,000","-3,805,000","-12,291,000","9,536,000","16,547,000","-24,479,000","-34,476,000","-1,448,559,000","20,447,000","-8,557,000","-29,637,000","-31,079,000","-75,435,000","78,808,000","82,346,000","-2,240,000","-57,931,000","-256,115,000","-18,429,000","-101,325,000","17,237,000","-9,891,000","2,300,000","3,500,000","5,200,000","4,600,000","2,400,000","-300,000","500,000","200,000"
TotalUnusualItems,"-8,243,000","-11,419,000","-15,368,000","3,273,000","-28,427,000","3,095,000","-3,805,000","-12,291,000","9,536,000","16,547,000","-24,479,000","-34,476,000","-1,448,559,000","20,447,000","-8,557,000","-29,637,000","-31,079,000","-75,435,000","78,808,000","82,346,000","-2,240,000","-57,931,000","-256,115,000","-18,429,000","-101,325,000","17,237,000","-9,891,000","2,300,000","3,500,000","5,200,000","4,600,000","2,400,000","-300,000","500,000","200,000"
NormalizedEBITDA,"633,517,000","632,567,000","533,618,000","452,961,000","408,838,000","410,977,000","334,562,000","307,176,000","302,694,000","213,552,000","86,389,000","2,982,000","-12,832,000","421,109,000","380,369,000","377,920,000","365,406,000","365,039,000","472,786,000","307,890,000","272,465,000","209,077,000","463,717,000","309,073,000","244,326,000","146,642,000","112,902,000","39,400,000","99,800,000","20,900,000","68,000,000","52,900,000","27,100,000","6,800,000","3,700,000"
TaxRateForCalcs,"0.4","0.27","0.081","0.352","0.144","0.057","0.122","0.35","0.35","0.243","0.35","0.024","0.35","0.186","0.4","0.4","0.138","0.4","0.4","0.4","0.265","0.4","0.4","0.333","0.4","0.28","0.25","0.4","0.19","0.4","0.325","0.344","0.311","0.333","0.348"
TaxEffectOfUnusualItems,"-3,297,200","-3,083,130","-1,244,808","1,152,096","-4,093,488","176,415","-464,210","-4,301,850","3,337,600","4,022,391.79","-8,567,650","-816,167.447","-506,995,650","3,808,858.967","-3,422,800","-11,854,800","-4,301,376.459","-30,174,000","31,523,200","32,938,400","-593,601.977","-23,172,400","-102,446,000","-6,134,074.541","-40,530,000","4,826,339.586","-2,472,598.183","920,000","665,204.678","2,080,000","1,495,204.263","826,415.094","-93,157.895","166,666.667","69,565.217"
