name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997
OtherIncomeExpense,"64,484,000","21,330,000","12,014,000","15,650,000","15,490,000","15,179,000","5,738,000","6,387,000","4,290,000","11,238,000","141,662,000","70,080,000","-119,879,000","913,000","10,469,000","9,117,000","2,306,000","-7,347,000","13,473,000","-6,103,000","14,268,000","-8,065,000","1,123,000","4,803,000","-8,652,000","-4,965,000","-74,690,000","12,098,000","-10,576,000","2,101,000","17,855,000","3,333,000","930,000",,,,,,"18,479,000","8,122,000","-7,814,000","20,122,000","-27,711,000","-1,667,000","-6,662,000","30,356,000",,,"-477,000","-1,051,000","3,065,000","987,000","673,000","568,000","547,000","3,697,000","-125,000","-34,000","29,636,000","8,736,000","468,000","81,000","-2,266,000","-191,000","-276,000","25,000","24,000","498,000",,"696,000","226,000",,,"209,000","9,000","34,000",,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,"-31,000","982,000","523,000","-545,000","-991,000","746,000","-1,599,000","432,000","419,000","475,000","-57,000","89,000","107,000","-1,018,000","4,028,000","3,835,000","-3,061,000","-10,686,000","7,143,000","-10,398,000","1,434,000","-9,922,000","-143,000","-5,268,000","16,042,000","-12,701,000","-12,521,000","9,788,000","-14,732,000","-7,459,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SecuritiesAmortization,,,,,,,,,,,,,,,,"31,862,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"68,019,000","20,348,000","14,804,000","16,249,000","16,535,000","14,433,000","7,337,000","5,955,000","3,871,000","10,763,000","141,719,000","69,991,000","-119,986,000","1,931,000","6,441,000","5,282,000","5,367,000","3,339,000","6,330,000","4,295,000","12,834,000","1,857,000","1,266,000","10,071,000","-24,694,000","7,736,000","-62,169,000","2,310,000","4,156,000","9,560,000","3,888,000","3,333,000","930,000",,,,,,"1,411,000","5,022,000","1,098,000","684,000","-39,627,000","-797,000","-1,457,000","-271,000",,,"-477,000","-1,051,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,"5,584,000",,"0","10,787,000",,"12,559,000","0",,"0",,"0","129,770,000",,,,,,,,"0",,"0","0","27,839,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,"68,000",,,,"83,000",,,,,,,,,,,,,,,,,,,,,"0","123,000","-350,000","46,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,,,,,,,,,,,,,,,,,,,"1,000","748,000","0","0","285,000","0","0","1,642,000","87,000","12,000","14,000","461,000",,,,,,,,,,,"0",,"253,000","0","-134,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"51,633,000","14,832,000","14,804,000","16,249,000","5,748,000","14,516,000","7,707,000","5,955,000","3,871,000","10,763,000","-1,262,000","69,991,000","9,784,000","1,931,000","6,441,000","5,282,000","5,367,000","3,339,000","6,329,000","3,547,000","12,834,000","1,857,000","981,000","10,071,000","3,145,000","6,094,000","857,000","2,421,000","3,792,000","9,145,000","1,819,000","3,333,000","930,000",,,,,,"1,411,000","5,022,000","1,098,000","684,000","5,120,000","-797,000","-1,323,000","-271,000",,,"-477,000","-1,051,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,,"-3,313,000","-54,000","-54,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"17,068,000","3,100,000","-8,912,000","19,438,000","11,916,000","-870,000","-5,205,000","30,627,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"439,447,000","99,259,000","101,948,000","110,729,000","127,511,000","85,791,000","103,323,000","111,316,000","106,138,000","61,441,000","52,579,000","114,019,000","-62,774,000","13,522,000","60,833,000","65,743,000","60,586,000","16,169,000","24,076,000","61,078,000","83,260,000","18,169,000","61,922,000","58,226,000","55,520,000","5,995,000","-45,667,000","55,925,000","36,355,000","25,266,000","49,186,000","70,629,000","49,111,000","39,845,000","52,612,000","27,667,000","36,544,000","19,256,000","47,448,000","35,891,000","23,397,000","31,229,000","-23,540,000","25,245,000","26,372,000","4,263,000","18,450,000","38,375,000","24,936,000","17,416,000","-30,218,000","29,195,000","28,665,000","20,743,000","34,631,000","41,241,000","34,653,000","22,563,000","36,024,000","74,012,000","32,312,000","18,293,000","25,364,000","26,115,000","21,665,000","11,506,000","15,773,000","14,205,000","12,347,000","8,200,000","8,690,000","11,283,000","8,074,000","7,252,000","7,120,000","8,668,000","247,000","6,576,000","7,083,000","7,000,000","3,800,000","3,500,000","4,300,000","3,300,000","900,000","1,400,000","2,700,000","2,300,000","800,000","200,000",,
