name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994
	InterestExpenseNonOperating,"71,492,000","19,043,000","18,111,000","17,881,000","16,457,000","14,835,000","13,722,000","15,644,000","12,155,000","11,449,000","12,265,000","12,908,000","12,600,000","13,055,000","12,782,000","14,990,000","17,187,000","18,503,000","16,923,000","18,038,000","16,662,000","17,499,000","14,589,000","15,132,000","15,700,000","14,216,000","16,470,000","14,299,000","13,100,000","12,575,000","15,062,000","14,400,000","12,062,000","9,046,000","7,671,000","11,991,000","10,627,000","8,508,000","8,626,000","10,122,000","7,786,000",,"7,391,000","7,800,000","7,900,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"5,447,000","-1,004,000","2,224,000","2,354,000","1,873,000","2,996,000",,,"562,000","864,000",,,,"-760,000",,,"244,000","-695,000","149,000",,"274,000","201,000","227,000",,,"310,000","181,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"6,092,000","6,272,000","-6,678,000","-2,031,000","7,294,000","-6,660,000","-3,623,000","4,981,000","4,096,000","-4,760,000","8,051,000","-3,206,000","900,000","4,708,000","2,863,000","7,431,000","2,699,000","1,491,000","-8,043,000","-9,634,000","13,500,000","16,068,000","-961,000","1,639,000","-10,200,000","3,336,000","2,038,000","-7,000","-8,100,000","2,074,000","4,347,000","-5,800,000","2,261,000","-25,208,000","-7,053,000","6,961,000","-10,980,000","-22,558,000","-2,609,000","-2,533,000","-10,639,000","11,061,000","-2,090,000","-4,600,000","-9,300,000","-8,975,000","-7,685,000","17,312,000","-439,000","-3,451,000","-10,294,000","-5,208,000","-1,363,000","-6,577,000","-8,038,000","-11,798,000","-1,043,000","-6,543,000","-2,700,000","-8,524,000","-2,030,000","4,145,000","-1,600,000","-2,300,000","-1,500,000","1,895,000","-4,200,000","-1,300,000","1,100,000","-125,000","-2,300,000","-1,200,000","700,000","1,858,000","-3,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	GainOnSaleOfSecurity,"3,129,000","2,879,000","-5,152,000","273,000","3,845,000","2,509,000","-8,836,000","-89,000","-514,000","-1,901,000","5,309,000","-6,375,000","1,700,000","8,671,000","1,019,000","2,579,000","-4,173,000","-2,460,000","-6,695,000","-12,918,000","9,710,000","-4,494,000","-7,741,000","-2,628,000","-1,700,000","-611,000","-2,501,000","-4,079,000","-4,800,000","-9,098,000","-2,384,000","-10,400,000","-4,913,000","-6,320,000","-11,846,000","-4,242,000","-2,899,000","1,068,000","-1,523,000",,"-3,133,000",,"-2,259,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,"9,786,000","1,010,000","1,955,000","3,416,000","3,406,000","-8,354,000","5,213,000","5,070,000","4,422,000","3,886,000","2,742,000","3,169,000",,"606,000","1,844,000","4,852,000","5,744,000","4,831,000","-1,348,000","3,284,000","3,559,000","2,494,000","6,780,000","4,267,000",,"4,255,000","4,539,000","4,072,000",,,,,"8,064,000","6,894,000","4,876,000","6,382,000","3,657,000","2,382,000","3,301,000",,,,"190,000",,,,,"9,582,000",,"3,701,000",,"1,679,000","456,000","691,000",,,"617,000",,,"1,615,000","147,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-6,823,000","2,383,000","-3,481,000","-5,720,000","43,000","-815,000",,,"188,000","-6,745,000",,,,"-4,569,000",,,"1,128,000","-880,000",,,"231,000","18,068,000",,,,"-308,000",,,,"-13,185,000","6,731,000","4,600,000","-890,000","-25,782,000","-83,000","4,821,000","-11,738,000","-26,008,000","-4,387,000","-2,533,000","-7,506,000","11,061,000","-21,000","-4,600,000","-9,300,000","4,489,000","-7,685,000","7,730,000","-439,000","-7,152,000","-10,294,000","-6,887,000","-1,819,000","-7,268,000","-8,038,000","-11,798,000","-1,660,000","-9,139,000","-2,700,000","-10,139,000","-2,177,000","-365,000","-1,600,000","-2,300,000","-1,500,000","-3,633,000","-4,200,000","-1,300,000","1,100,000","371,000","-2,300,000","-1,200,000","700,000","1,858,000","-3,200,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,"0",,,,,,,,,"0",,,,,,,,,,,,,,,,"-455,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"1,709,000","1,709,000","0",,,,,,,,,,,"48,000",,,,,,,,"0",,,,"-358,000",,,,,,,"622,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"426,000","-5,453,000","3,200,000","3,233,000","554,000","4,907,000",,,"599,000","3,569,000",,,,"6,978,000",,,"154,000","1,281,000",,,"76,000","-29,000",,,,"-569,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"4,688,000","1,361,000","281,000","2,487,000","511,000","1,908,000",,,"742,000","3,767,000",,,,"-1,831,000",,,"-1,279,000","-398,000",,,"-307,000",,,,,,,,,,,,"268,000",,,,"11,738,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
