name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994
TotalOperatingIncomeAsReported,"430,100,000","411,400,000","397,300,000","309,700,000","258,900,000","380,100,000","266,400,000","183,600,000","151,500,000","-247,000,000","900,000,000","909,400,000","1,210,100,000","977,200,000","801,000,000","500,100,000","634,900,000","528,500,000","537,600,000","396,800,000","493,100,000","410,600,000","329,200,000","525,600,000","495,100,000","526,000,000","1,505,000,000"
TotalExpenses,"2,366,800,000","2,434,000,000","2,388,500,000","2,275,600,000","2,144,400,000","2,114,400,000","2,388,200,000","2,311,100,000","2,063,300,000","2,361,000,000","10,042,000,000","9,915,800,000","10,407,200,000","7,960,000,000","6,955,200,000","6,853,100,000","6,091,500,000","5,067,600,000","4,451,200,000","4,181,200,000","4,336,300,000","4,221,600,000","4,163,500,000","8,251,500,000","8,223,000,000","8,358,000,000","22,115,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"338,600,000","325,100,000","333,700,000","113,500,000","186,100,000","351,800,000","184,500,000","488,500,000","125,400,000","-130,000,000","798,000,000","643,700,000","794,700,000","742,100,000","581,100,000","366,000,000","432,300,000","403,900,000","379,900,000","276,700,000","264,500,000","232,900,000","1,532,500,000","113,700,000","222,600,000","965,000,000","1,033,000,000"
NormalizedIncome,"349,299,606.481","324,183,000","297,723,600","115,000,000","183,382,600","305,128,700","188,400,000","489,130,000","119,042,000","-574,100,000","694,775,061.125","720,327,738.73","839,782,179.31","689,008,347.245","544,084,188.093","530,642,088.819","462,387,295.082","419,184,454.494","374,598,722.484","281,112,027.594","263,240,176.232","229,183,175.548","124,074,000","239,355,579.399","195,660,000","189,000,000","1,059,088,638.195"
InterestIncome,,,,,,,"2,500,000","5,000,000","2,800,000","4,000,000","16,000,000","24,300,000","31,300,000",,,,,,,,,,,,,,
InterestExpense,,"3,000,000","6,300,000","300,000","500,000","2,200,000","4,000,000","6,300,000","100,000","76,000,000","100,000,000","99,500,000","140,800,000",,,,,,,,,,,,,,
NetInterestIncome,"1,900,000","3,000,000","-6,300,000","-300,000","-500,000","2,200,000","-1,500,000","-1,300,000","2,700,000","-72,000,000","-84,000,000","-75,200,000","-109,500,000",,,,,,,,,,,,,,
EBIT,"447,400,000","412,400,000","356,600,000","309,700,000","261,000,000","371,200,000","266,000,000","186,800,000","149,200,000","-242,000,000","918,000,000","924,700,000","1,228,300,000","1,043,300,000","852,700,000","574,200,000","672,600,000","559,000,000","534,100,000","494,500,000","493,100,000","410,600,000","329,200,000","525,600,000","495,100,000","526,000,000","1,505,000,000"
EBITDA,"561,800,000"
ReconciledCostOfRevenue,"1,913,500,000","1,936,300,000","1,857,900,000","1,768,100,000","1,647,200,000","1,676,500,000","1,788,200,000","1,697,100,000","1,547,600,000","1,464,000,000","7,820,000,000","7,843,800,000","8,439,400,000","6,435,000,000","5,618,400,000","5,389,900,000","4,466,400,000","3,683,500,000","3,211,900,000","2,872,300,000","2,993,500,000","3,084,700,000","2,970,300,000","6,512,900,000","7,050,600,000","7,246,000,000","22,115,000,000"
ReconciledDepreciation,"114,400,000","113,400,000","109,400,000","105,300,000","102,000,000","90,000,000","88,300,000","86,900,000","71,100,000","74,000,000","297,000,000","292,600,000","278,300,000","185,400,000","194,500,000","196,600,000","198,600,000","188,000,000","171,400,000","212,900,000","201,800,000","181,100,000","195,600,000","436,400,000","433,000,000","423,000,000","597,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"335,800,000","323,400,000","332,400,000","115,000,000","181,900,000","312,400,000","188,400,000","487,700,000","109,500,000","-578,000,000","654,000,000","650,700,000","775,200,000","633,000,000","499,700,000","314,400,000","437,500,000","390,900,000","379,900,000","216,700,000","264,500,000","232,900,000","-97,600,000","113,700,000","222,600,000","21,000,000","1,033,000,000"
TotalUnusualItemsExcludingGoodwill,"-17,300,000","-1,000,000","40,700,000","0","-2,100,000","8,900,000",,"-2,200,000","-13,000,000","-6,000,000","-51,000,000","-88,300,000","-90,600,000","-79,500,000","-64,600,000","-308,200,000","-34,700,000","-38,400,000","7,100,000","-99,100,000","2,000,000","5,900,000","-363,400,000","-206,000,000","44,900,000","-280,000,000","-38,000,000"
TotalUnusualItems,"-17,300,000","-1,000,000","40,700,000","0","-2,100,000","8,900,000",,"-2,200,000","-13,000,000","-6,000,000","-51,000,000","-88,300,000","-90,600,000","-79,500,000","-64,600,000","-308,200,000","-34,700,000","-38,400,000","7,100,000","-99,100,000","2,000,000","5,900,000","-363,400,000","-206,000,000","44,900,000","-280,000,000","-38,000,000"
NormalizedEBITDA,"579,100,000","526,800,000","425,300,000","415,000,000","365,100,000","452,300,000","354,300,000","275,900,000","233,300,000","-162,000,000","1,266,000,000","1,305,600,000","1,597,200,000","1,308,200,000","1,111,800,000","1,079,000,000","905,900,000","785,400,000","698,400,000","806,500,000","692,900,000","585,800,000","888,200,000","1,168,000,000","883,200,000","1,229,000,000","2,140,000,000"
TaxRateForCalcs,"0.22","0.217","0.148","0.4","0.294","0.183","0.272","0.35","0.266","0.35","0.2","0.211","0.287","0.295","0.313","0.298","0.283","0.263","0.253","0.35","0.37","0.37","0.39","0.39","0.4","0.4","0.313"
TaxEffectOfUnusualItems,"-3,800,393.519","-217,000","6,023,600","0","-617,400","1,628,700","0","-770,000","-3,458,000","-2,100,000","-10,224,938.875","-18,672,261.27","-26,017,820.69","-23,491,652.755","-20,215,811.907","-91,957,911.181","-9,812,704.918","-10,115,545.506","1,798,722.484","-34,687,972.406","740,176.232","2,183,175.548","-141,726,000","-80,344,420.601","17,960,000","-112,000,000","-11,911,361.805"
