name,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,01/31/2006
			OtherIntangibleAssets,"3,391,000","3,622,000","3,854,000","4,085,000","4,317,000","6,985,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"27,849,000","26,269,000","24,665,000","23,910,000","20,511,000","21,397,000","19,585,000","18,494,000","16,827,000","15,903,000","14,588,000","13,776,000","11,283,000","10,798,000","10,109,000","9,698,000","8,145,000","7,570,000","7,921,000","8,085,000","5,656,000","5,119,000","5,229,000","4,802,000","4,294,000","3,913,000","3,648,000","3,567,000","2,866,000",,,,,,,,,,,,,"0","0","0","0","4,080,000","4,080,000","4,080,000","4,080,000","4,125,000","4,125,000","4,728,000","4,125,000","3,962,000"
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","4,080,000","4,080,000","4,080,000","4,080,000","4,125,000","4,125,000","4,728,000","4,125,000","3,962,000"
		OtherNonCurrentAssets,"23,356,000","27,683,000","30,882,000","23,105,000","14,584,000","11,477,000","10,628,000","10,087,000","8,664,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,763,000","308,000","346,000","199,000"
TotalLiabilitiesNetMinorityInterest,"2,961,778,000","3,081,692,000","2,870,924,000","2,824,785,000","1,370,954,000","1,496,955,000","1,260,871,000","1,238,816,000","1,134,470,000","1,218,822,000","1,066,867,000","1,065,944,000","1,001,660,000","1,099,117,000","913,851,000","899,262,000","788,032,000","865,839,000","772,121,000","774,966,000","735,661,000","736,426,000","653,771,000","639,469,000","599,633,000","607,028,000","531,530,000","527,853,000","488,307,000","526,246,000","399,084,000","473,096,000","372,513,000","405,640,000","337,816,000","316,441,000","327,955,000","359,883,000","271,414,000","257,225,000","261,027,000","350,975,000","288,901,000","319,622,000","323,964,000","392,204,000","309,316,000","307,943,000","257,910,000","305,309,000","236,587,000","224,493,000","189,837,000","159,600,000"
	CurrentLiabilities,"1,137,261,000","1,256,920,000","1,064,934,000","1,045,605,000","823,736,000","984,083,000","758,755,000","745,092,000","642,166,000","714,712,000","570,277,000","584,252,000","529,343,000","654,640,000","492,245,000","495,734,000","396,227,000","457,976,000","370,214,000","383,664,000","359,594,000","369,711,000","300,141,000","302,419,000","266,811,000","287,614,000","232,745,000","248,067,000","221,067,000","275,531,000","169,388,000","257,448,000","164,855,000","215,159,000","155,608,000","147,998,000","163,357,000","204,053,000","130,149,000","122,222,000","126,357,000","195,648,000","120,675,000","109,791,000","117,013,000","205,688,000","129,635,000","141,141,000","111,905,000","183,616,000","120,106,000","112,030,000","83,941,000","68,978,000"
		PayablesAndAccruedExpenses,"660,097,000","844,105,000","674,319,000","651,180,000","624,682,000","984,083,000","758,755,000","745,092,000","642,166,000","714,712,000","570,277,000","584,252,000","529,343,000","654,640,000","492,245,000","495,734,000","396,227,000","457,976,000","370,214,000","383,664,000","359,594,000","369,711,000","300,141,000","302,419,000","266,811,000","287,614,000","232,745,000","248,067,000","221,067,000","275,531,000","169,388,000","257,448,000","164,855,000","215,159,000","155,608,000","147,998,000","163,357,000","204,053,000","130,149,000","122,222,000","126,357,000","181,013,000","97,589,000","97,257,000","99,013,000","154,098,000","97,869,000","122,998,000","111,905,000","141,654,000","86,318,000","83,977,000","83,941,000","68,978,000"
			Payables,"453,060,000","594,993,000","450,117,000","424,024,000","436,101,000","574,480,000","409,849,000","424,669,000","367,475,000","448,277,000","313,483,000","373,873,000","293,372,000","425,071,000","286,327,000","316,434,000","229,362,000","291,269,000","215,720,000","244,380,000","228,006,000","241,246,000","173,349,000","212,076,000","176,419,000","190,193,000","130,738,000","169,220,000","138,931,000","185,177,000","88,881,000","180,073,000","98,063,000","134,043,000","81,863,000","81,510,000","87,093,000","120,245,000","61,316,000","67,433,000","67,168,000","123,202,000","44,239,000","53,500,000","47,811,000","97,768,000","40,630,000","66,508,000","52,122,000","85,985,000","41,010,000","50,922,000","43,071,000","34,435,000"
				AccountsPayable,"414,009,000","594,993,000","450,117,000","407,345,000","404,016,000","574,480,000","409,849,000","372,664,000","325,758,000","447,293,000","313,483,000","319,352,000","259,518,000","425,071,000","285,238,000","266,278,000","196,174,000","291,269,000","215,720,000","209,509,000","190,778,000","236,329,000","163,459,000","184,148,000","148,282,000","190,193,000","130,738,000","148,488,000","118,886,000","185,177,000","88,881,000","111,889,000","86,442,000","134,043,000","81,380,000","81,510,000","87,093,000","120,245,000","61,316,000","60,693,000","56,387,000","117,520,000","40,393,000","53,500,000","47,811,000","97,768,000","40,630,000","66,508,000","52,122,000","85,985,000","41,010,000","50,922,000","43,071,000","34,435,000"
				TotalTaxPayable,"39,051,000",,,"16,679,000","32,085,000","0","0","52,005,000","41,717,000","984,000","0","54,521,000","33,854,000","0","1,089,000","50,156,000","33,188,000","0","0","34,871,000","37,228,000","4,917,000","9,890,000","27,928,000","28,137,000","0","0","20,732,000","20,045,000","0","0","5,764,000","11,621,000",,"483,000","0","0","0","0","6,740,000","10,781,000","5,682,000","3,846,000","0","0",,,,,,,,,
