name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,10/31/1997,08/31/1997,05/31/1997,02/28/1997,11/30/1996
	DepreciationAmortizationDepletionIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"15,233,000","15,478,000","16,290,000","17,123,000","15,271,000","15,625,000","15,386,000","15,366,000","16,649,000","15,612,000","15,624,000","15,103,000","14,269,000","12,795,000","12,062,000","11,509,000","7,220,000","3,333,000","2,284,000","1,870,000","1,952,000","1,513,000","1,075,000","1,051,000","896,000","579,000","606,000","1,965,000","682,000","528,000","528,000","692,044","265,601","160,930","205,425","177,674","101,003","91,311","58,692","54,180","133,910","65,781","114,691","150,626","332,570","432,734","327,898","473,952","901,084","1,070,390","925,957","1,100,000","300,000",,,,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,509,000","7,220,000","3,333,000","2,284,000","1,870,000","1,952,000","1,513,000","1,075,000","1,051,000","896,000","579,000","606,000","1,965,000","682,000","528,000","528,000","692,044","265,601","160,930","205,425","177,674","101,003","91,311","58,692","54,180","133,910","65,781","114,691","150,626","332,570","432,734","327,898","473,952","901,084","1,070,390","925,957","1,100,000","300,000",,,,,,,,,,,
	OtherTaxes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,956","6,850","7,378",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherOperatingExpenses,,,,"2,000,000","3,000,000","1,000,000","1,000,000","2,000,000","3,000,000","1,000,000","3,000,000","3,000,000","7,000,000","3,000,000","3,784,000","1,573,000","1,666,000","1,659,000","4,012,000","5,414,000","16,718,000","16,428,000","28,599,000","11,619,000","44,762,000","25,879,000","23,581,000","41,244,000","53,206,000","32,449,000","123,320,000","78,000","74,000","94,000","-1,555,000","1,841,000",,,,,,,,,,,"25,000","-10,716,000","293,000",,,,,,,,"-4,344,000",,,,"-642,000",,,,,,,,,,,,,,,"425,678",,,,,,,,,,,,,,,,,,,
OperatingIncome,"3,127,000,000","1,351,000,000","1,032,000,000","308,000,000","436,000,000","608,000,000","516,000,000","433,000,000","336,000,000","747,000,000","445,000,000","306,000,000","274,000,000","382,000,000","135,060,000","41,517,000","-76,525,000","-80,393,000","-149,804,000","-52,074,000","-95,580,000","-60,998,000","-102,463,000","-61,358,000","-62,135,000","-47,612,000","-79,378,000","-45,876,000","-136,278,000","-67,454,000","-15,915,000","-54,517,000","-6,121,000","721,000","7,766,000","10,355,000","16,461,000","23,566,000","26,503,000","22,383,000","24,690,000","31,046,000","42,338,000","18,254,000","323,000","-37,398,000","-63,384,000","-28,142,000","-24,903,000","-38,365,000","-46,668,000","-47,274,000","-40,224,000","-29,772,000","16,075,000","-15,848,000","-8,911,000","-22,567,000","-41,377,000","-10,681,000","-10,181,000","-10,261,000","-11,534,879","-5,505,132","-7,327,351","-7,217,638","-4,045,111","-2,924,546","-1,185,749","-862,744","498,551","-1,478,002","-1,636,668","-1,318,501","4,675,437","-4,555,828","-1,040,991","-502,374","-335,050","-86,036","353,925","-311,086","-700,000","-400,000","-300,000","-200,000","-500,000","-400,000","-300,000","100,000","-200,000","-1,000,000","-300,000","-100,000","0"
NetNonOperatingInterestIncomeExpense,"-1,597,000,000","-412,000,000","-418,000,000","-395,000,000","-372,000,000","-247,000,000","-222,000,000","-221,000,000","-216,000,000","-216,000,000","-208,000,000","-186,000,000","-188,000,000","-165,000,000","-158,033,000","-148,053,000","-105,967,000","-76,337,000","-83,419,000","-93,566,000","-85,486,000","-59,612,000","-50,293,000","-46,884,000","-43,789,000","-40,270,000","-43,594,000","-52,528,000","-42,016,000","-40,262,000","-41,092,000","-45,504,000","-55,864,000","-58,350,000","-65,526,000","-65,125,000","-64,857,000","-64,070,000","-63,876,000","-63,730,000","-66,808,000","-67,097,000","-66,437,000","-61,443,000","-61,571,000","-52,439,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"84,000","126,000","169,000","142,000","97,000","92,000","114,000","388,000","811,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"1,585,000,000","409,000,000","415,000,000","392,000,000","369,000,000","244,000,000","220,000,000","218,000,000","214,000,000","216,000,000","208,000,000","186,000,000","188,000,000","165,000,000","158,033,000","148,053,000","105,967,000","76,337,000","83,419,000","93,566,000","85,486,000","59,612,000","50,293,000","46,884,000","43,789,000","40,270,000","43,594,000","52,528,000","42,016,000","40,262,000",,"45,504,000",,,"65,526,000","65,125,000",,"64,154,000","64,002,000","63,899,000","66,950,000","67,194,000","66,529,000","61,557,000","61,959,000","53,250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,"12,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,000,000","3,000,000","2,000,000",,,,,,,,,,,,,,,,,,,,,,,"45,504,000","55,864,000","58,350,000",,,"64,857,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-421,000,000","-205,000,000","22,000,000","-176,000,000","-62,000,000","-21,000,000","-59,000,000","18,000,000","27,000,000","84,000,000","47,000,000","-32,000,000","-64,000,000","-45,000,000","172,511,000","-22,242,000","-152,795,000","-191,628,000","-79,552,000","-161,521,000","38,757,000","-214,556,000","-29,270,000","5,413,000","-174,702,000","-34,371,000","-23,187,000","-22,270,000","15,412,000","-16,993,000","-42,108,000","-11,794,000","-13,874,000","-1,218,000","-1,012,000","-699,000","-330,000","25,000","-49,243,000","46,000","127,290,000","505,000","-44,596,000","1,282,000","46,171,000","2,498,000","2,717,000","-7,060,000","-93,427,000","-2,666,000","1,032,000","-188,000","-184,000",,"-106,653,000","-4,021,000","4,938,000","937,000","23,817,000","18,876,000","-1,411,000","-844,000","1,069,527","-582,798","-1,487,904","4,655,175","-1,815,894","-595,688","-859,947","3,983,454","-100,544",,"-390,968","-1,213,909","-12,141,131","-78,126","-4,908,179","-418,541",,,,,,,,,,,,,"100,000","400,000","-400,000",,
	GainOnSaleOfSecurity,"-307,000,000","-208,000,000","53,000,000","-78,000,000","-74,000,000","-35,000,000","-75,000,000","23,000,000","32,000,000","77,000,000","44,000,000","-2,000,000","-36,000,000","1,000,000","232,098,000","29,327,000","-90,621,000","-180,934,000","38,484,000","-161,482,000","45,755,000","-125,936,000","-28,726,000","5,573,000","-60,178,000","-34,681,000","27,742,000","-22,335,000","95,509,000","-17,468,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0",,,"0","128,329,000",,"0","0","0","0","0",,"-3,000,000","-1,800,000","0","-191,000",,,,,,,"2,201,000","-2,261,000","-127,000","-844,000","-1,430,473","-582,798","-1,487,904","2,155,175","-1,815,894","-595,688","-859,947","-1,200,000",,,"-970,938","-1,213,909",,"-929,482","-588,889","-418,541",,,,,,,,,,,,,,,,,
	SpecialIncomeCharges,"-82,000,000","-6,000,000","-44,000,000","-28,000,000","-4,000,000","-2,000,000","0","-20,000,000","-15,000,000","0","-4,000,000","-34,000,000","-33,000,000","-48,000,000","-65,295,000","-52,006,000","-55,244,000","-11,623,000","-119,224,000","0","-7,281,000","-88,992,000","0","0","-114,335,000",,"-51,066,000","0","-80,510,000","0","-30,799,000","-11,794,000","-13,874,000","-1,218,000","-1,012,000","-699,000","-330,000","25,000","79,087,000","46,000","-1,039,000","505,000","-44,596,000","1,282,000","46,171,000","2,498,000","2,717,000","-7,060,000","-90,427,000","-866,000","1,032,000","3,000","-184,000",,"-106,653,000","-4,021,000","4,938,000","937,000","21,616,000","21,137,000","-1,284,000",,"2,500,000",,,"2,500,000","0",,,"5,183,454","-2,285,391",,"579,970",,"-14,078,043","851,356","-4,319,290",,,,,,,,,,,,,,"100,000","400,000","-400,000",,
		RestructuringAndMergernAcquisition,,,,,,,"0","0",,"0","0","0","0","6,000,000","12,213,000","26,241,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"20,000","0","0",,"-147,000","287,000","78,564,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ImpairmentOfCapitalAssets,,,"16,000,000","1,000,000","4,000,000","2,000,000","0","8,000,000",,,"4,000,000","9,000,000","0","0","477,000","0","71,000","10,166,000","90,744,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,"26,000,000","5,000,000","16,000,000","1,000,000","4,000,000","2,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,,"1,000,000","28,000,000","27,000,000",,,"0","12,000,000","15,000,000",,"0","25,000,000","33,000,000","42,000,000","52,605,000","25,765,000","55,315,000","1,457,000","27,907,000",,"7,281,000","88,992,000","0",,"114,335,000",,"51,066,000",,"80,510,000",,,,,,,,,,,,,,"44,576,000","-1,282,000","-46,171,000",,"-2,570,000","6,773,000","11,863,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-32,000,000","9,000,000","13,000,000","-70,000,000","16,000,000","16,000,000","16,000,000","15,000,000","10,000,000","7,000,000","7,000,000","4,000,000","5,000,000","2,000,000","5,708,000","437,000","-6,930,000","929,000","1,188,000","-39,000","283,000","372,000","-544,000","-160,000","-189,000","310,000","137,000","65,000","413,000","475,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"1,109,000,000","734,000,000","636,000,000","-263,000,000","2,000,000","340,000,000","235,000,000","230,000,000","147,000,000","615,000,000","284,000,000","88,000,000","22,000,000","172,000,000","149,538,000","-128,778,000","-335,287,000","-348,358,000","-312,775,000","-307,161,000","-142,309,000","-335,166,000","-182,026,000","-102,829,000","-280,626,000","-122,253,000","-146,159,000","-120,674,000","-162,882,000","-124,709,000","-99,115,000","-111,815,000","-75,859,000","-58,847,000","-58,772,000","-55,469,000","-48,456,000","-40,479,000",,"-41,301,000","85,172,000","-35,649,000","-23,332,000","-41,907,000","-15,077,000","-87,339,000","-110,867,000","-68,468,000","-134,638,000","-51,276,000","-53,870,000","-54,499,000","-42,218,000","-34,616,000","-93,317,000","-18,027,000","-9,240,000","-23,224,000","-20,469,000","7,678,000","-9,837,000","-9,312,000","-10,012,635","-6,056,120","-8,804,814",,,"-3,519,232","-2,045,009","3,121,309",,"-1,474,972","-2,366,029","-2,530,967",,,,,,,,,,,,,,,,,,,,,
TaxProvision,"-389,000,000","131,000,000","-517,000,000","-3,000,000","0","3,000,000","12,000,000","3,000,000","-3,000,000","15,000,000","4,000,000","-2,000,000","1,000,000","0","-3,000","1,638,000","-343,000","616,000","-198,000","-69,000","-507,000","678,000","1,996,000","1,971,000","84,000","92,000","1,589,000","1,809,000","1,022,000","-80,000","-207,000","61,000","144,000","6,000","160,000","0","0","0",,"0","0","0","0","0","0","0",,,,,,,,,"0","15,079,000","-5,621,000","-7,413,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetIncomeCommonStockholders,"882,000,000","375,000,000","939,000,000","-318,000,000","-114,000,000","141,000,000","67,000,000","65,000,000","-18,000,000","357,000,000","127,000,000","-289,000,000","-285,000,000","54,000,000","109,707,000","-100,442,000","-298,418,000","-320,838,000","-291,097,000","-297,808,000","-118,495,000","-267,709,000","-158,613,000","-89,581,000","-201,928,000","-97,810,000","-135,230,000","-100,824,000","-154,764,000","-117,105,000","-94,324,000","-109,001,000","-73,040,000","-56,415,000","-57,809,000","-53,936,000","-47,171,000","-39,838,000","-86,133,000","-40,580,000","85,677,000","-35,167,000","-23,201,000","-42,497,000","-13,051,000","-82,742,000","-106,784,000","-67,443,000","-132,333,000","-49,911,000","-52,648,000","-53,454,000","-41,119,000","-34,556,000","-93,317,000","-33,106,000","-3,619,000","-15,811,000","-18,424,000","7,678,000","-9,837,000","-9,215,000","-9,800,845","-5,639,289","-8,052,907","-1,074,959","-4,398,063","-2,387,021","-1,624,242","3,121,309","739,660","-1,474,972","-2,366,029","-2,530,967","-2,336,549","-4,632,237","-3,785,625","-910,851","-755,607","-81,131","358,135","-302,377","-800,000","-300,000","-400,000","-300,000","-500,000","-500,000","-400,000","-200,000","-300,000","-900,000","-500,000","-100,000","-200,000"
	NetIncome,"882,000,000","375,000,000","939,000,000","-318,000,000","-114,000,000","141,000,000","67,000,000","65,000,000","-18,000,000","357,000,000","127,000,000","-289,000,000","-285,000,000","54,000,000","109,707,000","-100,442,000","-298,418,000","-320,838,000","-291,097,000","-297,808,000","-118,495,000","-267,709,000","-158,613,000","-89,581,000","-201,928,000","-97,810,000","-135,230,000","-100,824,000","-154,764,000","-117,105,000","-94,324,000","-109,001,000","-73,040,000","-56,415,000","-57,809,000","-53,936,000","-47,171,000","-39,838,000","-86,133,000","-40,580,000","85,677,000","-35,167,000","-23,201,000","-42,497,000","-13,051,000","-82,742,000","-106,784,000","-67,443,000","-132,333,000","-49,911,000","-52,648,000","-53,454,000","-41,119,000","-34,556,000","-93,317,000","-33,106,000","-3,619,000","-15,811,000","-18,424,000","7,678,000","-9,837,000","-9,215,000","-9,800,845","-5,639,289","-8,052,907","-1,074,959","-4,398,063","-2,387,021","-1,624,242","3,121,309","739,660","-1,474,972","-2,366,029","-2,530,967","-2,336,549","-4,632,237","-3,785,625","-910,851","-755,607","-81,131","358,135","-302,377","-800,000","-300,000","-400,000","-300,000","-500,000","-500,000","-400,000","-200,000","-300,000","-900,000","-500,000","-100,000","-200,000"
		NetIncomeIncludingNoncontrollingInterests,"1,498,000,000","603,000,000","1,153,000,000","-260,000,000","2,000,000","337,000,000","223,000,000","227,000,000","150,000,000","600,000,000","280,000,000","90,000,000","21,000,000","172,000,000","149,541,000","-130,416,000","-334,944,000","-348,974,000","-312,577,000","-307,092,000","-141,802,000","-335,844,000","-184,022,000","-104,800,000","-280,710,000","-122,345,000","-147,748,000","-122,483,000","-163,904,000","-124,629,000","-98,908,000","-111,876,000","-76,003,000","-58,853,000","-58,932,000","-55,469,000","-48,456,000","-40,479,000","-86,616,000","-41,301,000","85,172,000","-35,649,000","-23,332,000","-41,907,000","-15,077,000","-87,339,000","-110,867,000","-68,468,000","-134,638,000","-51,276,000","-53,870,000","-54,499,000","-42,218,000","-34,616,000","-93,317,000","-33,106,000","-3,619,000","-15,811,000","-18,424,000","7,678,000","-9,837,000","-9,312,000","-10,012,635","-6,056,120","-8,804,814","-2,556,431","-5,860,553","-3,519,232","-2,045,009","3,121,309","739,660","-1,474,972","-2,366,029","-2,530,967","-2,336,549","-4,632,237","-3,785,625","-910,851","-755,607","-81,131","358,135","-302,377","-800,000","-300,000","-400,000","-300,000","-500,000","-500,000","-400,000","-200,000","-300,000","-900,000","-500,000","-100,000","-200,000"
			NetIncomeContinuousOperations,"1,498,000,000","603,000,000","1,153,000,000","-260,000,000","2,000,000","337,000,000","223,000,000","227,000,000","150,000,000","600,000,000","280,000,000","90,000,000","21,000,000","172,000,000","149,541,000","-130,416,000","-334,944,000","-348,974,000","-312,577,000","-307,092,000","-141,802,000","-335,844,000","-184,022,000","-104,800,000","-280,710,000","-122,345,000","-147,748,000","-122,483,000","-163,904,000","-124,629,000","-98,908,000","-111,876,000","-76,003,000","-58,853,000","-58,932,000","-55,469,000","-48,456,000","-40,479,000","-86,616,000","-41,301,000","85,172,000","-35,649,000","-23,332,000","-41,907,000","-15,077,000","-87,339,000","-106,784,000","-67,443,000","-132,333,000","-49,911,000","-52,648,000","-53,454,000","-41,119,000","-34,556,000","-93,317,000","-33,106,000","-3,619,000","-15,811,000","-18,424,000","7,678,000","-9,837,000","-9,215,000","-9,800,845","-5,639,289","-8,052,907","-1,074,959","-4,398,063","-2,387,021","-1,624,242","3,121,309","739,660","-1,474,972","-2,366,029","-2,530,967","-2,336,549","-4,632,237","-3,785,625","-910,851","-755,607","-81,131","358,135","-302,377","-800,000","-300,000","-400,000","-300,000","-500,000","-500,000","-400,000","-200,000","-300,000","-900,000","-500,000","-100,000","-200,000"
		MinorityInterests,"-616,000,000","-228,000,000","-214,000,000","-58,000,000","-116,000,000","-196,000,000","-156,000,000","-162,000,000","-168,000,000","-243,000,000","-153,000,000","-379,000,000","-306,000,000","-118,000,000","-39,834,000","29,974,000","36,526,000","28,136,000","21,480,000","9,284,000","23,307,000","68,135,000","25,409,000","15,219,000","78,782,000","24,535,000","12,518,000","21,659,000","9,140,000","7,524,000","4,584,000","2,875,000","2,963,000","2,438,000","1,123,000","1,533,000","1,285,000","641,000","483,000","721,000","505,000","482,000","131,000","-590,000","2,026,000","4,597,000","4,083,000","1,025,000","2,305,000","1,365,000","1,222,000","1,045,000","1,099,000","60,000",,,,,"0",,,"97,000","211,790","416,831","751,907","1,481,472","1,462,490","1,132,211","420,767",,,,,,,,,,,,,,,,,,,,,,,,,,
