name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987,12/31/1986
		AdditionalPaidInCapital,"555,700,000","547,400,000","516,800,000","504,900,000","1,151,800,000","1,134,400,000","1,098,400,000","1,076,800,000","1,467,500,000","1,451,200,000","2,052,100,000","2,024,700,000","2,112,600,000","2,099,800,000","172,600,000","172,600,000","172,700,000","167,600,000","166,800,000","162,200,000","176,400,000","173,000,000","155,100,000","162,100,000","49,300,000","39,300,000",,,,,,,,
		RetainedEarnings,"1,008,200,000","865,000,000","633,400,000","469,900,000","365,200,000","271,000,000","207,200,000","113,100,000","77,100,000","-35,300,000","144,400,000","66,700,000","147,500,000","2,200,000","-910,800,000","-1,021,900,000","-942,200,000","-898,500,000","1,244,300,000","1,151,500,000","1,196,200,000","1,257,000,000","1,339,600,000","1,222,600,000","1,133,800,000","1,076,800,000",,,,,,,,
		TreasuryStock,"823,500,000","692,200,000","385,600,000","305,200,000","261,400,000","261,400,000","261,400,000",,,,,,,,"528,500,000","528,500,000","528,500,000","513,300,000","513,300,000","513,100,000","538,500,000","547,700,000","526,500,000","446,500,000","511,800,000","468,900,000",,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-376,100,000","-459,600,000","-345,900,000","-403,800,000","-487,400,000","-495,500,000","-371,600,000","-471,400,000","-415,000,000","-325,700,000","-297,800,000","-347,700,000","176,500,000","62,100,000","-105,100,000","-99,400,000","-98,900,000","-12,200,000","-47,100,000","-45,200,000","-16,500,000","-25,400,000","-1,800,000","17,300,000","18,000,000","8,300,000",,,,,,,,
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,"-9,400,000","32,700,000","2,100,000",,"84,300,000","61,900,000",,,,,,,,,,,,,,,,,
			OtherEquityAdjustments,,,,,,,,,,,,"-338,300,000","143,800,000","60,000,000",,"-183,700,000","-160,800,000",,,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,"-142,200,000","-142,200,000","-142,200,000","-190,300,000","-199,100,000","-207,700,000","-217,400,000","-225,100,000","-233,900,000",,,,,,,,
	MinorityInterest,,,,,,,,,,"0","8,600,000",,"6,900,000","7,500,000","7,900,000","9,300,000","9,700,000","9,500,000","8,800,000","6,900,000","11,800,000","16,100,000","15,000,000","12,300,000","10,000,000","8,600,000",,,,,,,,
TotalCapitalization,"969,400,000","1,026,000,000","1,237,000,000","1,115,000,000","1,719,700,000","1,652,100,000","1,715,800,000","1,757,100,000","1,953,100,000","1,930,400,000","2,331,800,000","2,199,100,000","2,923,000,000","2,966,200,000","-1,298,400,000","-1,396,100,000","-1,305,600,000","-1,306,800,000","810,700,000","721,900,000","2,092,100,000","2,272,500,000","1,033,700,000","1,009,400,000","963,300,000","972,300,000","826,300,000","835,800,000","1,186,900,000","1,132,400,000","1,157,800,000","1,207,700,000","981,500,000","871,800,000"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,"258,900,000","261,600,000",,,,,,,,
CommonStockEquity,"364,900,000","261,200,000","419,300,000","266,400,000","768,800,000","649,100,000","673,200,000","719,100,000","1,130,200,000","1,090,800,000","1,899,300,000","1,744,300,000","2,437,200,000","2,164,700,000","-1,319,900,000","-1,425,300,000","-1,345,000,000","-1,346,700,000","760,400,000","665,100,000","679,200,000","709,700,000","810,600,000","790,000,000","516,100,000","473,500,000","569,500,000","569,200,000","885,500,000","899,200,000","976,500,000","1,021,800,000","913,800,000","813,000,000"
CapitalLeaseObligations,"35,300,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-100,000,000","-180,800,000","-21,800,000","-167,000,000","279,100,000","147,700,000","150,300,000","191,400,000","585,100,000","534,700,000","1,306,500,000","1,118,000,000","1,750,700,000","1,494,800,000","-1,522,200,000","-1,637,300,000","-1,668,100,000","-1,662,200,000","-151,400,000","-272,800,000","-312,500,000","-318,900,000","810,600,000","790,000,000","775,000,000","735,100,000","569,500,000","569,200,000","885,500,000","899,200,000","976,500,000","1,021,800,000","913,800,000","813,000,000"
WorkingCapital,"89,200,000","203,300,000","379,000,000","182,100,000","444,500,000","423,400,000","473,100,000","635,200,000","823,200,000","637,800,000","974,300,000","876,100,000","1,003,700,000","854,800,000","1,128,000,000","985,800,000","933,300,000","851,600,000","749,900,000","652,800,000","244,900,000","367,800,000","128,500,000","243,500,000","346,800,000","303,700,000",,,,,,,,
InvestedCapital,"975,700,000","1,081,000,000","1,269,500,000","1,140,000,000","1,771,800,000","1,691,700,000","1,739,700,000","1,790,100,000","1,973,200,000","1,965,700,000","2,371,900,000","2,241,300,000","2,951,600,000","2,980,900,000","-1,278,400,000","-1,376,800,000","-1,283,500,000","-1,287,800,000","835,700,000","746,600,000","2,199,100,000","2,455,300,000","1,132,300,000","1,037,600,000","766,500,000","748,100,000","826,300,000","835,800,000","1,186,900,000","1,132,400,000","1,157,800,000","1,207,700,000","981,500,000","871,800,000"
TangibleBookValue,"-100,000,000","-180,800,000","-21,800,000","-167,000,000","279,100,000","147,700,000","150,300,000","191,400,000","585,100,000","534,700,000","1,306,500,000","1,118,000,000","1,750,700,000","1,494,800,000","-1,522,200,000","-1,637,300,000","-1,668,100,000","-1,662,200,000","-151,400,000","-272,800,000","-312,500,000","-318,900,000","810,600,000","790,000,000","516,100,000","473,500,000","569,500,000","569,200,000","885,500,000","899,200,000","976,500,000","1,021,800,000","913,800,000","813,000,000"
TotalDebt,"646,100,000","819,800,000","850,200,000","873,600,000","1,003,000,000","1,042,600,000","1,066,500,000","1,071,000,000","843,000,000","874,900,000","472,600,000","497,000,000","514,400,000","816,200,000","41,500,000","48,500,000","61,500,000","58,900,000","75,300,000","81,500,000","1,519,900,000","1,745,600,000","321,700,000","247,600,000","250,400,000","274,600,000","256,800,000","266,600,000","301,400,000","233,200,000","181,300,000","185,900,000","67,700,000","58,800,000"
NetDebt,"565,500,000","494,100,000","690,600,000","731,700,000","758,200,000","857,300,000","931,300,000","734,600,000","362,400,000","559,100,000",,"142,000,000","100,000","563,700,000",,,,,,,"1,484,300,000","1,707,400,000","263,800,000","182,200,000",,"262,600,000","256,800,000","266,600,000","301,400,000","233,200,000","181,300,000","185,900,000","67,700,000","58,800,000"
ShareIssued,"62,263,395","61,553,724","60,782,736","60,597,140","60,416,446","60,183,535","59,464,309","58,934,050","58,424,691","58,070,807","57,433,503","57,122,028","56,828,754","56,091,218","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740"
OrdinarySharesNumber,"47,992,348","48,808,239","52,772,139","54,428,233","55,359,064","55,126,153","54,406,927","58,934,050","58,424,691","58,070,807","57,433,503","57,122,028","56,828,754","56,091,218","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740","40,485,740"
TreasurySharesNumber,"14,271,047","12,745,485","8,010,597","6,168,907","5,057,382","5,057,382","5,057,382",,,,,,,,,,,,,,,,,,,,,,,,,,,
