name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,12/31/2005
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"94,560,000",,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"331,387,000","336,592,000","801,645,000","507,949,000","633,558,000","184,129,000","449,786,000","248,522,000","629,176,000","630,789,000","200,431,000","651,600,000","161,329,000","107,392,000","343,432,000","847,334,000","20,725,000","71,055,000","9,889,000","19,533,000","80,593,000","14,082,000","17,302,000","26,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		HedgingAssetsCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,211,000",,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"38,369,772,000","38,663,488,000","38,197,903,000","38,245,593,000","38,210,394,000","38,234,597,000","36,543,598,000","36,408,150,000","35,687,339,000","35,967,656,000","35,331,917,000","34,722,983,000","35,461,037,000","35,552,741,000","35,115,235,000","35,276,898,000","36,539,485,000","37,062,352,000","37,290,660,000","37,992,830,000","38,141,318,000","37,472,110,000","37,310,361,000","37,208,370,000","8,579,145,000","8,544,754,000","8,401,429,000","8,294,768,000","7,811,850,000","7,620,764,000","8,494,688,000","8,505,468,000","8,508,195,000","8,429,210,000","9,038,593,000","8,842,259,000","9,072,510,000","8,803,553,000","8,639,765,000","8,418,593,000","8,119,439,000","6,287,998,000","5,935,703,000","5,744,976,000","5,329,238,000","4,957,338,000","4,232,443,000","4,201,122,000","3,638,487,000","3,498,443,000","3,410,877,000","3,511,127,000","3,368,954,000","3,237,564,000","2,809,724,000","2,401,097,000"
		NetPPE,"35,738,662,000","35,940,467,000","35,303,816,000","35,329,904,000","35,159,653,000","35,081,486,000","33,215,844,000","32,976,991,000","32,187,681,000","32,427,941,000","31,610,367,000","30,993,079,000","31,595,678,000","31,538,400,000","30,913,211,000","30,935,963,000","32,008,857,000","32,240,339,000","32,266,379,000","32,767,311,000","32,643,429,000","32,005,696,000","31,873,607,000","31,649,698,000","8,081,406,000","8,088,374,000","8,016,185,000","7,899,034,000","7,457,477,000","7,264,381,000","8,045,708,000","8,027,488,000","7,974,747,000","7,895,874,000","7,936,045,000","8,184,762,000","8,366,553,000","8,061,260,000","7,974,109,000","7,635,187,000","7,198,401,000","5,230,437,000","5,394,251,000","4,493,793,000","4,281,315,000","3,989,629,000","3,837,339,000","3,813,768,000","3,331,101,000","3,186,295,000","2,927,257,000","3,188,151,000","3,076,815,000","2,966,779,000","2,542,119,000","2,189,267,000"
			GrossPPE,"43,532,905,000","43,467,103,000","42,546,281,000","42,462,117,000","42,024,649,000","41,932,355,000","39,792,074,000","39,336,031,000","38,427,265,000","38,495,025,000","37,499,611,000","36,584,819,000","37,002,125,000","36,625,011,000","35,678,687,000","35,424,514,000","36,362,122,000","36,175,024,000","35,847,836,000","35,945,950,000","35,397,380,000","34,596,696,000","33,797,514,000","33,134,174,000","8,081,406,000","9,426,049,000","9,257,404,000","9,044,285,000","8,526,495,000","8,256,909,000","9,351,282,000","9,243,154,000","9,109,924,000","8,956,290,000","8,944,629,000","9,198,957,000","9,314,683,000","8,918,154,000","8,648,066,000","8,307,064,000",,"5,772,746,000",,,"4,678,247,000","4,351,305,000","4,063,017,000","4,039,446,000","3,556,779,000","3,411,973,000","3,079,215,000","3,340,109,000","3,228,773,000","3,118,737,000","2,542,119,000","2,189,267,000"
				MachineryFurnitureEquipment,"43,464,874,000","43,397,417,000","42,473,954,000","42,387,461,000","41,947,694,000","41,903,204,000","39,763,035,000","39,306,551,000","38,396,915,000","38,463,911,000","37,467,563,000","36,551,909,000","36,967,365,000","36,588,584,000","35,641,991,000","35,400,335,000","36,341,147,000","36,154,179,000","35,828,586,000","35,929,516,000","35,380,711,000","34,575,668,000","33,776,488,000","33,112,095,000","8,081,406,000","9,423,622,000","9,255,054,000","9,042,053,000","8,524,158,000","8,254,427,000","9,351,282,000","9,243,154,000","9,109,924,000","8,956,290,000","8,944,629,000","26,536,000","9,314,683,000","8,918,154,000","8,648,066,000","8,296,532,000",,"5,772,746,000",,,"4,678,247,000","4,351,305,000",,,,"3,186,295,000",,"3,340,109,000",,"2,966,779,000","2,542,119,000","2,189,267,000"
				OtherProperties,"68,031,000","69,686,000","72,327,000","74,656,000","76,955,000","29,151,000","29,039,000","29,480,000","30,350,000","31,114,000","32,048,000","32,910,000","34,760,000","36,427,000","36,696,000","24,179,000","20,975,000","20,845,000","19,250,000","16,434,000","16,669,000","21,028,000","21,026,000","22,079,000",,"2,427,000","2,350,000","2,232,000","2,337,000","2,482,000",,,,,,"9,172,421,000",,,,"10,532,000",,,,,,,,,,"225,678,000",,,,"151,958,000",,
			AccumulatedDepreciation,"-7,794,243,000","-7,526,636,000","-7,242,465,000","-7,132,213,000","-6,864,996,000","-6,850,869,000","-6,576,230,000","-6,359,040,000","-6,239,584,000","-6,067,084,000","-5,889,244,000","-5,591,740,000","-5,406,447,000","-5,086,611,000","-4,765,476,000","-4,488,551,000","-4,353,265,000","-3,934,685,000","-3,581,457,000","-3,178,639,000","-2,753,951,000","-2,591,000,000","-1,923,907,000","-1,484,476,000",,"-1,337,675,000","-1,241,219,000","-1,145,251,000","-1,069,018,000","-992,528,000","-1,305,574,000","-1,215,666,000","-1,135,177,000","-1,060,416,000","-1,008,584,000","-1,014,195,000","-948,130,000","-856,894,000","-673,957,000","-671,877,000",,"-542,309,000",,,"-396,932,000","-361,676,000","-225,678,000","-225,678,000","-225,678,000","-225,678,000","-151,958,000","-151,958,000","-151,958,000","-151,958,000",,
		GoodwillAndOtherIntangibleAssets,"1,076,139,000","1,117,009,000","1,230,041,000","1,276,189,000","1,381,366,000","1,441,760,000","1,528,553,000","1,617,269,000","1,734,905,000","1,857,370,000","2,036,748,000","2,205,648,000","2,415,945,000","2,565,026,000","2,832,843,000","3,071,188,000","3,304,203,000","3,600,051,000","3,905,879,000","4,119,073,000","4,319,103,000","4,429,735,000","4,676,042,000","4,719,034,000","7,746,000","9,354,000","11,566,000","13,487,000","15,497,000","18,100,000","20,950,000","23,825,000","26,700,000","29,677,000","34,232,000","55,585,000","60,140,000","65,413,000","71,344,000","77,274,000","86,953,000","38,175,000","41,378,000","44,669,000","49,085,000","53,875,000","57,664,000","61,564,000","52,203,000","48,631,000","49,937,000","52,876,000","55,856,000","41,005,000","67,680,000","38,571,000"
