name,01/31/2020,01/31/2019,01/31/2018,01/31/2017,01/31/2016,01/31/2015,01/31/2014,01/31/2013
		GainsLossesNotAffectingRetainedEarnings,"5,200,000","12,200,000","22,400,000","100,000","21,500,000","10,900,000","13,900,000","-24,900,000"
			ForeignCurrencyTranslationAdjustments,"4,900,000","17,000,000","22,300,000","3,500,000","24,500,000","13,100,000","14,400,000","-24,000,000"
			OtherEquityAdjustments,"300,000","-4,800,000","100,000","-3,400,000","-3,000,000","-2,200,000","-500,000","-900,000"
	MinorityInterest,"4,100,000","5,200,000","5,200,000","4,600,000","5,200,000","2,700,000","2,300,000","2,300,000"
TotalCapitalization,"1,033,700,000","869,100,000","908,200,000","1,061,900,000","1,112,500,000","994,600,000","840,400,000","1,060,700,000"
CommonStockEquity,"-593,800,000","-328,000,000","-62,600,000","160,900,000","-19,300,000","-29,600,000","-43,100,000","18,300,000"
CapitalLeaseObligations,"240,900,000",,,,,,,
NetTangibleAssets,"-1,203,900,000","-806,700,000","-377,200,000","-156,200,000","-343,200,000","-366,100,000","-379,000,000","-307,800,000"
WorkingCapital,"-211,900,000","-192,600,000","94,600,000","279,000,000","363,300,000","291,800,000","155,600,000","467,300,000"
InvestedCapital,"1,051,600,000","887,500,000","928,000,000","1,084,600,000","1,127,300,000","1,005,900,000","857,300,000","1,072,900,000"
TangibleBookValue,"-1,203,900,000","-806,700,000","-377,200,000","-156,200,000","-343,200,000","-366,100,000","-379,000,000","-307,800,000"
TotalDebt,"1,886,300,000","1,215,500,000","990,600,000","923,700,000","1,146,600,000","1,035,500,000","900,400,000","1,054,600,000"
NetDebt,"1,602,900,000","1,115,500,000","764,600,000","625,100,000","911,600,000","803,500,000","825,000,000","512,200,000"
ShareIssued,"88,302,645","97,141,407","101,260,299","111,720,258","114,896,958","118,375,602","118,159,067","118,126,562"
OrdinarySharesNumber,"88,302,645","97,141,407","101,260,299","111,720,258","114,896,958","118,375,602","118,159,067","118,126,562"
