name,ttm,03/31/2020,03/31/2019,03/31/2018,03/31/2017,03/31/2016,03/31/2015,03/31/2014,03/31/2013,03/31/2012,03/31/2011,03/31/2010,03/31/2009,03/31/2008,03/31/2007,03/31/2006,03/31/2005,03/31/2004
NetNonOperatingInterestIncomeExpense,"-13,342,000","-13,342,000","-1,070,000","-10,000","1,607,000","5,958,000","3,453,000","532,000","-508,000","-4,017,000","-8,018,000","-13,823,000","-11,782,000",,,,,
	InterestIncomeNonOperating,"3,840,000","3,840,000","2,556,000","3,693,000","2,083,000","6,236,000","4,785,000","3,480,000","3,140,000",,,,,,,,,
	InterestExpenseNonOperating,"16,951,000","16,951,000","3,266,000","3,215,000","424,000","265,000","1,251,000","2,835,000","3,439,000","4,017,000","8,018,000","13,823,000","11,782,000",,,,,
	TotalOtherFinanceCost,"231,000","231,000","360,000","488,000","52,000","13,000","81,000","113,000","209,000",,,,,,,,,
OtherIncomeExpense,"10,003,000","10,003,000","16,955,000","21,949,000","-624,000","13,227,000","11,678,000","-5,128,000","-3,854,000","1,991,000","6,106,000","-7,052,000","-5,639,000","-11,534,000","-968,000","456,000","172,000",
	GainOnSaleOfSecurity,"11,100,000","11,100,000","12,896,000","17,985,000","18,580,000","11,010,000","9,104,000","-7,173,000","-5,379,000",,,,,,,,,
	SpecialIncomeCharges,"-4,085,000","-4,085,000","0","0","-21,673,000",,,,,"1,991,000","6,106,000","-7,052,000","-5,639,000","-11,534,000","-968,000","456,000","172,000",
		ImpairmentOfCapitalAssets,"4,085,000","4,085,000","0","0","21,673,000",,,,,,,,"0",,,,,
		OtherSpecialCharges,,,,,,,,,,,,,"5,639,000",,,,,
	OtherNonOperatingIncomeExpenses,"2,988,000","2,988,000","4,059,000","3,964,000","2,469,000","2,217,000","2,574,000","2,045,000","1,525,000",,,,,,,,,
PretaxIncome,"143,952,000","143,952,000","131,152,000","101,867,000","55,293,000","81,060,000","81,031,000","55,936,000","31,263,000","23,989,000","10,139,000","3,685,000","11,093,000","14,694,000","29,155,000","19,903,000","-4,708,000",
TaxProvision,"27,183,000","27,183,000","25,719,000","15,431,000","17,530,000","21,180,000","22,417,000","14,289,000","9,864,000","11,456,000","1,052,000","998,000","3,302,000","5,194,000","2,574,000","1,574,000","1,068,000",
NetIncomeCommonStockholders,"116,769,000","116,769,000","105,433,000","86,436,000","37,763,000","59,880,000","58,614,000","41,647,000","21,399,000","12,533,000","9,817,000","3,710,000","8,078,000","9,500,000","26,581,000","18,329,000","-5,776,000","-6,720,000"
	NetIncome,"116,769,000","116,769,000","105,433,000","86,436,000","37,763,000","59,880,000","58,614,000","41,647,000","21,399,000","12,533,000","9,817,000","3,710,000","8,078,000","9,500,000","26,581,000","18,329,000","-5,776,000","-6,720,000"
		NetIncomeIncludingNoncontrollingInterests,"116,769,000","116,769,000","105,433,000","86,436,000","37,763,000","59,880,000","58,614,000","41,647,000","21,399,000","12,533,000","9,087,000","2,687,000","7,791,000","9,500,000","26,581,000","18,329,000","-5,776,000","-6,720,000"
			NetIncomeContinuousOperations,"116,769,000","116,769,000","105,433,000","86,436,000","37,763,000","59,880,000","58,614,000","41,647,000","21,399,000","12,533,000","9,087,000","2,687,000","7,791,000","9,500,000","26,581,000","18,329,000","-5,776,000","-6,720,000"
		MinorityInterests,,,,,,,,,,,"730,000","1,023,000","287,000",,,,,
DilutedNIAvailtoComStockholders,"116,769,000","116,769,000","105,433,000","86,436,000","37,763,000","59,880,000","58,614,000","41,647,000","21,399,000","12,533,000","9,817,000","3,710,000","8,078,000","9,500,000","26,581,000","18,329,000","-5,776,000","-6,720,000"
BasicEPS,,,"2.1","1.72","0.75","1.17","1.14","0.82","0.43","0.28","0.21","0.09","0.19","0.23","0.69","0.56","-0.19","-0.22"
DilutedEPS,,,"2.02","1.63","0.71","1.12","1.1","0.79","0.41","0.27","0.21","0.08","0.19","0.22","0.65","0.52","-0.19","-0.22"
BasicAverageShares,,,"50,190,476","50,232,558","50,400,000","51,196,581","51,403,509","50,731,707","49,767,442","44,642,857","44,260,713","43,093,316","42,520,404","41,304,348","38,523,188","32,874,299","30,969,658","30,545,455"
DilutedAverageShares,,,"52,178,218","53,006,135","53,239,437","53,482,143","53,272,727","52,658,228","52,195,122","46,296,296","45,020,833","44,174,128","43,108,599","43,181,818","40,893,846","35,029,766","30,969,658","30,545,455"
TotalOperatingIncomeAsReported,"146,588,000","146,588,000","119,762,000","94,901,000","47,151,000","72,844,000","70,451,000","49,359,000","30,129,000","27,963,000","12,051,000","24,560,000","28,514,000","5,513,000","26,755,000","19,876,000","-4,384,000",
TotalExpenses,"780,967,000","780,967,000","693,853,000","678,028,000","548,236,000","500,304,000","467,993,000","442,089,000","424,638,000","448,107,000","604,200,000","557,901,000","510,750,000","454,354,000","325,531,000","182,933,000","166,557,000",
NetIncomeFromContinuingAndDiscontinuedOperation,"116,769,000","116,769,000","105,433,000","86,436,000","37,763,000","59,880,000","58,614,000","41,647,000","21,399,000","12,533,000","9,817,000","3,710,000","8,078,000","9,500,000","26,581,000","18,329,000","-5,776,000","-6,720,000"
NormalizedIncome,"111,078,668.952","111,078,668.952","95,065,914.725","71,175,400.787","39,875,400.467","51,746,780.163","52,028,596.192","46,987,638.069","25,080,835.428","11,238,850","4,344,544.926","8,852,123.202","12,038,465.97","16,956,989.247","27,463,538.433","17,909,062.101","-5,879,200","-6,720,000"
InterestIncome,"3,840,000","3,840,000","2,556,000","3,693,000","2,083,000","6,236,000","4,785,000","3,480,000","3,140,000",,,,,,,,,
InterestExpense,"16,951,000","16,951,000","3,266,000","3,215,000","424,000","265,000","1,251,000","2,835,000","3,439,000","4,017,000","8,018,000","13,823,000","11,782,000",,,,,
NetInterestIncome,"-13,342,000","-13,342,000","-1,070,000","-10,000","1,607,000","5,958,000","3,453,000","532,000","-508,000","-4,017,000","-8,018,000","-13,823,000","-11,782,000",,,,,
EBIT,"160,903,000","160,903,000","134,418,000","105,082,000","55,717,000","81,325,000","82,282,000","58,771,000","34,702,000","28,006,000","18,157,000","17,508,000","22,875,000","5,513,000","26,755,000","19,876,000","-4,384,000","86,805,000"
EBITDA,"223,776,000"
ReconciledCostOfRevenue,"536,700,000","536,700,000","497,902,000","483,176,000","386,421,000","349,925,000","328,328,000","313,720,000","296,297,000","324,991,000","472,488,000","418,096,000","388,527,000","344,870,000","256,408,000","135,278,000","131,798,000",
ReconciledDepreciation,"62,873,000","62,873,000","36,117,000","35,459,000","37,442,000","40,633,000","38,579,000","37,749,000","41,059,000","45,436,000","51,169,000","53,574,000","46,701,000","21,321,000","16,662,000","11,308,000","9,872,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"116,769,000","116,769,000","105,433,000","86,436,000","37,763,000","59,880,000","58,614,000","41,647,000","21,399,000","12,533,000","9,817,000","3,710,000","8,078,000","9,500,000","26,581,000","18,329,000","-5,776,000","-6,720,000"
TotalUnusualItemsExcludingGoodwill,"7,015,000","7,015,000","12,896,000","17,985,000","-3,093,000","11,010,000","9,104,000","-7,173,000","-5,379,000","1,991,000","6,106,000","-7,052,000","-5,639,000","-11,534,000","-968,000","456,000","172,000",
TotalUnusualItems,"7,015,000","7,015,000","12,896,000","17,985,000","-3,093,000","11,010,000","9,104,000","-7,173,000","-5,379,000","1,991,000","6,106,000","-7,052,000","-5,639,000","-11,534,000","-968,000","456,000","172,000",
NormalizedEBITDA,"216,761,000","216,761,000","157,639,000","122,556,000","96,252,000","110,948,000","111,757,000","103,693,000","81,140,000","71,451,000","63,220,000","78,134,000","75,215,000","38,368,000","44,385,000","30,728,000","5,316,000","86,805,000"
TaxRateForCalcs,"0.189","0.189","0.196","0.151","0.317","0.261","0.277","0.255","0.316","0.35","0.104","0.271","0.298","0.353","0.088","0.079","0.4","0.4"
TaxEffectOfUnusualItems,"1,324,668.952","1,324,668.952","2,528,914.725","2,724,400.787","-980,599.533","2,876,780.163","2,518,596.192","-1,832,361.931","-1,697,164.572","696,850","633,544.926","-1,909,876.798","-1,678,534.03","-4,077,010.753","-85,461.567","36,062.101","68,800","0"
