name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005
			NetIncomeContinuousOperations,"1,225,000,000","435,000,000","448,000,000","110,000,000","232,000,000","385,000,000","351,000,000","307,000,000","281,000,000","335,000,000","373,000,000","24,000,000","46,000,000","47,000,000","85,345,000","-81,509,000","-100,125,000","-74,906,000","-56,040,000","-24,132,000","-60,043,000","-178,676,000","-70,839,000","-43,240,000","-226,224,000","-69,733,000","-61,266,000","-98,109,000","-47,010,000","-42,487,000","-63,521,000","-42,422,000","-24,861,000","-19,332,000","-7,462,000","-14,479,000","-6,868,000","-2,209,000","-2,651,000","-6,977,000","58,371,000","58,824,000","61,872,000","69,501,000","41,951,000","13,588,000","-28,419,000","-10,897,000","-24,513,000","-14,515,000","-12,991,000","-11,112,000","-11,991,000","-12,858,000","-22,901,000","-12,624,000","-12,624,000","-12,624,000","-1,066,000","-1,066,000","-1,066,000","-1,066,000"
		MinorityInterests,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","-244,000","9,148,000",,,,,,,,,,,,"-1,167,000","-1,176,000",,,,,,,,,,,,,,,,,,,,
	PreferredStockDividends,,,"27,000,000","18,000,000","20,000,000","21,000,000","18,000,000","16,000,000","13,000,000","13,000,000","9,000,000",,,"1,000,000","1,708,000","-1,630,000","-2,002,000","-1,498,000","-80,644,000","24,755,000","-1,201,000","-3,575,000","-1,418,000","-865,000","-4,525,000","-1,395,000","-1,226,000","-1,967,000","-757,000","-850,000","-664,000","-4,336,000","-769,000","-656,000","-418,000","-558,000","-371,000","-44,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherunderPreferredStockDividend,,,,,,,"110,466,000",,,,"109,064,000","974,000,000","796,000,000","235,000,000","81,348,770","29,691,000",,,"-56,610,830",,,,,,,,,,,,,,,,,,,,,"-140,000",,,,"1,390,000",,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"835,000,000","435,000,000","304,000,000","66,000,000","153,000,000","262,000,000","240,000,000","209,000,000","193,000,000","232,000,000","2,268,000,000","-272,000,000","-212,000,000","-46,000,000","121,351,000","-15,433,000","-12,038,000","-4,706,000","312,687,000","-48,887,000","-387,000","-34,865,000","-3,524,000","4,497,000","-48,685,000","-3,203,000","-742,000","-11,521,000","6,060,000","4,716,000",,,,,,,,,,"-6,837,000","57,204,000","57,648,000","64,373,000","68,111,000","41,951,000","13,588,000","-28,419,000","-10,897,000","-24,513,000","-14,515,000","-12,991,000","-11,112,000","-11,991,000","-12,858,000","-22,901,000","-12,624,000","-12,624,000","-12,624,000","-1,066,000","-1,066,000","-1,066,000","-1,066,000"
BasicEPS,,"0.84","0.87","0.19","0.44","0.75","0.69","0.6","0.55","0.67","0.76","-1.1","-3.71","-0.8","0.07","-0.27","-0.21","-0.08","0.01","-0.18","-0.01","-0.61",,"0.08","-0.85","-0.06",,"-0.2","0.11","0.1",,"-0.25","-0.22","-0.19",,"-0.17","-0.11","-0.01",,"-0.04","0.35","0.36",,"0.43","0.26","0.08",,"-0.07","-0.15","-0.09",,"-0.07","-0.07","0",,"-0.078","-0.078","-0.078",,"-0.007","-0.007","-0.007"
DilutedEPS,,"0.84","0.87","0.19","0.44","0.75","0.69","0.6","0.55","0.67","0.76","-1.1","-3.71","-0.8","0.07","-0.27","-0.21","-0.08","0.01","-0.18","-0.01","-0.61",,"0.08","-0.85","-0.06",,"-0.2","0.11","0.1",,"-0.25","-0.22","-0.19",,"-0.17","-0.11","-0.01",,"-0.04","0.35","0.36",,"0.43","0.26","0.08",,"-0.07","-0.15","-0.09",,"-0.07","-0.07","0",,"-0.078","-0.078","-0.078",,"-0.007","-0.007","-0.007"
BasicAverageShares,,"484,000,000","514,942,529","484,000,000","484,000,000","484,000,000","348,600,000","484,000,000","484,000,000","484,000,000","348,600,000","382,600,000","192,500,000","192,500,000","337,800,000","192,470,000","192,468,000","192,468,000","337,800,000","192,465,000","192,464,000","192,464,000",,"192,463,000","192,463,000","190,412,000",,"192,463,000","192,463,000","180,931,000",,"222,091,000","169,154,000","166,401,000",,"162,792,000","162,138,000","161,915,000",,"161,800,000","161,800,000","161,800,000",,"161,800,000","161,800,000","161,800,000",,"161,800,000","161,800,000","161,800,000",,"161,800,000","161,800,000","161,800,000",,"161,800,000","161,800,000","161,800,000",,"161,800,000","161,800,000","161,800,000"
DilutedAverageShares,,"484,000,000","514,942,529","484,000,000","484,000,000","484,000,000","348,600,000","484,000,000","484,000,000","484,000,000","348,600,000","382,600,000","192,500,000","192,500,000","337,800,000","192,470,000","192,468,000","337,801,000","337,800,000","192,465,000","337,797,000","337,797,000",,"337,796,000","337,796,000","335,745,000",,"192,463,000","330,280,000","314,264,000",,"222,091,000","169,154,000","166,401,000",,"162,792,000","162,138,000","161,915,000",,"161,800,000","161,800,000","161,800,000",,"161,800,000","161,800,000","161,800,000",,"161,800,000","161,800,000","161,800,000",,"161,800,000","161,800,000","161,800,000",,"161,800,000","161,800,000","161,800,000",,"161,800,000","161,800,000","161,800,000"
TotalOperatingIncomeAsReported,"2,141,000,000","664,000,000","676,000,000","346,000,000","455,000,000","563,000,000","524,000,000","492,000,000","455,000,000","508,000,000","540,000,000","197,000,000","200,000,000","219,000,000","199,407,000","47,898,000","12,594,000","-9,463,000","-18,739,000","35,921,000","-4,024,000","-10,576,000","3,822,000","-2,056,000","-7,726,000","5,086,000","5,428,000","-23,357,000","-20,427,000","14,916,000","19,602,000","772,000","18,275,000","24,891,000","37,044,000","29,523,000","36,932,000","41,127,000","40,709,000","36,374,000","101,977,000","101,737,000","103,874,000","106,367,000","74,282,000","43,396,000","-267,000","-10,026,000","-2,748,000","-4,100,000","-4,588,000","-3,167,000","-2,874,000","-1,886,000",,,,,,,,
