name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
TotalLiabilitiesNetMinorityInterest,"5,335,000,000","5,447,000,000","4,428,000,000","3,852,000,000","3,601,000,000","3,825,000,000","3,817,000,000","3,993,000,000","3,786,000,000","3,472,000,000","4,314,000,000","4,442,000,000","3,847,000,000","4,740,000,000","16,835,000,000","11,670,000,000","11,635,000,000","11,339,000,000","8,621,000,000","8,272,000,000","7,331,000,000","6,216,000,000","5,413,000,000","4,376,000,000","3,473,000,000","3,954,000,000","3,882,000,000","3,134,000,000","3,182,000,000","2,157,000,000","2,359,000,000","2,206,000,000","2,399,000,000"
	CurrentLiabilities,"1,329,000,000","1,278,000,000","1,282,000,000","963,000,000","1,117,000,000","983,000,000","992,000,000","906,000,000","908,000,000","955,000,000","943,000,000","1,257,000,000","1,246,000,000","2,560,000,000","1,786,000,000","951,000,000","864,000,000","861,000,000","849,000,000","609,000,000","2,916,000,000","1,883,000,000","1,307,000,000","1,121,000,000","936,000,000","1,073,000,000","876,000,000","535,000,000","448,000,000","653,000,000","791,000,000","585,000,000","580,000,000"
		PayablesAndAccruedExpenses,,"851,000,000","1,232,000,000","913,000,000","901,000,000","911,000,000","944,000,000","857,000,000","703,000,000","942,000,000","923,000,000","1,203,000,000","1,149,000,000","1,120,000,000","1,032,000,000","909,000,000","767,000,000","756,000,000","740,000,000","491,000,000","839,000,000","942,000,000","814,000,000","705,000,000","587,000,000","598,000,000","495,000,000","390,000,000","409,000,000","418,000,000","485,000,000",,
			Payables,,"851,000,000","929,000,000","684,000,000","666,000,000","654,000,000","642,000,000","596,000,000","592,000,000","844,000,000","735,000,000","969,000,000","1,137,000,000","1,081,000,000",,,,,,,,,,,,,"495,000,000","390,000,000","409,000,000","418,000,000","485,000,000",,
				AccountsPayable,,"851,000,000","834,000,000","615,000,000","535,000,000","542,000,000","547,000,000","498,000,000","488,000,000","474,000,000","418,000,000","584,000,000","1,137,000,000","1,081,000,000",,,,,,,,,,,,,"495,000,000","390,000,000","409,000,000","418,000,000","485,000,000",,
				TotalTaxPayable,,,"71,000,000","46,000,000","110,000,000","93,000,000","95,000,000","98,000,000","104,000,000","121,000,000","149,000,000","249,000,000",,,,,,,,,,,,,,,,,,,,,
				DividendsPayable,,,"24,000,000","23,000,000","21,000,000","19,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherPayable,,,,,,,,,,"249,000,000","168,000,000","136,000,000",,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,,,"303,000,000","229,000,000","235,000,000","257,000,000","302,000,000","261,000,000","111,000,000","98,000,000","188,000,000","234,000,000","12,000,000","39,000,000",,,,,,,,,,,,,,,,,,,
				InterestPayable,,,"22,000,000","11,000,000","7,000,000","9,000,000","8,000,000","11,000,000","8,000,000","7,000,000","8,000,000","9,000,000",,,,,,,,,,,,,,,,,,,,,
