name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
		NonCurrentNoteReceivables,,,"38,000,000",,,"41,000,000","54,000,000","58,000,000",,"420,000,000","452,000,000",,,,,,,,,,"3,427,000,000"
		NonCurrentDeferredAssets,"910,000,000","1,006,000,000","1,250,000,000","527,000,000","423,000,000","511,000,000","370,000,000","334,000,000","318,000,000","846,000,000","1,052,000,000","1,190,000,000","862,000,000","523,000,000","628,000,000",,,,,,
			NonCurrentDeferredTaxesAssets,"910,000,000","1,006,000,000","1,250,000,000","527,000,000","423,000,000","511,000,000","370,000,000","334,000,000","318,000,000","846,000,000","1,052,000,000","1,190,000,000","862,000,000","523,000,000","628,000,000",,,,,,
		DefinedPensionBenefit,"133,000,000","83,000,000","144,000,000","90,000,000","68,000,000","70,000,000","93,000,000","71,000,000","139,000,000","173,000,000","112,000,000",,,,,,,,,,
		OtherNonCurrentAssets,"531,000,000","3,896,000,000","369,000,000","349,000,000","399,000,000","432,000,000","504,000,000","229,000,000","804,000,000","347,000,000","293,000,000","854,000,000","1,057,000,000","1,741,000,000","2,107,000,000","3,251,000,000","3,180,000,000","3,874,000,000","6,528,000,000","5,853,000,000",
TotalLiabilitiesNetMinorityInterest,"32,128,000,000","29,907,000,000","27,913,000,000","25,602,000,000","26,368,000,000","28,063,000,000","28,856,000,000","31,624,000,000","23,312,000,000","20,837,000,000","20,255,000,000","21,411,000,000","19,452,000,000","18,653,000,000","18,452,000,000","21,556,000,000","27,102,000,000","28,262,000,000","30,115,000,000","25,470,000,000","25,990,000,000"
	CurrentLiabilities,"20,266,000,000","18,447,000,000","16,273,000,000","15,407,000,000","15,844,000,000","15,580,000,000","16,675,000,000","18,974,000,000","16,561,000,000","16,738,000,000","14,579,000,000","16,004,000,000","14,479,000,000","12,376,000,000","11,606,000,000","13,068,000,000","16,212,000,000","18,414,000,000","19,035,000,000","15,452,000,000","15,882,000,000"
		PayablesAndAccruedExpenses,"6,355,000,000","6,356,000,000","7,449,000,000","6,053,000,000","5,857,000,000","6,427,000,000","6,878,000,000","8,947,000,000","7,141,000,000","6,199,000,000","10,208,000,000","8,536,000,000","8,022,000,000","7,061,000,000","6,402,000,000","12,145,000,000","9,515,000,000","13,201,000,000","7,437,000,000","6,529,000,000","12,515,000,000"
			Payables,"5,432,000,000","5,438,000,000","6,642,000,000","5,367,000,000","5,172,000,000","5,641,000,000","5,940,000,000","6,851,000,000","5,319,000,000","4,555,000,000","8,608,000,000","6,967,000,000","6,285,000,000","5,120,000,000","4,493,000,000","5,709,000,000","4,375,000,000","5,135,000,000","6,701,000,000","5,738,000,000","5,880,000,000"
				AccountsPayable,"4,353,000,000","4,424,000,000","5,419,000,000","4,446,000,000","4,342,000,000","4,765,000,000","5,112,000,000","4,992,000,000","4,789,000,000","4,555,000,000","5,179,000,000","6,967,000,000","6,285,000,000","5,120,000,000","4,493,000,000","5,709,000,000","4,375,000,000","5,135,000,000","6,701,000,000","5,738,000,000","5,880,000,000"
