name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,09/30/2010,06/30/2010,03/31/2010
NormalizedIncome,"587,121,000","164,935,000","155,787,000","128,305,000","138,094,000","138,399,000","146,574,000","115,211,000","110,651,000","471,102,000","99,188,000","100,925,000","84,937,000","96,988,000","93,276,000","91,803,000","92,858,000","80,899,000","77,042,000","76,118,000","65,772,000","70,131,000","62,433,000","62,037,000","61,397,000","58,847,000","48,578,000","42,990,000","39,996,000","39,809,000","37,011,000","28,172,000","26,927,000","24,762,000","18,271,000","7,023,000","3,176,000","-7,747,000","-40,664,000","-477,000"
InterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,070,000","1,573,000","1,894,000","3,885,000","2,069,000","3,123,000","816,000","1,430,000","1,649,000","340,000","603,000","642,000","474,000","0"
InterestExpense,"397,320,000","106,639,000","104,637,000","96,824,000","89,220,000","85,442,000","82,189,000","73,452,000","68,943,000","64,326,000","63,514,000","63,014,000","67,063,000","66,389,000","64,720,000","63,190,000","60,960,000","61,983,000","60,103,000","58,148,000","55,403,000","52,543,000","48,582,000","47,335,000","44,358,000","43,099,000","41,946,000","43,468,000","40,230,000","39,111,000","35,248,000","38,237,000","21,914,000","17,228,000","13,301,000","15,775,000","11,388,000","5,806,000","38,511,000","0"
NetInterestIncome,"-434,011,000","-117,000,000","-113,715,000","-105,536,000","-97,760,000","-93,917,000","-90,388,000","-81,462,000","-76,965,000","-71,392,000","-70,473,000","-69,451,000","-76,055,000","-74,701,000","-72,801,000","-70,578,000","-68,121,000","-69,708,000","-67,522,000","-65,829,000","-63,085,000","-59,413,000","-56,005,000","-54,324,000","-50,848,000","-55,692,000","-45,888,000","-47,244,000","-43,546,000","-40,667,000","-37,774,000","-35,114,000","-23,965,000","-15,798,000","-11,652,000","-15,435,000","-10,785,000","-5,164,000","-38,037,000","0"
EBIT,"1,133,005,000","313,057,000","298,424,000","257,360,000","264,164,000","257,470,000","261,571,000","220,861,000","210,262,000","229,990,000","217,633,000","218,883,000","200,941,000","215,792,000","209,293,000","205,461,000","204,951,000","187,211,000","179,690,000","176,312,000","85,377,000","160,653,000","144,859,000","143,015,000","139,067,000","133,670,000","116,834,000","109,779,000","101,902,000","100,397,000","92,441,000","82,121,000","63,524,000","55,915,000","41,642,000","26,663,000","16,312,000","-5,431,000","-6,155,000","-477,000"
EBITDA,"1,835,815,000"
ReconciledCostOfRevenue,"702,810,000","187,862,000","183,788,000","171,689,000","159,471,000","153,548,000","149,703,000","142,600,000","136,134,000","130,400,000","127,553,000","126,490,000","123,909,000","118,720,000","113,251,000","112,136,000","108,575,000","106,300,000","102,046,000","98,402,000","91,012,000","90,921,000","86,119,000","81,475,000","78,142,000","75,580,000","71,811,000","68,783,000","63,863,000","216,219,000","0","0","0","0","0","0","0","0","0","0"
ReconciledDepreciation,"702,810,000","187,862,000","183,788,000","171,689,000","159,471,000","153,548,000","149,703,000","142,600,000","136,134,000","130,400,000","127,553,000","126,490,000","123,909,000","118,720,000","113,251,000","112,136,000","108,575,000","106,300,000","102,046,000","98,402,000","91,012,000","90,921,000","86,119,000","81,475,000","78,142,000","75,580,000","71,811,000","68,783,000","63,863,000","61,414,000","57,932,000","52,537,000","44,336,000","38,876,000","30,657,000","24,644,000","18,130,000","6,301,000","327,000","0"
NetIncomeFromContinuingOperationNetMinorityInterest,"587,121,000","164,935,000","155,787,000","128,305,000","138,094,000","138,399,000","146,574,000","115,211,000","110,651,000","471,102,000","99,188,000","100,925,000","84,937,000","96,988,000","93,276,000","91,803,000","92,858,000","80,899,000","77,042,000","76,118,000","19,332,000","70,131,000","62,433,000","62,037,000","61,397,000","58,847,000","48,578,000","42,990,000","39,996,000","39,809,000","37,011,000","28,172,000","26,927,000","24,762,000","18,271,000","7,023,000","3,176,000","-7,747,000","-40,664,000","-477,000"
TotalUnusualItemsExcludingGoodwill,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-72,000,000",,,,,,,,,,,,,,,,,,,
TotalUnusualItems,,,,,,,,,,,,,,"0","0","0","0","0","0","0","-72,000,000",,,,,,,,,,,,,,,,,,,
NormalizedEBITDA,"1,835,815,000","500,919,000","482,212,000","429,049,000","423,635,000","411,018,000","411,274,000","363,461,000","346,396,000","360,390,000","345,186,000","345,373,000","324,850,000","334,512,000","322,544,000","317,597,000","313,526,000","293,511,000","281,736,000","274,714,000","248,389,000","251,574,000","230,978,000","224,490,000","217,209,000","209,250,000","188,645,000","178,562,000","165,765,000","161,811,000","150,373,000","134,658,000","107,860,000","94,791,000","72,299,000","51,307,000","34,442,000","870,000","-5,828,000","-477,000"
TaxRateForCalcs,"0.202","0.201","0.196","0.201","0.211","0.195","0.183","0.218","0.217","0.4","0.356","0.353","0.366","0.351","0.355","0.355","0.355","0.354","0.356","0.356","0.355","0.351","0.352","0.352","0.352","0.35","0.351","0.352","0.351","0.35","0.353","0.358","0.353","0.36","0.355","0.355","0.355","0.311","0.09","0"
TaxEffectOfUnusualItems,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","-25,560,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
