name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
DilutedNIAvailtoComStockholders,"261,300,000","271,500,000","265,700,000","245,217,000","197,058,000","182,999,000","138,720,000","106,000,000","80,362,000","58,860,000","13,719,000","9,151,000","-252,586,000","21,549,000","37,304,000","49,800,000","42,671,000","35,547,000","32,316,000","21,754,000","24,313,000","19,200,000","10,800,000","6,000,000","4,000,000","3,400,000"
BasicEPS,,"11.703","11.552","9.78","7.837","6.96","5.31","4.11","3.13","2.24","0.522","0.355","-12.62","1.1","1.91","2.6","2.27","1.94","1.88","1.63","1.95","1.72","1.18","0.85","0.81","0.64"
DilutedEPS,,"11.6","10.86","9.75","7.72","6.91","5.26","4.05","3.07","2.21","0.52","0.355","-12.62","1.06","1.77","2.37","2.13","1.92","1.84","1.6","1.76","1.6","1.14","0.82","0.81","0.6"
BasicAverageShares,,"23,200,000","23,000,000","25,065,000","25,144,000","26,290,000","26,121,000","25,805,000","25,696,000","26,230,000","26,285,000","21,000,000","20,017,000","19,530,000","19,485,000","19,175,000","18,773,000","18,289,000","17,233,000","13,371,000","12,447,000","11,162,791","9,152,542","7,058,824","4,973,000","5,312,500"
DilutedAverageShares,,"23,400,000","24,500,000","25,145,000","25,521,000","26,490,000","26,382,000","26,191,000","26,170,000","26,664,000","26,285,000","22,176,000","20,017,000","22,082,000","22,102,000","21,807,000","20,647,000","18,546,000","17,598,000","13,612,000","13,804,000","12,000,000","9,473,684","7,317,073","7,777,778","5,666,667"
TotalOperatingIncomeAsReported,"479,300,000","495,000,000","447,000,000","408,986,000","338,364,000","302,735,000","231,899,000","183,518,000","148,369,000","111,991,000","47,940,000","34,150,000","-259,776,000","93,427,000","114,837,000","119,217,000","96,847,000","80,227,000","70,853,000","58,158,000","64,464,000","47,300,000","26,600,000","11,600,000","3,900,000","4,400,000"
RentExpenseSupplemental,"41,300,000","41,300,000","43,300,000","33,399,000","26,785,000","23,817,000","17,230,000","13,962,000","15,162,000",,,,,,,,,,,,,,,,,
TotalExpenses,"12,155,000,000","12,184,800,000","11,387,900,000","9,677,524,000","8,325,801,000","7,541,393,000","5,156,574,000","3,822,231,000","3,168,003,000","2,585,993,000","2,068,357,000","1,708,189,000","2,397,580,000","3,125,574,000","3,058,057,000","2,816,202,000","2,648,940,000","2,433,275,000","2,306,107,000","1,815,030,000","1,594,147,000","1,195,400,000","688,100,000","308,200,000","138,900,000","109,800,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"261,300,000","271,500,000","265,700,000","245,217,000","197,058,000","182,999,000","138,720,000","106,000,000","80,362,000","58,860,000","13,719,000","9,151,000","-252,586,000","21,549,000","37,304,000","49,800,000","42,671,000","35,547,000","32,316,000","21,754,000","24,313,000","19,200,000","10,800,000","6,000,000","4,000,000","3,400,000"
NormalizedIncome,"255,883,333.333","266,366,700","255,075,500","245,217,000","206,782,440","197,025,428","136,733,332","105,214,000","79,466,070","56,192,248.78","23,145,569.784","9,627,300","-1,108,542.216","25,511,200","39,748,882.537","51,081,496.297","43,504,749.867","36,209,498.851","32,734,296.403","22,005,746.874","23,872,678.563","19,140,000","10,253,932.584","5,494,736.842","3,220,000","2,680,000"
InterestExpense,"131,000,000","133,400,000","118,300,000","74,112,000","48,738,000","39,025,000","24,603,000","20,723,000","22,437,000","23,512,000","25,169,000","24,941,000",,,,,,,,,,,,,,
NetInterestIncome,"-131,000,000","-133,400,000","-118,300,000","-74,112,000","-48,738,000","-39,025,000","-24,603,000","-20,723,000","-22,437,000","-23,512,000","-25,169,000","-24,941,000",,,,,,,,,,,,,,
EBIT,"492,800,000","508,800,000","455,800,000","421,181,000","332,261,000","301,729,000","235,098,000","186,511,000","150,894,000","112,687,000","48,362,000","35,644,000","-259,776,000","93,427,000","114,837,000","119,217,000","96,847,000","80,227,000","70,853,000","58,158,000","64,464,000","47,300,000","26,600,000","11,600,000","3,900,000","4,400,000"
EBITDA,"577,400,000"
ReconciledCostOfRevenue,"10,662,800,000","10,718,900,000","10,044,400,000","8,570,424,000","7,376,842,000","6,688,618,000","4,567,004,000","3,374,796,000","2,777,001,000","2,241,500,000","1,750,159,000","1,419,123,000","1,767,760,000","2,673,889,000","2,634,020,000","2,430,713,000","2,285,851,000","2,109,691,000","2,002,157,000","1,566,713,000","1,391,042,000","1,043,400,000","599,400,000","265,100,000","116,800,000","91,200,000"
ReconciledDepreciation,"84,600,000","82,400,000","75,400,000","57,722,000","49,369,000","41,600,000","26,363,000","20,035,000","17,314,000","16,948,000","17,586,000","18,821,000","17,732,000","21,342,000","17,468,000","14,498,000","13,143,000","10,295,000","7,813,000","9,275,000","7,605,000","5,600,000","3,500,000","2,500,000","1,800,000","1,900,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"261,300,000","271,500,000","265,700,000","245,217,000","197,058,000","182,999,000","135,540,000","105,214,000","79,395,000","55,767,000","14,100,000","6,064,000","-199,148,000","25,984,000","40,337,000","51,793,000","42,573,000","35,637,000","32,316,000","21,754,000","24,313,000","19,200,000","10,800,000","6,000,000","4,000,000","3,400,000"
TotalUnusualItemsExcludingGoodwill,"7,500,000","7,100,000","13,500,000",,"-13,992,000","-20,124,000","-1,853,000","0","-115,000","-680,000","-14,879,000","-5,482,000","-289,232,000","788,000","958,000","1,178,000","-1,520,000","-951,000","-683,000","-410,000","716,000","100,000","900,000","800,000","1,300,000","1,200,000"
TotalUnusualItems,"7,500,000","7,100,000","13,500,000",,"-13,992,000","-20,124,000","-1,853,000","0","-115,000","-680,000","-14,879,000","-5,482,000","-289,232,000","788,000","958,000","1,178,000","-1,520,000","-951,000","-683,000","-410,000","716,000","100,000","900,000","800,000","1,300,000","1,200,000"
NormalizedEBITDA,"569,900,000","584,100,000","517,700,000","478,903,000","395,622,000","363,453,000","263,314,000","206,546,000","168,323,000","130,315,000","80,827,000","59,947,000","47,188,000","113,981,000","131,347,000","132,537,000","111,510,000","91,473,000","79,349,000","67,843,000","71,353,000","52,800,000","29,200,000","13,300,000","4,400,000","5,100,000"
TaxRateForCalcs,"0.278","0.277","0.213","0.293","0.305","0.303","0.356","0.365","0.382","0.375","0.392","0.35","0.315","0.4","0.386","0.396","0.387","0.398","0.388","0.386","0.385","0.4","0.393","0.368","0.4","0.4"
TaxEffectOfUnusualItems,"2,083,333.333","1,966,700","2,875,500","0","-4,267,560","-6,097,572","-659,668","0","-43,930","-254,751.22","-5,833,430.216","-1,918,700","-91,192,542.216","315,200","369,882.537","466,496.297","-588,250.133","-378,501.149","-264,703.597","-158,253.126","275,678.563","40,000","353,932.584","294,736.842","520,000","480,000"
