name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,08/31/2007,08/31/2006,08/31/2005,08/31/2004
NetNonOperatingInterestIncomeExpense,"-2,331,000,000","-2,331,000,000","-2,055,000,000","-1,922,000,000","-1,832,000,000","-1,643,000,000","-1,369,000,000","-1,221,000,000","-1,080,000,000","-739,811,000","-624,887,000","-468,420,000","-357,541,000",,,,
	InterestExpenseNonOperating,"2,331,000,000","2,331,000,000","2,055,000,000","1,922,000,000","1,832,000,000","1,643,000,000","1,369,000,000","1,221,000,000","1,018,000,000","739,811,000","624,887,000","468,420,000","357,541,000",,,,
	TotalOtherFinanceCost,,,"2,055,000,000","1,922,000,000","1,832,000,000","1,643,000,000",,,"62,000,000",,,,,,,,
OtherIncomeExpense,"74,000,000","74,000,000","-90,000,000","-1,120,000,000","-1,330,000,000","-102,000,000","-54,000,000","-476,000,000","1,157,000,000","50,122,000","-60,280,000","65,122,000","-57,800,000","-1,149,000","-4,688,000","4,935,000","395,126,000"
	GainOnSaleOfSecurity,"-241,000,000","-241,000,000","47,000,000","-37,000,000","-12,000,000","-18,000,000","-157,000,000","53,000,000","-19,000,000",,,,,,,,
	EarningsFromEquityInterest,"302,000,000","302,000,000","344,000,000","144,000,000","270,000,000","276,000,000","332,000,000","236,000,000","212,000,000","117,188,000","65,220,000","20,597,000","-165,000","5,161,000","-479,000","-376,000",
	SpecialIncomeCharges,"-92,000,000","-92,000,000","-543,000,000","-1,441,000,000","-1,712,000,000","-382,000,000","-218,000,000","-764,000,000","934,000,000","-67,066,000","-125,500,000","44,525,000","-57,635,000","-6,310,000","-4,209,000","5,311,000","395,126,000"
		RestructuringAndMergernAcquisition,,,"0",,"-83,000,000",,,,,,,,,,,,
		ImpairmentOfCapitalAssets,"74,000,000","74,000,000","431,000,000","1,039,000,000","1,487,000,000","339,000,000","370,000,000","689,000,000","0","5,355,000","52,620,000",,,,,,
		WriteOff,"0","0","0","313,000,000","308,000,000",,,"0","0",,,,,,,,
		OtherSpecialCharges,"18,000,000","18,000,000","112,000,000","89,000,000","-124,000,000","43,000,000","25,000,000","162,000,000","123,000,000","61,711,000","72,880,000","-46,089,000","56,332,000",,,,
		GainOnSaleOfBusiness,,,"0",,"0",,"177,000,000","87,000,000","1,057,000,000",,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,"-5,255,000","-1,564,000","-1,303,000",,,,
	OtherNonOperatingIncomeExpenses,"105,000,000","105,000,000","62,000,000","214,000,000","124,000,000","22,000,000","-11,000,000","-1,000,000","30,000,000",,,,,,,,
PretaxIncome,"5,094,000,000","5,094,000,000","3,634,000,000","710,000,000","-176,000,000","993,000,000","1,417,000,000","375,000,000","1,437,000,000","545,130,000","351,562,000","707,100,000","683,562,000","563,359,000","433,907,000","104,849,000","449,551,000"
TaxProvision,"195,000,000","195,000,000","4,000,000","-1,833,000,000","-217,000,000","-100,000,000","357,000,000","93,000,000","54,000,000","16,883,000","13,738,000","9,229,000","3,808,000","11,391,000","23,015,000","4,397,000","2,792,000"
NetIncomeCommonStockholders,"3,588,000,000","3,588,000,000","1,658,000,000","915,000,000","983,000,000","1,183,000,000","629,000,000","196,000,000","302,000,000","308,852,000","192,161,000","441,103,000","375,044,000","319,360,000","107,140,000","146,746,000","445,779,000"
	NetIncome,"3,592,000,000","3,592,000,000","1,694,000,000","954,000,000","995,000,000","1,189,000,000","633,000,000","196,000,000","304,000,000","309,811,000","192,758,000","442,473,000","375,044,000","319,360,000","107,140,000","146,746,000","450,217,000"
		NetIncomeIncludingNoncontrollingInterests,"4,899,000,000","4,899,000,000","3,365,000,000","2,366,000,000","41,000,000","1,093,000,000","1,124,000,000","315,000,000","1,274,000,000","528,247,000","336,580,000","697,871,000","679,754,000","551,968,000","410,892,000","243,692,000","485,381,000"
			NetIncomeContinuousOperations,"4,899,000,000","4,899,000,000","3,630,000,000","2,543,000,000","41,000,000","1,093,000,000","1,060,000,000","282,000,000","1,383,000,000","528,247,000","337,824,000","697,871,000","679,754,000","319,360,000","107,140,000","100,452,000","446,759,000"
			NetIncomeDiscontinuousOperations,"0","0","-265,000,000","-177,000,000","0","0","64,000,000","33,000,000","-109,000,000","0","-1,244,000",,,,,"46,294,000","6,916,000"
		MinorityInterests,"-1,307,000,000","-1,307,000,000","-1,671,000,000","-1,412,000,000","954,000,000","96,000,000","-491,000,000","-119,000,000","-970,000,000","-218,436,000","-143,822,000","-255,398,000","-304,710,000","-232,608,000","-303,752,000","-96,946,000","-35,164,000"
	PreferredStockDividends,"4,000,000","4,000,000","3,000,000","2,000,000","3,000,000","3,000,000","2,000,000",,"2,000,000","959,000","597,000","1,370,000",,,,,
	OtherunderPreferredStockDividend,"0","0","33,000,000","37,000,000","9,000,000","3,000,000","2,000,000",,,,,,,,,,"4,438,000"
DilutedNIAvailtoComStockholders,"3,588,000,000","3,588,000,000","1,658,000,000","915,000,000","983,000,000","1,183,000,000","629,000,000","196,000,000","302,000,000",,"192,758,000","441,103,000","375,044,000","319,360,000","107,140,000","146,746,000","445,779,000"
BasicEPS,,,"1.16","0.85","0.94","1.11","0.58","0.175","0.283","0.348","0.215","0.495","0.42","0.39","0.2","0.178","0.623"
DilutedEPS,,,"1.15","0.83","0.92","1.11","0.575","0.175","0.283","0.345","0.215","0.495","0.42","0.388","0.198","0.15","0.46"
BasicAverageShares,,,"1,423,800,000","1,078,200,000","1,045,500,000","1,062,800,000","1,095,000,000","1,121,800,000","1,069,026,549","891,873,044","891,764,624","891,592,812","891,319,824","818,314,876","535,280,704","822,996,056","716,650,544"
DilutedAverageShares,,,"1,461,400,000","1,150,800,000","1,078,600,000","1,064,400,000","1,095,000,000","1,121,800,000","1,069,026,549","891,873,044","891,764,624","891,592,812","891,319,824","818,314,876","535,280,704","976,331,976","969,919,280"
TotalOperatingIncomeAsReported,"7,277,000,000","7,277,000,000","5,348,000,000","2,713,000,000","1,499,000,000","2,399,000,000","2,470,000,000","1,551,000,000","1,360,000,000","1,234,819,000","1,036,729,000","1,110,398,000","1,098,903,000","809,336,000","575,540,000","297,921,000","130,806,000"
TotalExpenses,"46,862,000,000","46,862,000,000","48,308,000,000","36,771,000,000","34,518,000,000","39,388,000,000","52,851,000,000","46,263,000,000","15,604,000,000","7,005,884,000","5,561,403,000","4,306,897,000","8,194,464,000","5,982,701,000","7,283,556,000","5,870,877,000","2,216,151,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"3,592,000,000","3,592,000,000","1,694,000,000","954,000,000","995,000,000","1,189,000,000","633,000,000","196,000,000","304,000,000","309,811,000","192,758,000","442,473,000","375,044,000","319,360,000","107,140,000","146,746,000","450,217,000"
NormalizedIncome,"3,912,252,650.177","3,912,252,650.177","2,454,454,045.129","2,017,800,000","2,029,400,000","1,429,000,000","849,522,230.064","697,672,000","-467,615,866.388","374,799,926.131","314,597,832.314","398,529,135.943","432,357,925.862","325,542,413.133","111,125,749.084","95,363,724.747","50,628,985.848"
InterestExpense,"2,331,000,000","2,331,000,000","2,055,000,000","1,922,000,000","1,832,000,000","1,643,000,000","1,369,000,000","1,221,000,000","1,018,000,000","739,811,000","624,887,000","468,420,000","357,541,000",,,,
NetInterestIncome,"-2,331,000,000","-2,331,000,000","-2,055,000,000","-1,922,000,000","-1,832,000,000","-1,643,000,000","-1,369,000,000","-1,221,000,000","-1,080,000,000","-739,811,000","-624,887,000","-468,420,000","-357,541,000",,,,
EBIT,"7,425,000,000","7,425,000,000","5,779,000,000","2,632,000,000","1,656,000,000","2,636,000,000","2,786,000,000","1,596,000,000","2,455,000,000","1,284,941,000","976,449,000","1,175,520,000","1,041,103,000","809,336,000","575,540,000","297,921,000","130,806,000"
EBITDA,"10,572,000,000"
ReconciledCostOfRevenue,"39,727,000,000","39,727,000,000","41,658,000,000","30,966,000,000","28,656,000,000","34,009,000,000","48,389,000,000","42,554,000,000","13,088,000,000","6,101,917,000","4,895,883,000","3,122,056,000","7,719,911,000","5,071,515,000","6,987,346,000","5,695,123,000","1,979,175,000"
ReconciledDepreciation,"3,147,000,000","3,147,000,000","2,859,000,000","2,554,000,000","2,359,000,000","2,079,000,000","1,724,000,000","1,313,000,000","871,000,000","611,809,000","431,199,000","325,024,000","274,372,000","198,074,000","133,595,000","111,697,000","58,491,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"3,592,000,000","3,592,000,000","1,959,000,000","1,131,000,000","995,000,000","1,189,000,000","569,000,000","163,000,000","413,000,000","309,811,000","194,002,000","442,473,000","375,044,000","319,360,000","107,140,000","100,452,000","443,301,000"
TotalUnusualItemsExcludingGoodwill,"-333,000,000","-333,000,000","-496,000,000","-1,478,000,000","-1,724,000,000","-400,000,000","-375,000,000","-711,000,000","915,000,000","-67,066,000","-125,500,000","44,525,000","-57,635,000","-6,310,000","-4,209,000","5,311,000","395,126,000"
TotalUnusualItems,"-333,000,000","-333,000,000","-496,000,000","-1,478,000,000","-1,724,000,000","-400,000,000","-375,000,000","-711,000,000","915,000,000","-67,066,000","-125,500,000","44,525,000","-57,635,000","-6,310,000","-4,209,000","5,311,000","395,126,000"
NormalizedEBITDA,"10,905,000,000","10,905,000,000","9,134,000,000","6,664,000,000","5,739,000,000","5,115,000,000","4,885,000,000","3,620,000,000","2,411,000,000","1,963,816,000","1,533,148,000","1,456,019,000","1,373,110,000","1,013,720,000","713,344,000","404,307,000","-205,829,000"
TaxRateForCalcs,"0.038","0.038","0.001","0.4","0.4","0.4","0.252","0.248","0.038","0.031","0.039","0.013","0.006","0.02","0.053","0.042","0.006"
TaxEffectOfUnusualItems,"-12,747,349.823","-12,747,349.823","-545,954.871","-591,200,000","-689,600,000","-160,000,000","-94,477,769.936","-176,328,000","34,384,133.612","-2,077,073.869","-4,904,167.686","581,135.943","-321,074.138","-127,586.867","-223,250.916","222,724.747","2,453,985.848"
