name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
	EarningsFromEquityInterest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-368,000","-437,000","-476,000","-161,000","-190,000","0","-460,000","-1,755,000","-168,000","-169,000","-205,000","-413,000","-197,000","-251,000","-226,000"
	SpecialIncomeCharges,"-47,000,000","-800,000","-8,700,000","-16,700,000","-20,800,000","-2,300,000","-6,700,000","-5,900,000","-8,600,000","-8,800,000","-7,900,000","-5,900,000","-5,200,000","-65,400,000",,,,,,,"0","-246,000",,,,,,,,,,"41,000",,,,,,,,,,,,,,
		RestructuringAndMergernAcquisition,"47,000,000","800,000","8,700,000","16,700,000","20,800,000","2,300,000","6,700,000","5,900,000","8,600,000","8,800,000","7,900,000","5,900,000","5,200,000","65,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,,,,,,,,,,,,,,,"0","246,000",,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"7,300,000","-1,600,000","2,800,000","1,700,000","4,400,000","-8,800,000","8,900,000","-200,000",,"1,300,000","5,800,000","-2,900,000","800,000","100,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"591,100,000","217,500,000","114,200,000","140,900,000","119,600,000","127,800,000","175,700,000","116,300,000","119,800,000","159,400,000","104,100,000","105,900,000","106,100,000","18,300,000","74,987,000","67,336,000","83,814,000","80,467,000","79,664,000","101,451,000","73,631,000","69,277,000","83,946,000","74,813,000","69,395,000","81,543,000","72,153,000","67,910,000","74,885,000","68,709,000","59,398,000","60,534,000","65,658,000","56,962,000","52,337,000","74,565,000","56,290,000","56,892,000","49,956,000","34,698,000","41,568,000","38,402,000","56,572,000","32,776,000","47,493,000","40,389,000"
TaxProvision,"158,100,000","60,100,000","27,900,000","35,000,000","35,100,000","32,600,000","37,300,000","30,600,000","36,800,000","41,300,000","-153,000,000","45,600,000","38,100,000","3,100,000","29,825,000","26,885,000","32,883,000","31,291,000","29,262,000","33,935,000","28,786,000","27,018,000","34,604,000","26,447,000","26,414,000","32,519,000","26,043,000","26,554,000","28,724,000","26,336,000","19,674,000","14,776,000","27,162,000","23,545,000","20,530,000","33,238,000","22,889,000","24,021,000","18,579,000","14,244,000","16,678,000","15,726,000","21,668,000","13,616,000","19,384,000","16,111,000"
NetIncomeCommonStockholders,"435,100,000","157,000,000","86,100,000","105,500,000","87,600,000","94,600,000","137,400,000","85,000,000","82,400,000","117,300,000","254,600,000","59,700,000","67,300,000","15,100,000","44,971,000","40,280,000","50,719,000","49,198,000","50,180,000","67,219,000","44,646,000","42,079,000","49,119,000","48,146,000","42,598,000","48,528,000","45,643,000","40,955,000","45,477,000","41,789,000","39,273,000","45,243,000","37,903,000","32,863,000","31,277,000","40,597,000","32,609,000","32,089,000","30,147,000","20,454,000","24,890,000","22,676,000","34,904,000","19,160,000","28,109,000","24,278,000"
	NetIncome,"436,900,000","157,400,000","86,300,000","106,000,000","88,300,000","95,400,000","138,800,000","86,000,000","83,300,000","118,100,000","257,400,000","60,500,000","68,300,000","15,500,000","45,470,000","40,721,000","51,230,000","49,400,000","50,402,000","67,516,000","44,845,000","42,259,000","49,342,000","48,366,000","42,981,000","49,024,000","46,110,000","41,356,000","46,161,000","42,373,000","39,724,000","45,758,000","38,496,000","33,417,000","31,807,000","41,327,000","33,401,000","32,871,000","31,377,000","20,454,000","24,890,000","22,676,000","34,904,000","19,160,000","28,109,000","24,278,000"
		NetIncomeIncludingNoncontrollingInterests,"433,000,000","157,400,000","86,300,000","105,900,000","84,500,000","95,200,000","138,400,000","85,700,000","83,000,000","118,100,000","257,100,000","60,300,000","68,000,000","15,200,000","45,162,000","40,451,000","50,931,000","49,176,000","50,402,000","67,516,000","44,845,000","42,259,000","49,342,000","48,366,000","42,981,000","49,024,000","46,110,000","41,356,000","46,161,000","42,373,000","39,724,000","45,758,000","38,496,000","33,417,000","31,807,000","41,327,000","33,401,000","32,871,000","31,377,000","20,454,000","24,890,000","22,676,000","34,904,000","19,160,000","28,109,000","24,278,000"
