name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
		CurrentDeferredLiabilities,"0","0","7,311,000","4,834,000","4,901,000","6,759,000","5,629,000","3,812,000","6,885,000","5,938,000","4,254,000","2,935,000","3,321,000","1,635,000","1,448,000","1,155,000","1,447,000","2,605,000","3,306,000","2,607,000","3,008,000","2,245,000","2,893,000","4,030,000","2,085,000","2,379,000","2,299,000","2,930,000","3,106,000","4,462,000","4,375,000","2,937,000","3,281,000","1,961,000","1,891,000","2,270,000","1,845,000","1,473,000",,,
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,"0","0","326,000","721,000",,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,"0","0","7,311,000","4,834,000","4,901,000","6,759,000","5,629,000","3,812,000","6,885,000","5,938,000","4,254,000","2,935,000","3,321,000","1,635,000","1,448,000","1,155,000","1,447,000","1,353,000","2,019,000","1,096,000","1,261,000","1,350,000","2,000,000","3,102,000","1,330,000","1,619,000","1,498,000","2,087,000","2,230,000","3,584,000","3,608,000","2,937,000","3,281,000","1,961,000","1,891,000","2,270,000","1,845,000","1,473,000",,,
		OtherCurrentLiabilities,,,,,,,,,,"20,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,527,416,000","1,530,235,000","1,550,299,000","1,536,218,000","2,330,310,000","2,410,956,000","2,403,930,000","2,382,538,000","2,417,888,000","2,461,680,000","2,459,307,000","2,451,108,000","2,422,428,000","1,431,462,000","1,470,436,000","1,470,601,000","1,396,250,000","1,418,991,000","1,397,821,000","642,902,000","375,028,000","363,256,000","43,323,000","458,876,000","258,368,000","42,841,000","44,652,000","47,809,000","51,071,000","52,918,000","64,254,000","67,142,000","31,185,000","48,368,000","51,255,000","40,985,000","39,317,000","42,450,000","38,435,000","0","3,133,000"
		LongTermDebtAndCapitalLeaseObligation,"1,352,841,000","1,347,360,000","1,366,778,000","1,358,121,000","1,896,684,000","1,890,812,000","1,885,118,000","1,866,581,000","1,891,030,000","1,889,077,000","1,883,844,000","1,880,762,000","1,799,743,000","1,143,224,000","1,139,687,000","1,136,180,000","1,141,115,000","1,137,011,000","1,132,898,000","566,914,000","297,169,000","297,022,000",,"112,774,000","110,762,000","29,672,000","31,938,000","34,403,000","36,866,000","39,366,000","47,141,000","50,351,000","15,834,000","17,467,000","19,113,000","14,794,000","14,518,000","11,634,000","7,576,000",,"3,133,000"
			LongTermDebt,"1,352,841,000","1,347,360,000","1,366,778,000","1,358,121,000","1,896,684,000","1,890,812,000","1,885,118,000","1,866,581,000","1,891,030,000","1,889,077,000","1,883,844,000","1,880,762,000","1,799,743,000","1,143,224,000","1,139,687,000","1,136,180,000","1,141,115,000","1,137,011,000","1,132,898,000","566,914,000","297,169,000","297,022,000",,"112,774,000","110,762,000","29,672,000","31,938,000","34,403,000","36,866,000","39,366,000","47,141,000","50,351,000","15,834,000","17,467,000","19,113,000","14,794,000","14,518,000","11,634,000","7,576,000",,"3,133,000"
		NonCurrentDeferredLiabilities,"94,247,000","112,968,000","109,443,000","108,668,000","93,630,000","156,848,000","157,404,000","157,472,000","167,658,000","235,955,000","218,677,000","250,347,000","304,331,000","103,737,000","139,953,000","142,227,000","122,185,000","152,272,000","131,043,000","27,266,000","27,714,000","12,712,000","12,399,000","10,920,000","13,048,000","13,004,000","12,511,000","13,168,000","13,962,000","13,429,000","16,992,000","16,663,000","15,227,000","30,900,000","32,141,000","26,190,000","24,798,000","30,814,000","30,857,000",,
			NonCurrentDeferredTaxesLiabilities,"94,247,000","112,968,000","109,443,000","108,668,000","93,630,000","156,848,000","157,404,000","157,472,000","157,945,000","226,113,000","210,821,000","242,708,000","296,568,000","95,583,000","131,587,000","133,648,000","113,400,000","142,702,000","121,039,000","19,965,000","19,570,000","4,083,000","3,102,000","2,903,000","3,362,000","3,496,000","3,148,000","3,437,000","4,408,000","4,615,000","8,948,000","9,668,000","9,561,000","24,895,000","26,539,000","26,190,000","24,798,000","30,814,000","30,857,000",,
			NonCurrentDeferredRevenue,,,,,"0","0",,"0","9,713,000","9,842,000","7,856,000","7,639,000","7,763,000","8,154,000","8,366,000","8,579,000","8,785,000","9,570,000","10,004,000","7,301,000","8,144,000","8,629,000","9,297,000","8,017,000","9,686,000","9,508,000","9,363,000","9,731,000","9,554,000","8,814,000","8,044,000","6,995,000","5,666,000","6,005,000","5,602,000",,,,,,
