name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
		FeesAndCommissions,"2,127,373,000,000","2,127,373,000,000","2,033,295,000,000","1,870,713,000,000","1,455,860,000,000","1,419,064,000,000","1,276,326,000,000","1,375,029,000,000","1,486,369,000,000","1,794,750,000,000","2,618,330,000,000","2,538,872,000,000","2,546,150,000,000","2,584,708,806,977.71","2,184,577,301,978.94","2,000,187,869,178.12","1,856,719,000,000","2,297,515,000,000","2,334,220,639,775.76","1,422,785,811,633","1,524,600,501,877.5",
			FeesandCommissionIncome,"3,879,247,000,000","3,879,247,000,000","3,717,720,000,000","3,988,250,000,000","3,150,877,000,000","2,971,095,000,000","2,666,185,000,000","2,657,365,000,000","2,778,668,000,000","2,829,754,000,000","2,618,330,000,000","2,538,872,000,000","2,546,150,000,000","2,584,708,806,977.71","2,184,577,301,978.94","2,000,187,869,178.12","1,856,719,000,000","2,297,515,000,000","2,334,220,639,775.76","1,422,785,811,633","1,524,600,501,877.5",
				ServiceChargeOnDepositorAccounts,"1,099,285,000,000","1,099,285,000,000","1,154,695,000,000","1,094,839,000,000","783,519,000,000","619,755,000,000","573,501,000,000","672,548,000,000","750,991,000,000",,,,,,,,,,,,,
				TrustFeesbyCommissions,"542,150,000,000","542,150,000,000","496,424,000,000","486,792,000,000","338,960,000,000","375,588,000,000","320,103,000,000","254,015,000,000","253,223,000,000",,"212,819,000,000","188,980,000,000","165,459,000,000","159,264,981,611.05","148,472,455,860.63","144,268,012,440.81","147,589,000,000","303,328,750,000","375,785,290,500.94","217,445,467,024.2","1,524,600,501,877.5",
				SecuritiesActivities,,,,,,"88,111,000,000","68,249,000,000","68,158,000,000","67,858,000,000",,,,,,,,,,,,,
				CreditCard,"1,316,636,000,000","1,316,636,000,000","1,360,515,000,000","1,447,560,000,000","1,258,704,000,000","1,223,221,000,000","1,106,601,000,000","1,126,944,000,000","1,179,618,000,000",,,,,,,,,,,,,
				OtherCustomerServices,"921,176,000,000","921,176,000,000","706,086,000,000","959,059,000,000","769,694,000,000","664,420,000,000","597,731,000,000","535,700,000,000","526,978,000,000",,"2,405,511,000,000","2,349,892,000,000","2,380,691,000,000","2,425,443,825,366.66","2,036,104,846,118.31","1,855,919,856,737.31","1,709,130,000,000","1,994,186,250,000","1,958,435,349,274.82","1,205,340,344,608.8",,
			FeesandCommissionExpense,"1,751,874,000,000","1,751,874,000,000","1,684,425,000,000","2,117,537,000,000","1,695,017,000,000","1,552,031,000,000","1,389,859,000,000","1,282,336,000,000","1,292,299,000,000","1,035,004,000,000",,,,,,,,,,,,
		DividendIncome,"54,768,000,000","54,768,000,000","83,930,000,000","276,829,000,000","134,989,000,000","96,829,000,000","78,298,000,000","64,441,000,000","91,882,000,000",,"91,866,000,000","81,017,000,000",,,,,,,,,,
		TradingGainLoss,,,,,,,,,,,"397,921,000,000","164,612,000,000","104,141,000,000",,,,,,,,,
		ForeignExchangeTradingGains,"213,409,000,000","213,409,000,000","60,324,000,000","47,511,000,000","264,355,000,000","58,040,000,000","33,879,000,000","-279,885,000,000","-316,770,000,000",,"1,936,634,000,000","1,148,189,000,000",,,,,,,,,,
		GainLossonSaleofAssets,"931,077,000,000","931,077,000,000","643,024,000,000","630,725,000,000","148,554,000,000","526,638,000,000","329,734,000,000","758,009,000,000","503,421,000,000","1,035,867,000,000","-27,291,000,000","0","0","1,017,889,515,266.54","81,143,439,831.63","96,826,221,678.06","95,681,000,000","406,012,500,000","130,344,009,445.6","157,057,819,044.45","1,741,219,970,362.5",
			GainOnSaleOfSecurity,"867,039,000,000","867,039,000,000","486,437,000,000","630,725,000,000","148,554,000,000","526,638,000,000","329,734,000,000","758,009,000,000","503,421,000,000","1,035,867,000,000","-27,291,000,000","0","0",,,,,,,,,
			GainonSaleofLoans,"61,307,000,000","61,307,000,000","37,871,000,000",,,,,,,,"37,028,000,000","97,130,000,000",,,,,,,,,,
			GainonSaleofInvestmentProperty,"2,731,000,000","2,731,000,000","118,716,000,000",,,,,,,,"1,759,000,000","431,104,000,000",,"1,017,889,515,266.54","81,143,439,831.63","96,826,221,678.06","95,681,000,000","406,012,500,000","130,344,009,445.6","157,057,819,044.45","1,741,219,970,362.5",
		OtherNonInterestIncome,"406,964,000,000","406,964,000,000","316,030,000,000","325,745,000,000","294,674,000,000","283,254,000,000","231,780,000,000","270,501,000,000","325,791,000,000","-1,092,009,000,000","374,185,000,000","542,040,000,000","211,597,000,000","412,529,027,091.79","480,979,329,684.48","716,867,193,210.81","752,075,000,000","352,061,250,000","633,310,794,565.22","123,222,076,517.4","501,305,940,592.5","-328,604,000,000"
CreditLossesProvision,"-670,185,000,000","-670,185,000,000","-673,694,000,000","-548,244,000,000","-539,283,000,000","-1,037,231,000,000","-1,227,976,000,000","-1,443,572,000,000","-1,607,804,000,000","-1,512,978,000,000","-3,568,040,000,000","-2,203,993,000,000","-2,313,454,000,000","-18,384,831,499.65","95,313,580,833.57","-606,610,372,947.15","-3,730,494,000,000","-7,516,416,250,000","-3,885,332,145,772.7","-1,255,382,394,665.7","-919,915,294,792.5","-306,151,000,000"
NonInterestExpense,"20,001,657,000,000","20,001,657,000,000","18,904,727,000,000","15,269,006,000,000","7,670,235,000,000","7,077,666,000,000","6,383,689,000,000","6,465,521,000,000","6,913,521,000,000","3,931,808,000,000","6,148,976,000,000","5,742,091,000,000","5,320,829,000,000","5,136,476,602,649.63","4,313,489,741,180.07","4,268,025,383,696.37","3,895,233,000,000","4,620,220,000,000","4,387,383,153,905.68","2,406,881,740,456.65","3,526,615,667,542.5","1,109,195,000,000"
	OccupancyAndEquipment,"35,484,000,000","35,484,000,000","34,927,000,000","32,111,000,000","25,346,000,000","26,068,000,000","28,471,000,000","26,431,000,000","25,777,000,000",,,,,,,,,,,"411,533,509,549.65","22,171,934,205",
		Equipment,"35,484,000,000","35,484,000,000","34,927,000,000","32,111,000,000","25,346,000,000","26,068,000,000","28,471,000,000","26,431,000,000","25,777,000,000",,,,,,,,,,,,,
