name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,12/31/2012
					IncomeTaxPayable,"45,489,000","319,333,000","181,387,000","157,973,000","119,210,000","292,179,000","204,682,000","155,687,000","144,379,000","315,356,000","282,924,000","287,065,000","256,775,000","283,191,000","240,652,000","201,884,000","224,973,000","149,720,000","102,207,000","78,469,000","74,763,000","13,840,000","17,904,000","39,639,000","20,204,000","13,831,000","2,063,000"
				DividendsPayable,,,,,"0","0","0","0","595,779,000",,,,,,,,,,,,,,,,,,
				DuetoRelatedPartiesCurrent,"36,387,000","22,830,000","19,525,000","26,867,000","19,868,000","66,073,000","24,416,000","10,400,000","10,285,000","6,970,000","11,357,000","17,899,000","16,630,000","17,072,000","20,305,000","7,926,000","23,444,000",,,,"33,000",,,,"567,000",,"0"
				OtherPayable,"535,535,000",,,,"641,021,000",,,,"421,729,000",,,,"324,670,000",,,,"242,557,000",,,,"171,002,000",,,,"327,469,000",,"53,405,000"
			CurrentAccruedExpenses,"1,678,069,000","2,623,716,000","2,364,244,000","2,284,155,000","1,562,497,000","2,061,263,000","1,639,513,000","1,527,341,000","1,102,449,000","1,385,796,000","1,027,026,000","1,004,946,000","677,592,000","937,927,000","738,811,000","796,642,000","533,421,000","616,244,000","498,432,000","570,063,000","317,708,000","403,879,000","370,034,000","271,602,000","219,144,000","242,431,000","152,507,000"
		CurrentDebtAndCapitalLeaseObligation,"52,781,000",,,,,,,,,,,,"31,063,000","958,586,000","879,578,000","238,978,000","174,943,000",,,,,,,,"2,358,000","1,586,000",
			CurrentDebt,,,,,,,,,,,,,"31,063,000","958,586,000","879,578,000","238,978,000","174,943,000",,,,,,,,"2,358,000","1,586,000",
				CurrentNotesPayable,,,,,,,,,"0","0","0","0","31,063,000","958,586,000","879,578,000","238,978,000","174,943,000",,,,,,,,,,
			CurrentCapitalLeaseObligation,"52,781,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"1,509,872,000","690,535,000","1,176,975,000","1,600,247,000","1,666,128,000","787,559,000","1,106,377,000","1,497,980,000","1,526,260,000","760,047,000","967,743,000","1,131,551,000","1,154,551,000","540,138,000","711,136,000","824,415,000","919,159,000","414,567,000","486,790,000","554,476,000","494,616,000","260,747,000","277,432,000","293,428,000","215,580,000","169,763,000","121,021,000"
			CurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","26,629,000"
			CurrentDeferredRevenue,"1,509,872,000","690,535,000","1,176,975,000","1,600,247,000","1,666,128,000","787,559,000","1,106,377,000","1,497,980,000","1,526,260,000","760,047,000","967,743,000","1,131,551,000","1,154,551,000","540,138,000","711,136,000","824,415,000","919,159,000","414,567,000","486,790,000","554,476,000","494,616,000","260,747,000","277,432,000","293,428,000","215,580,000","169,763,000","94,392,000"
		OtherCurrentLiabilities,,,,,,,,,,,,,,,,,,,,,"33,000",,"33,000","150,000","2,925,000",,
