name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2009,09/30/2009,06/30/2009,03/31/2009
		GainOnSaleOfPPE,"12,000,000"
PretaxIncome,"628,000,000","63,000,000","169,000,000","204,000,000","192,000,000","103,000,000","172,000,000","118,000,000","971,000,000","162,000,000","144,000,000","96,000,000","103,000,000","55,000,000","-369,000,000","116,000,000","81,000,000","115,000,000","156,000,000","99,000,000","298,287,000","120,611,000","248,278,000","36,034,000","227,331,000","124,503,000","230,255,000","384,977,000","360,461,000","203,396,000","474,890,000","515,102,000","332,771,000","256,515,000","264,262,000","193,265,000","228,764,000"
TaxProvision,"147,000,000","15,000,000","35,000,000","46,000,000","51,000,000","19,000,000","45,000,000","20,000,000","45,000,000","13,000,000","62,000,000","41,000,000","42,000,000","50,000,000","-22,000,000","5,000,000","22,000,000","23,000,000","34,000,000","24,000,000","81,270,000","35,582,000","67,265,000","-32,079,000","95,384,000","4,941,000","151,954,000","68,349,000","54,779,000","-8,742,000","79,265,000","107,192,000","43,311,000","52,284,000","6,230,000","34,435,000","75,543,000"
NetIncomeCommonStockholders,"475,000,000","48,000,000","130,000,000","158,000,000","139,000,000","82,000,000","129,000,000","101,000,000","928,000,000","155,000,000","84,000,000","57,000,000","68,000,000","32,000,000","-340,000,000","120,000,000","66,000,000","96,000,000","121,000,000","75,000,000","216,744,000","85,324,000","179,729,000","67,242,000","131,260,000","119,202,000","77,850,000","316,173,000","305,348,000","208,552,000","395,067,000","407,647,000","289,257,000","202,744,000","256,607,000","152,316,000","158,753,000"
	NetIncome,"475,000,000","48,000,000","130,000,000","158,000,000","139,000,000","82,000,000","129,000,000","101,000,000","928,000,000","155,000,000","84,000,000","57,000,000","68,000,000","32,000,000","-340,000,000","120,000,000","66,000,000","96,000,000","121,000,000","75,000,000","216,744,000","85,324,000","179,729,000","67,242,000","131,260,000","119,202,000","77,850,000","316,173,000","305,348,000","208,552,000","395,067,000","407,647,000","289,257,000","202,744,000","256,607,000","152,316,000","158,753,000"
		NetIncomeIncludingNoncontrollingInterests,"481,000,000","48,000,000","134,000,000","158,000,000","141,000,000","84,000,000","127,000,000","98,000,000","926,000,000","149,000,000","82,000,000","55,000,000","61,000,000","5,000,000","-347,000,000","111,000,000","59,000,000","92,000,000","122,000,000","75,000,000","217,017,000","85,029,000","181,013,000","68,113,000","131,947,000","119,562,000","78,301,000","316,628,000","305,682,000","212,138,000","395,625,000","407,910,000","289,460,000","204,231,000","258,032,000","158,830,000","153,221,000"
			NetIncomeContinuousOperations,"481,000,000","48,000,000","134,000,000","158,000,000","141,000,000","84,000,000","127,000,000","98,000,000","926,000,000","149,000,000","82,000,000","55,000,000","61,000,000","5,000,000","-347,000,000","111,000,000","59,000,000","92,000,000","122,000,000","75,000,000","217,017,000","85,029,000","181,013,000","68,113,000","131,947,000","119,562,000","78,301,000","316,628,000","305,682,000","212,138,000","395,625,000","407,910,000","289,460,000","204,231,000","258,032,000","158,830,000","153,221,000"
		MinorityInterests,"-6,000,000","0","-4,000,000","0","-2,000,000","-2,000,000","2,000,000","3,000,000","2,000,000","6,000,000","2,000,000","2,000,000","7,000,000","27,000,000","7,000,000","9,000,000","7,000,000","4,000,000","-1,000,000",,"-273,000","295,000","-1,284,000","-871,000","-687,000","-360,000","-451,000","-455,000","-334,000","-3,586,000","-558,000","-263,000","-203,000","-1,487,000","-1,425,000","-6,514,000","5,532,000"
DilutedNIAvailtoComStockholders,"475,000,000","48,000,000","130,000,000","158,000,000","139,000,000","82,000,000","129,000,000","101,000,000","928,000,000","155,000,000","84,000,000","57,000,000","68,000,000","32,000,000","-340,000,000","120,000,000","66,000,000","96,000,000","121,000,000","75,000,000","216,744,000","85,324,000","179,729,000","67,242,000","131,260,000","119,202,000","77,850,000","316,173,000","305,348,000","208,552,000","395,067,000","407,647,000","289,257,000","202,744,000","256,607,000","152,316,000","158,753,000"
BasicEPS,,"0.04","0.1","0.12","0.11","0.06","0.1","0.08","0.73","0.12","0.07","0.045","0.053","0.03","-0.27","0.09","0.05","0.08","0.1","0.059","0.171","0.067","0.141","0.053","0.103",,"0.062","0.249","0.24",,"0.311","0.321","0.228","0.157","0.199","0.118","0.123"
