name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010
				BuildingsAndImprovements,"1,172,239,000","1,172,239,000","1,172,239,000","1,172,236,000","519,170,320.86",,,,,
				MachineryFurnitureEquipment,"750,261,000","647,237,000","531,440,000","529,551,000","410,023,351.2","171,614,687.94","81,358,722","65,888,546.36","42,957,975","13,669,829.82"
				OtherProperties,"275,459,000","1,329,752,000","1,351,681,000","1,482,369,367.8","808,212,114.54","111,029,107.91","38,949,162.48",,,
				Leases,"151,760,000","155,801,000","142,827,000","138,463,000","109,419,626.1","36,771,917.52","21,901,707.36","20,435,685.94","11,030,175","6,228,030.18"
			AccumulatedDepreciation,"-768,467,000","-645,525,000","-494,825,000","-359,329,000","-239,515,698.9","-97,357,497.55","-64,311,266.88","-36,776,744.52","-13,644,735","-3,137,229.26"
		GoodwillAndOtherIntangibleAssets,"16,760,785,000","16,974,165,000","17,174,221,000","17,435,905,000","17,739,871,923","2,853,421.4","393,915.6","468,135.75","345,675","0"
			Goodwill,"15,874,220,000","15,874,220,000","15,864,655,000","15,903,677,000","15,977,621,941.26",,,,,
			OtherIntangibleAssets,"886,565,000","1,099,945,000","1,309,566,000","1,532,228,000","1,762,249,981.74","2,853,421.4","393,915.6","468,135.75","345,675",
		InvestmentsAndAdvances,"6,756,226,000","3,365,906,000","1,808,601,000","2,118,461,000","2,847,123,989.22","147,534,292.56",,,,
			InvestmentinFinancialAssets,"669,715,000",,,"0","307,128,004.2",,,,,
				HeldToMaturitySecurities,"669,715,000",,,"0","307,128,004.2",,,,,
			OtherInvestments,"6,086,511,000","3,365,906,000","1,808,601,000","2,118,461,000","2,539,995,985.02","147,534,292.56",,,,
		NonCurrentAccountsReceivable,"191,055,000","491,656,000","510,908,000","145,507,000",,,,,,
		DuefromRelatedPartiesNonCurrent,"191,055,000","491,656,000","510,908,000",,,,,,,
		NonCurrentDeferredAssets,"85,023,000","42,953,000",,,,,,,,
			NonCurrentDeferredTaxesAssets,"85,023,000","42,953,000",,,,,,,,
		NonCurrentPrepaidAssets,"179,372,000","103,301,000","227,317,000","29,853,000","706,069,818.66","130,432,373.43","14,253,684.48","2,858,748.98","10,439,385","0"
		OtherNonCurrentAssets,"14,142,000","1,568,000","809,035,000","48,407,000","21,104,906.82",,,"4,294,365.28",,
TotalLiabilitiesNetMinorityInterest,"12,022,562,000","9,514,082,000","8,451,375,000","7,560,287,000","8,084,471,184.24","1,219,620,540.35","685,158,613.92","430,703,615.43","314,350,560","73,807,795.36"
	CurrentLiabilities,"7,825,413,000","7,284,898,000","5,600,948,000","6,880,083,000","7,530,926,676.48","1,219,620,540.35","685,158,613.92","430,703,615.43","314,350,560","73,807,795.36"
		PayablesAndAccruedExpenses,"3,138,134,000","2,380,722,000","1,881,410,000","1,814,112,000","3,314,463,619.2","384,107,738.98","205,563,340.8","174,383,687.78","192,584,970","37,507,466.1"
			Payables,"2,812,557,000","2,055,183,000","1,564,638,000","1,601,356,000","3,179,505,173.22","342,863,393.57","177,298,381.44","164,053,492.23","183,565,995","33,309,017.64"
				AccountsPayable,"1,042,697,000","887,558,000","624,300,000","612,547,317","661,724,196.24","99,429,329.61","50,354,534.16",,,
				TotalTaxPayable,"698,104,000","250,231,000","186,491,000","62,084,000","66,320,433.12","45,853,241.28","13,720,383.36","11,715,877.37","6,888,360","6,121,908.26"
				DuetoRelatedPartiesCurrent,"0","82,358,000",,,,,"36,361.44","0",,"99,489.3"
				OtherPayable,"2,114,453,000","1,722,594,000","1,378,147,000","1,539,272,000","3,113,184,740.1","297,010,152.29","163,577,998.08","152,337,614.86","176,677,635","27,087,620.08"
			CurrentAccruedExpenses,"325,577,000","325,539,000","316,772,000","212,756,000","134,958,445.98","41,244,345.41","28,264,959.36","10,330,195.55","9,018,975","4,198,448.46"
				InterestPayable,,,,,"5,868,605.28",,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,"642,445,000",,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"137,310,000","812,794,000","75,000,000","1,842,720,000","1,785,250,500",,,,,
			CurrentDebt,,"812,794,000","75,000,000","1,842,720,000","1,785,250,500",,,,,
				OtherCurrentBorrowings,,"812,794,000","75,000,000","1,842,720,000","1,785,250,500",,,,,
			CurrentCapitalLeaseObligation,"137,310,000",,,,,,,,,
		CurrentDeferredLiabilities,"4,443,755,000","4,015,767,000","3,599,975,000","3,158,359,000","2,366,982,490.2","828,100,108.82","469,874,648.16","249,641,190.95","120,747,420","35,451,353.9"
			CurrentDeferredRevenue,"4,443,755,000","4,015,767,000","3,599,975,000","3,158,359,000","2,366,982,490.2","828,100,108.82","469,874,648.16","249,641,190.95","120,747,420","35,451,353.9"
		OtherCurrentLiabilities,"106,214,000","75,615,000","44,563,000","64,892,000","64,230,067.08","7,412,692.55","9,720,624.96","6,678,736.7","1,018,170","848,975.36"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"4,197,149,000","2,229,184,000","2,850,427,000","680,204,000","553,544,507.76","0","0","0","0","0"
		LongTermDebtAndCapitalLeaseObligation,"138,554,000",,"777,427,000","150,000,000",,,,,,
			LongTermDebt,,,"777,427,000","150,000,000",,,,,,
			LongTermCapitalLeaseObligation,"138,554,000",,,,,,,,,
		NonCurrentDeferredLiabilities,"389,719,000","283,112,000","319,219,000","373,810,000","430,005,173.16",,,,,
			NonCurrentDeferredTaxesLiabilities,"389,719,000","283,112,000","319,219,000","373,810,000","430,005,173.16",,,,,
		PreferredSecuritiesOutsideStockEquity,"3,668,876,000","1,944,397,000","1,736,405,000","86,457,000","97,623,989.16",,,,,
		OtherNonCurrentLiabilities,,"1,675,000","17,376,000","69,937,000","25,915,345.44",,,,,
TotalEquityGrossMinorityInterest,"31,339,649,000","22,316,763,000","19,815,137,000","17,765,719,000","18,319,013,677.02","3,146,933,009.53","1,334,967,847.92","-78,315,990.07","100,421,730","267,281,320.76"
	StockholdersEquity,"30,931,524,000","22,020,576,000","19,593,451,000","17,698,285,000","18,273,012,640.5","3,146,933,009.53","1,334,967,847.92","-78,315,990.07","100,421,730","267,281,320.76"
		CapitalStock,"19,000","19,000","18,000","18,000","19,475.46","12,406.18","12,120.48","6,241.81","812,556,225","435,285,585.36"
			PreferredStock,,,,,,,"0","0","812,549,940","435,278,952.74"
			CommonStock,"19,000","19,000","18,000","18,000","19,475.46","12,406.18","12,120.48","6,241.81","6,285","6,632.62"
		AdditionalPaidInCapital,"21,942,829,000","21,621,665,000","21,338,787,000","20,907,599,000","21,769,740,598.02","3,873,091,537.29","2,177,298,786.24","870,838,605.77","0","238,774.32"
		RetainedEarnings,"8,892,773,000","439,514,000","-1,689,683,000","-3,070,735,000","-2,374,779,166.02","-718,162,744.75","-838,852,360.56","-949,123,386.79","-712,398,465","-168,508,343.72"
		GainsLossesNotAffectingRetainedEarnings,"95,903,000","-40,622,000","-55,671,000","-138,597,000","-1,121,968,266.96","-8,008,189.19","-3,490,698.24","-37,450.86","263,970","265,304.8"
			OtherEquityAdjustments,"95,903,000",,,,"-1,147,448,660.46",,,,,
	MinorityInterest,"408,125,000","296,187,000","221,686,000","67,434,000","46,001,036.52",,,,,
TotalCapitalization,"30,931,524,000","22,020,576,000","20,370,878,000","17,848,285,000","18,273,012,640.5","3,146,933,009.53","1,334,967,847.92","-78,315,990.07","100,421,730","267,281,320.76"
PreferredStockEquity,,,,,,,,,"812,549,940","435,278,952.74"
CommonStockEquity,"30,931,524,000","22,020,576,000","19,593,451,000","17,698,285,000","18,273,012,640.5","3,146,933,009.53","1,334,967,847.92","-78,315,990.07","-712,128,210","-167,997,631.98"
CapitalLeaseObligations,"275,864,000",,,,,,,,,
NetTangibleAssets,"14,170,739,000","5,046,411,000","2,419,230,000","262,380,000","533,140,717.5","3,144,079,588.13","1,334,573,932.32","-78,784,125.82","100,076,055","267,281,320.76"
WorkingCapital,"9,965,411,000","2,233,036,000","780,113,000","-2,816,897,000","-3,244,553,209.62","2,755,083,814.23","1,281,371,085.36","-135,484,727.86","49,293,255","250,520,690.02"
InvestedCapital,"30,931,524,000","22,833,370,000","20,445,878,000","19,691,005,000","20,058,263,140.5","3,146,933,009.53","1,334,967,847.92","-78,315,990.07","-712,128,210","-167,997,631.98"
TangibleBookValue,"14,170,739,000","5,046,411,000","2,419,230,000","262,380,000","533,140,717.5","3,144,079,588.13","1,334,573,932.32","-78,784,125.82","-712,473,885","-167,997,631.98"
TotalDebt,"275,864,000","812,794,000","852,427,000","1,992,720,000","1,785,250,500",,,,,
NetDebt,,,,"792,263,000",,,,,,
ShareIssued,"299,277,413","296,444,579","293,965,131","289,670,997","283,068,677","176,375,211","158,876,693","155,576,693","155,576,693","155,576,693"
OrdinarySharesNumber,"299,277,413","296,444,579","293,965,131","289,670,997","283,068,677","176,375,211","158,876,693","155,576,693","155,576,693","155,576,693"
