name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,07/31/2002,07/31/2001,07/31/2000,07/31/1999,07/31/1998,07/31/1997,07/31/1996,07/31/1995,07/31/1994,07/31/1993,07/31/1992,07/31/1991,07/31/1990,07/31/1989
DilutedEPS,,,"6.19","4.52","-1.48","3.9","1.42","3.64","8.38","6.42","0.97","0.195","1.19","2.99","2.29","1.325","0.653","0.36","0.043","0.251","0.596","0.089","0.151","0.115","0.099","0.146","0.138","0.157","0.143","0.021","0.088","0.179","0.248"
BasicAverageShares,,,"175,009,000","176,174,000","176,101,000","188,731,000","197,243,000","200,419,000","205,289,000","158,486,000","106,436,000","100,836,000","100,404,000","109,704,000","113,952,000","123,456,000","125,560,000","124,040,000","124,128,000","124,480,000","121,496,000","129,040,000","132,064,000","132,064,000","132,064,000","132,064,000","132,064,000","132,064,000","132,631,579","135,757,576","132,765,957","133,797,909","133,400,504"
DilutedAverageShares,,,"176,661,000","177,196,000","176,101,000","188,940,000","197,428,000","201,234,000","206,184,000","159,294,000","107,218,000","101,206,000","101,098,000","111,700,000","116,420,000","126,488,000","128,680,000","128,128,000","127,216,000","127,768,000","123,096,000","131,282,051","133,565,217","133,953,488","132,173,913","133,333,333","134,320,988","133,647,059","132,631,579","135,757,576","132,765,957","133,797,909","133,400,504"
TotalOperatingIncomeAsReported,"1,277,044,000","1,277,044,000","1,623,993,000","903,893,000","-99,887,000","1,244,353,000","515,534,000","1,246,074,000","2,884,146,000","1,731,548,000","262,998,000","80,311,000","200,332,000","466,332,000","361,891,000","267,502,000","145,514,000","60,067,000","8,390,000","43,046,000","117,907,000","26,784,000","39,000,000","32,700,000","27,400,000","38,400,000","27,400,000","43,500,000","38,600,000","13,100,000","20,100,000","40,700,000","50,600,000"
TotalExpenses,"16,176,597,000","16,176,597,000","15,954,368,000","13,436,844,000","10,273,441,000","11,766,588,000","18,851,315,000","18,914,486,000","17,206,578,000","13,707,980,000","8,059,931,000","4,753,957,000","5,667,336,000","4,325,410,000","3,661,326,000","2,945,243,000","2,100,859,000","1,343,177,000","440,247,000","845,860,000","1,024,223,000","939,162,000","559,000,000","556,900,000","693,900,000","637,900,000","587,400,000","508,800,000","592,000,000","493,600,000","468,400,000","397,100,000","329,500,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"772,388,000","772,388,000","1,097,960,000","805,395,000","-260,453,000","740,101,000","281,292,000","735,842,000","1,727,172,000","1,023,397,000","103,964,000","19,533,000","120,558,000","334,128,000","266,566,000","166,989,000","83,879,000","46,053,000","5,403,000","32,029,000","73,450,000","11,445,000","19,900,000","15,200,000","13,100,000","19,200,000","12,400,000","20,700,000","19,900,000","2,800,000","11,700,000","24,000,000","33,100,000"
NormalizedIncome,"792,866,560","792,866,560","1,198,403,376","712,435,200","-37,934,600","885,481,808","563,485,722","750,478,158","1,726,966,294","1,033,152,993.809","103,964,000","5,200,617.286","123,684,064.31","334,128,000","246,898,000","166,989,000","83,879,000","27,872,472.895","5,403,000","31,071,200.998","72,755,239.345","13,285,756.95","18,697,583.082","14,894,779.116","10,876,605.505","17,388,679.245","11,783,084.577","20,460,000","17,380,000","4,240,000","9,983,152.174","22,652,406.417","28,508,092.486"
InterestIncome,"22,139,000","22,139,000","16,892,000","3,736,000","2,491,000","3,391,000","4,430,000","5,556,000","4,786,000","1,284,000","1,168,000","5,045,000","10,824,000",,,,,,,,,,,,,,,,,,,,
InterestExpense,"143,321,000","143,321,000","131,363,000","117,597,000","72,192,000","43,470,000","43,646,000","68,050,000","104,186,000","78,323,000","74,196,000","40,346,000","23,955,000",,,,,,,,,,,,,,,,,,,,
NetInterestIncome,"-121,182,000","-121,182,000","-114,471,000","-113,861,000","-69,701,000","-40,079,000","-39,216,000","-62,494,000","-99,400,000","-77,039,000","-73,028,000","-35,301,000","-13,131,000",,,,,,,,,,,,,,,,,,,,
