name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
		ImpairmentOfCapitalAssets,,,"90,876,000","972,000","1,352,000","0","43,106,000","3,459,000","0","18,186,000","665,000","2,046,000","0","1,439,000","-8,548,000","9,749,000","3,867,000",,"115,962,000","8,117,000",,,"457,082,000","298,761,000",,,"0","9,564,000",,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,,,,,,"0","0","0","0","0","157,000","573,000","883,000","2,671,000","3,000","182,000","0","1,537,000","3,360,000","517,000","1,338,000","4,187,000","0","2,745,000","262,000","2,071,000","0","14,987,000","3,494,000",,,,,,,,,"2,841,000","0","0","0","13,624,000","1,541,000","331,000","2,788,000","5,899,616","0","546,100",
		OtherSpecialCharges,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,894,000","2,582,000","1,229,000","6,031,000","455,000",,,,"1,142,000","1,417,000","717,000",,,,,,"-50,242","-52,945",
		GainOnSaleOfBusiness,,,"40,129,000",,,,"0","0","0",,"0","0","6,593,000",,"-1,338,000",,,,,,,,"0","0","0",,"0","0","44,496,000",,,,,,,,,,"-1,960,000","24,062,000",,,,,,,,,,
		GainOnSaleOfPPE,,,,,,,,,,,"0",,,,,,"0","0","0","0","0","2,192,000",,,,,,,,,,,,,,"0",,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-762,000","-179,000","-85,000","-61,000","-437,000","-94,000","466,000","-925,000","774,000","11,081,000","1,310,000","6,816,000","2,476,000","-14,645,000","5,705,000","-9,359,000","-37,848,000","-6,870,000","1,357,000","12,707,000","-8,635,000","604,000","21,924,000","31,874,000","-4,796,000","-36,819,000","13,941,000","8,596,000","-720,000","-719,000",,,,"102,000",,"-1,680,000","-615,000","-115,000","778,000","-852,000",,,"9,000,000","-1,654,000","-41,000","-1,822,000",,,,
PretaxIncome,"569,392,000","159,887,000","237,076,000","104,286,000","68,143,000","65,549,000","-27,813,000","61,163,000","71,404,000","87,959,000","24,273,000","25,221,000","19,001,000","401,000","32,538,000","44,822,000","-11,253,000","2,423,000","-121,441,000","-4,142,000","-23,439,000","5,578,000","-461,021,000","-269,636,000","-5,396,000","-15,397,000","26,186,000","14,421,000","39,228,000","7,270,000","18,689,000","22,279,000","13,956,000","22,346,000","26,165,000","13,641,000","22,280,000","18,423,000","11,897,000","32,352,000","-3,488,000","-4,801,000","-17,232,000","-2,468,000","-2,963,000","-5,907,000","-15,004,091","-4,610,172","-2,341,177","-8,347,329"
TaxProvision,"212,770,000","76,879,000","58,374,000","54,365,000","23,152,000","39,026,000","21,863,000","45,127,000","50,071,000","30,531,000","-10,193,000","12,828,000","-263,000","4,958,000","24,461,000","9,144,000","553,000","-4,228,000","-6,356,000","9,443,000","-655,000","-763,000","-104,271,000","4,492,000","6,133,000","8,581,000","-34,000","6,472,000","6,157,000","7,207,000","7,741,000","7,803,000","2,019,000","7,800,000","5,328,000","4,605,000","7,264,000","7,012,000","5,657,000","348,000","678,000","-213,000","22,000","-504,000","-120,000","-180,000","-16,611","-63,320","-227,857",
NetIncomeCommonStockholders,"343,374,000","72,287,000","177,414,000","55,769,000","37,904,000","22,295,000","-58,948,000","10,598,000","20,806,000","56,482,000","29,879,000","11,443,000","21,029,000","-5,499,000","6,221,000","34,923,000","-10,330,000","8,317,000","-119,941,000","-15,082,000","-21,185,000","6,262,000","-355,625,000","-274,096,000","-11,547,000","-24,005,000","26,220,000","7,949,000","33,071,000","63,000","10,948,000","14,476,000","11,937,000","14,546,000","20,837,000","9,036,000","15,016,000","11,411,000","6,240,000","32,004,000","-4,166,000","-4,588,000","-17,254,000","-1,964,000","-2,843,000","-5,727,000","-14,987,480","-4,546,852","-2,113,320","-8,347,329"
	NetIncome,"343,374,000","72,287,000","177,414,000","55,769,000","37,904,000","22,295,000","-58,948,000","10,598,000","20,806,000","56,482,000","29,879,000","11,443,000","21,029,000","-5,499,000","6,221,000","34,923,000","-10,330,000","8,317,000","-119,941,000","-15,082,000","-21,185,000","6,262,000","-355,625,000","-274,096,000","-11,547,000","-24,005,000","26,220,000","7,949,000","33,071,000","63,000","10,948,000","14,476,000","11,937,000","14,546,000","20,837,000","9,036,000","15,016,000","11,411,000","6,240,000","32,004,000","-4,166,000","-4,588,000","-17,254,000","-1,964,000","-2,843,000","-5,727,000","-14,987,480","-4,546,852","-2,113,320","-8,347,329"
		NetIncomeIncludingNoncontrollingInterests,"372,326,000","83,008,000","182,413,000","65,583,000","41,322,000","26,523,000","-49,676,000","16,036,000","21,333,000","57,428,000","34,466,000","12,393,000","19,264,000","-4,557,000","8,077,000","35,678,000","-11,806,000","6,651,000","-115,085,000","-13,585,000","-22,784,000","6,341,000","-356,750,000","-274,128,000","-11,529,000","-23,978,000","26,220,000","7,949,000","33,071,000","63,000","10,948,000","14,476,000","11,937,000","14,546,000","20,837,000","9,036,000","15,016,000","11,411,000","6,240,000","32,004,000","-4,166,000","-4,588,000","-17,254,000","-1,964,000","-2,843,000","-5,727,000","-14,987,480","-4,546,852","-2,113,320","-8,347,329"
			NetIncomeContinuousOperations,"356,622,000","83,008,000","178,702,000","49,921,000","44,991,000","26,523,000","-49,676,000","16,036,000","21,333,000","57,428,000","34,466,000","12,393,000","19,264,000","-4,557,000","8,077,000","35,678,000","-11,806,000","6,651,000","-115,085,000","-13,585,000","-22,784,000","6,341,000","-356,750,000","-274,128,000","-11,529,000","-23,978,000","26,220,000","7,949,000","33,071,000","63,000","10,948,000","14,476,000","11,937,000","14,546,000","20,837,000","9,036,000","15,016,000","11,411,000","6,240,000","32,004,000","-4,166,000","-4,588,000","-17,254,000","-1,964,000","-2,843,000","-5,727,000","-14,987,480","-4,546,852","-2,113,320","-8,347,329"
			NetIncomeDiscontinuousOperations,,,"3,711,000","15,662,000","-3,669,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-28,952,000","-10,721,000","-4,999,000","-9,814,000","-3,418,000","-4,228,000","-9,272,000","-5,438,000","-527,000","-946,000","-4,587,000","-950,000","1,765,000","-942,000","-1,856,000","-755,000","1,476,000","1,666,000","-4,856,000","-1,497,000","1,599,000","-79,000","1,125,000","32,000","-18,000","-27,000","0","0","0","0","0","0",,"0",,,,,,,,,,,,,,,,
AverageDilutionEarnings,,,,,,,,,"-878,000",,,"-8,046,000","-2,478,000",,,,,,,,,"-1,693,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"343,374,000","72,287,000","177,414,000","55,769,000","37,904,000","22,295,000","-58,948,000","10,598,000","20,806,000","56,482,000","29,879,000","3,397,000","18,551,000","-5,499,000","6,221,000","34,923,000","-10,330,000","8,317,000","-119,941,000","-15,082,000","-21,185,000","4,569,000","-355,625,000","-274,096,000","-11,547,000","-24,005,000","26,220,000","7,949,000","33,071,000","63,000","10,948,000","14,476,000","11,937,000","14,546,000","20,837,000","9,036,000","15,016,000","11,411,000","6,240,000","32,004,000","-4,166,000","-4,588,000","-17,254,000","-1,964,000","-2,843,000","-5,727,000","-14,987,480","-4,546,852","-2,113,320","-8,347,329"
BasicEPS,,"0.07","0.17","0.05","0.04","0.02",,"0.01","0.02","0.06","0.03","0.01","0.02","-0.01","0.01","0.04","-0.01","0.01","-0.13","-0.02","-0.02","0.01","-0.39","-0.39","-0.02","-0.04",,"0.01","0.05","0",,"0.04","0.03","0.04",,"0.03","0.05","0.03",,"0.1","-0.01","-0.02",,"-0.01","-0.01","-0.04",,"-0.03","-0.01","-0.07"
DilutedEPS,,"0.07","0.17","0.05","0.04","0.02",,"0.01","0.02","0.04","0.03","0.003","0.02","-0.01","0.006","0.04","-0.01","0.01","-0.13","-0.02","-0.02","0.005","-0.39","-0.39","-0.02","-0.04",,"0.01","0.05","0",,"0.04","0.03","0.04",,"0.03","0.05","0.03",,"0.1","-0.01","-0.02",,"-0.01","-0.01","-0.04",,"-0.03","-0.01","-0.07"
BasicAverageShares,,"1,035,032,000","1,027,001,000","1,019,307,000","1,008,345,000","1,001,410,000",,"988,795,000","984,650,000","982,160,000","979,691,000","978,680,000","976,527,000","970,440,000","960,976,000","948,305,000","930,235,000","927,139,000","924,241,000","924,101,000","923,035,000","917,660,000","914,931,000","700,755,000","674,877,000","671,755,000",,"647,787,000","643,681,000","600,379,000",,"387,095,000","382,167,000","379,679,000",,"339,541,000","334,724,000","333,043,000",,"307,462,000","305,125,000","289,673,000",,"267,650,534","238,542,276","163,204,232",,"162,535,544","145,189,588","127,322,500"
DilutedAverageShares,,"1,047,943,000","1,038,672,000","1,031,301,000","1,016,322,000","1,015,484,000",,"999,347,000","1,063,853,000","1,063,532,000","993,848,000","1,058,345,000","1,058,008,000","970,440,000","1,044,461,000","970,994,000","930,235,000","930,800,000","924,241,000","924,101,000","923,035,000","986,422,000","914,931,000","700,755,000","674,877,000","671,755,000",,"679,159,000","646,609,000","606,344,000",,"394,355,000","388,883,000","388,489,000",,"346,267,000","341,587,000","341,443,000",,"324,281,000","305,125,000","289,673,000",,"267,650,534","238,542,276","163,204,232",,"162,535,544","145,189,588","127,322,500"
TotalOperatingIncomeAsReported,"613,290,000","179,425,000","239,667,000","115,626,000","79,037,000","68,252,000","-6,654,000","67,584,000","75,086,000","83,498,000","20,621,000","21,250,000","19,352,000","25,427,000","15,178,000","47,886,000","35,043,000","28,151,000","-106,068,000","690,000","2,782,000","5,631,000","-473,162,000","-297,407,000","4,131,000","25,140,000","17,973,000","18,680,000","61,997,000","11,448,000","22,135,000","23,769,000","15,088,000","23,145,000","28,397,000","15,382,000","22,957,000","18,958,000","16,796,000","10,934,000","-1,723,000","-3,733,000","-11,891,000","711,000","-3,235,000",,"-8,515,246","-2,209,805","-3,243,750","-3,130,069"
RentExpenseSupplemental,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"144,000",,"164,130","141,545",
TotalExpenses,"798,581,000","206,041,000","208,868,000","196,459,000","187,213,000","235,528,000","238,012,000","257,427,000","212,697,000","243,580,000","155,755,000","130,999,000","150,927,000","121,289,000","166,355,000","135,986,000","124,704,000","117,350,000","132,029,000","130,023,000","133,647,000","132,361,000","136,702,000","114,820,000","119,344,000","105,355,000","120,340,000","101,694,000","107,890,000","133,160,000","54,582,000","41,827,000","40,965,000","40,832,000","37,905,000","32,591,000","32,125,000","35,796,000","33,269,000","28,115,000","23,572,000","20,067,000","15,435,000","8,532,000","11,086,000","1,443,000","2,069,530","2,209,805","3,243,750","3,130,069"
NetIncomeFromContinuingAndDiscontinuedOperation,"343,374,000","72,287,000","177,414,000","55,769,000","37,904,000","22,295,000","-58,948,000","10,598,000","20,806,000","56,482,000","29,879,000","11,443,000","21,029,000","-5,499,000","6,221,000","34,923,000","-10,330,000","8,317,000","-119,941,000","-15,082,000","-21,185,000","6,262,000","-355,625,000","-274,096,000","-11,547,000","-24,005,000","26,220,000","7,949,000","33,071,000","63,000","10,948,000","14,476,000","11,937,000","14,546,000","20,837,000","9,036,000","15,016,000","11,411,000","6,240,000","32,004,000","-4,166,000","-4,588,000","-17,254,000","-1,964,000","-2,843,000","-5,727,000","-14,987,480","-4,546,852","-2,113,320","-8,347,329"
NormalizedIncome,"340,467,611.006","84,101,390","71,064,451.467","42,204,690","44,439,779.009","16,947,875","-18,523,000","8,212,925","15,656,590","66,618,196.41","22,365,095","13,328,275","16,422,020","225,180","-4,038,130","35,391,839.9","-2,540,470","19,035,505","129,648.875","1,833,290","-12,043,793.635","7,395,370","6,051,949.64","-49,141,750","-11,275,500","-23,069,000","29,019,000","16,235,750","11,462,893.52","10,080,750","8,799,250","16,356,405.045","13,941,895.959","15,064,802.56","25,639,902.618","10,682,763.141","14,622,402.873","10,634,905.824","7,499,280","9,743,057.493","-2,892,320","-4,317,555.509","-7,580,960","-737,693.679","-3,096,308.134","-3,023,956.831","-8,922,466.007","-1,717,758.294","-2,335,211.753","-8,347,329"
InterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,000","16,000","49,000","175,000",,"510,550","698,469",
InterestExpense,"23,628,000","4,517,000","4,910,000","7,123,000","7,078,000","7,768,000","7,379,000","7,585,000","8,485,000","8,305,000","5,495,000","2,140,000","3,138,000","2,133,000","1,959,000","2,293,000","2,906,000","3,026,000","3,075,000","3,062,000","8,259,000","1,708,000","1,277,000","1,675,000","1,152,000","995,000","1,080,000","1,136,000","428,000","347,000","63,000","65,000","65,000","0","68,000","61,000","62,000","420,000","1,211,000","1,375,000","1,413,000","1,502,000",,,,"29,000",,"42,425","41,712",
NetInterestIncome,"-23,628,000","-4,517,000","-4,910,000","-7,123,000","-7,078,000","-7,768,000","-7,379,000","-7,585,000","-8,485,000","-8,305,000","-5,495,000","-2,140,000","-3,138,000","-2,133,000","-1,959,000","-2,293,000","-2,906,000","-3,026,000","-3,075,000","-3,062,000","-8,259,000","-15,000","-1,277,000","-1,675,000","-1,152,000","-995,000","-1,737,000","-10,162,000","-428,000","-347,000","-63,000","-65,000","-65,000","0","-68,000","-61,000","-62,000","-420,000","-1,211,000","-1,375,000","-1,413,000","-1,502,000","-717,000","16,000","49,000","146,000",,"468,125","656,757",
EBIT,"593,020,000","164,404,000","241,986,000","111,409,000","75,221,000","73,317,000","-20,434,000","68,748,000","79,889,000","96,264,000","29,768,000","27,361,000","22,139,000","2,534,000","34,497,000","47,115,000","-8,347,000","5,449,000","-118,366,000","-1,080,000","-15,180,000","7,286,000","-459,744,000","-267,961,000","-4,244,000","-14,402,000","27,266,000","15,557,000","39,656,000","7,617,000","18,752,000","22,344,000","14,021,000","22,346,000","26,233,000","13,702,000","22,342,000","18,843,000","13,108,000","33,727,000","-2,075,000","-3,299,000","-27,825,000","711,000","-3,235,000","-5,878,000","4,491,200","-4,567,747","-2,299,465","-3,130,069"
EBITDA,"854,307,000"
