name,12/31/2019,12/31/2018,12/31/2017,12/31/2016
			CurrentDeferredRevenue,"1,877,000,000","1,608,000,000","1,047,000,000","415,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"510,000,000","595,000,000","325,000,000","378,000,000"
		LongTermDebtAndCapitalLeaseObligation,"78,000,000",,,
			LongTermCapitalLeaseObligation,"78,000,000",,,
		NonCurrentDeferredLiabilities,"432,000,000","394,000,000","325,000,000","378,000,000"
			NonCurrentDeferredTaxesLiabilities,"297,000,000","354,000,000","304,000,000","350,000,000"
			NonCurrentDeferredRevenue,"135,000,000","40,000,000",,
		TradeandOtherPayablesNonCurrent,"68,000,000","201,000,000",,
TotalEquityGrossMinorityInterest,"43,678,000,000","37,772,000,000","26,148,000,000","20,634,000,000"
	StockholdersEquity,"43,590,000,000","37,721,000,000","26,141,000,000","20,625,000,000"
		CapitalStock,"2,000,000","2,000,000","2,000,000","2,000,000"
			CommonStock,"2,000,000","2,000,000","2,000,000","2,000,000"
		AdditionalPaidInCapital,"34,425,000,000","33,776,000,000","23,915,000,000","20,063,000,000"
		RetainedEarnings,"7,007,000,000","3,040,000,000","1,227,000,000","-57,000,000"
		GainsLossesNotAffectingRetainedEarnings,"2,187,000,000","903,000,000","997,000,000","617,000,000"
			OtherEquityAdjustments,"2,187,000,000","903,000,000","997,000,000","617,000,000"
		OtherEquityInterest,"-31,000,000",,,
	MinorityInterest,"88,000,000","51,000,000","7,000,000","9,000,000"
TotalCapitalization,"43,590,000,000","37,721,000,000","26,141,000,000","20,625,000,000"
CommonStockEquity,"43,590,000,000","37,721,000,000","26,141,000,000","20,625,000,000"
CapitalLeaseObligations,"147,000,000",,,
NetTangibleAssets,"24,828,000,000","18,870,000,000","8,162,000,000","2,856,000,000"
WorkingCapital,"18,424,000,000","14,540,000,000","3,940,000,000","2,474,000,000"
InvestedCapital,"43,590,000,000","37,721,000,000","26,141,000,000","20,625,000,000"
TangibleBookValue,"24,828,000,000","18,870,000,000","8,162,000,000","2,856,000,000"
TotalDebt,"147,000,000",,,
ShareIssued,"3,355,065,938","3,265,986,486","3,265,986,486","3,270,550,086"
OrdinarySharesNumber,"3,355,065,938","3,265,986,486","3,265,986,486","3,270,550,086"
