name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
	OtherOperatingExpenses,,,,,,,,"2,200,000","1,000,000","200,000","700,000","-1,600,000","1,100,000","-100,000","2,600,000","1,500,000","100,000","500,000","900,000","2,000,000","100,000",,"700,000","800,000","200,000",,"400,000","-300,000","100,000",,"-300,000","500,000","-1,000,000","-300,000","-1,200,000","600,000","-300,000","-700,000",,,,,,,,,,,,,,,,
OperatingIncome,"208,500,000","44,700,000","63,600,000","49,400,000","50,800,000","35,400,000","72,400,000","48,200,000","50,700,000","18,600,000","53,800,000","42,500,000","30,300,000","20,900,000","37,200,000","29,800,000","31,800,000","16,900,000","31,000,000","21,100,000","23,200,000","13,400,000","24,200,000","16,500,000","19,500,000","4,900,000","21,600,000","11,600,000","14,800,000","6,200,000","27,800,000","10,300,000","14,000,000","7,800,000","23,800,000","14,300,000","17,400,000","9,300,000","29,300,000","15,700,000","14,700,000","7,400,000","17,200,000","13,700,000","16,500,000","8,100,000","20,700,000","18,600,000","20,300,000","17,200,000","23,800,000","21,700,000","11,700,000","7,500,000"
NetNonOperatingInterestIncomeExpense,"-20,300,000","-4,800,000","-5,400,000","-5,900,000","-4,200,000","-3,300,000","-3,400,000","-3,400,000","-3,400,000","-3,700,000","-3,300,000","-3,600,000","-3,300,000","-3,400,000","-2,400,000","-2,800,000","-2,200,000","-2,000,000","-1,500,000","-1,500,000","-2,000,000","-1,800,000","-1,500,000","-1,700,000","-1,500,000","-1,300,000","-1,200,000","-1,200,000","-1,600,000","-1,400,000","-1,700,000","-1,800,000","-1,800,000","-1,600,000","-1,500,000","-1,500,000","-1,700,000","-1,700,000","-1,900,000","-2,000,000","-2,000,000","-1,900,000","-2,200,000","-2,100,000","-2,300,000","-2,200,000",,,,,"300,000","100,000",,"100,000"
	InterestIncomeNonOperating,,,,,,,,,,,,,,,"600,000","300,000","300,000","300,000","400,000","200,000","200,000","300,000","500,000","300,000","300,000","500,000","800,000","600,000","400,000","500,000",,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"20,300,000","4,800,000","5,400,000","5,900,000","4,200,000","3,300,000","3,400,000","3,400,000","3,400,000","3,700,000","3,300,000","3,600,000","3,300,000","3,400,000","3,000,000","3,100,000","2,500,000","2,300,000","1,900,000","1,700,000","2,200,000","2,100,000","2,000,000","2,000,000","1,800,000","1,800,000","2,000,000","1,800,000","2,000,000","1,900,000","1,700,000","1,800,000","1,800,000","1,600,000","1,500,000","1,500,000","1,700,000","1,700,000",,,,"1,900,000",,,"2,300,000",,,,,,,,,
	TotalOtherFinanceCost,,,"5,400,000","5,900,000","4,200,000","3,300,000","3,400,000","3,400,000","3,400,000","3,700,000","3,300,000","3,600,000","3,300,000","3,400,000","2,400,000","2,800,000","2,200,000","2,000,000","1,500,000","1,500,000","2,000,000","1,800,000","1,500,000","1,700,000",,"1,300,000","1,200,000",,"1,600,000","1,400,000","1,700,000",,"1,800,000","1,600,000",,,,,"1,900,000","2,000,000","2,000,000",,,"2,100,000","2,300,000","2,200,000",,,,,"-300,000","-100,000",,"-100,000"
OtherIncomeExpense,"-9,600,000","-2,000,000","-2,000,000","-1,300,000","-4,300,000","-5,900,000","-13,600,000","-11,600,000","-8,900,000","-12,900,000","-400,000","-300,000","-600,000","-400,000","-2,900,000","-300,000","-1,900,000","-7,200,000",,,,"-300,000","-2,000,000","-1,300,000","-1,000,000","-10,300,000","-1,600,000",,,"-400,000","-400,000",,,,,,,,,"800,000","-300,000","500,000","300,000","1,000,000","600,000","300,000","-3,600,000","-4,000,000","-1,000,000","2,100,000","-1,000,000","-1,800,000","-100,000","-700,000"
	SpecialIncomeCharges,"-9,600,000","-2,000,000","-2,000,000","-1,300,000","-4,300,000","-5,900,000","-14,200,000","-11,600,000","-8,500,000","-12,700,000","-400,000","-300,000","-600,000","-400,000","-2,900,000","-300,000","-1,900,000","-7,200,000",,"0","0","0","-2,000,000","-1,300,000","-1,000,000","-10,200,000","-1,600,000",,,,"-400,000",,,,,,,,,"800,000","-300,000","500,000","300,000","1,000,000","600,000","300,000","-3,600,000","-4,000,000","-1,000,000","2,100,000","-1,000,000","-1,800,000","-100,000","-700,000"
		RestructuringAndMergernAcquisition,"9,600,000","2,000,000","2,000,000","1,300,000","4,300,000","5,900,000","14,200,000","11,600,000","8,500,000","12,700,000","400,000","300,000","600,000","400,000","2,900,000","300,000","1,900,000","7,200,000",,"0","0","0","2,000,000","1,300,000","1,000,000","10,200,000","1,600,000",,,,"400,000",,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,,,,,,,,,"-400,000","-200,000",,,,,,,,,,,,"-300,000",,,,"-100,000",,,,"-400,000",,,,,,,,,,,,,,,,,,,,,,,,
PretaxIncome,"178,600,000","37,900,000","56,200,000","42,200,000","42,300,000","26,200,000","55,400,000","33,200,000","38,400,000","2,000,000","50,100,000","38,600,000","26,400,000","17,100,000","31,900,000","26,700,000","27,700,000","7,700,000","29,500,000","19,600,000","21,200,000","11,900,000","20,700,000","13,500,000","17,000,000","-6,500,000","19,000,000","10,400,000","13,200,000","5,200,000","27,100,000","8,500,000","12,200,000","6,200,000","10,700,000","12,800,000","15,700,000","7,600,000","26,400,000","14,500,000","12,400,000","6,000,000","15,300,000","12,600,000","14,800,000","6,200,000","14,500,000","13,100,000","19,500,000","19,400,000","23,100,000","20,000,000","11,600,000","6,900,000"
TaxProvision,"40,000,000","8,900,000","14,100,000","8,700,000","8,300,000","6,500,000","12,500,000","6,800,000","4,900,000","400,000","30,300,000","12,200,000","8,100,000","-500,000","8,500,000","6,100,000","8,900,000","2,500,000","8,600,000","6,900,000","6,800,000","3,900,000","5,600,000","4,500,000","5,600,000","-1,800,000","5,300,000","3,000,000","4,400,000","1,100,000","8,100,000","2,300,000","4,300,000","2,200,000","3,300,000","4,700,000","5,300,000","2,700,000","10,000,000","5,100,000","4,200,000","2,100,000","4,700,000","4,200,000","5,100,000","2,100,000","4,200,000","4,300,000","6,500,000","7,400,000","8,400,000","6,600,000","3,600,000","2,900,000"
NetIncomeCommonStockholders,"138,300,000","29,000,000","42,100,000","33,500,000","33,700,000","19,700,000","42,900,000","26,400,000","33,600,000","1,200,000","19,400,000","25,800,000","17,900,000","17,400,000","23,100,000","20,600,000","18,800,000","5,100,000","20,900,000","12,600,000","14,400,000","8,000,000","15,200,000","9,000,000","11,400,000","-4,800,000","13,600,000","6,800,000","8,600,000","4,100,000","18,500,000","6,100,000","7,700,000","3,900,000","7,200,000","8,100,000","10,300,000","4,900,000","15,800,000","9,400,000","8,100,000","4,000,000","10,700,000","8,300,000","9,700,000","4,100,000","10,100,000","8,800,000","13,000,000","12,300,000","12,700,000","12,700,000","7,800,000","3,200,000"
	NetIncome,"138,300,000","29,000,000","42,100,000","33,500,000","33,700,000","19,700,000","42,900,000","26,400,000","33,600,000","1,200,000","19,400,000","25,800,000","17,900,000","17,400,000","23,100,000","20,600,000","18,800,000","5,100,000","20,900,000","12,600,000","14,400,000","8,000,000","15,200,000","9,000,000","11,400,000","-4,800,000","13,600,000","6,800,000","8,600,000","4,100,000","18,500,000","6,100,000","7,700,000","3,900,000","7,200,000","8,100,000","10,300,000","4,900,000","15,800,000","9,400,000","8,100,000","4,000,000","10,700,000","8,300,000","9,700,000","4,100,000","10,100,000","8,800,000","13,000,000","12,300,000","12,700,000","12,700,000","7,800,000","3,200,000"
		NetIncomeIncludingNoncontrollingInterests,"138,300,000","29,000,000","42,100,000","33,500,000","33,700,000","19,700,000","42,900,000","26,400,000","33,600,000","1,200,000","19,400,000","25,800,000","17,900,000","17,400,000","23,100,000","20,600,000","18,800,000","5,100,000","20,900,000","12,600,000","14,400,000","8,000,000","15,200,000","9,000,000","11,400,000","-4,800,000","13,600,000","6,800,000","8,600,000","4,100,000","18,500,000","6,100,000","7,700,000","3,900,000","7,200,000","8,100,000","10,300,000","4,900,000","15,800,000","9,400,000","8,100,000","4,000,000","10,700,000","8,300,000","9,700,000","4,100,000","10,100,000","8,800,000","13,000,000","12,300,000","12,700,000","12,700,000","7,800,000","3,200,000"
			NetIncomeContinuousOperations,"138,600,000","29,000,000","42,100,000","33,500,000","34,000,000","19,700,000","42,900,000","26,400,000","33,500,000","1,600,000","19,800,000","26,400,000","18,300,000","17,600,000","23,400,000","20,600,000","18,800,000","5,200,000","20,900,000","12,700,000","14,400,000","8,000,000","15,100,000","9,000,000","11,400,000","-4,700,000","13,700,000","7,400,000","8,800,000","4,100,000","19,000,000","6,200,000","7,900,000","4,000,000","7,400,000","8,100,000","10,400,000","4,900,000","16,400,000","9,400,000","8,200,000","3,900,000","10,600,000","8,400,000","9,700,000","4,100,000","10,300,000","8,800,000","13,000,000","12,000,000","14,700,000","13,400,000","8,000,000","4,000,000"
			NetIncomeDiscontinuousOperations,"-300,000","0","-600,000","0","300,000","0","0","0","100,000","-400,000","-400,000","-600,000","-400,000","-200,000","-300,000","0","0","-100,000","0","-100,000","0","0","100,000","0","0","-100,000","-100,000","-600,000","-200,000","0","-500,000","-100,000","-200,000","-100,000","-200,000","0","-100,000","0","-600,000","0","-100,000","100,000","100,000","-100,000","0","0","-200,000",,,"300,000","-2,000,000","-700,000","-200,000","-800,000"
DilutedNIAvailtoComStockholders,"138,300,000","29,000,000","42,100,000","33,500,000","33,700,000","19,700,000","42,900,000","26,400,000","33,600,000","1,200,000","19,400,000","25,800,000","17,900,000","17,400,000","23,100,000","20,600,000","18,800,000","5,100,000","20,900,000","12,600,000","14,400,000","8,000,000","15,200,000","9,000,000","11,400,000","-4,800,000","13,600,000","6,800,000","8,600,000","4,100,000","18,500,000","6,100,000","7,700,000","3,900,000","7,200,000","8,100,000","10,300,000","4,900,000","15,800,000","9,400,000","8,100,000","4,000,000","10,700,000","8,300,000","9,700,000","4,100,000","10,100,000","8,800,000","13,000,000","12,300,000","12,700,000","12,700,000","7,800,000","3,200,000"
BasicEPS,,"0.91","1.32","1.05","1.06","0.62","1.35","0.83","1.05","0.04","0.61","0.81","0.56","0.58","0.78","0.7","0.64","0.17","0.71","0.43","0.49","0.27","0.52","0.3","0.39","-0.16","0.47","0.23","0.29","0.14","0.64","0.21","0.27","0.13",,"0.28","0.36","0.17",,"0.33","0.29","0.14",,"0.3","0.35","0.15",,"0.32","0.47","0.435",,"0.46","0.284","0.116"
DilutedEPS,,"0.9","1.31","1.04","1.05","0.61","1.34","0.82","1.04","0.04","0.6","0.8","0.56","0.57","0.77","0.69","0.63","0.17","0.7","0.42","0.48","0.27","0.51","0.3","0.38","-0.16","0.46","0.23","0.29","0.14","0.63","0.2","0.26","0.13",,"0.27","0.35","0.17",,"0.32","0.28","0.14",,"0.29","0.34","0.15",,"0.31","0.47","0.435",,"0.46","0.284","0.116"
BasicAverageShares,,"31,900,000","31,900,000","31,900,000","31,900,000","31,800,000","31,800,000","31,900,000","31,900,000","31,900,000","31,900,000","31,900,000","31,900,000","30,000,000","29,400,000","29,400,000","29,400,000","29,500,000","29,500,000","29,500,000","29,500,000","29,600,000","29,600,000","29,600,000","29,500,000","29,400,000","29,300,000","29,200,000","29,200,000","29,200,000","29,100,000","29,200,000","29,100,000","29,100,000",,"28,800,000","28,800,000","28,700,000",,"28,300,000","28,200,000","28,200,000",,"27,700,000","27,600,000","27,500,000",,"27,500,000","27,601,614","27,601,614",,"27,500,000","27,500,000","27,500,000"
DilutedAverageShares,,"31,900,000","32,100,000","32,100,000","32,000,000","32,000,000","32,100,000","32,100,000","32,100,000","32,400,000","32,300,000","32,300,000","32,300,000","30,400,000","29,900,000","29,800,000","29,800,000","29,800,000","29,800,000","29,800,000","29,800,000","29,800,000","29,900,000","29,900,000","29,500,000","29,400,000","29,800,000","29,700,000","29,600,000","29,500,000","29,600,000","29,600,000","29,500,000","29,400,000",,"29,400,000","29,300,000","29,200,000",,"29,200,000","29,100,000","29,000,000",,"28,700,000","28,500,000","28,200,000",,"28,100,000","27,601,614","27,601,614",,"27,500,000","27,500,000","27,500,000"
TotalOperatingIncomeAsReported,"201,900,000","43,700,000","62,600,000","48,600,000","47,000,000","30,000,000","59,100,000","36,600,000","42,200,000","5,900,000","53,400,000","42,200,000","29,700,000","20,500,000","34,300,000","29,500,000","29,900,000","9,700,000","31,000,000","21,100,000","23,200,000","13,700,000","22,200,000","15,200,000","18,500,000","-5,200,000","20,200,000","11,600,000","14,800,000","6,600,000","28,800,000","10,300,000","14,000,000","7,800,000","12,200,000","14,300,000","17,400,000","9,300,000","29,300,000","15,700,000",,,,,"16,500,000",,,"18,600,000","20,300,000","17,200,000","23,800,000","21,700,000","11,700,000","7,500,000"
TotalExpenses,"1,777,400,000","413,000,000","481,900,000","440,000,000","442,500,000","382,100,000","464,900,000","433,700,000","440,600,000","390,600,000","429,900,000","378,300,000","355,800,000","323,600,000","367,800,000","319,800,000","297,000,000","250,200,000","323,400,000","252,200,000","231,400,000","211,600,000","271,200,000","226,700,000","228,100,000","193,100,000","266,500,000","221,900,000","212,100,000","179,500,000","265,100,000","195,000,000","200,400,000","196,900,000","247,700,000","216,000,000","235,100,000","192,200,000","257,300,000","200,800,000","193,600,000","161,600,000","228,800,000","182,700,000","213,700,000","160,900,000","213,800,000","238,000,000","256,400,000","243,000,000","266,700,000","233,000,000","226,200,000","187,300,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"138,300,000","29,000,000","42,100,000","33,500,000","33,700,000","19,700,000","42,900,000","26,400,000","33,600,000","1,200,000","19,400,000","25,800,000","17,900,000","17,400,000","23,100,000","20,600,000","18,800,000","5,100,000","20,900,000","12,600,000","14,400,000","8,000,000","15,200,000","9,000,000","11,400,000","-4,800,000","13,600,000","6,800,000","8,600,000","4,100,000","18,500,000","6,100,000","7,700,000","3,900,000","7,200,000","8,100,000","10,300,000","4,900,000","15,800,000","9,400,000","8,100,000","4,000,000","10,700,000","8,300,000","9,700,000","4,100,000","10,100,000","8,800,000","13,000,000","12,300,000","12,700,000","12,700,000","7,800,000","3,200,000"
NormalizedIncome,"146,049,944.009","30,520,000","44,198,220.641","34,531,990.521","36,856,264.775","24,136,259.542","53,896,028.881","35,624,096.386","39,821,450","11,122,460","20,040,000","26,605,181.347","18,715,909.091","17,840,000","25,527,272.727","20,831,460.674","20,089,530.686","10,062,337.662","20,900,000","12,700,000","14,400,000","8,000,000","16,558,937.198","9,866,666.667","12,070,588.235","2,675,384.615","13,700,000","7,400,000","8,800,000","4,100,000","19,000,000","6,200,000","7,900,000","4,000,000","7,400,000","8,100,000","10,400,000","4,900,000","16,400,000","8,881,379.31","8,398,387.097","3,575,000","10,392,156.863","7,733,333.333","9,306,756.757","3,901,612.903","12,857,241.379","11,487,022.901","13,666,666.667","10,701,030.928","15,336,363.636","14,606,000","8,068,965.517","4,455,000"
InterestIncome,,,,,,,,,,,,,,,"600,000","300,000","300,000","300,000","400,000","200,000","200,000","300,000","500,000","300,000","300,000","500,000","800,000","600,000","400,000","500,000",,,,,,,,,,,,,,,,,,,,,,,,
InterestExpense,"20,300,000","4,800,000","5,400,000","5,900,000","4,200,000","3,300,000","3,400,000","3,400,000","3,400,000","3,700,000","3,300,000","3,600,000","3,300,000","3,400,000","3,000,000","3,100,000","2,500,000","2,300,000","1,900,000","1,700,000","2,200,000","2,100,000","2,000,000","2,000,000","1,800,000","1,800,000","2,000,000","1,800,000","2,000,000","1,900,000","1,700,000","1,800,000","1,800,000","1,600,000","1,500,000","1,500,000","1,700,000","1,700,000",,,,"1,900,000",,,"2,300,000",,,,,,,,,
NetInterestIncome,"-20,300,000","-4,800,000","-5,400,000","-5,900,000","-4,200,000","-3,300,000","-3,400,000","-3,400,000","-3,400,000","-3,700,000","-3,300,000","-3,600,000","-3,300,000","-3,400,000","-2,400,000","-2,800,000","-2,200,000","-2,000,000","-1,500,000","-1,500,000","-2,000,000","-1,800,000","-1,500,000","-1,700,000","-1,500,000","-1,300,000","-1,200,000","-1,200,000","-1,600,000","-1,400,000","-1,700,000","-1,800,000","-1,800,000","-1,600,000","-1,500,000","-1,500,000","-1,700,000","-1,700,000","-1,900,000","-2,000,000","-2,000,000","-1,900,000","-2,200,000","-2,100,000","-2,300,000","-2,200,000",,,,,"300,000","100,000",,"100,000"
EBIT,"198,900,000","42,700,000","61,600,000","48,100,000","46,500,000","29,500,000","58,800,000","36,600,000","41,800,000","5,700,000","53,400,000","42,200,000","29,700,000","20,500,000","34,900,000","29,800,000","30,200,000","10,000,000","31,400,000","21,300,000","23,400,000","14,000,000","22,700,000","15,500,000","18,800,000","-4,700,000","21,000,000","12,200,000","15,200,000","7,100,000","28,800,000","10,300,000","14,000,000","7,800,000","12,200,000","14,300,000","17,400,000","9,300,000","29,300,000","15,700,000","14,700,000","7,900,000","19,400,000","13,700,000","17,100,000","8,100,000","20,700,000","18,600,000","20,300,000","17,200,000","23,800,000","21,700,000","11,700,000","7,500,000"
EBITDA,"267,300,000"
ReconciledCostOfRevenue,"1,372,400,000","314,700,000","377,600,000","341,800,000","338,300,000","289,900,000","378,700,000","346,800,000","351,000,000","305,600,000","346,900,000","299,300,000","271,300,000","246,900,000","291,000,000","255,500,000","233,000,000","190,300,000","247,700,000","198,800,000","181,900,000","162,000,000","219,200,000","179,000,000","179,300,000","146,000,000","218,800,000","179,300,000","167,800,000","135,400,000","218,500,000","153,300,000","160,400,000","154,300,000","205,100,000","173,100,000","192,700,000","150,300,000","213,200,000","160,300,000","153,900,000","122,100,000","185,500,000","142,400,000","171,200,000","122,100,000","173,700,000","195,200,000","209,000,000","198,300,000","220,400,000","190,800,000","183,100,000","146,500,000"
ReconciledDepreciation,"68,400,000","17,500,000","18,100,000","17,200,000","15,600,000","14,700,000","14,600,000","15,300,000","14,100,000","13,700,000","13,800,000","12,800,000","12,900,000","12,200,000","11,300,000","9,100,000","9,500,000","8,600,000","8,700,000","7,300,000","6,800,000","6,800,000","6,600,000","7,100,000","6,000,000","5,600,000","6,200,000","6,300,000","6,400,000","6,100,000","5,700,000","6,100,000","5,900,000","5,900,000","5,800,000","6,400,000","6,000,000","5,900,000","5,800,000","6,100,000","5,400,000","5,600,000","6,100,000","5,900,000","5,500,000","5,100,000","6,000,000","6,900,000","6,500,000","6,100,000","6,100,000","6,600,000","6,400,000","6,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"138,600,000","29,000,000","42,700,000","33,500,000","33,400,000","19,700,000","42,900,000","26,400,000","33,500,000","1,600,000","19,800,000","26,400,000","18,300,000","17,600,000","23,400,000","20,600,000","18,800,000","5,200,000","20,900,000","12,700,000","14,400,000","8,000,000","15,100,000","9,000,000","11,400,000","-4,700,000","13,700,000","7,400,000","8,800,000","4,100,000","19,000,000","6,200,000","7,900,000","4,000,000","7,400,000","8,100,000","10,400,000","4,900,000","16,400,000","9,400,000","8,200,000","3,900,000","10,600,000","8,400,000","9,700,000","4,100,000","10,300,000","8,800,000","13,000,000","12,000,000","14,700,000","13,400,000","8,000,000","4,000,000"
TotalUnusualItemsExcludingGoodwill,"-9,600,000","-2,000,000","-2,000,000","-1,300,000","-4,300,000","-5,900,000","-14,200,000","-11,600,000","-8,500,000","-12,700,000","-400,000","-300,000","-600,000","-400,000","-2,900,000","-300,000","-1,900,000","-7,200,000",,"0","0","0","-2,000,000","-1,300,000","-1,000,000","-10,200,000","-1,600,000",,,,"-400,000",,,,,,,,,"800,000","-300,000","500,000","300,000","1,000,000","600,000","300,000","-3,600,000","-4,000,000","-1,000,000","2,100,000","-1,000,000","-1,800,000","-100,000","-700,000"
TotalUnusualItems,"-9,600,000","-2,000,000","-2,000,000","-1,300,000","-4,300,000","-5,900,000","-14,200,000","-11,600,000","-8,500,000","-12,700,000","-400,000","-300,000","-600,000","-400,000","-2,900,000","-300,000","-1,900,000","-7,200,000",,"0","0","0","-2,000,000","-1,300,000","-1,000,000","-10,200,000","-1,600,000",,,,"-400,000",,,,,,,,,"800,000","-300,000","500,000","300,000","1,000,000","600,000","300,000","-3,600,000","-4,000,000","-1,000,000","2,100,000","-1,000,000","-1,800,000","-100,000","-700,000"
