name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
EarningsFromEquityInterestNetOfTax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,148,149,950","-4,278,067,500","1,466,701,200","1,441,381,250","1,342,848,600","-3,949,278,450","1,334,317,400","1,268,906,100","1,299,592,400","-3,132,532,200","938,925,400","1,151,312,000","1,027,162,650","-2,440,059,350","999,784,500","875,509,750","544,099,500","-1,378,041,200","488,500,900","471,486,250","414,807,900",,"382,274,200","439,540,100","417,994,800",,"217,998,600","390,023,200","324,367,600","382,843,000","335,532,490","325,967,400","300,528,810","371,521,404","277,439,712",,
NetIncomeCommonStockholders,"4,550,000,000","1,253,000,000","1,185,000,000","680,000,000","1,432,000,000","2,133,000,000","550,000,000","1,531,000,000","1,218,000,000","1,333,000,000","-1,646,000,000","1,066,000,000","1,216,000,000","1,309,000,000","30,000,000","1,083,000,000","667,000,000","1,016,000,000","217,000,000","593,000,000","571,000,000","694,000,000","612,000,000","1,072,000,000","907,000,000","784,000,000","1,263,000,000","1,001,000,000","227,000,000","508,000,000","1,028,000,000","-258,000,000","-328,000,000","1,182,000,000","-154,000,000","-1,277,000,000","468,000,000","965,000,000","1,774,000,000","-966,000,000","-2,398,000,000","1,120,000,000","848,000,000","-193,000,000","1,758,000,000","-1,075,000,000","-1,878,000,000","503,000,000","1,000,000,000","851,621,500","1,135,882,800","1,070,214,900","1,092,471,250","979,448,850","1,091,126,450","966,152,900","938,612,400","949,612,400","899,609,400","741,623,400","842,662,400","799,710,850","747,856,800","716,301,300","656,967,500","424,502,750","424,354,300","389,991,050","388,602,500","338,318,500","369,107,800","323,584,800","343,723,400","335,034,000","334,498,100","249,592,600","306,555,200","273,980,400","287,023,520","315,972,300","242,993,880","225,033,650","244,820,684","224,391,123","201,286,800","205,739,440"
	NetIncome,"4,257,000,000","1,150,000,000","1,067,000,000","602,000,000","1,438,000,000","2,162,000,000","306,000,000","1,822,000,000","1,222,000,000","1,323,000,000","-1,745,000,000","1,223,000,000","1,253,000,000","1,337,000,000","142,000,000","1,130,000,000","689,000,000","1,029,000,000","219,000,000","648,000,000","649,000,000","705,000,000","700,000,000","1,096,000,000","934,000,000","792,000,000","1,345,000,000","926,000,000","299,000,000","548,000,000","954,000,000","-227,000,000","-300,000,000","1,206,000,000","-69,000,000","-1,277,000,000","491,000,000","985,000,000","1,794,000,000","-947,000,000","-2,378,000,000","1,140,000,000","868,000,000","-172,000,000","1,774,000,000","-1,068,000,000","-1,870,000,000","510,000,000","1,008,000,000","858,803,850","1,071,021,400","1,070,214,900","1,099,917,500","987,524,400","1,083,813,450","972,846,800","946,397,100","949,612,400","901,324,600","745,105,200","842,662,400","800,920,700","751,466,850","720,097,950","660,989,750","427,131,250","417,305,950","394,039,400","388,602,500","338,318,500","369,107,800","323,584,800","343,723,400","335,034,000","334,498,100","249,592,600","309,590,400","273,980,400","287,023,520","315,972,300","242,993,880","225,033,650","244,820,684","224,391,123","201,286,800","205,739,440"
		NetIncomeIncludingNoncontrollingInterests,"4,374,000,000","1,107,000,000","1,136,000,000","615,000,000","1,516,000,000","2,235,000,000","316,000,000","1,905,000,000","1,289,000,000","1,377,000,000","-1,699,000,000","1,256,000,000","1,314,000,000","1,391,000,000","165,000,000","1,197,000,000","716,000,000","1,055,000,000","212,000,000","672,000,000","678,000,000","728,000,000","707,000,000","1,105,000,000","977,000,000","804,000,000","1,357,000,000","946,000,000","308,000,000","555,000,000","1,079,000,000","-330,000,000","-287,000,000","1,230,000,000","-55,000,000","-1,184,000,000","495,000,000","989,000,000","1,814,000,000","-899,000,000","-2,375,000,000","1,148,000,000","845,000,000","-138,000,000","1,784,000,000","-1,071,000,000","-1,869,000,000","507,000,000","998,000,000","856,751,750","1,036,633,400","1,063,259,000","1,091,407,500","980,602,500","1,094,777,750","968,384,200","940,836,600","943,779,400","914,076,100","739,302,200","838,988,000","796,081,300","723,482,750","698,583,600","643,560,000","407,417,500","418,473,300","373,797,650","369,580,000","319,196,150","351,954,000","306,136,600","323,951,700","315,889,200","326,549,800","249,592,600","308,072,800","278,704,200","357,476,510","358,101,940","296,334,000","194,545,220","226,931,388","291,546,816","201,286,800","205,739,440"
			NetIncomeContinuousOperations,"4,374,000,000","1,107,000,000","1,136,000,000","615,000,000","1,516,000,000","2,235,000,000","316,000,000","1,905,000,000","1,289,000,000","1,377,000,000","-1,699,000,000","1,256,000,000","1,314,000,000","1,391,000,000","165,000,000","1,197,000,000","716,000,000","1,055,000,000","212,000,000","672,000,000","678,000,000","728,000,000","707,000,000","1,105,000,000","977,000,000","804,000,000","1,357,000,000","946,000,000","308,000,000","555,000,000","1,079,000,000","-330,000,000","-287,000,000","1,230,000,000","-55,000,000","-1,184,000,000","495,000,000","989,000,000","1,814,000,000","-899,000,000","-2,375,000,000","1,148,000,000","845,000,000","-138,000,000","1,784,000,000","-1,071,000,000","-1,869,000,000","507,000,000","998,000,000","858,803,850","1,044,002,500","1,069,221,200","1,099,917,500","987,524,400","1,053,813,450","972,846,800","946,397,100","949,612,400","887,324,600","745,105,200","842,662,400","800,920,700","737,466,850","720,097,950","660,989,750","427,131,250","410,305,950","394,039,400","388,602,500","338,318,500","369,107,800","323,584,800","343,723,400","335,034,000","334,498,100","249,592,600","309,590,400","273,980,400","287,023,520","315,972,300","242,993,880","225,033,650","244,820,684","224,391,123","201,286,800","205,739,440"
			NetIncomeFromTaxLossCarryforward,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"993,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		MinorityInterests,"-117,000,000","43,000,000","-69,000,000","-13,000,000","-78,000,000","-73,000,000","-10,000,000","-83,000,000","-67,000,000","-54,000,000","-46,000,000","-33,000,000","-61,000,000","-54,000,000","-23,000,000","-67,000,000","-27,000,000","-26,000,000","7,000,000","-24,000,000","-29,000,000","-23,000,000","-7,000,000","-9,000,000","-43,000,000","-12,000,000","-12,000,000","-20,000,000","-9,000,000","-7,000,000","-125,000,000","103,000,000","-13,000,000","-24,000,000","75,000,000","-93,000,000","-4,000,000","-5,000,000","-20,000,000","-48,000,000","-3,000,000","-8,000,000","23,000,000","-34,000,000","-10,000,000","3,000,000","-1,000,000","3,000,000","10,000,000","2,052,100","34,388,000","6,955,900","8,510,000","6,921,900","-10,964,300","4,462,600","5,560,500","5,833,000","-12,751,500","5,803,000","3,674,400","4,839,400","27,984,100","21,514,350","17,429,750","19,713,750","-1,167,350","20,241,750","19,022,500","19,122,350","17,153,800","17,448,200","19,771,700","19,144,800","7,948,300",,"1,517,600","-4,723,800","-70,452,990","-42,129,640","-53,340,120","30,488,430","17,889,296","-67,155,693",,
	PreferredStockDividends,"172,000,000","43,000,000","43,000,000","43,000,000","43,000,000","43,000,000","43,000,000","42,000,000","44,000,000","39,000,000","40,000,000","39,000,000","39,000,000","41,000,000","33,000,000","34,000,000","37,000,000","29,000,000","29,000,000","29,000,000","29,000,000","29,000,000","28,000,000","28,000,000","36,000,000","34,000,000","34,000,000","33,000,000","32,000,000","32,000,000","29,000,000","31,000,000","28,000,000","24,000,000",,,"23,000,000","20,000,000","20,000,000","19,000,000","20,000,000","20,000,000","20,000,000","21,000,000","16,000,000","7,000,000","8,000,000","7,000,000","8,000,000","7,182,350","8,138,600",,"7,446,250","8,075,550","7,687,000","6,693,900","7,784,700",,"4,715,200","3,481,800",,"1,209,850","2,610,050","3,796,650","4,022,250","2,628,500","2,951,650","4,048,350",,,,,,,,,"3,035,200",,,,,,,,,
	OtherunderPreferredStockDividend,"-465,000,000","-146,000,000","-161,000,000","-121,000,000","-37,000,000","-14,000,000","-287,000,000","249,000,000","-40,000,000","-49,000,000","-139,000,000","118,000,000","-2,000,000","-13,000,000","79,000,000","13,000,000","-15,000,000","-16,000,000","-27,000,000","26,000,000","49,000,000","-18,000,000","60,000,000","-4,000,000","-9,000,000","-26,000,000","48,000,000","-108,000,000","40,000,000","8,000,000","20,000,000",,,,,,,,,,,,,,,,,,,"-8,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"4,550,000,000","1,253,000,000","1,185,000,000","680,000,000","1,432,000,000","2,133,000,000","550,000,000","1,531,000,000","1,218,000,000","1,333,000,000","-1,646,000,000","1,066,000,000","1,216,000,000","1,309,000,000","30,000,000","1,083,000,000","667,000,000","1,016,000,000","217,000,000","593,000,000","571,000,000","694,000,000","612,000,000","1,072,000,000","907,000,000","784,000,000","1,263,000,000","1,001,000,000","227,000,000","508,000,000","1,028,000,000","-258,000,000","-328,000,000","1,182,000,000","-154,000,000","-1,277,000,000","468,000,000","965,000,000","1,774,000,000","-966,000,000","-2,398,000,000","1,120,000,000","848,000,000","-193,000,000","1,758,000,000","-1,075,000,000","-1,878,000,000","503,000,000","1,000,000,000","851,621,500","1,135,882,800","1,070,214,900","1,092,471,250","979,448,850","1,091,126,450","966,152,900","938,612,400","949,612,400","899,609,400","741,623,400","842,662,400","799,710,850","747,856,800","716,301,300","656,967,500","424,502,750","424,354,300","389,991,050","388,602,500","338,318,500","369,107,800","323,584,800","343,723,400","335,034,000","334,498,100","249,592,600","306,555,200","273,980,400","287,023,520","315,972,300","242,993,880","225,033,650","244,820,684","224,391,123","201,286,800","205,739,440"
BasicEPS,,"0.64",,"0.35","0.73","1.09",,"0.77","0.61","0.67",,"0.54","0.62","0.66",,"0.55","0.34","0.51","0.11","0.3","0.29","0.36","0.33","0.58","0.49","0.42",,"0.54","0.12","0.28","0.56","-0.14","-0.18","0.66",,"-0.73","0.26","0.54",,"-0.55","-1.36","0.64",,"-0.12","1.09","-0.67",,"0.34","0.67","0.57",,"0.7","0.721","0.63",,"0.619","0.608","0.599",,"0.465","0.524","0.495",,"0.442","0.467","0.461",,"0.425","0.417","0.365",,"0.345","0.356","0.35",,"0.26","0.319","0.276",,"0.218","0.252","0.232",,"0.228","0.207","0.212"
DilutedEPS,,"0.64",,"0.35","0.73","1.08",,"0.77","0.61","0.67",,"0.54","0.61","0.66",,"0.55","0.34","0.51","0.11","0.3","0.29","0.36","0.33","0.57","0.49","0.42",,"0.54","0.12","0.28","0.56","-0.14","-0.18","0.62",,"-0.73","0.26","0.53",,"-0.55","-1.36","0.64",,"-0.12","1.09","-0.67",,"0.33","0.66","0.57",,"0.7","0.711","0.63",,"0.619","0.598","0.594",,"0.46","0.519","0.49",,"0.437","0.462","0.456",,"0.42","0.417","0.36",,"0.345","0.356","0.345",,"0.26","0.319","0.276",,"0.218","0.252","0.232",,"0.228","0.207","0.212"
BasicAverageShares,,"1,943,000,000",,"1,961,000,000","1,965,000,000","1,965,000,000",,"1,984,000,000","1,984,000,000","1,983,000,000",,"1,978,000,000","1,977,000,000","1,976,000,000",,"1,973,000,000","1,972,000,000","1,972,000,000","1,972,727,273","1,971,000,000","1,971,000,000","1,936,000,000","1,854,545,455","1,859,000,000","1,854,000,000","1,849,000,000",,"1,839,000,000","1,834,000,000","1,814,285,714","1,835,714,286","1,816,000,000","1,808,000,000","1,802,000,000",,"1,789,000,000","1,783,000,000","1,778,000,000",,"1,767,000,000","1,762,000,000","1,758,000,000",,"1,615,000,000","1,611,000,000","1,610,000,000",,"1,492,000,000","1,497,000,000","1,498,000,000",,"1,501,480,700","1,532,000,000","1,546,000,000",,"1,551,000,000","1,570,000,000","1,584,000,000",,"1,592,000,000","1,598,000,000","1,612,000,000",,"1,622,000,000","1,412,000,000","926,000,000",,"926,000,000","926,000,000","926,000,000",,"948,000,000","966,000,000","964,000,000",,"964,000,000","964,000,000","964,000,000",,"964,000,000","964,000,000","971,724,000",,"985,161,074","971,428,571","971,426,737"
DilutedAverageShares,,"1,947,000,000",,"1,965,000,000","1,969,000,000","1,969,000,000",,"1,989,000,000","1,989,000,000","1,989,000,000",,"1,986,000,000","1,984,000,000","1,984,000,000",,"1,976,000,000","1,976,000,000","1,976,000,000","1,972,727,273","1,977,000,000","1,992,000,000","1,959,000,000","1,854,545,455","1,883,000,000","1,878,000,000","1,874,000,000",,"1,864,000,000","1,860,000,000","1,814,285,714","1,835,714,286","1,816,000,000","1,808,000,000","1,919,000,000",,"1,789,000,000","1,871,000,000","1,861,000,000",,"1,767,000,000","1,762,000,000","1,763,000,000",,"1,615,000,000","1,616,000,000","1,610,000,000",,"1,503,000,000","1,508,000,000","1,498,000,000",,"1,515,392,500","1,546,000,000","1,562,000,000",,"1,566,000,000","1,586,000,000","1,600,000,000",,"1,608,000,000","1,612,000,000","1,628,000,000",,"1,638,000,000","1,424,000,000","934,000,000",,"932,000,000","932,000,000","932,000,000",,"954,000,000","974,000,000","972,000,000",,"972,000,000","972,000,000","972,000,000",,"964,000,000","964,000,000","971,724,000",,"985,161,074","971,428,571","971,426,737"
TotalExpenses,"68,943,000,000","17,963,000,000","9,405,000,000","21,526,000,000","20,049,000,000","20,622,000,000","7,668,000,000","5,733,000,000","11,718,000,000","6,626,000,000","17,875,000,000","10,275,000,000","14,577,000,000","11,422,000,000","-3,650,000,000","12,752,000,000","19,279,000,000","19,981,000,000","9,800,000,000","5,714,000,000","94,000,000","14,589,000,000","14,931,000,000","9,339,000,000","11,700,000,000","12,969,000,000","4,454,000,000","4,865,000,000","-851,000,000","5,285,000,000","5,049,000,000","8,319,000,000","11,777,000,000","2,527,000,000","9,580,000,000","25,254,000,000","10,233,000,000","5,857,000,000","1,265,000,000","14,474,000,000","15,256,000,000","7,810,000,000","5,990,000,000","14,453,000,000","9,690,000,000","10,126,000,000","14,246,000,000","5,150,000,000","6,213,000,000","2,193,694,900","23,767,053,700","2,135,461,300","582,935,000","671,424,300","23,076,701,700","1,884,332,850","1,057,607,100","214,654,400","22,041,541,800","1,902,223,400","1,866,595,200","3,468,639,950","19,199,314,250","1,835,047,500","1,611,581,500","1,100,027,250","11,805,522,100","985,098,500","1,016,345,000","1,006,129,800","11,983,805,600","943,789,000","965,771,500","973,194,000","13,850,673,200","341,215,200","338,668,800","336,964,400","334,807,500","329,513,970","315,413,440","296,651,240","290,082,109","275,382,426",,
NetIncomeFromContinuingAndDiscontinuedOperation,"4,257,000,000","1,150,000,000","1,067,000,000","602,000,000","1,438,000,000","2,162,000,000","306,000,000","1,822,000,000","1,222,000,000","1,323,000,000","-1,745,000,000","1,223,000,000","1,253,000,000","1,337,000,000","142,000,000","1,130,000,000","689,000,000","1,029,000,000","219,000,000","648,000,000","649,000,000","705,000,000","700,000,000","1,096,000,000","934,000,000","792,000,000","1,345,000,000","926,000,000","299,000,000","548,000,000","954,000,000","-227,000,000","-300,000,000","1,206,000,000","-69,000,000","-1,277,000,000","491,000,000","985,000,000","1,794,000,000","-947,000,000","-2,378,000,000","1,140,000,000","868,000,000","-172,000,000","1,774,000,000","-1,068,000,000","-1,870,000,000","510,000,000","1,008,000,000","858,803,850","1,074,002,500","1,069,221,200","1,099,917,500","987,524,400","1,083,813,450","972,846,800","946,397,100","949,612,400","901,324,600","745,105,200","842,662,400","800,920,700","751,466,850","720,097,950","660,989,750","427,131,250","417,305,950","394,039,400","388,602,500","338,318,500","369,107,800","323,584,800","343,723,400","335,034,000","334,498,100","249,592,600","309,590,400","273,980,400","287,023,520","315,972,300","242,993,880","225,033,650","244,820,684","224,391,123","201,286,800","205,739,440"
