name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
			NonCurrentDeferredTaxesLiabilities,"397,858,000","382,982,000","370,389,000","412,739,000","736,317,000","56,884,000","129,188,000","63,368,000","77,903,000","109,570,000","81,441,000","74,838,000","107,089,000","100,868,000","193,950,000","248,751,000","143,665,000","128,849,000","99,714,000","99,603,000","92,011,000","110,000,000","97,167,000","104,543,000","133,100,000","123,900,000","117,200,000"
			NonCurrentDeferredRevenue,,,,,,"2,010,000","2,444,000","3,362,000",,,,,,,,,,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,"355,652,000","385,969,000","461,954,000","66,174,000","101,677,000","25,340,000","29,834,000","29,179,000",,,,,,,,,,,,,,,,,,,
		EmployeeBenefits,"371,687,000","357,845,000","372,108,000","371,270,000","452,830,000","249,126,000","134,580,000","276,561,000","185,552,000","157,850,000","202,349,000","194,184,000",,,,,,,,,,,,,,,
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"371,687,000","357,845,000","372,108,000","371,270,000","452,830,000","249,126,000","134,580,000","276,561,000","185,552,000","157,850,000","202,349,000","194,184,000",,,,,,,,,,,,,,,
		LiabilitiesHeldforSaleNonCurrent,,"0","614,000","0",,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"166,577,000","32,816,000","33,758,000","37,708,000","60,483,000","18,261,000","29,159,000","27,486,000","111,107,000","108,811,000","104,782,000","193,495,000","280,467,000","236,594,000","225,212,000","209,289,000","168,945,000","149,223,000","120,269,000","83,496,000","81,185,000","75,664,000","69,704,000","64,166,000","54,500,000","51,400,000","40,300,000"
TotalEquityGrossMinorityInterest,"4,093,580,000","3,759,108,000","3,817,696,000","3,942,604,000","3,401,313,000","1,488,635,000","1,742,776,000","1,932,008,000","1,678,827,000","1,475,746,000","1,253,318,000","1,065,771,000","1,332,666,000","1,028,098,000","930,275,000","711,375,000","636,221,000","569,740,000","593,302,000","558,907,000","490,564,000","451,667,000","517,336,000","505,198,000","622,600,000","545,000,000","700,200,000"
	StockholdersEquity,"3,932,250,000","3,585,321,000","3,674,549,000","3,795,062,000","3,254,392,000","1,359,465,000","1,627,361,000","1,833,598,000","1,591,277,000","1,416,074,000","1,205,696,000","1,065,771,000","1,278,305,000","1,028,098,000","930,275,000","711,375,000","636,221,000","569,740,000","593,302,000","558,907,000","490,564,000","451,667,000","517,336,000","505,198,000","622,600,000","545,000,000","700,200,000"
		CapitalStock,"1,061,000","1,056,000","1,105,000","1,125,000","1,122,000","780,000","801,000","889,000","888,000","916,000","915,000","910,000","947,000","949,000","467,000","419,000","412,000","417,000","455,000","458,000","462,000","470,000","539,000","550,000",,,
			CommonStock,"1,061,000","1,056,000","1,105,000","1,125,000","1,122,000","780,000","801,000","889,000","888,000","916,000","915,000","910,000","947,000","949,000","467,000","419,000","412,000","417,000","455,000","458,000","462,000","470,000","539,000","550,000",,,
		AdditionalPaidInCapital,"1,383,446,000","1,368,897,000","1,863,949,000","2,084,418,000","2,059,151,000","10,447,000","9,957,000","2,761,000","15,194,000","18,835,000","8,658,000","0","154,451,000","199,045,000","189,887,000","22,839,000","736,000","2,286,000","51,025,000","57,223,000","63,904,000","78,724,000","218,841,000","250,890,000",,,
