name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014
			Payables,"3,794,734,000","3,524,525,000","2,802,162,000","2,244,856,000","1,449,041,000","779,136,000"
				AccountsPayable,"1,475,258,000","1,311,807,000","889,139,000","636,422,000","294,199,000","152,059,000"
				TotalTaxPayable,"80,272,000","405,683,000","221,926,000","418,310,000","301,932,000","218,215,000"
					IncomeTaxPayable,"80,272,000","405,683,000","221,926,000","418,310,000","301,932,000","218,215,000"
				DividendsPayable,"1,629,000","1,699,000",,,,
				DuetoRelatedPartiesCurrent,"38,943,000","132,216,000","114,913,000","131,425,000","103,267,000","100,819,000"
				OtherPayable,"2,198,632,000","1,673,120,000","1,576,184,000","1,058,699,000","749,643,000","308,043,000"
		CurrentDebtAndCapitalLeaseObligation,"298,728,000",,"250,000,000","450,000,000","300,000,000","250,000,000"
			CurrentDebt,,,"250,000,000","450,000,000","300,000,000","250,000,000"
				OtherCurrentBorrowings,,,"250,000,000","450,000,000","300,000,000","250,000,000"
			CurrentCapitalLeaseObligation,"298,728,000",,,,,
		CurrentDeferredLiabilities,"1,210,887,000","436,710,000","258,965,000","229,724,000","298,865,000","220,247,000"
			CurrentDeferredRevenue,"1,210,887,000","436,710,000","258,965,000","229,724,000","298,865,000","220,247,000"
		OtherCurrentLiabilities,"1,376,598,000","1,180,230,000","834,887,000","597,891,000","603,037,000","281,911,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"806,158,000","271,843,000","240,307,000","130,520,000","85,059,000","47,128,000"
		LongTermDebtAndCapitalLeaseObligation,"504,442,000",,,,,
			LongTermCapitalLeaseObligation,"504,442,000",,,,,
		NonCurrentDeferredLiabilities,"207,896,000","157,940,000","157,320,000","130,520,000","85,059,000","47,128,000"
			NonCurrentDeferredTaxesLiabilities,"207,896,000","157,940,000","157,320,000","130,520,000","85,059,000","47,128,000"
		TradeandOtherPayablesNonCurrent,"0","22,942,000","22,942,000",,,
		OtherNonCurrentLiabilities,"93,820,000","90,961,000","60,045,000",,,
TotalEquityGrossMinorityInterest,"38,403,397,000","34,269,549,000","21,441,317,000","19,750,747,000","7,846,221,000","3,395,703,000"
	StockholdersEquity,"38,302,604,000","34,217,238,000","21,435,313,000","19,745,033,000","7,834,237,000","3,368,810,000"
		CapitalStock,"517,000","523,000","471,000","471,000","1,977,245,000","390,000"
			PreferredStock,,,,"0","1,976,855,000","0"
			CommonStock,"517,000","523,000","471,000","471,000","390,000","390,000"
		AdditionalPaidInCapital,"22,336,594,000","24,137,681,000","15,975,979,000","15,940,206,000","4,281,321,000","2,966,980,000"
		RetainedEarnings,"16,726,540,000","11,052,395,000","6,669,370,000","3,509,707,000","1,589,420,000","401,440,000"
		TreasuryStock,"1,436,767,000","1,545,077,000","914,611,000",,,
		GainsLossesNotAffectingRetainedEarnings,"675,720,000","571,716,000","-295,896,000","294,649,000","-13,749,000","0"
	MinorityInterest,"100,793,000","52,311,000","6,004,000","5,714,000","11,984,000","26,893,000"
TotalCapitalization,"38,302,604,000","34,217,238,000","21,435,313,000","19,745,033,000","7,834,237,000","3,368,810,000"
PreferredStockEquity,,,,,"1,976,855,000",
CommonStockEquity,"38,302,604,000","34,217,238,000","21,435,313,000","19,745,033,000","5,857,382,000","3,368,810,000"
CapitalLeaseObligations,"803,170,000",,,,,
NetTangibleAssets,"34,013,034,000","29,921,470,000","17,133,348,000","15,587,922,000","3,743,018,000","989,628,000"
WorkingCapital,"13,417,310,000","16,092,602,000","8,231,832,000","9,663,567,000","787,177,000","-778,680,000"
InvestedCapital,"38,302,604,000","34,217,238,000","21,685,313,000","20,195,033,000","6,157,382,000","3,618,810,000"
TangibleBookValue,"34,013,034,000","29,921,470,000","17,133,348,000","15,587,922,000","1,766,163,000","989,628,000"
TotalDebt,"803,170,000",,"250,000,000","450,000,000","300,000,000","250,000,000"
NetDebt,,,,,,"86,641,000"
ShareIssued,"803,551,115","811,267,551","742,248,276","731,406,440","618,384,686","618,384,686"
OrdinarySharesNumber,"781,947,464","785,463,859","721,646,552","720,564,604","618,384,686","618,384,686"
TreasurySharesNumber,"21,603,651","25,803,692","20,601,724","10,841,836",,
