name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998
				LandAndImprovements,,"959,536,000","937,540,000","933,112,000","952,052,000","376,715,000","377,383,000","372,215,000","326,805,000","333,465,000","343,390,000","332,312,000","449,820,000","490,940,000","418,818,000","416,420,000","422,108,000","424,593,000","501,271,000","496,669,000","509,437,000","526,932,000","447,463,000","434,753,000","454,915,000","376,362,000","374,210,000","366,252,000","343,206,000","352,245,000","351,114,000","348,598,000","347,479,000","348,073,000",,,,"125,422,000","124,394,000","120,873,000","118,718,000","120,250,000","120,250,000","118,306,000","119,500,000","119,496,000",,,,"95,438,000","94,284,000","94,007,000","92,683,000","69,511,000","59,480,000","58,781,000","51,221,000","51,057,000","49,399,000","49,644,000","46,865,000","40,671,000","41,032,000","40,431,000",,"29,886,000",,,,,,"29,689,000",,,,,,,,,,,,,,,,
				BuildingsAndImprovements,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"164,463,000","160,378,000","157,083,000","148,481,000","168,633,000","167,197,000","166,595,000","169,479,000","168,970,000",,,,"165,512,000","156,509,000","151,508,000","141,160,000","118,021,000","114,470,000","110,503,000","102,891,000","82,500,000","94,521,000","87,631,000","82,975,000","53,696,000","62,279,000","85,971,000",,"45,877,000",,,,,,"49,482,000",,,,,,,,,,,,,,,,
				MachineryFurnitureEquipment,"166,586,000","165,124,000","164,563,000","162,845,000","162,237,000","156,846,000","152,627,000","147,478,000","151,561,000","152,470,000","153,962,000","155,486,000","153,350,000","153,142,000","150,502,000","147,746,000","145,282,000","149,482,000","244,821,000","235,306,000","233,085,000","226,695,000","210,718,000","207,483,000","202,614,000","187,056,000","184,242,000","177,792,000","179,243,000","174,336,000","183,643,000","953,179,000","928,026,000","917,840,000",,,,"855,642,000","873,033,000","831,211,000","842,006,000","767,896,000","789,097,000","797,157,000","798,138,000","760,478,000",,,,"676,506,000","702,945,000","694,346,000","623,758,000","617,491,000","123,785,000","121,406,000","110,158,000","105,421,000","98,869,000","98,933,000","116,031,000","78,257,000","75,612,000","94,724,000",,"63,035,000",,,,"302,660,000",,"17,014,000",,,,,,,,,,,,,,,,
				OtherProperties,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"771,959,000",,,,,,,,,,,,,,,,,,,,,,,,"526,637,000","507,102,000","506,849,000",,"366,086,000","355,146,000","309,845,000",,"299,326,000","331,639,000",,"258,470,000",,,,,,"161,694,000",,,,,,,,,,,,,,,,
				ConstructionInProgress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"22,433,000","11,216,000","11,216,000","5,608,000","5,608,000","5,608,000",,,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"28,056,000","27,652,000","28,792,000","27,891,000","27,355,000","27,093,000",,,,"21,353,000","26,173,000","25,614,000","26,025,000","23,685,000","23,608,000","23,528,000",,"22,883,000",,,,,,,,,,,,"17,758,000",,,,"11,125,000",,,,,,,,,,,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-1,139,078,000","-1,088,042,000","-1,058,337,000","-1,007,031,000","-954,746,000","-664,421,000","-638,886,000","-596,617,000","-595,313,000","-582,725,000","-589,018,000","-517,732,000","-559,201,000","-542,030,000","-531,545,000","-516,722,000","-514,065,000","-500,876,000","-610,466,000","-593,823,000","-618,774,000","-591,994,000","-546,239,000","-528,774,000","-516,974,000","-522,561,000","-544,287,000","-543,173,000","-542,346,000","-528,537,000","-552,783,000","-532,720,000","-515,041,000","-509,417,000",,,,"-478,704,000","-509,059,000","-498,872,000","-496,792,000","-413,149,000","-423,737,000","-416,635,000","-405,569,000","-353,114,000",,,,"-288,108,000","-318,904,000","-304,106,000","-277,699,000","-271,969,000","-311,470,000","-301,945,000","-301,315,000","-271,680,000","-232,401,000","-221,324,000","-208,596,000","-197,751,000","-224,864,000","-307,671,000","-196,813,000","-196,813,000","-174,626,000","-174,626,000","-174,626,000","-103,420,000","-103,420,000","-103,420,000","-90,271,000","-90,271,000",,"-90,271,000","-67,700,000","-67,700,000","-67,700,000","-67,700,000","-62,500,000","-62,500,000","-62,500,000","-62,500,000","-48,000,000","-48,000,000","-48,000,000","-48,000,000"
		GoodwillAndOtherIntangibleAssets,"1,997,879,000","1,954,902,000","1,976,081,000","1,968,896,000","1,943,754,000","1,901,495,000","1,854,338,000","1,868,532,000","1,838,176,000","1,832,274,000","1,819,827,000","1,857,679,000","1,991,326,000","1,989,648,000","1,505,355,000","1,509,583,000","1,523,547,000","1,562,500,000","1,661,443,000","1,633,835,000","1,626,040,000","1,597,695,000","1,222,409,000","989,388,000","1,014,470,000","850,711,000","912,266,000","908,530,000","907,537,000","865,796,000","873,112,000","888,594,000","892,282,000","856,170,000","770,399,000","759,137,000","766,601,000","605,388,000","611,972,000","611,900,000","617,997,000","565,897,000","557,348,000","561,205,000","563,701,000","564,523,000","505,243,000","508,358,000","501,869,000","468,447,000","429,628,000","426,981,000","400,683,000","373,358,000","346,971,000","324,420,000","311,782,000","181,181,000","158,287,000","151,991,000","141,023,000","121,512,000","112,748,000","108,863,000","103,331,000","100,696,000","100,686,000","100,686,000","99,959,000","96,069,000","74,996,000","74,137,000","72,152,000","68,709,000","68,709,000","69,622,000",,,,"72,600,000",,,,,,,,"9,100,000"
			Goodwill,"1,579,154,000","1,538,091,000","1,540,361,000","1,526,484,000","1,513,149,000","1,478,369,000","1,426,611,000","1,427,503,000","1,405,449,000","1,391,211,000","1,402,907,000","1,425,549,000","1,525,885,000","1,482,656,000","1,131,469,000","1,126,108,000","1,128,590,000","1,147,311,000","1,155,763,000","1,130,017,000","1,120,718,000","1,093,499,000","824,557,000","718,060,000","733,383,000","613,077,000","615,818,000","603,610,000","613,071,000","566,898,000","573,177,000","576,491,000","572,970,000","573,606,000",,,,"432,784,000","432,520,000","428,840,000","428,534,000","418,951,000","439,027,000","438,495,000","438,602,000","435,851,000","429,322,000","428,685,000","420,290,000","399,828,000","372,423,000","368,102,000","342,935,000","320,716,000","271,400,000","250,976,000","247,850,000","155,798,000",,,,"115,681,000",,,,"100,696,000",,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"418,725,000","416,811,000","435,720,000","442,412,000","430,605,000","423,126,000","427,727,000","441,029,000","432,727,000","441,063,000","416,920,000","432,130,000","465,441,000","506,992,000","373,886,000","383,475,000","394,957,000","415,189,000","505,680,000","503,818,000","505,322,000","504,196,000","397,852,000","271,328,000","281,087,000","237,634,000","296,448,000","304,920,000","294,466,000","298,898,000","299,935,000","312,103,000","319,312,000","282,564,000",,,,"172,604,000","179,452,000","183,060,000","189,463,000","146,946,000","118,321,000","122,710,000","125,099,000","128,672,000","75,921,000","79,673,000","81,579,000","68,619,000","57,205,000","58,879,000","57,748,000","52,642,000","75,571,000","73,444,000","63,932,000","25,383,000",,,,"5,831,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"2,828,000",,,,,"1,498,000","2,861,000","3,108,000","3,766,000","6,310,000","6,622,000","3,199,000","8,553,000","15,884,000","5,506,000",,"6,196,000",,,,,"0",,,,"22,664,000",,,,"4,738,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,,,,,,"1,498,000","2,861,000","3,108,000","3,766,000","6,310,000","6,622,000","3,199,000","8,553,000","15,884,000","5,506,000",,,,,,,"0",,,,"22,664,000",,,,"4,738,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"2,828,000",,,,,"1,498,000","2,861,000","3,108,000","3,766,000","6,310,000","6,622,000","3,199,000","8,553,000","15,884,000","5,506,000",,,,,,,"0",,,,"22,664,000",,,,"4,738,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AvailableForSaleSecurities,"2,828,000",,,,,"1,498,000","2,861,000","3,108,000","3,766,000","6,310,000","6,622,000","3,199,000","8,553,000","15,884,000","5,506,000",,,,,,,,,,,"22,664,000",,,,"4,738,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherInvestments,,,,,,,,,,,,,,,,,"6,196,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		FinancialAssets,,,"0","120,000","1,330,000","2,946,000","6,095,000","6,978,000","6,534,000","4,317,000","3,431,000","2,100,000","942,000","1,287,000",,,,"0","0","0","0","347,000","162,000","67,000","0","306,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,,,,,,"22,686,000","22,183,000","21,690,000","21,209,000","20,739,000","20,280,000","19,831,000","19,391,000","18,962,000","18,541,000","18,130,000","17,728,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
