name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
		PayablesAndAccruedExpenses,"26,824,000","23,991,000","18,005,000","24,599,000","18,013,000","12,036,000","12,610,000","35,323,000","34,367,000","32,531,000","6,489,000","9,383,000","20,253,000","28,945,000","26,491,000","19,945,000","20,375,000","17,289,000","26,963,000","39,602,000","44,366,000","27,614,000","21,958,000","25,630,000","26,055,000","24,486,000","12,978,000","5,447,000","6,641,000","5,063,000","3,437,000","3,540,000","5,294,000","4,936,000","6,167,000","14,069,000","10,680,000","29,394,000","11,356,000","10,378,000","15,884,000","16,893,000","22,517,000","37,562,000","46,789,000","31,952,000","44,210,000","38,345,000","30,058,000","31,029,000","25,744,000","20,847,000","22,947,000","13,277,000","8,857,000","12,203,000","10,275,256","9,770,761","7,626,494","6,965,539","6,288,957","4,925,659","4,404,804","4,450,220","3,023,467","2,766,380","4,310,261","5,331,192","4,923,419","3,780,428","2,981,953","2,725,785","2,949,830","1,757,605","1,865,331","1,659,684","915,540","1,309,453","939,186","511,896"
			Payables,"6,043,000","4,068,000","2,289,000","1,643,000","6,192,000","1,081,000","1,129,000","4,419,000","1,599,000","2,542,000","1,475,000","3,340,000","15,051,000","19,710,000","15,616,000","15,474,000","14,158,000","12,122,000","21,486,000","32,825,000","34,766,000","21,630,000","16,177,000","22,184,000","23,026,000","21,740,000","8,873,000","2,456,000","3,884,000","2,195,000","1,670,000","1,449,000","2,363,000","1,892,000","5,475,000","11,762,000","5,017,000","24,743,000","5,076,000","8,547,000","9,677,000","6,220,000","11,342,000","14,542,000","12,936,000","7,459,000","13,352,000","35,642,000","26,922,000","29,071,000","23,712,000","19,054,000","3,165,000","11,853,000","7,332,000","10,816,000","8,300,783","8,673,754","6,425,862","5,788,372","4,988,586","3,818,096","3,195,252","3,345,653","1,741,981","2,766,380","3,206,742","4,349,215","4,010,513","2,920,402","2,145,353","2,725,785","2,329,426","1,757,605","1,865,331","1,659,684","915,540","1,309,453","939,186","511,896"
				AccountsPayable,"6,043,000","4,068,000","2,289,000","1,643,000","6,192,000","1,081,000","1,129,000","4,419,000","1,599,000","2,542,000","1,475,000","3,340,000","5,977,000","7,645,000","4,149,000","1,891,000","2,078,000","1,556,000","2,662,000","1,957,000","2,844,000","2,579,000","3,192,000","2,863,000","3,721,000","3,042,000","2,525,000","2,456,000","3,884,000","2,195,000","1,670,000","1,449,000","2,363,000","1,892,000",,"4,683,000",,"5,368,000",,"5,400,000",,,,,"12,936,000","7,459,000","13,352,000","35,642,000","26,922,000","29,071,000","23,712,000","19,054,000","3,165,000","11,853,000","7,332,000","10,816,000","8,300,783","8,673,754","6,425,862","5,788,372","4,988,586","3,818,096","3,195,252","3,345,653","1,741,981","2,766,380","3,206,742","4,349,215","4,010,513","2,920,402","2,145,353","2,725,785","2,329,426","1,757,605","1,865,331","1,659,684","915,540","1,309,453","939,186","511,896"
				DuetoRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,079,000",,"19,375,000",,"3,147,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				OtherPayable,,,,,,,,,,,,,"9,074,000","12,065,000","11,467,000","13,583,000","12,080,000","10,566,000","18,824,000","30,868,000","31,922,000","19,051,000","12,985,000","19,321,000","19,305,000","18,698,000","6,348,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"20,781,000","19,923,000","15,716,000","22,956,000","11,821,000","10,955,000","11,481,000","30,904,000","32,768,000","29,989,000","5,014,000","6,043,000","5,202,000","9,235,000","10,875,000","4,471,000","6,217,000","5,167,000","5,477,000","6,777,000","9,600,000","5,984,000","5,781,000","3,446,000","3,029,000","2,746,000","4,105,000","2,991,000","2,757,000","2,868,000","1,767,000","2,091,000","2,931,000","3,044,000","692,000","2,307,000","5,663,000","4,651,000","6,280,000","1,831,000","6,207,000","10,673,000","11,175,000","23,020,000","33,853,000","24,493,000","30,858,000","2,703,000","3,136,000","1,958,000","2,032,000","1,793,000","19,782,000","1,424,000","1,525,000","1,387,000","1,974,473","1,097,007","1,200,632","1,177,167","1,300,371","1,107,563","1,209,552","1,104,567","1,281,486",,"1,103,519","981,977","912,906","860,026","836,600",,"620,404",,,,,,,
		CurrentProvisions,,,,,,,,,,,,,,,,,,,,,,"82,000","385,000","497,000","567,000","37,000","315,000","688,000","482,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"14,329,000","9,149,000","6,632,000","3,700,000","8,622,000","5,732,000","3,913,000","2,605,000","5,255,000","4,256,000","3,424,000","3,625,000","4,820,000","5,663,000","4,857,000","5,177,000","5,118,000","4,222,000","4,409,000","3,839,000","4,792,000","4,699,000","4,226,000","3,285,000","4,205,000","4,161,000","3,639,000","2,901,000","3,087,000","4,368,000","3,793,000","3,736,000","4,280,000","4,672,000","3,200,000","3,246,000",,"3,743,000",,"3,378,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"3,814,000","3,676,000","3,541,000","3,410,000","3,283,000","3,384,000","3,594,000","3,799,000","4,000,000","3,962,000","3,810,000","3,662,000","3,518,000","3,378,000","3,241,000","3,108,000","2,978,000","2,852,000","2,729,000","2,609,000","2,492,000","2,379,000","2,268,000","2,161,000","2,056,000","1,954,000","1,855,000","1,758,000","1,664,000","1,573,000","1,483,000","1,397,000","1,313,000","4,917,000","5,050,000","1,073,000","22,340,000","925,000","3,932,000","783,000","717,000","651,000","587,000","525,000","410,000","361,000","314,000","263,000","231,000","217,000","202,000",,,,,,,,,,,,"347","13,137","43,874","82,969","142,742","4,340,908","4,511,803","456,606","522,524","512,586","499,387","487,064","506,704","493,832","480,538","465,489","453,567","387,753"
			CurrentDebt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,686,000","3,899,000",,"21,342,000",,"3,079,000",,,,,,"410,000","361,000","314,000","263,000","231,000","217,000","202,000",,,,,,,,,,,,"347","13,137","43,874","82,969","142,742","4,340,908","4,511,803","456,606","522,524","512,586","499,387","487,064","506,704","493,832","480,538","465,489","453,567","387,753"
