name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
			OtherIntangibleAssets,"87,736,000","108,474,000","107,399,000","104,938,000","80,788,000","93,453,000","90,235,000","84,951,000","60,735,000","77,275,000","74,166,000","70,705,000","49,122,000","53,125,000","52,483,000","50,085,000","49,046,000","45,335,000","43,552,000","38,506,000","36,915,000","34,103,000","30,968,000","28,436,000","28,214,000","57,767,000","57,748,000","59,127,000","22,330,000","57,537,000","56,518,000","51,186,000","47,047,000","45,717,000","46,951,000","43,871,000","43,465,000","39,720,000","37,304,000","37,070,000","34,973,000","37,197,000","33,119,000","27,913,000","31,865,000","32,876,000","37,177,000","66,014,000","35,484,000","59,436,000","61,333,000","54,032,000",,"49,428,000","44,945,000","51,681,000",,"53,063,000"
		InvestmentProperties,"30,196,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"134,347,000","124,169,000","144,072,000","128,992,000","138,846,000","165,856,000","171,356,000","155,313,000","65,953,000","155,953,000","953,000","954,000","953,000","954,000","856,000","864,000","861,000","428,259,000","526,132,000","558,290,000","396,802,000","240,097,000","253,876,000","6,589,000","37,590,000","46,590,000","41,591,000","58,598,000","69,445,000","71,500,000","217,859,000","174,852,000","104,834,000","57,332,000","28,794,000","6,207,000","6,224,000","6,224,000","6,145,000","6,429,000","6,407,000","8,577,000","8,293,000","7,652,000","11,145,000","23,055,000","17,730,000","17,538,000","17,038,000",,,,"29,032,000",,,,"26,175,000",
		NonCurrentAccountsReceivable,"2,139,000","1,942,000","1,942,000","1,177,000","1,177,000","2,141,000","2,261,000","2,365,000","2,444,000","2,267,000","2,346,000","2,503,000","28,355,000","605,000",,,"16,593,000",,,,"1,116,000",,,,"4,365,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"19,215,000","17,617,000","17,343,000","17,489,000","16,041,000","14,715,000","16,074,000","17,592,000","18,572,000","17,225,000","15,602,000","17,862,000","18,339,000","14,595,000","16,870,000","16,351,000","12,708,000","22,594,000","24,412,000","12,985,000","17,235,000",,,,"7,453,000",,,,"3,655,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"19,215,000","17,617,000","17,343,000","17,489,000","16,041,000","14,715,000","16,074,000","17,592,000","18,572,000","17,225,000","15,602,000","17,862,000","18,339,000","14,595,000","16,870,000","16,351,000","12,708,000","22,594,000","24,412,000","12,985,000","17,235,000",,,,"7,453,000",,,,"3,655,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentPrepaidAssets,"21,864,000","16,551,000","28,874,000","25,608,000","45,652,000","26,189,000","29,567,000","25,714,000","40,698,000","29,102,000","30,071,000","25,111,000","10,401,000",,,,"34,803,000",,,,"59,060,000",,,,"60,087,000",,,,"77,785,000",,,,"8,974,000",,,,"8,157,000",,,,"2,227,000",,,,"1,486,000",,,,,,,,,,,,,
		DefinedPensionBenefit,"249,000","6,145,000","5,586,000","6,053,000","5,091,000","4,879,000","4,091,000","3,561,000","3,185,000","4,495,000","4,941,000","9,211,000","8,826,000","9,067,000","8,130,000","7,722,000","6,050,000","21,341,000","20,291,000","13,473,000","13,784,000","12,173,000","11,936,000","11,801,000","11,114,000","10,826,000","10,974,000","10,618,000","10,009,000","9,685,000","9,406,000","9,120,000",,"8,778,000","8,583,000","8,350,000",,"2,299,000","2,022,000","1,844,000",,"2,003,000","1,832,000","1,658,000",,"1,463,000","1,236,000","1,171,000",,,,,,,,,,
		OtherNonCurrentAssets,"13,760,000","17,423,000","34,224,000","33,966,000","13,884,000","33,638,000","28,564,000","31,285,000","16,572,000","31,592,000","31,133,000","31,716,000","16,664,000","51,252,000","52,931,000","62,941,000","16,797,000","72,098,000","79,463,000","86,306,000","28,797,000","96,640,000","98,193,000","93,181,000","28,969,000","110,889,000","111,643,000","122,357,000","29,528,000","120,776,000","122,564,000","133,234,000","125,409,000","120,206,000","294,468,000","112,190,000","105,765,000","41,693,000","39,911,000","41,630,000","41,569,000","199,783,000","32,738,000","28,978,000","27,864,000","30,811,000","31,020,000","49,313,000","28,530,000","49,360,000","46,143,000","43,028,000","51,270,000","68,257,000","44,215,000","42,521,000","47,889,000","11,767,000"
TotalLiabilitiesNetMinorityInterest,"2,422,472,000","2,448,750,000","2,630,578,000","2,748,044,000","2,246,571,000","2,127,408,000","2,182,310,000","2,127,460,000","2,141,436,000","2,140,668,000","2,111,714,000","2,022,161,000","2,003,842,000","2,040,221,000","2,073,913,000","2,053,607,000","2,128,054,000","2,082,873,000","2,014,071,000","2,010,120,000","2,015,766,000","1,975,585,000","1,921,756,000","1,934,172,000","2,050,858,000","2,050,776,000","1,949,323,000","1,913,625,000","1,942,956,000","1,891,166,000","1,859,482,000","1,713,453,000","1,676,265,000","1,627,402,000","1,584,616,000","1,478,678,000","1,446,028,000","1,359,058,000","1,363,373,000","1,255,911,000","1,227,241,000","1,278,397,000","1,285,454,000","1,282,308,000","1,321,793,000","1,278,858,000","1,257,811,000","1,163,772,000","1,175,614,000","1,129,209,000","1,043,161,000","961,365,000","883,346,000","799,808,000","760,752,000","658,230,000","671,045,000","616,903,000"
	CurrentLiabilities,"997,633,000","1,028,490,000","1,136,501,000","1,222,652,000","1,047,152,000","1,031,328,000","1,088,804,000","1,062,347,000","1,058,392,000","1,036,004,000","981,893,000","850,945,000","898,436,000","935,250,000","930,152,000","928,076,000","985,667,000","956,682,000","897,411,000","957,000,000","981,497,000","889,085,000","918,489,000","953,122,000","1,041,946,000","1,001,818,000","859,768,000","784,533,000","788,690,000","740,808,000","715,108,000","638,849,000","658,660,000","611,828,000","578,804,000","490,416,000","497,895,000","509,798,000","495,749,000","431,792,000","446,582,000","481,360,000","470,637,000","450,937,000","502,084,000","498,130,000","440,754,000","403,628,000","424,989,000","416,021,000","421,051,000","346,766,000","339,573,000","304,055,000","273,846,000","249,917,000","253,979,000","233,844,000"
		PayablesAndAccruedExpenses,"205,684,000","165,071,000","159,380,000","202,501,000","195,612,000","208,597,000","237,361,000","266,801,000","230,707,000","217,346,000","214,210,000","174,544,000","227,537,000","265,364,000","254,234,000","259,522,000","224,039,000","239,508,000","230,444,000","269,407,000","238,344,000","282,477,000","299,073,000","292,103,000","263,398,000","304,148,000","274,239,000","283,524,000","211,890,000","252,301,000","225,252,000","231,567,000","216,611,000","183,229,000","195,326,000","158,521,000","177,366,000","160,772,000","143,699,000","144,395,000","157,731,000","146,136,000","135,571,000","135,389,000","143,412,000","148,886,000","140,531,000","95,029,000","120,525,000","102,490,000","98,872,000","90,729,000","88,550,000","77,063,000","80,571,000","71,000,000","67,378,000","75,166,000"
