name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
			FinishedGoods,"468,000,000","297,000,000","285,000,000","263,000,000","186,000,000","332,000,000","342,000,000","315,000,000","328,000,000",,,,,,,,,,,,,,,,,,
		PrepaidAssets,"174,000,000","176,000,000","175,000,000","149,000,000","162,000,000","172,000,000","141,000,000","126,000,000","120,000,000",,,,,,,,,,,,,,,,,,
		CurrentDeferredAssets,,,,,,,,,,"59,000,000","146,000,000",,"479,690,138","163,094,129","487,265,961",,,,,,,,,,,,
			CurrentDeferredTaxesAssets,,,,,,,,,,"59,000,000","146,000,000",,"479,690,138","163,094,129","487,265,961",,,,,,,,,,,,
		OtherCurrentAssets,"54,000,000","116,000,000","79,000,000","283,000,000","375,000,000","510,000,000",,,,,,"1,851,627,004","18,869,798","106,011,183","1,162,926","34,797,216","1",,,"-1,499,700",,,,,"100,000","100,000",
	TotalNonCurrentAssets,"73,634,000,000","68,539,000,000","68,970,000,000","54,312,000,000","55,216,000,000","56,711,000,000","49,538,000,000","47,066,000,000","44,497,000,000","40,497,000,000","39,133,000,000","39,258,135,017","33,932,863,244","30,921,481,827","19,801,139,667","17,171,826,254","13,342,779,853","12,584,198,930","8,517,987,902","7,164,067,187","4,554,398,148","3,054,179,567","2,746,247,320","1,911,900,000","836,300,000","677,500,000","401,200,000"
		NetPPE,"72,411,000,000","67,196,000,000","67,802,000,000","53,292,000,000","54,061,000,000","56,037,000,000","49,096,000,000","46,639,000,000","41,631,000,000","40,472,000,000","39,115,000,000","38,965,517,241","33,902,075,678","30,766,542,404","19,694,150,483","17,063,834,893","13,269,354,631","12,500,786,906","8,443,170,965","7,141,571,686","4,554,398,148","3,034,055,728","2,746,247,320","1,912,000,000","836,400,000","677,500,000","401,100,000"
			GrossPPE,"134,157,000,000","126,459,000,000","122,381,000,000","104,208,000,000","101,011,000,000","97,073,000,000","85,157,000,000","78,099,000,000","69,054,000,000","64,220,000,000","59,006,000,000","56,450,947,061","45,705,631,145","42,571,062,441","29,078,962,670","24,426,445,884","18,738,889,605","16,591,123,702","11,287,806,431","9,124,175,165","5,912,905,092","4,018,575,852","3,409,578,271","2,293,300,000","1,039,800,000","802,600,000","472,000,000"
				MineralProperties,"132,368,000,000","126,459,000,000","122,381,000,000","104,208,000,000","101,011,000,000","97,073,000,000","85,157,000,000","78,099,000,000","68,522,000,000","63,716,000,000",,,,,,,,,,,,,,,,,
				OtherProperties,"1,789,000,000",,,,,,,,"532,000,000","504,000,000",,,,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-61,746,000,000","-59,263,000,000","-54,579,000,000","-50,916,000,000","-46,950,000,000","-41,036,000,000","-36,061,000,000","-31,460,000,000","-27,423,000,000","-23,748,000,000","-19,891,000,000","-17,485,429,820","-11,803,555,467","-11,804,520,037","-9,384,812,187","-7,362,610,991","-5,469,534,974","-4,090,336,796","-2,844,635,466","-1,982,603,479","-1,358,506,944","-984,520,124","-663,330,951","-381,300,000","-203,400,000","-125,100,000","-70,900,000"
		InvestmentsAndAdvances,,"287,000,000",,,,,"306,000,000","310,000,000",,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,,"287,000,000",,,,,"306,000,000","310,000,000",,,,,,,,,,,,,,,,,,,
		FinancialAssets,,"373,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,,"591,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		DuefromRelatedPartiesNonCurrent,,"591,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"1,223,000,000","92,000,000","1,168,000,000","1,020,000,000","1,155,000,000","674,000,000","136,000,000","117,000,000","2,866,000,000","25,000,000","18,000,000","292,617,776","30,787,566","154,939,423","106,989,184","107,991,361","73,425,222","83,412,024","74,816,937","22,495,501",,"20,123,839",,"-100,000","-100,000",,"100,000"
TotalLiabilitiesNetMinorityInterest,"43,130,000,000","39,585,000,000","42,214,000,000","32,381,000,000","31,894,000,000","31,309,000,000","25,982,000,000","24,697,000,000","24,380,000,000","21,684,000,000","21,598,000,000","24,276,347,742","22,792,730,162","22,470,876,048","13,615,536,690","11,085,913,127","8,080,638,928","8,490,714,511","5,173,511,621","4,559,088,182","2,958,622,685","1,970,588,235","1,726,947,820","988,400,000","404,100,000","381,600,000","265,700,000"
	CurrentLiabilities,"6,637,000,000","4,762,000,000","6,261,000,000","5,092,000,000","4,595,000,000","5,142,000,000","5,234,000,000","3,976,000,000","4,034,000,000","3,156,000,000","2,405,000,000","3,420,349,684","3,563,412,454","3,070,829,450","3,824,863,356","1,889,848,812","1,360,298,854","788,479,698","530,085,960","688,362,328","260,416,667","136,222,910","204,431,737","151,500,000","54,300,000","56,200,000","33,500,000"
		PayablesAndAccruedExpenses,"3,427,000,000","3,286,000,000","3,372,000,000","2,817,000,000","2,660,000,000","3,843,000,000","3,515,000,000","3,023,000,000","3,220,000,000","2,437,000,000","1,762,000,000","2,184,312,773","1,946,568,676","2,460,391,426","2,353,762,065","1,436,285,097","1,176,091,717","764,872,521","514,167,463","673,365,327","260,416,667","136,222,910","204,431,737","151,500,000","54,300,000","56,200,000","33,500,000"
			Payables,"816,000,000","930,000,000","775,000,000","595,000,000","571,000,000","564,000,000","996,000,000","750,000,000","873,000,000","274,000,000","240,000,000","382,467,217","379,382,262","842,264,679","573,322,479","379,169,666","463,738,245","336,795,719","249,920,408","673,365,327","260,416,667","136,222,910","204,431,737","151,500,000","54,300,000","56,200,000","33,500,000"
