name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
		NetIncomeIncludingNoncontrollingInterests,"10,414,000,000","10,414,000,000","5,691,000,000","9,184,000,000","2,769,000,000","9,867,000,000","11,302,000,000","16,518,000,000","9,434,000,000","7,959,000,000","5,762,000,000","5,877,000,000","3,126,000,000","3,204,688,935.221","1,862,239,174.333","1,070,696,781.988","1,217,330,007.591","702,744,228.807","527,823,541.14"
			NetIncomeContinuousOperations,"9,990,000,000","9,990,000,000","5,691,000,000","9,156,000,000","2,721,000,000","9,867,000,000","11,302,000,000","16,518,000,000","9,434,000,000","7,959,000,000","5,762,000,000","5,877,000,000","3,126,000,000","3,204,688,935.221","1,862,239,174.333","1,070,696,781.988","1,217,330,007.591","702,744,228.807","527,823,541.14"
			NetIncomeDiscontinuousOperations,"424,000,000","424,000,000","0","28,000,000","48,000,000",,,,,,,,,,,,,,
		MinorityInterests,"-1,243,000,000","-1,243,000,000","-1,323,000,000","-1,187,000,000","-1,528,000,000","-1,594,000,000","-2,086,000,000","-2,124,000,000","-2,191,000,000","-2,104,000,000","-1,736,000,000","-1,264,000,000","-1,199,000,000","1,239,301,908.525","943,657,696.419","589,830,749.369","-242,652,640.711","-66,748,107.754","-37,776,635.151"
	OtherunderPreferredStockDividend,,,,,,,,,,,,,,"1,239,301,908.525","943,657,696.419","589,830,749.369",,,
DilutedNIAvailtoComStockholders,"9,171,000,000","9,171,000,000","4,368,000,000","7,996,000,000","1,241,000,000","8,273,000,000","9,216,000,000","14,394,000,000","7,243,000,000","5,855,000,000","4,026,000,000","4,613,000,000","1,927,000,000","3,204,688,935.221","1,862,239,174.333","1,070,696,781.988","974,677,366.88","635,996,121.053","490,046,905.989"
BasicEPS,,,"2.21","4.06","0.72","5.05","5.64","8.9","4.53","3.67","2.53","2.91","1.93","3.281","1.914","1.118","1.271","0.921","0.709"
DilutedEPS,,,"2.17","3.98","0.71","4.96","5.54","8.72","4.45","3.63","2.5","2.91","1.93","3.272","1.898","1.111","1.263","0.913","0.702"
BasicAverageShares,,,"1,975,000,000","1,971,000,000","1,717,000,000","1,638,000,000","1,634,000,000","1,617,000,000","1,600,000,000","1,595,000,000","1,592,000,000","1,585,223,368","999,000,000","975,727,330","972,528,224","959,731,800","767,785,440","691,006,896","689,407,343"
DilutedAverageShares,,,"2,011,000,000","2,010,000,000","1,755,000,000","1,668,000,000","1,665,000,000","1,650,000,000","1,628,000,000","1,614,000,000","1,611,000,000","1,585,223,368","1,000,000,000","980,525,989","980,525,989","964,530,459","772,584,099","694,206,002","695,805,555"
TotalOperatingIncomeAsReported,"16,098,000,000","16,098,000,000","17,106,000,000","17,152,000,000","12,882,000,000","13,904,000,000","15,111,000,000","20,443,000,000","12,733,000,000","12,329,000,000","10,897,000,000","11,569,000,000","5,340,000,000","6,260,661,641.419","4,129,657,247.687","2,603,309,211.072","1,775,837,761.631","1,056,635,139.73","763,927,510.835"
TotalExpenses,"36,160,000,000","36,160,000,000","37,217,000,000","38,853,000,000","32,349,000,000","29,918,000,000","31,794,000,000","29,071,000,000","27,090,000,000","26,439,000,000","25,148,000,000","25,036,000,000","17,710,000,000","14,715,616,662.05","13,250,801,779.092","10,897,656,074.191","9,838,954,560.243","7,814,566,200.27","6,573,134,516.302"
NetIncomeFromContinuingAndDiscontinuedOperation,"9,171,000,000","9,171,000,000","4,368,000,000","7,996,000,000","1,241,000,000","8,273,000,000","9,216,000,000","14,394,000,000","7,243,000,000","5,855,000,000","4,026,000,000","4,613,000,000","1,927,000,000","4,443,990,843.746","2,805,896,870.752","1,660,527,531.357","974,677,366.88","635,996,121.053","490,046,905.989"
NormalizedIncome,"8,544,460,000","8,544,460,000","6,074,041,000","9,186,520,000","1,928,550,000","7,534,064,000","8,886,762,000","8,915,093,000","7,222,912,000","6,080,430,667.346","4,215,016,401.979","4,730,340,597.677","2,302,942,631.579","4,495,679,133.246","2,952,686,357.028","1,898,539,564.574","974,677,366.88","635,996,121.053","490,046,905.989"
InterestIncome,"410,000,000","410,000,000","333,000,000","287,000,000","561,000,000","339,000,000","335,000,000","286,000,000","206,000,000","438,000,000","525,000,000","501,000,000","288,000,000","167,670,258.212","219,086,961.686",,,,
InterestExpense,"4,244,000,000","4,244,000,000","4,212,000,000","4,393,000,000","4,193,000,000","1,923,000,000","2,093,000,000","2,161,000,000","2,008,000,000","3,575,000,000","4,261,000,000","4,920,000,000","1,888,000,000","1,039,555,600.916","843,352,822.394",,,,
NetInterestIncome,"-3,156,000,000","-3,156,000,000","-6,042,000,000","-4,847,000,000","-7,028,000,000","-1,843,000,000","-1,513,000,000","-1,687,000,000","-1,895,000,000","-3,137,000,000","-3,736,000,000","-4,419,000,000","-1,600,000,000","-871,885,342.703","-624,265,860.708","-534,163,991.899","-233,163,431.298","-164,981,171.996","-140,613,030.84"
EBIT,"17,020,000,000","17,020,000,000","12,742,000,000","15,469,000,000","8,527,000,000","14,384,000,000","15,894,000,000","20,695,000,000","13,159,000,000","13,390,000,000","11,943,000,000","12,583,000,000","5,688,000,000","6,429,789,901.876","4,350,064,010.347","2,907,699,778.517","1,775,837,761.631","1,056,635,139.73","763,927,510.835"
EBITDA,"21,677,000,000"
ReconciledCostOfRevenue,"20,362,000,000","20,362,000,000","20,359,000,000","21,386,000,000","17,803,000,000","17,137,000,000","18,756,000,000","17,594,000,000","16,447,000,000","16,634,000,000","16,151,000,000","17,198,000,000","10,336,000,000","8,654,701,328.24","7,228,549,934.67","6,019,116,201.395","5,416,982,973.647","4,263,063,108.447","3,586,681,637.407"
ReconciledDepreciation,"4,657,000,000","4,657,000,000","4,260,000,000","4,276,000,000","3,477,000,000","3,153,000,000","3,353,000,000","2,985,000,000","2,747,000,000","2,783,000,000","2,788,000,000","2,818,000,000","1,912,000,000","1,501,742,312.683","1,335,638,585.701","1,051,746,396.466","908,252,900.987","681,334,458.396","561,402,772.385"
NetIncomeFromContinuingOperationNetMinorityInterest,"8,747,000,000","8,747,000,000","4,368,000,000","7,968,000,000","1,193,000,000","8,273,000,000","9,216,000,000","14,394,000,000","7,243,000,000","5,855,000,000","4,026,000,000","4,613,000,000","1,927,000,000","4,443,990,843.746","2,805,896,870.752","1,660,527,531.357","974,677,366.88","635,996,121.053","490,046,905.989"
TotalUnusualItemsExcludingGoodwill,"260,000,000","260,000,000","-2,581,000,000","-1,486,000,000","-1,175,000,000","933,000,000","402,000,000","6,163,000,000","24,000,000","-278,000,000","-252,000,000","-153,000,000","-457,000,000","-62,694,096.549","-183,452,335.388","-304,390,567.446",,,
TotalUnusualItems,"260,000,000","260,000,000","-2,581,000,000","-1,486,000,000","-1,175,000,000","933,000,000","402,000,000","6,163,000,000","24,000,000","-278,000,000","-252,000,000","-153,000,000","-457,000,000","-62,694,096.549","-183,452,335.388","-304,390,567.446",,,
NormalizedEBITDA,"21,417,000,000","21,417,000,000","19,583,000,000","21,231,000,000","13,179,000,000","16,604,000,000","18,845,000,000","17,517,000,000","15,882,000,000","16,451,000,000","14,983,000,000","15,554,000,000","8,057,000,000","7,994,226,311.109","5,869,154,931.436","4,263,836,742.429","2,684,090,662.618","1,737,969,598.126","1,325,330,283.22"
TaxRateForCalcs,"0.221","0.221","0.339","0.18","0.374","0.208","0.181","0.111","0.163","0.189","0.25","0.233","0.177","0.176","0.2","0.218","0.227","0.249","0.244"
TaxEffectOfUnusualItems,"57,460,000","57,460,000","-874,959,000","-267,480,000","-439,450,000","194,064,000","72,762,000","684,093,000","3,912,000","-52,569,332.654","-62,983,598.021","-35,659,402.323","-81,057,368.421","-11,005,807.049","-36,662,849.112","-66,378,534.228","0","0","0"
