name,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,01/31/2016
				OtherProperties,"1,780,000,000","5,787,000,000","5,568,000,000","5,505,000,000","5,259,000,000","5,228,000,000","5,240,000,000","5,303,000,000",,"5,378,000,000","5,400,000,000","5,438,000,000",,"5,805,000,000","1,562,000,000",
			AccumulatedDepreciation,"-8,572,000,000",,,,"-8,348,000,000",,,,"-7,883,000,000",,,,"-7,461,000,000",,,"-258,000,000"
		GoodwillAndOtherIntangibleAssets,"59,798,000,000","60,862,000,000","59,717,000,000","60,963,000,000","62,359,000,000","63,438,000,000","64,712,000,000","66,393,000,000","68,185,000,000","69,176,000,000","70,987,000,000","72,213,000,000","73,963,000,000","75,411,000,000","16,001,000,000","16,983,000,000"
			Goodwill,"41,691,000,000","41,688,000,000","39,998,000,000","40,015,000,000","40,089,000,000","39,651,000,000","39,504,000,000","39,656,000,000","39,920,000,000","39,330,000,000","39,407,000,000","38,930,000,000","38,910,000,000","38,840,000,000","8,406,000,000","8,406,000,000"
			OtherIntangibleAssets,"18,107,000,000","19,174,000,000","19,719,000,000","20,948,000,000","22,270,000,000","23,787,000,000","25,208,000,000","26,737,000,000","28,265,000,000","29,846,000,000","31,580,000,000","33,283,000,000","35,053,000,000","36,571,000,000","7,595,000,000","8,577,000,000"
		InvestmentsAndAdvances,"864,000,000","838,000,000","768,000,000","782,000,000","1,005,000,000","2,972,000,000","3,649,000,000","3,943,000,000","4,163,000,000","4,273,000,000","4,022,000,000","3,772,000,000","3,802,000,000","4,285,000,000","104,000,000","114,000,000"
			InvestmentinFinancialAssets,"864,000,000","838,000,000","768,000,000","782,000,000","1,005,000,000","2,972,000,000","3,649,000,000","3,943,000,000","4,163,000,000","4,273,000,000","4,022,000,000","3,772,000,000","3,802,000,000","4,285,000,000","104,000,000","114,000,000"
				AvailableForSaleSecurities,"864,000,000","838,000,000",,,"1,005,000,000","1,311,000,000","1,468,000,000","1,418,000,000","1,317,000,000","1,385,000,000","1,371,000,000","1,303,000,000","1,311,000,000","1,443,000,000",,"114,000,000"
				HeldToMaturitySecurities,,,,,,"1,661,000,000","2,181,000,000","2,525,000,000","2,846,000,000","2,888,000,000","2,651,000,000","2,469,000,000","2,491,000,000","2,842,000,000",,
		NonCurrentAccountsReceivable,"4,848,000,000","4,465,000,000","4,350,000,000","4,131,000,000","4,224,000,000","3,946,000,000","4,030,000,000","3,799,000,000","3,724,000,000","3,317,000,000","3,199,000,000","2,741,000,000","2,651,000,000","2,390,000,000","2,271,000,000","2,177,000,000"
		NonCurrentDeferredAssets,"6,958,000,000",,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesAssets,"5,960,000,000",,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"1,690,000,000","10,090,000,000","9,801,000,000","4,856,000,000","2,835,000,000","2,698,000,000","2,625,000,000","2,548,000,000","1,862,000,000","1,725,000,000","1,681,000,000","1,492,000,000","1,364,000,000","1,334,000,000","24,731,000,000","626,000,000"
TotalLiabilitiesNetMinorityInterest,"115,706,000,000","112,937,000,000","112,425,000,000","111,553,000,000","112,762,000,000","106,816,000,000","108,170,000,000","106,237,000,000","107,294,000,000","103,168,000,000","100,558,000,000","98,650,000,000","99,197,000,000","105,813,000,000","66,725,000,000","43,656,000,000"
	CurrentLiabilities,"52,456,000,000","49,055,000,000","47,020,000,000","43,479,000,000","44,972,000,000","47,583,000,000","49,178,000,000","44,114,000,000","45,892,000,000","40,742,000,000","42,126,000,000","36,636,000,000","38,135,000,000","41,369,000,000","25,823,000,000","25,310,000,000"
		PayablesAndAccruedExpenses,"23,560,000,000","27,604,000,000","27,503,000,000","25,552,000,000","20,964,000,000","27,354,000,000","28,069,000,000","25,486,000,000","19,930,000,000","23,612,000,000","23,714,000,000","21,440,000,000","15,770,000,000","22,089,000,000","17,885,000,000","14,472,000,000"
			Payables,"21,832,000,000","19,443,000,000","19,411,000,000","18,097,000,000","20,609,000,000","19,748,000,000","20,853,000,000","18,534,000,000","19,563,000,000","16,711,000,000","16,916,000,000","15,064,000,000","15,365,000,000","14,644,000,000","14,050,000,000","14,091,000,000"
				AccountsPayable,"20,065,000,000","19,443,000,000","19,411,000,000","18,097,000,000","19,213,000,000","19,748,000,000","20,853,000,000","18,534,000,000","18,334,000,000","16,711,000,000","16,916,000,000","15,064,000,000","14,422,000,000","14,644,000,000","14,050,000,000","12,881,000,000"
				TotalTaxPayable,"1,767,000,000",,,,"1,396,000,000",,,,"1,229,000,000",,,,"943,000,000",,,"1,210,000,000"
			CurrentAccruedExpenses,"1,728,000,000","8,161,000,000","8,092,000,000","7,455,000,000","355,000,000","7,606,000,000","7,216,000,000","6,952,000,000","367,000,000","6,901,000,000","6,798,000,000","6,376,000,000","405,000,000","7,445,000,000","3,835,000,000","381,000,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"3,717,000,000",,,,"3,646,000,000",,,,"2,948,000,000",,,,"2,641,000,000",,,"941,000,000"
		CurrentDebtAndCapitalLeaseObligation,"8,169,000,000","7,664,000,000","5,949,000,000","4,884,000,000","4,320,000,000","8,150,000,000","9,144,000,000","7,133,000,000","7,873,000,000","6,235,000,000","7,686,000,000","4,842,000,000","6,329,000,000","8,388,000,000","2,500,000,000","2,981,000,000"
			CurrentDebt,"7,737,000,000","7,664,000,000","5,949,000,000","4,884,000,000","4,320,000,000","8,150,000,000","9,144,000,000","7,133,000,000","7,873,000,000","6,235,000,000","7,686,000,000","4,842,000,000","6,329,000,000","8,388,000,000","2,500,000,000","2,981,000,000"
				OtherCurrentBorrowings,"7,737,000,000",,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"432,000,000",,,,,,,,,,,,,,,
		CurrentDeferredLiabilities,"14,881,000,000","13,787,000,000","13,568,000,000","13,043,000,000","12,944,000,000","12,079,000,000","11,965,000,000","11,495,000,000","12,024,000,000","10,895,000,000","10,726,000,000","10,354,000,000","10,265,000,000","9,215,000,000","3,916,000,000","3,632,000,000"
			CurrentDeferredRevenue,"14,881,000,000","13,787,000,000","13,568,000,000","13,043,000,000","12,944,000,000","12,079,000,000","11,965,000,000","11,495,000,000","12,024,000,000","10,895,000,000","10,726,000,000","10,354,000,000","10,265,000,000","9,215,000,000","3,916,000,000","3,632,000,000"
		OtherCurrentLiabilities,"2,129,000,000",,,,"3,098,000,000",,,,"3,117,000,000",,,,"3,130,000,000","1,677,000,000","1,522,000,000","3,284,000,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"63,250,000,000","63,882,000,000","65,405,000,000","68,074,000,000","67,790,000,000","59,233,000,000","58,992,000,000","62,123,000,000","61,402,000,000","62,426,000,000","58,432,000,000","62,014,000,000","61,062,000,000","64,444,000,000","40,902,000,000","18,346,000,000"
		LongTermDebtAndCapitalLeaseObligation,"45,679,000,000","46,063,000,000","47,207,000,000","49,778,000,000","49,201,000,000","40,507,000,000","40,414,000,000","44,770,000,000","43,998,000,000","45,416,000,000","41,374,000,000","44,948,000,000","43,061,000,000","47,284,000,000","33,836,000,000","10,650,000,000"
			LongTermDebt,"44,319,000,000","44,727,000,000","45,973,000,000","48,640,000,000","49,201,000,000","40,507,000,000","40,414,000,000","44,770,000,000","43,998,000,000","45,416,000,000","41,374,000,000","44,948,000,000","43,061,000,000","47,284,000,000","33,836,000,000","10,650,000,000"
			LongTermCapitalLeaseObligation,"1,360,000,000","1,336,000,000","1,234,000,000","1,138,000,000",,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"16,029,000,000","16,088,000,000","16,385,000,000","15,823,000,000","11,066,000,000","15,872,000,000","15,781,000,000","15,798,000,000","16,333,000,000","15,901,000,000","16,002,000,000","16,056,000,000","13,914,000,000","13,212,000,000","4,154,000,000","5,028,000,000"
			NonCurrentDeferredTaxesLiabilities,"3,110,000,000","3,972,000,000","4,605,000,000","4,688,000,000",,"5,808,000,000","6,046,000,000","6,334,000,000","6,110,000,000","6,740,000,000","7,124,000,000","7,726,000,000","5,483,000,000","5,305,000,000",,"939,000,000"
