name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,11/30/2008,11/30/2007,11/30/2006,11/30/2005,11/30/2004,11/30/2003,11/30/2002,11/30/2001,11/30/2000,11/30/1999
	LongTermDebtAndCapitalLeaseObligation,"221,414,000,000","236,027,000,000","227,598,000,000","198,075,000,000","186,443,000,000","175,663,000,000","168,966,000,000","177,630,000,000","210,909,000,000","174,399,000,000","185,085,000,000","168,220,000,000","164,174,000,000","122,842,000,000","100,007,000,000","80,696,000,000","57,482,000,000","38,711,000,000","31,016,000,000","35,383,000,000","20,952,000,000"
		LongTermDebt,"219,029,000,000","236,027,000,000","227,598,000,000","198,075,000,000","186,443,000,000","175,663,000,000","168,966,000,000","177,630,000,000","210,909,000,000","174,399,000,000","185,085,000,000","168,220,000,000","164,174,000,000","122,842,000,000","100,007,000,000","80,696,000,000","57,482,000,000","38,711,000,000","31,016,000,000","35,383,000,000","20,952,000,000"
		LongTermCapitalLeaseObligation,"2,385,000,000",,,,,,,,,,,,,,,,,,,,
	EmployeeBenefits,"6,970,000,000","6,956,000,000","6,866,000,000","7,258,000,000","8,298,000,000","8,544,000,000","8,084,000,000","8,538,000,000","6,006,000,000",,,,,,,,,,,,
		NonCurrentPensionAndOtherPostretirementBenefitPlans,,,,,,,,,"6,006,000,000",,,,,,,,,,,,
	OtherLiabilities,"1,713,000,000","110,465,000,000","112,483,000,000","117,649,000,000","115,707,000,000","132,487,000,000","127,752,000,000","137,426,000,000","166,167,000,000","30,011,000,000",,"197,545,000,000","31,642,000,000","82,290,000,000","13,830,000,000","10,360,000,000","8,144,000,000","6,002,000,000","7,129,000,000","82,017,000,000","72,752,000,000"
TotalEquityGrossMinorityInterest,"90,265,000,000","90,185,000,000","82,243,000,000","86,893,000,000","86,728,000,000","82,797,000,000","78,467,000,000","75,716,000,000","70,379,000,000","77,356,000,000","70,714,000,000","66,012,000,000","50,065,000,000","35,786,000,000","28,002,000,000","25,079,000,000","21,632,000,000","19,003,000,000","18,231,000,000","16,530,000,000","10,145,000,000"
	StockholdersEquity,"90,265,000,000","90,185,000,000","82,243,000,000","86,893,000,000","86,728,000,000","82,797,000,000","78,467,000,000","75,716,000,000","70,379,000,000","77,356,000,000","70,714,000,000","64,369,000,000","42,800,000,000","35,786,000,000","28,002,000,000","25,079,000,000","21,632,000,000","19,003,000,000","18,231,000,000","16,530,000,000","10,145,000,000"
		CapitalStock,"11,212,000,000","11,212,000,000","11,862,000,000","11,212,000,000","11,209,000,000","9,209,000,000","7,208,000,000","6,208,000,000","3,108,000,000","6,965,000,000","6,965,000,000","16,478,000,000","3,106,000,000","3,106,000,000","1,756,000,000","6,000,000","5,000,000","5,000,000","5,000,000","4,765,000,000","4,343,000,000"
			PreferredStock,"11,203,000,000","11,203,000,000","11,853,000,000","11,203,000,000","11,200,000,000","9,200,000,000","7,200,000,000","6,200,000,000","3,100,000,000","6,957,000,000","6,957,000,000","16,471,000,000","3,100,000,000","3,100,000,000","1,750,000,000",,,,,,
			CommonStock,"9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","9,000,000","8,000,000","8,000,000","8,000,000","8,000,000","8,000,000","7,000,000","6,000,000","6,000,000","6,000,000","6,000,000","5,000,000","5,000,000","5,000,000","4,765,000,000","4,343,000,000"
		RetainedEarnings,"106,465,000,000","100,100,000,000","91,519,000,000","89,039,000,000","83,386,000,000","78,984,000,000","71,961,000,000","65,223,000,000","58,834,000,000","57,163,000,000","50,252,000,000","39,913,000,000","38,642,000,000","27,868,000,000","19,085,000,000","13,970,000,000","9,914,000,000","7,259,000,000","5,373,000,000","3,294,000,000","444,000,000"
		AdditionalPaidInCapital,"54,883,000,000","54,005,000,000","53,357,000,000","52,638,000,000","51,340,000,000","50,049,000,000","48,998,000,000","48,030,000,000","45,553,000,000","42,103,000,000","39,770,000,000","31,071,000,000","22,027,000,000","19,731,000,000","17,159,000,000","15,501,000,000","13,562,000,000","12,773,000,000","11,785,000,000","11,127,000,000","7,359,000,000"
		TreasuryStock,"84,006,000,000","78,670,000,000","75,392,000,000","68,694,000,000","62,640,000,000","58,468,000,000","53,015,000,000","46,850,000,000","42,281,000,000","36,295,000,000","32,156,000,000","32,175,000,000","30,159,000,000","21,230,000,000","13,413,000,000","6,305,000,000","4,500,000,000","3,561,000,000","2,086,000,000","648,000,000",
		GainsLossesNotAffectingRetainedEarnings,"-1,484,000,000","693,000,000","-1,880,000,000","-1,216,000,000","-718,000,000","-743,000,000","-524,000,000","-193,000,000","-516,000,000","-286,000,000","-362,000,000","9,082,000,000","9,184,000,000","6,311,000,000","3,415,000,000","1,907,000,000","2,651,000,000","2,527,000,000","3,154,000,000","-2,008,000,000","-2,001,000,000"
			ForeignCurrencyTranslationAdjustments,,,,,,,,,,,,,"68,000,000",,,,,,,,
			OtherEquityAdjustments,,,,,,,,,,,,,"9,116,000,000",,,,,,,,
		OtherEquityInterest,"3,195,000,000","2,845,000,000","2,777,000,000","3,914,000,000","4,151,000,000","3,766,000,000","3,839,000,000","3,298,000,000","5,681,000,000","7,706,000,000","6,245,000,000",,,,,,,,,,
	MinorityInterest,,,,,,,,,,,,"1,643,000,000","7,265,000,000",,,,,,,,
TotalCapitalization,"309,294,000,000","326,212,000,000","309,841,000,000","284,968,000,000","273,171,000,000","258,460,000,000","247,433,000,000","253,346,000,000","281,288,000,000","251,755,000,000","255,799,000,000","232,589,000,000","206,974,000,000","158,628,000,000","128,009,000,000","105,775,000,000","79,114,000,000","57,714,000,000","49,247,000,000","51,913,000,000","31,097,000,000"
PreferredStockEquity,"11,203,000,000","11,203,000,000","11,853,000,000","11,203,000,000","11,200,000,000","9,200,000,000","7,200,000,000","6,200,000,000","3,100,000,000","6,957,000,000","6,957,000,000","16,471,000,000","3,100,000,000","3,100,000,000","1,750,000,000",,,,,,
CommonStockEquity,"79,062,000,000","78,982,000,000","70,390,000,000","75,690,000,000","75,528,000,000","73,597,000,000","71,267,000,000","69,516,000,000","67,279,000,000","70,399,000,000","63,757,000,000","47,898,000,000","39,700,000,000","32,686,000,000","26,252,000,000","25,079,000,000","21,632,000,000","19,003,000,000","18,231,000,000","16,530,000,000","10,145,000,000"
CapitalLeaseObligations,"2,385,000,000",,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"85,428,000,000","86,103,000,000","78,205,000,000","82,798,000,000","82,580,000,000","78,637,000,000","74,091,000,000","70,617,000,000","64,911,000,000","71,834,000,000","65,794,000,000","59,169,000,000","37,708,000,000","35,786,000,000","28,002,000,000","25,079,000,000","21,632,000,000","19,003,000,000","18,231,000,000","16,530,000,000","10,145,000,000"
InvestedCapital,"353,702,000,000","365,066,000,000","359,806,000,000","326,148,000,000","318,991,000,000","309,360,000,000","302,215,000,000","314,495,000,000","327,226,000,000","292,640,000,000","286,358,000,000","268,776,000,000","275,431,000,000","203,432,000,000","181,478,000,000","160,734,000,000","123,316,000,000","98,352,000,000","86,844,000,000","85,384,000,000","68,853,000,000"
TangibleBookValue,"74,225,000,000","74,900,000,000","66,352,000,000","71,595,000,000","71,380,000,000","69,437,000,000","66,891,000,000","64,417,000,000","61,811,000,000","64,877,000,000","58,837,000,000","42,698,000,000","34,608,000,000","32,686,000,000","26,252,000,000","25,079,000,000","21,632,000,000","19,003,000,000","18,231,000,000","16,530,000,000","10,145,000,000"
TotalDebt,"277,025,000,000","286,084,000,000","289,416,000,000","250,458,000,000","243,463,000,000","235,763,000,000","230,948,000,000","244,979,000,000","259,947,000,000","222,241,000,000","222,601,000,000","220,878,000,000","235,731,000,000","170,746,000,000","155,226,000,000","135,655,000,000","101,684,000,000","79,349,000,000","68,613,000,000","68,854,000,000","58,708,000,000"
NetDebt,"141,094,000,000","155,537,000,000","179,365,000,000","128,747,000,000","168,358,000,000","178,163,000,000","169,815,000,000","172,310,000,000","203,939,000,000","182,453,000,000","147,647,000,000","205,138,000,000","223,849,000,000","164,453,000,000","144,965,000,000","131,290,000,000","94,597,000,000","74,527,000,000","61,704,000,000","64,118,000,000","55,653,000,000"
ShareIssued,"896,782,652","891,356,284","884,592,865","873,608,100","863,976,731","852,784,766","837,219,070","816,807,402","795,555,312","770,949,268","753,412,247","749,153,153","390,682,013","412,666,084","437,170,695","480,959,660","473,014,926","472,940,724","476,228,933","448,862,261","448,862,000"
OrdinarySharesNumber,"347,343,184","367,741,973","374,808,805","392,632,230","419,480,736","430,259,102","446,359,012","465,148,387","485,467,565","507,530,772","515,113,890","510,736,634","390,682,013","412,666,084","437,170,695","480,959,660","473,014,926","472,940,724","476,228,933","448,862,261","448,862,000"
PreferredSharesNumber,"266,998","272,998","298,998","305,998","106,000","300,498","220,498","180,498","123,998","173,998","174,000","16,471,000","124,000","124,000",,,,,,,
TreasurySharesNumber,"549,439,468","523,614,311","509,784,060","480,975,870","444,495,995","422,525,664","390,860,058","351,659,015","310,087,747","263,418,496","238,298,357","238,416,519",,,,,,,,,
