name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,12/31/2005
				OtherProperties,"121,000,000","121,000,000","117,000,000","119,000,000","120,000,000","26,000,000","26,000,000","25,000,000","23,000,000","23,000,000","22,000,000","21,000,000","20,000,000","2,024,000","99,000","95,000","95,000","93,000","5,592,000","3,764,000","3,199,000","2,505,000","1,646,000","2,789,000","1,014,000","963,000","837,000","750,000","703,000","760,000","631,000","613,000","631,000","916,000","630,000","618,000","617,000","550,000","482,000",,"426,000","419,000","360,000","357,000","1,579,480,000","254,000","243,000","84,000","79,000","68,000","228,000","230,000","232,000","230,000","224,000"
				ConstructionInProgress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"927,665,000","45,618,000","698,000","286,000","486,000","6,518,000","4,287,000","2,160,000","1,837,000","1,042,000","866,000","0","38,065,000","543,510,000",,"604,398,000","1,481,943,000","1,416,374,000","1,266,599,000","1,126,353,000","1,004,984,000","878,444,000","769,028,000","651,369,000","270,486,000"
			AccumulatedDepreciation,"-1,965,000,000","-1,828,000,000","-1,691,000,000","-1,556,000,000","-1,422,000,000","-1,309,000,000","-1,207,000,000","-1,103,000,000","-999,000,000","-897,000,000","-799,000,000","-714,000,000","-630,000,000","-565,992,000","-504,213,000","-461,437,000","-434,822,000","-417,224,000","-400,454,000","-383,808,000","-367,622,000","-352,750,000","-338,000,000","-322,490,000","-308,617,000","-294,135,000","-279,682,000","-265,534,000","-179,584,000","-168,935,000","-158,280,000","-147,628,000","-137,013,000","-126,384,000","-115,686,000","-104,920,000","-94,153,000","-83,417,000","-72,778,000","-62,299,000","-51,775,000","-41,213,000","-31,191,000","-22,285,000","-15,125,000","-8,476,000","-600,000","-493,000","-376,000","-268,000","-190,000","-134,000","-83,000","-63,000","-13,000"
		GoodwillAndOtherIntangibleAssets,"5,000,000","6,000,000","8,000,000","9,000,000","10,000,000","20,000,000","20,000,000","22,000,000","23,000,000","24,000,000","23,000,000","25,000,000","26,000,000","27,416,000","28,740,000","29,532,000","30,156,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"5,000,000","6,000,000","8,000,000","9,000,000","10,000,000","20,000,000","20,000,000","22,000,000","23,000,000","24,000,000","23,000,000","25,000,000","26,000,000","27,416,000","28,740,000","29,532,000","30,156,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","1,021,000","728,000","12,464,000","39,075,000","41,457,000",,,,,,,,,
		FinancialAssets,"41,000,000","32,000,000","29,000,000","37,000,000","36,000,000","31,000,000","25,000,000","31,000,000","24,000,000","31,000,000","37,000,000","43,000,000","44,000,000","82,861,000","11,247,000","20,472,000","28,210,000","30,304,000","30,657,000","426,000","472,000","11,744,000","32,161,000","20,236,000","71,170,000","98,123,000","64,309,000","81,762,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,"17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","17,000,000","23,000,000","25,000,000","25,000,000","37,000,000","33,000,000","25,000,000","27,781,000","27,718,000","25,751,000","25,197,000","27,615,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"20,000,000","15,000,000","17,000,000","20,000,000","11,000,000","13,000,000","15,000,000","18,000,000","34,000,000","38,000,000","42,000,000","73,000,000","80,000,000","120,704,000","103,728,000","137,605,000","172,959,000","295,265,000","307,099,000","292,450,000","214,450,000","241,909,000","251,101,000","259,716,000","302,439,000","313,944,000","340,856,000","351,830,000","245,804,000","220,949,000","222,144,000","15,437,000","16,530,000","17,622,000","18,726,000","19,831,000","20,923,000","22,004,000","23,108,000","24,213,000","25,846,000","26,953,000","27,907,000","28,862,000","29,816,000","30,748,000",,,,,,,,,
		NonCurrentPrepaidAssets,"128,000,000","137,000,000","125,000,000","125,000,000","127,000,000","140,000,000","134,000,000","171,000,000","140,000,000","149,000,000","145,000,000","144,000,000","145,000,000","149,011,000","109,229,000","109,584,000","107,917,000","122,002,000",,,,,,"0","20,364,000","6,561,000","12,528,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
