name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002
NormalizedIncome,"402,829,993.78","452,710,225","725,318,734","499,387,325","76,504,605","-48,457,231","504,837,702","564,821,088","363,899,439","523,749,635.284","568,637,444.791","211,541,341.909","504,833,982.992","336,664,491.893","323,196,492.341","419,094,270.314","155,139,655.242","94,936,665.915","39,713,904.153"
EBIT,"-940,725,000","-113,835,000","1,069,876,000","733,869,000","-596,240,000","-3,727,227,000","842,841,000","917,156,000","574,693,000","848,035,000","921,129,000","-448,704,000","-1,420,342,000","536,654,000","507,537,000","599,356,000","247,673,000","150,642,000","61,675,000"
EBITDA,"-29,159,000"
ReconciledCostOfRevenue,"1,520,355,000","1,483,667,000","1,126,452,000","975,691,000","920,448,000","1,298,797,000","1,378,852,000","1,022,072,000","851,819,000","327,086,000","266,145,000","232,533,000","300,681,000","256,478,000","221,616,000","144,204,000","35,519,000","136,070,000","57,390,000"
ReconciledDepreciation,"911,566,000","882,173,000","590,473,000","446,031,000","465,936,000","778,923,000","806,021,000","615,874,000","513,916,000","390,461,000","304,222,000","265,699,000","547,404,000","461,791,000","396,394,000","263,246,000","126,208,000","90,688,000","49,356,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"-925,217,000","-124,619,000","791,851,000","494,329,000","-431,049,000","-2,408,948,000","507,204,000","564,689,000","353,823,000","529,932,000","574,782,000","-311,943,000","-901,685,000","346,469,000","345,719,000","328,325,000","153,592,000","93,028,000","39,819,000"
TotalUnusualItemsExcludingGoodwill,"-1,401,249,000","-699,793,000","85,959,000","-6,977,000","-774,891,000","-3,705,637,000","3,762,000","-209,000","-15,969,000","9,817,000","9,768,000","-819,740,000","-2,231,091,000","15,412,000","35,461,000","-142,780,000","-2,482,000","-3,040,000","162,000"
TotalUnusualItems,"-1,401,249,000","-699,793,000","85,959,000","-6,977,000","-774,891,000","-3,705,637,000","3,762,000","-209,000","-15,969,000","9,817,000","9,768,000","-819,740,000","-2,231,091,000","15,412,000","35,461,000","-142,780,000","-2,482,000","-3,040,000","162,000"
NormalizedEBITDA,"1,372,090,000","1,468,131,000","1,574,390,000","1,186,877,000","644,587,000","757,333,000","1,645,100,000","1,533,239,000","1,104,578,000","1,228,679,000","1,215,583,000","636,735,000","1,358,153,000","983,033,000","868,470,000","1,005,382,000","376,363,000","244,370,000","110,869,000"
TaxRateForCalcs,"0.052","0.175","0.226","0.275","0.345","0.363","0.371","0.368","0.369","0.37","0.371","0.361","0.37","0.364","0.365","0.364","0.376","0.372","0.351"
TaxEffectOfUnusualItems,"-73,202,006.22","-122,463,775","19,426,734","-1,918,675","-267,337,395","-1,345,146,231","1,395,702","-76,912","-5,892,561","3,634,635.284","3,623,444.791","-296,255,658.091","-824,572,017.008","5,607,491.893","12,938,492.341","-52,010,729.686","-934,344.758","-1,131,334.085","56,904.153"
