name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013
			NonCurrentPensionAndOtherPostretirementBenefitPlans,"10,700,000","7,500,000","7,000,000","5,900,000",,,
		DerivativeProductLiabilities,"3,900,000",,,,,,
		OtherNonCurrentLiabilities,"3,600,000","2,700,000","3,700,000","3,600,000","4,000,000","6,000,000","10,000,000"
TotalEquityGrossMinorityInterest,"530,800,000","338,700,000","277,900,000","134,600,000","522,000,000","420,000,000","328,000,000"
	StockholdersEquity,"530,800,000","338,700,000","263,900,000","127,000,000","517,000,000","417,000,000","326,000,000"
		CapitalStock,"400,000","400,000","400,000","400,000",,,
			PreferredStock,"0","0","0","0",,,
			CommonStock,"400,000","400,000","400,000","400,000",,,
		AdditionalPaidInCapital,"112,800,000","98,300,000","140,100,000","129,900,000",,,
		RetainedEarnings,"497,200,000","313,500,000","142,800,000","16,000,000",,,
		TreasuryStock,"74,600,000","55,800,000","7,700,000","300,000",,,
		GainsLossesNotAffectingRetainedEarnings,"-5,000,000","-17,700,000","-11,700,000","-19,000,000","-17,000,000","-7,000,000","0"
		OtherEquityInterest,,,,,"534,000,000","424,000,000","326,000,000"
	MinorityInterest,,"0","14,000,000","7,600,000","5,000,000","3,000,000","2,000,000"
TotalCapitalization,"1,759,200,000","1,079,900,000","707,900,000","608,300,000","517,000,000","503,000,000","412,000,000"
CommonStockEquity,"530,800,000","338,700,000","263,900,000","127,000,000","517,000,000","417,000,000","326,000,000"
CapitalLeaseObligations,"53,800,000",,,,"80,000,000",,
NetTangibleAssets,"-324,300,000","67,300,000","228,100,000","96,500,000","484,000,000","391,000,000","297,000,000"
WorkingCapital,"247,700,000","239,400,000","215,500,000","158,300,000","202,000,000","132,000,000","122,000,000"
InvestedCapital,"1,781,700,000","1,091,100,000","717,300,000","615,800,000","526,000,000","506,000,000","412,000,000"
TangibleBookValue,"-324,300,000","67,300,000","228,100,000","96,500,000","484,000,000","391,000,000","297,000,000"
TotalDebt,"1,304,700,000","752,400,000","453,400,000","488,800,000","89,000,000","89,000,000","86,000,000"
NetDebt,"1,194,400,000","674,900,000","365,500,000","458,300,000",,"69,000,000","74,000,000"
ShareIssued,"42,675,171","42,331,913","42,208,973","42,116,430","42,000,000","42,000,000","42,000,000"
OrdinarySharesNumber,"41,826,136","41,693,261","42,089,103","42,115,824","42,000,000","42,000,000","42,000,000"
TreasurySharesNumber,"849,035","638,652","119,870","606",,,
