name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999
TotalExpenses,"25,256,000,000","25,717,000,000","25,560,000,000","31,018,000,000","30,730,000,000","32,327,000,000","36,181,000,000","37,420,000,000","35,178,000,000","33,323,000,000","27,771,000,000","27,669,000,000","29,794,000,000","25,190,000,000","21,975,000,000","20,752,000,000","19,588,000,000","17,950,000,000","17,843,000,000","23,341,000,000","21,858,000,000","23,139,000,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"1,280,000,000","1,439,000,000","2,173,000,000","2,213,000,000","1,899,000,000","1,933,000,000","2,594,000,000","2,787,000,000","2,704,000,000","3,168,000,000","2,561,000,000","2,901,000,000","3,118,000,000","3,757,000,000","1,390,000,000","740,000,000","-35,000,000","-767,000,000","-783,000,000","-640,000,000","1,443,000,000","1,360,000,000"
NormalizedIncome,"937,000,000","1,290,460,000","1,388,331,000","2,071,466,000","1,994,755,000","1,997,962,000","2,232,101,000","2,866,716,000","2,800,284,000","3,159,000,000","2,551,000,000","2,884,000,000","3,564,815,405.046","3,145,451,371.571","1,450,685,162.351","847,754,010.695","479,300,813.008","199,400,000","131,800,000","-66,400,000","687,712,241.653","580,547,945.205"
InterestIncome,"66,000,000","67,000,000","72,000,000","74,000,000","73,000,000","77,000,000","80,000,000","69,000,000","73,000,000","90,000,000","95,000,000","121,000,000",,,,,,,,,,
InterestExpense,"175,000,000","215,000,000","262,000,000","277,000,000","261,000,000","286,000,000","362,000,000","390,000,000","293,000,000","207,000,000","173,000,000","127,000,000",,,,,,,,,,
NetInterestIncome,"-109,000,000","-148,000,000","-190,000,000","-203,000,000","-188,000,000","-209,000,000","-282,000,000","-321,000,000","-220,000,000","-117,000,000","-78,000,000","-6,000,000",,,,,,,,,,
EBIT,"1,872,000,000","2,077,000,000","2,381,000,000","3,508,000,000","3,060,000,000","3,126,000,000","4,258,000,000","4,456,000,000","4,131,000,000","4,757,000,000","3,913,000,000","4,247,000,000","5,118,000,000","3,993,000,000","2,437,000,000","1,690,000,000","1,133,000,000","845,000,000","452,000,000","385,000,000","1,109,000,000","1,217,000,000"
EBITDA,"2,829,000,000"
ReconciledCostOfRevenue,"18,740,000,000","19,072,000,000","19,118,000,000","24,046,000,000","24,081,000,000","25,347,000,000","28,615,000,000","29,856,000,000","27,958,000,000","26,556,000,000","22,060,000,000","22,470,000,000","23,972,000,000","20,215,000,000","17,541,000,000","16,830,000,000","15,169,000,000","13,535,000,000","13,199,000,000","18,157,000,000","16,605,000,000","17,851,000,000"
ReconciledDepreciation,"957,000,000","961,000,000","916,000,000","1,101,000,000","1,135,000,000","1,160,000,000","1,305,000,000","1,318,000,000","1,182,000,000","995,000,000","702,000,000","655,000,000","661,000,000","602,000,000","570,000,000","597,000,000","633,000,000","585,000,000","611,000,000","787,000,000","836,000,000","795,000,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"937,000,000","1,001,000,000","1,450,000,000","2,219,000,000","1,883,000,000","1,930,000,000","2,570,000,000","2,824,000,000","2,700,000,000","3,159,000,000","2,551,000,000","2,884,000,000","3,139,000,000","3,171,000,000","1,557,000,000","883,000,000","448,000,000","86,000,000","97,000,000","-130,000,000","881,000,000","643,000,000"
TotalUnusualItemsExcludingGoodwill,,"-353,000,000","83,000,000","201,000,000","-155,000,000","-94,000,000","489,000,000","-59,000,000","-137,000,000",,"-14,000,000","329,000,000","-566,000,000","30,000,000","149,000,000","52,000,000","-49,000,000","-189,000,000","-58,000,000","-106,000,000","276,000,000","94,000,000"
TotalUnusualItems,,"-353,000,000","83,000,000","201,000,000","-155,000,000","-94,000,000","489,000,000","-59,000,000","-137,000,000",,"-14,000,000","329,000,000","-566,000,000","30,000,000","149,000,000","52,000,000","-49,000,000","-189,000,000","-58,000,000","-106,000,000","276,000,000","94,000,000"
NormalizedEBITDA,"2,829,000,000","3,391,000,000","3,214,000,000","4,408,000,000","4,350,000,000","4,380,000,000","5,074,000,000","5,833,000,000","5,450,000,000","5,752,000,000","4,615,000,000","4,902,000,000","6,345,000,000","4,565,000,000","2,858,000,000","2,235,000,000","1,815,000,000","1,619,000,000","1,121,000,000","1,278,000,000","1,669,000,000","1,918,000,000"
TaxRateForCalcs,"0.148","0.18","0.257","0.266","0.279","0.277","0.309","0.276","0.268","0.273","0.272","0.243","0.248","0.148","0.286","0.322","0.361","0.4","0.4","0.4","0.3","0.336"
TaxEffectOfUnusualItems,"0","-63,540,000","21,331,000","53,466,000","-43,245,000","-26,038,000","151,101,000","-16,284,000","-36,716,000","0","0","0","-140,184,594.954","4,451,371.571","42,685,162.351","16,754,010.695","-17,699,186.992","-75,600,000","-23,200,000","-42,400,000","82,712,241.653","31,547,945.205"
