name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995
TotalEquityGrossMinorityInterest,"3,691,250,000","3,267,570,000","2,976,939,000","2,695,617,000","2,352,274,000","2,069,822,000","1,900,589,000","1,804,705,000","1,543,533,000","1,436,549,000","1,138,639,000","1,066,572,000","739,555,000","773,346,000","627,911,000","473,912,000","349,837,000","227,002,000","141,278,000","102,276,000","92,947,000","75,200,000","68,800,000","42,600,000","40,487,000"
	StockholdersEquity,"3,691,250,000","3,267,570,000","2,976,939,000","2,695,617,000","2,352,274,000","2,069,822,000","1,900,589,000","1,804,705,000","1,543,533,000","1,436,549,000","1,138,639,000","1,066,572,000","739,555,000","773,346,000","627,911,000","473,912,000","349,837,000","227,002,000","141,278,000","102,276,000","92,947,000","75,200,000","68,800,000","42,600,000","40,487,000"
		CapitalStock,"182,951,000","181,518,000","181,068,000","303,235,000","299,756,000","173,348,000","172,658,000","213,514,000","49,768,000","49,640,000","311,903,000","308,484,000","26,281,000","25,802,000","23,941,000","21,729,000","20,066,000","17,216,000","14,532,000","8,857,000","8,771,000",,,,
			PreferredStock,"125,000,000","125,000,000","125,000,000","251,257,000","251,287,000","126,467,000","126,477,000","176,406,000","49,768,000","49,640,000","284,824,000","281,873,000",,,,,,,,,,,,,
			CommonStock,"57,951,000","56,518,000","56,068,000","51,978,000","48,469,000","46,881,000","46,181,000","37,108,000",,"34,864,000","27,079,000","26,611,000","26,281,000","25,802,000","23,941,000","21,729,000","20,066,000","17,216,000","14,532,000","8,857,000","8,771,000",,,,
		RetainedEarnings,"1,899,630,000","1,610,574,000","1,313,657,000","1,096,518,000","928,211,000","803,400,000","676,935,000","555,023,000","459,457,000","392,354,000","366,152,000","318,793,000","309,556,000","261,734,000","201,133,000","139,566,000","92,301,000","56,967,000","30,995,000","13,835,000","3,555,000","-5,900,000","-12,100,000","-17,000,000",
		AdditionalPaidInCapital,"1,650,278,000","1,557,984,000","1,529,035,000","1,365,781,000","1,190,988,000","1,133,955,000","1,117,032,000","1,036,295,000","1,037,298,000","1,000,067,000","589,939,000","571,887,000","539,127,000","519,233,000","420,426,000","319,147,000","243,626,000","153,614,000","97,956,000","83,710,000","82,792,000",,,,
		TreasuryStock,"6,931,000","5,634,000","4,986,000","4,589,000","3,973,000","3,549,000","3,000,000","7,838,000","112,000","0","122,733,000","122,290,000","122,196,000","16,343,000",,,,,,"3,863,000",,,,,
		GainsLossesNotAffectingRetainedEarnings,"-34,678,000","-76,872,000","-41,835,000","-65,328,000","-62,708,000","-37,332,000","-63,036,000","7,711,000","-2,878,000","-5,512,000","-6,622,000","-10,302,000","-13,213,000","-17,080,000","-17,589,000","-6,530,000","-6,156,000","-795,000","-2,205,000","-263,000","-2,171,000",,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,"81,100,000","80,900,000","59,600,000",
TotalCapitalization,"5,453,435,000","4,429,934,000","4,178,170,000","3,442,662,000","3,822,848,000","3,340,264,000","2,587,601,000","2,759,824,000","3,346,260,000","3,020,162,000","2,126,556,000","2,159,832,000","1,794,534,000","1,598,527,000","1,319,566,000","984,532,000","669,074,000","442,896,000","238,903,000","180,901,000","132,347,000","106,300,000","89,200,000","64,700,000","51,245,000"
PreferredStockEquity,"125,000,000","125,000,000","125,000,000","251,257,000","251,287,000","126,467,000","126,477,000","176,406,000","49,768,000","49,640,000","284,824,000","281,873,000",,,,,,,,,,,,,
CommonStockEquity,"3,566,250,000","3,142,570,000","2,851,939,000","2,444,360,000","2,100,987,000","1,943,355,000","1,774,112,000","1,628,299,000","1,493,765,000","1,386,909,000","853,815,000","784,699,000","739,555,000","773,346,000","627,911,000","473,912,000","349,837,000","227,002,000","141,278,000","102,276,000","92,947,000","75,200,000","68,800,000","42,600,000","40,487,000"
NetTangibleAssets,"2,998,973,000","2,645,005,000","2,457,434,000","2,175,179,000","1,856,304,000","1,645,377,000","1,506,829,000","1,438,357,000","1,215,995,000","1,142,784,000","846,990,000","775,654,000","445,614,000","482,811,000","413,588,000","349,230,000","297,749,000","200,571,000","131,193,000","91,506,000","81,464,000","73,700,000","67,000,000","40,700,000","40,487,000"
InvestedCapital,"5,348,955,000","4,355,527,000","4,053,170,000","3,253,214,000","3,576,561,000","3,213,797,000","2,461,124,000","2,583,418,000","3,349,314,000","2,971,522,000","1,842,732,000","1,877,959,000","1,794,534,000","1,598,527,000","1,354,482,000","1,234,826,000","744,743,000","533,629,000","266,977,000","224,540,000","192,190,000","106,300,000","124,700,000","71,800,000","51,245,000"
TangibleBookValue,"2,873,973,000","2,520,005,000","2,332,434,000","1,923,922,000","1,605,017,000","1,518,910,000","1,380,352,000","1,261,951,000","1,166,227,000","1,093,144,000","562,166,000","493,781,000","445,614,000","482,811,000","413,588,000","349,230,000","297,749,000","200,571,000","131,193,000","91,506,000","81,464,000","73,700,000","67,000,000","40,700,000","40,487,000"
TotalDebt,"1,782,705,000","1,212,957,000","1,201,231,000","808,854,000","1,475,574,000","1,270,442,000","687,012,000","955,119,000","1,855,549,000","1,584,613,000","988,917,000","1,093,260,000","1,054,979,000","825,181,000","726,571,000","760,914,000","394,906,000","306,627,000","125,699,000","122,264,000","99,243,000","31,100,000","55,900,000","29,200,000","10,758,000"
NetDebt,,,,,"596,338,000","46,869,000","173,377,000",,"958,250,000","565,348,000",,"750,457,000","874,379,000","636,851,000","556,195,000","627,787,000","276,749,000","196,538,000","53,432,000","56,669,000","15,399,000",,,,"10,758,000"
ShareIssued,"57,950,803","56,518,119","56,068,220","51,978,289","48,468,894","46,881,108","46,181,588","37,107,684","35,981,950","34,864,068","27,079,308","26,582,824","23,430,490","25,457,935","23,940,744","21,728,548","20,066,265","17,216,270","14,531,665","12,915,135","13,149,925","12,218,890","12,149,925","9,899,550","9,899,550"
OrdinarySharesNumber,"57,821,891","56,407,558","55,965,207","51,880,540","48,383,279","46,805,055","46,116,583","36,858,355","35,978,349","34,864,068","24,206,819","23,728,784","23,430,490","25,457,935","23,940,744","21,728,548","20,066,265","17,216,270","14,531,665","12,915,135","13,149,925","12,218,890","12,149,925","9,899,550","9,899,550"
PreferredSharesNumber,"5,000,000","5,000,000","5,000,000","5,126,257","5,126,287","126,467","126,477","176,500","50,000","50,000",,"300,000",,,,,,,,,,,,,
TreasurySharesNumber,"128,912","110,561","103,013","97,749","85,615","76,053","65,005","249,329","3,601",,"2,872,489","2,854,040",,,,,,,,,,,,,
