name,ttm,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009
OperatingIncome,"137,574,000","54,675,000","48,619,000","36,075,000","-1,795,000","54,101,000","43,546,000","1,814,000","-89,455,000","-75,568,000","-25,751,000","-185,667,000","-105,383,000","-64,108,000","-21,322,000","31,467,000","-27,204,000","38,049,000","45,732,000","-33,173,000","4,764,000","8,983,000","-11,961,000","-7,100,000","1,587,000","-5,762,000","-2,744,000","-15,804,000","-18,544,000","-22,026,000","-18,714,000","-18,345,000","-19,788,000","-19,628,000","-15,655,000","-8,748,000","-6,990,000","-12,427,000","-11,604,000","-11,959,000","-7,618,000","-5,321,000","-4,509,000","-4,776,000","-4,183,000"
NetNonOperatingInterestIncomeExpense,"-87,089,000","-17,098,000","-20,428,000","-22,033,000","-27,530,000","-29,771,000","-30,437,000","-31,030,000","-30,454,000","-31,226,000","-31,706,000","-31,608,000","-31,983,000","-28,858,000","-19,066,000","-19,228,000","-19,458,000","-20,120,000","-20,300,000","-19,448,000","-10,032,000","-10,218,000","-5,194,000","-4,207,000","-4,207,000","-28,532,000","-3,601,000","-3,442,000","-3,603,000","-3,444,000","-3,339,000","-3,191,000","-4,551,000","-819,000","-995,000","-3,185,000","-1,285,000","-1,197,000","-1,031,000","-511,000","-286,000","-567,000","-597,000","-429,000","-596,000"
	InterestIncomeNonOperating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","4,000",,"12,000",,"0","2,000",,
	InterestExpenseNonOperating,,,,,,,"30,437,000",,"30,454,000",,,,,,,"19,228,000","19,458,000",,,,,,,,,,,,,,,,"4,551,000",,,"3,185,000","1,285,000","1,201,000",,"523,000","286,000","567,000","599,000","452,000","596,000"
	TotalOtherFinanceCost,"87,089,000","17,098,000","20,428,000","22,033,000","27,530,000","29,771,000","30,437,000","31,030,000","30,454,000","31,226,000","31,706,000","31,608,000","31,983,000","28,858,000","19,066,000","19,228,000","19,458,000","20,120,000","20,300,000","19,448,000","10,032,000","10,218,000","5,194,000","4,207,000","4,207,000","28,532,000","3,601,000","3,442,000","3,603,000","3,444,000","3,339,000","3,191,000",,"819,000","995,000",,,,"1,031,000",,,,,,
OtherIncomeExpense,"-70,709,000","-693,000","-40,521,000","-24,037,000","-5,458,000","18,795,000","11,188,000","342,000","-37,785,000","-265,000","667,000","5,972,000","-757,000","-66,881,000","6,771,000","-11,000","-187,000","-29,391,000","-176,000","-76,245,000","-12,372,000","-33,229,000","16,176,000","-15,582,000","-204,735,000","-68,761,000","1,118,000","454,000","-905,000","801,000","588,000","-1,405,000","449,000","-70,418,000","-758,000","110,000","422,000","4,318,000","164,000","19,367,000","-2,000","149,000","120,000","147,000","62,000"
	GainOnSaleOfSecurity,"33,000","58,000","-40,000","76,000","-61,000","-111,000","35,000","-5,000","-110,000","-427,000","275,000","151,000","-259,000","-739,000","-108,000","15,000","-173,000","-29,259,000","-86,000","-87,000","-837,000","-829,000","-2,754,000","-11,249,000","-204,068,000","-68,761,000","1,118,000","454,000","-905,000","801,000","588,000",,,"-797,000","-758,000",,,,"164,000",,,,,,
	SpecialIncomeCharges,"-69,798,000","0","-41,371,000","-22,841,000","-5,586,000","19,538,000","10,700,000",,"-37,853,000","-146,000","112,000","5,856,000","-533,000","-66,000,000","0","0","0","0","0","-67,080,000","-10,544,000","-29,390,000","22,171,000",,,,,,,"56,000",,"-1,405,000","449,000",,,"110,000","422,000","4,318,000",,"19,367,000","-2,000","149,000","120,000","147,000","62,000"
		ImpairmentOfCapitalAssets,"0","0","0","0","0","10,847,000","1,603,000",,"37,853,000","0",,,,"66,000,000",,,,"0","0",,,"0","22,171,000",,,,,,,"0",,,,,,,,,,,,,,,
		OtherSpecialCharges,"58,835,000","0","41,371,000","11,878,000","5,586,000",,,,,"445,000",,,"533,000",,,,,"0",,"67,080,000","10,544,000","29,390,000",,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfBusiness,"0",,,,,"0","0",,,"299,000","112,000","5,856,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		GainOnSaleOfPPE,"-10,963,000","0","0","-10,963,000",,"30,385,000","12,303,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	OtherNonOperatingIncomeExpenses,"-944,000","-751,000","890,000","-1,272,000","189,000","-632,000","453,000","347,000","178,000","308,000","280,000","-35,000","35,000","-142,000","6,879,000","-26,000","-14,000","-132,000","-90,000","-9,078,000","-991,000","-3,010,000","-3,241,000","-4,333,000","-667,000",,,,,,,,,,,,,,,,,,,,
PretaxIncome,"-20,224,000","36,884,000","-12,330,000","-9,995,000","-34,783,000","43,125,000","24,297,000","-28,874,000","-157,694,000","-107,059,000","-56,790,000","-211,303,000","-138,123,000","-159,847,000","-33,617,000","12,228,000","-46,849,000","-11,462,000","25,256,000","-128,866,000","-17,640,000","-34,464,000","-979,000","-26,889,000","-207,355,000","-103,055,000","-5,227,000","-18,792,000","-23,052,000","-24,669,000","-21,465,000","-22,941,000","-23,890,000","-90,865,000","-17,408,000","-11,823,000","-7,853,000","-9,509,000","-12,471,000","6,897,000",,,"-4,986,000",,
TaxProvision,"-593,244,000","-555,885,000","-30,564,000","-4,875,000","-1,920,000","-46,822,000","-1,733,000","3,962,000","-367,000","-60,611,000","7,181,000","-1,767,000","-47,553,000","-29,305,000","-27,747,000","-2,756,000","-1,443,000","-35,456,000","21,979,000","-160,680,000","1,913,000","-2,817,000","-3,042,000","880,000","-1,105,000","-154,000","265,000","-351,000","-881,000","-336,000","-4,512,000","-159,000","-164,000","-14,138,000","-177,000","-186,000","-182,000","-689,000","16,000","13,000",,,"0",,
NetIncomeCommonStockholders,"573,020,000","592,769,000","18,234,000","-5,120,000","-32,863,000","89,947,000","26,030,000","-32,836,000","-157,327,000","-46,448,000","-63,971,000","-209,536,000","-90,570,000","-130,542,000","-5,870,000","14,984,000","-45,406,000","23,994,000","3,277,000","31,814,000","-19,553,000","-31,647,000","2,063,000","-27,769,000","-206,250,000","-102,901,000","-5,492,000","-18,441,000","-22,171,000","-24,333,000","-16,953,000","-22,782,000","-23,726,000","-76,727,000","-17,231,000","-11,637,000","-7,671,000","-8,820,000","-12,487,000","6,884,000","-7,905,000","-2,250,000","-4,986,000","-5,076,000","-4,699,000"
	NetIncome,"573,020,000","592,769,000","18,234,000","-5,120,000","-32,863,000","89,947,000","26,030,000","-32,836,000","-157,327,000","-46,448,000","-63,971,000","-209,536,000","-90,570,000","-130,542,000","-5,870,000","14,984,000","-45,406,000","23,994,000","3,277,000","31,814,000","-19,553,000","-31,647,000","2,063,000","-27,769,000","-206,250,000","-102,901,000","-5,492,000","-18,441,000","-22,171,000","-24,333,000","-16,953,000","-22,782,000","-23,726,000","-76,727,000","-17,231,000","-11,637,000","-7,671,000","-8,820,000","-12,487,000","6,884,000","-7,905,000","-5,739,000","-4,986,000","-5,076,000","-4,699,000"
		NetIncomeIncludingNoncontrollingInterests,"573,020,000","592,769,000","18,234,000","-5,120,000","-32,863,000","89,947,000","26,030,000","-32,836,000","-157,327,000","-46,448,000","-63,971,000","-209,536,000","-90,570,000","-130,542,000","-5,870,000","14,984,000","-45,406,000","23,994,000","3,277,000","31,814,000","-19,553,000","-31,647,000","2,063,000","-27,769,000","-206,250,000","-102,901,000","-5,492,000","-18,441,000","-22,171,000","-24,333,000","-16,953,000","-22,782,000","-23,726,000","-76,727,000","-17,231,000","-11,637,000","-7,671,000","-8,820,000","-12,487,000","6,884,000","-7,905,000","-5,739,000","-4,986,000","-5,076,000","-4,699,000"
			NetIncomeContinuousOperations,"573,020,000","592,769,000","18,234,000","-5,120,000","-32,863,000","89,947,000","26,030,000","-32,836,000","-157,327,000","-46,448,000","-63,971,000","-209,536,000","-90,570,000","-130,542,000","-5,870,000","14,984,000","-45,406,000","23,994,000","3,277,000","31,814,000","-19,553,000","-31,647,000","2,063,000","-27,769,000","-206,250,000","-102,901,000","-5,492,000","-18,441,000","-22,171,000","-24,333,000","-16,953,000","-22,782,000","-23,726,000","-76,727,000","-17,231,000","-11,637,000","-7,671,000","-8,820,000","-12,487,000","6,884,000","-7,905,000","-5,739,000","-4,986,000","-5,076,000","-4,699,000"
DilutedNIAvailtoComStockholders,"573,020,000","592,769,000","18,234,000","-5,120,000","-32,863,000","89,947,000","26,030,000","-32,836,000","-157,327,000","-46,448,000","-63,971,000","-209,536,000","-90,570,000","-130,542,000","-5,870,000","14,984,000","-45,406,000","23,994,000","3,277,000","31,814,000","-19,553,000","-31,647,000","2,063,000","-27,769,000","-206,250,000","-102,901,000","-5,492,000","-18,441,000","-22,171,000","-24,333,000","-16,953,000","-22,782,000","-23,726,000","-76,727,000","-17,231,000","-11,637,000","-7,671,000","-8,820,000","-12,487,000","6,884,000","-7,905,000","-2,250,000","-4,986,000","-5,076,000","-4,699,000"
BasicEPS,,"3.16","0.1","-0.03","-0.19","0.52","0.16","-0.2","-0.96","-0.28","-0.39","-1.29","-0.56","-0.81","-0.04","0.09","-0.28","0.15","0.02","0.21","-0.16","-0.27","0.03","-0.38","-3.07",,"-0.08","-0.29","-0.36","-0.4","-0.47","-0.68","-0.98",,"-1.3","-7.78","-5.127",,"-8.38","4.62","-5.283",,,,"-3.14"
DilutedEPS,,"2.84","0.09","-0.03","-0.19","0.5","0.15","-0.2","-0.96","-0.28","-0.39","-1.29","-0.56","-0.81","-0.04","0.09","-0.28","0.15","0.02","0.2","-0.16","-0.27","0.02","-0.38","-3.07",,"-0.08","-0.29","-0.36","-0.4","-0.47","-0.68","-0.98",,"-1.3","-7.78","-5.127",,"-8.38","0.56","-5.283",,,,"-3.14"
BasicAverageShares,,"187,421,561","186,470,141","185,327,383","172,789,209","168,126,924","167,047,104","165,536,826","164,549,502","164,048,823","163,447,208","162,931,930","161,972,052","161,375,647","161,038,827","160,468,146","159,904,416","159,410,594","159,035,580","150,771,902","125,650,593","116,333,365","78,392,971","73,384,801","67,138,463",,"64,645,677","62,872,173","61,939,822","61,574,187","35,972,657","33,715,703","24,116,490",,"13,256,189","1,496,278","1,496,278",,"1,490,551","1,490,544","1,496,278",,,,"1,496,278"
DilutedAverageShares,,"210,953,579","194,171,967","185,327,383","172,789,209","174,230,711","172,485,757","165,536,826","164,549,502","164,048,823","163,447,208","162,931,930","161,972,052","161,375,647","161,038,827","163,920,581","159,904,416","163,834,135","166,830,800","159,797,319","125,650,593","116,333,365","85,687,267","73,384,801","67,138,463",,"64,645,677","62,872,173","61,939,822","61,574,187","35,972,657","33,715,703","24,116,490",,"13,256,189","1,496,278","1,496,278",,"1,490,551","12,363,578","1,496,278",,,,"1,496,278"
TotalOperatingIncomeAsReported,"126,611,000","54,675,000","48,619,000","25,112,000","-1,795,000","73,639,000","54,246,000","1,814,000","-127,308,000","-75,568,000","-25,751,000","-185,667,000","-105,383,000","-130,108,000","-21,322,000","31,467,000","-27,204,000","38,049,000","45,732,000","-33,173,000","4,764,000","8,983,000","-11,961,000","-7,100,000","1,587,000","-5,762,000","-2,744,000","-15,804,000","-18,544,000","-22,026,000","-18,714,000","-18,345,000","-19,788,000","-89,249,000","-15,655,000","-8,748,000","-6,990,000","-12,427,000","-11,604,000","-11,959,000","-7,618,000","-5,321,000","-4,509,000","-4,776,000","-4,183,000"
TotalExpenses,"1,162,455,000","308,870,000","286,847,000","284,572,000","282,166,000","301,442,000","281,765,000","301,021,000","313,336,000","349,787,000","297,397,000","475,174,000","326,242,000","374,458,000","230,024,000","225,911,000","231,894,000","206,489,000","180,812,000","205,994,000","108,377,000","94,858,000","87,087,000","73,162,000","50,339,000","32,135,000","28,962,000","28,058,000","27,715,000","28,773,000","25,235,000","22,186,000","22,311,000","23,154,000","15,928,000","10,083,000","8,783,000","12,457,000","12,293,000","13,616,000","7,618,000","5,321,000","4,509,000","4,776,000","4,183,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"573,020,000","592,769,000","18,234,000","-5,120,000","-32,863,000","89,947,000","26,030,000","-32,836,000","-157,327,000","-46,448,000","-63,971,000","-209,536,000","-90,570,000","-130,542,000","-5,870,000","14,984,000","-45,406,000","23,994,000","3,277,000","31,814,000","-19,553,000","-31,647,000","2,063,000","-27,769,000","-206,250,000","-102,901,000","-5,492,000","-18,441,000","-22,171,000","-24,333,000","-16,953,000","-22,782,000","-23,726,000","-76,727,000","-17,231,000","-11,637,000","-7,671,000","-8,820,000","-12,487,000","6,884,000","-7,905,000","-5,739,000","-4,986,000","-5,076,000","-4,699,000"
NormalizedIncome,"623,948,450","592,726,660","48,464,030","11,498,450","-27,527,710.893","75,765,290","18,193,450","-32,832,350","-119,452,350.99","-46,104,200","-64,203,200","-215,492,767.069","-90,050,669.838","-76,038,365.037","-5,805,200","14,975,000","-45,238,328.588","41,549,400","3,328,600","72,114,200","-12,724,400","-3,898,024.46","-10,558,050","-20,457,150","-3,269,483.494","-34,242,752.841","-6,218,700","-18,886,520.115","-21,300,587.238","-25,178,327.374","-17,417,400.839","-21,386,737.806","-24,171,917.706","-76,054,007.99","-16,480,707.146","-11,745,269.475","-8,083,219.789","-12,825,127.774","-12,593,600","-12,446,495.578","-7,903,700","-5,835,850","-5,106,000","-5,171,550","-4,739,300"
InterestIncome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","4,000",,"12,000",,"0","2,000",,
InterestExpense,,,,,,,"30,437,000",,"30,454,000",,,,,,,"19,228,000","19,458,000",,,,,,,,,,,,,,,,"4,551,000",,,"3,185,000","1,285,000","1,201,000",,"523,000","286,000","567,000","599,000","452,000","596,000"
NetInterestIncome,"-87,089,000","-17,098,000","-20,428,000","-22,033,000","-27,530,000","-29,771,000","-30,437,000","-31,030,000","-30,454,000","-31,226,000","-31,706,000","-31,608,000","-31,983,000","-28,858,000","-19,066,000","-19,228,000","-19,458,000","-20,120,000","-20,300,000","-19,448,000","-10,032,000","-10,218,000","-5,194,000","-4,207,000","-4,207,000","-28,532,000","-3,601,000","-3,442,000","-3,603,000","-3,444,000","-3,339,000","-3,191,000","-4,551,000","-819,000","-995,000","-3,185,000","-1,285,000","-1,197,000","-1,031,000","-511,000","-286,000","-567,000","-597,000","-429,000","-596,000"
EBIT,"137,574,000","54,675,000","48,619,000","36,075,000","-1,795,000","54,101,000","54,734,000","1,814,000","-127,240,000","-75,568,000","-25,751,000","-185,667,000","-105,383,000","-64,108,000","-21,322,000","31,456,000","-27,391,000","38,049,000","45,732,000","-33,173,000","4,764,000","8,983,000","-11,961,000","-7,100,000","1,587,000","-5,762,000","-2,744,000","-15,804,000","-18,544,000","-22,026,000","-18,714,000","-18,345,000","-19,339,000","-19,628,000","-15,655,000","-8,638,000","-6,568,000","-8,308,000","-11,604,000","7,420,000","-7,618,000","-5,675,000","-4,387,000","-4,544,000","-4,183,000"
EBITDA,"374,731,000"
ReconciledCostOfRevenue,"362,175,000","94,921,000","89,949,000","89,163,000","88,142,000","107,132,000","99,011,000","100,082,000","116,092,000","151,492,000","125,517,000","130,150,000","139,116,000","149,752,000","85,161,000","81,126,000","77,233,000","67,573,000","61,250,000","61,826,000","28,853,000","32,680,000","13,644,000","24,810,000","7,619,000","1,548,000","5,313,000","3,517,000","4,247,000","3,931,000","3,810,000","2,855,000","2,067,000","2,076,000","1,249,000","2,104,000","1,839,000","816,000","737,000","2,132,000","0","0","0","0","0"
ReconciledDepreciation,"237,157,000","59,821,000","59,319,000","59,126,000","58,891,000","69,033,000","69,249,000","68,540,000","68,907,000","70,260,000","70,141,000","71,531,000","71,483,000","67,372,000","51,940,000","51,883,000","50,642,000","44,318,000","43,282,000","32,408,000","18,335,000","16,347,000","6,826,000","5,433,000","5,403,000","3,472,000","1,983,000","1,933,000","1,922,000","1,890,000","1,508,000","1,064,000","1,076,000","1,128,000","656,000","1,168,000","1,247,000","617,000","1,481,000","1,590,000","111,000","-557,000","225,000","149,000","260,000"
NetIncomeFromContinuingOperationNetMinorityInterest,"573,020,000","592,769,000","18,234,000","-5,120,000","-32,863,000","89,947,000","26,030,000","-32,836,000","-157,327,000","-46,448,000","-63,971,000","-209,536,000","-90,570,000","-130,542,000","-5,870,000","14,984,000","-45,406,000","23,994,000","3,277,000","31,814,000","-19,553,000","-31,647,000","2,063,000","-27,769,000","-206,250,000","-102,901,000","-5,492,000","-18,441,000","-22,171,000","-24,333,000","-16,953,000","-22,782,000","-23,726,000","-76,727,000","-17,231,000","-11,637,000","-7,671,000","-8,820,000","-12,487,000","6,884,000","-7,905,000","-5,739,000","-4,986,000","-5,076,000","-4,699,000"
TotalUnusualItemsExcludingGoodwill,"-69,765,000","58,000","-41,411,000","-22,765,000","-5,647,000","19,427,000","10,735,000","-5,000","-37,963,000","-573,000","387,000","6,007,000","-792,000","-66,739,000","-108,000","15,000","-173,000","-29,259,000","-86,000","-67,167,000","-11,381,000","-30,219,000","19,417,000","-11,249,000","-204,068,000","-68,761,000","1,118,000","454,000","-905,000","857,000","588,000","-1,405,000","449,000","-797,000","-758,000","110,000","422,000","4,318,000","164,000","19,367,000","-2,000","149,000","120,000","147,000","62,000"
TotalUnusualItems,"-69,765,000","58,000","-41,411,000","-22,765,000","-5,647,000","19,427,000","10,735,000","-5,000","-37,963,000","-573,000","387,000","6,007,000","-792,000","-66,739,000","-108,000","15,000","-173,000","-29,259,000","-86,000","-67,167,000","-11,381,000","-30,219,000","19,417,000","-11,249,000","-204,068,000","-68,761,000","1,118,000","454,000","-905,000","857,000","588,000","-1,405,000","449,000","-797,000","-758,000","110,000","422,000","4,318,000","164,000","19,367,000","-2,000","149,000","120,000","147,000","62,000"
NormalizedEBITDA,"444,496,000","114,438,000","149,349,000","117,966,000","62,743,000","103,707,000","113,248,000","70,359,000","-20,370,000","-4,735,000","44,003,000","-120,143,000","-33,108,000","70,003,000","30,726,000","83,324,000","23,424,000","111,626,000","89,100,000","66,402,000","34,480,000","55,549,000","-24,552,000","9,582,000","211,058,000","66,471,000","-1,879,000","-14,325,000","-15,717,000","-20,993,000","-17,794,000","-15,876,000","-18,712,000","-17,703,000","-14,241,000","-7,580,000","-5,743,000","-12,009,000","-10,287,000","-10,357,000","-7,505,000","-5,824,000","-4,282,000","-4,542,000","-3,985,000"
TaxRateForCalcs,"0.27","0.27","0.27","0.27","0.055","0.27","0.27","0.27","0.002","0.4","0.4","0.008","0.344","0.183","0.4","0.4","0.031","0.4","0.4","0.4","0.4","0.082","0.35","0.35","0.005","0.001","0.35","0.019","0.038","0.014","0.21","0.007","0.007","0.156","0.01","0.016","0.023","0.072","0.35","0.002","0.35","0.35","0","0.35","0.35"
TaxEffectOfUnusualItems,"-18,836,550","15,660","-11,180,970","-6,146,550","-311,710.893","5,245,290","2,898,450","-1,350","-88,350.99","-229,200","154,800","50,232.931","-272,669.838","-12,235,365.037","-43,200","6,000","-5,328.588","-11,703,600","-34,400","-26,866,800","-4,552,400","-2,470,024.46","6,795,950","-3,937,150","-1,087,483.494","-102,752.841","391,300","8,479.885","-34,587.238","11,672.626","123,599.161","-9,737.806","3,082.294","-124,007.99","-7,707.146","1,730.525","9,780.211","312,872.226","57,400","36,504.422","-700","52,150","0","51,450","21,700"
