name,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993,12/31/1992,12/31/1991,12/31/1990,12/31/1989,12/31/1988,12/31/1987
				AccountsPayable,"450,228,000","346,294,000","317,377,000","273,742,000","299,660,000","343,470,000","238,044,000","169,036,000","146,743,000","113,248,000","75,657,000","115,986,000","90,045,000","100,672,000","97,065,000","96,302,000","65,987,000","88,462,000","101,554,000","89,498,000","91,800,000","77,300,000","61,000,000","50,500,000","57,400,000","58,900,000","36,100,000","24,900,000","13,300,000","10,600,000",,,
				TotalTaxPayable,"5,867,000","4,545,000","10,737,000","2,106,000","6,741,000","11,344,000","9,254,000","4,973,000","639,000","2,604,000","6,702,000","3,373,000",,,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,"5,867,000","4,545,000","10,737,000","2,106,000","6,741,000","11,344,000","9,254,000","4,973,000","639,000","2,604,000","6,702,000","3,373,000",,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"685,782,000","612,135,000","586,437,000","557,842,000","408,837,000","391,089,000","353,987,000","314,993,000","120,867,000","112,339,000","97,749,000","109,572,000","291,093,000","252,446,000","263,728,000","252,703,000","241,951,000","204,624,000","190,911,000",,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,"184,514,000","167,857,000","168,014,000","122,214,000","106,486,000","102,379,000","143,504,000","139,140,000","187,671,000","126,781,000","55,313,000","56,567,000",,,,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"201,599,000","66,543,000","47,746,000","3,847,000","5,059,000","2,528,000","3,281,000","2,887,000","2,653,000","100,000,000",,,,,,,,,,,,,,,"40,200,000",,,,,,,,"2,000,000"
			CurrentDebt,"166,695,000","66,543,000","47,746,000","3,847,000","5,059,000",,,,,"100,000,000",,,,,,,,,,,,,,,"40,200,000",,,,,,,,"2,000,000"
				OtherCurrentBorrowings,"166,695,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentCapitalLeaseObligation,"34,904,000",,,,,"2,528,000","3,281,000","2,887,000","2,653,000",,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,,,,,,,,,"156,958,000","129,238,000","107,653,000","119,335,000","7,108,000","8,302,000","14,821,000","56,188,000","22,540,000","20,427,000","15,872,000","148,886,000","142,000,000","127,700,000","130,100,000","110,900,000","98,300,000","102,600,000","62,000,000","44,200,000","39,300,000","36,000,000",,,"15,600,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,794,337,000","2,060,526,000","1,027,623,000","1,272,806,000","579,202,000","362,858,000","401,813,000","164,933,000","112,437,000","106,446,000","216,038,000","209,288,000","208,653,000","250,000,000","23,685,000","26,000,000","21,496,000","18,027,000","18,043,000","47,068,000","40,000,000","20,500,000","24,400,000","35,000,000",,,"-100,000",,,,"-100,000",,"-100,000"
		LongTermDebtAndCapitalLeaseObligation,"1,604,740,000","1,896,027,000","865,266,000","1,138,063,000","458,220,000","223,620,000","284,342,000","104,292,000","104,600,000","100,000,000","200,000,000","200,000,000","200,000,000","250,000,000","18,000,000","18,000,000","18,008,000","18,027,000","18,043,000","47,068,000","40,000,000","20,500,000","24,400,000","35,000,000",,,,,,,,,
			LongTermDebt,"1,512,000,000","1,879,887,000","846,915,000","1,120,525,000","438,560,000","200,000,000","280,500,000","100,000,000","100,000,000","100,000,000","200,000,000","200,000,000","200,000,000","250,000,000","18,000,000","18,000,000","18,008,000","18,027,000","18,043,000","47,068,000","40,000,000","20,500,000","24,400,000","35,000,000",,,,,,,,,
			LongTermCapitalLeaseObligation,"92,740,000","16,140,000","18,351,000","17,538,000","19,660,000","23,620,000","3,842,000","4,292,000","4,600,000",,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredLiabilities,"17,550,000","13,327,000","21,845,000","17,855,000","23,378,000","31,719,000","33,449,000",,"0","937,000","11,050,000","4,185,000",,,"5,685,000","8,000,000","3,488,000",,,,,,,,,,,,,,,,
			NonCurrentDeferredTaxesLiabilities,"3,952,000","6,490,000","10,128,000","9,127,000","13,733,000","18,191,000","25,028,000",,"0","937,000","11,050,000","4,185,000",,,"5,685,000","8,000,000","3,488,000",,,,,,,,,,,,,,,,
		TradeandOtherPayablesNonCurrent,"28,092,000","28,602,000","20,114,000","26,391,000","23,416,000","10,568,000","14,292,000","7,063,000","7,837,000","5,509,000","4,988,000","5,103,000",,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentLiabilities,"143,955,000","122,570,000","120,398,000","90,497,000","74,188,000","96,951,000","69,730,000","53,578,000",,,"4,988,000","5,103,000","8,653,000",,,,,,,,,,,,,,,,,,,,
TotalEquityGrossMinorityInterest,"1,108,202,000","867,015,000","931,659,000","867,040,000","981,477,000","861,267,000","535,605,000","690,530,000","500,056,000","370,991,000","204,541,000","137,027,000","172,982,000","167,371,000","369,657,000","361,732,000","319,378,000","277,106,000","238,783,000","204,734,000","168,200,000","153,200,000","169,200,000","155,300,000","118,500,000","169,700,000","82,500,000","77,600,000","82,900,000","92,100,000","98,800,000","97,400,000","98,600,000"
	StockholdersEquity,"1,107,999,000","867,015,000","931,659,000","867,040,000","981,477,000","861,267,000","535,605,000","690,530,000","500,056,000","370,991,000","204,541,000","137,027,000","172,982,000","167,371,000","369,657,000","361,732,000","319,378,000","277,106,000","238,783,000","204,734,000","168,200,000","153,200,000","169,200,000","155,300,000","118,500,000","169,700,000","82,500,000","77,600,000","82,900,000","92,100,000","98,800,000","97,400,000","98,600,000"
		CapitalStock,"614,000","609,000","631,000","631,000","653,000","663,000","656,000","686,000","684,000","342,000","326,000","325,000","342,000","355,000","417,000","427,000","434,000","223,000","229,000","235,000","200,000",,,,,,,,,,,,
			PreferredStock,"0","0","0","0",,"0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,
			CommonStock,"614,000","609,000","631,000","631,000","653,000","663,000","656,000","686,000","684,000","342,000","326,000","325,000","342,000","355,000","417,000","427,000","434,000","223,000","229,000","235,000","200,000",,,,,,,,,,,,
		AdditionalPaidInCapital,"892,849,000","807,986,000","733,894,000","650,162,000","596,143,000","486,005,000","360,616,000","268,515,000","165,518,000","79,257,000","9,992,000","0",,,,,,,,,"9,000,000",,,,,,,,,,,,
		RetainedEarnings,"287,256,000","121,393,000","242,763,000","300,084,000","447,173,000","401,840,000","155,572,000","409,091,000","321,831,000","285,494,000","191,399,000","140,559,000","146,763,000","152,219,000","375,193,000","366,345,000","330,205,000","289,656,000","248,634,000","207,613,000","160,800,000","104,200,000","91,800,000","43,400,000","-2,500,000","53,300,000","-500,000","-500,000","-2,700,000","-7,900,000","-9,300,000","-3,100,000","2,500,000"
		GainsLossesNotAffectingRetainedEarnings,"-72,720,000","-62,973,000","-45,629,000","-83,837,000","-62,492,000","-27,241,000","18,761,000","12,238,000","12,023,000","5,898,000","2,824,000","-3,857,000","25,877,000","14,797,000","-5,953,000","-5,040,000","-11,261,000","-12,773,000","-10,080,000","-3,114,000","-1,800,000",,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,,,,"49,000,000","77,400,000","111,900,000","121,000,000","116,400,000","83,000,000","78,100,000","85,600,000","100,000,000","108,100,000","100,500,000","96,100,000"
	MinorityInterest,"203,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TotalCapitalization,"2,619,999,000","2,746,902,000","1,778,574,000","1,987,565,000","1,420,037,000","1,061,267,000","816,105,000","790,530,000","600,056,000","470,991,000","404,541,000","337,027,000","372,982,000","417,371,000","387,657,000","379,732,000","337,386,000","295,133,000","256,826,000","251,802,000","208,200,000","173,700,000","193,600,000","190,300,000","118,500,000","169,700,000","82,500,000","77,600,000","82,900,000","92,100,000","98,800,000","97,400,000","98,600,000"
CommonStockEquity,"1,107,999,000","867,015,000","931,659,000","867,040,000","981,477,000","861,267,000","535,605,000","690,530,000","500,056,000","370,991,000","204,541,000","137,027,000","172,982,000","167,371,000","369,657,000","361,732,000","319,378,000","277,106,000","238,783,000","204,734,000","168,200,000","153,200,000","169,200,000","155,300,000","118,500,000","169,700,000","82,500,000","77,600,000","82,900,000","92,100,000","98,800,000","97,400,000","98,600,000"
CapitalLeaseObligations,"127,644,000","16,140,000","18,351,000","17,538,000","19,660,000","26,148,000","7,123,000","7,179,000","7,253,000",,,,,,,,,,,,,,,,,,,,,,,,
NetTangibleAssets,"-382,236,000","-650,579,000","151,073,000","74,061,000","745,360,000","637,301,000","305,897,000","583,314,000","500,056,000","339,678,000","178,672,000","112,334,000","146,491,000","142,199,000","344,398,000","333,749,000","291,741,000","249,327,000","211,584,000","183,026,000","146,100,000","130,200,000","145,700,000","130,900,000","93,300,000","143,700,000","51,400,000","51,100,000","55,600,000","64,000,000","38,000,000","29,100,000","22,000,000"
WorkingCapital,"98,970,000","288,329,000","123,193,000","231,238,000","327,942,000","245,745,000","117,628,000","386,812,000","263,145,000","223,935,000","148,426,000","38,779,000","59,310,000","31,541,000","-1,626,000","60,462,000","57,238,000","30,146,000","-3,020,000","2,528,000","-19,100,000","-21,200,000","26,400,000","32,000,000","-20,100,000","45,000,000","11,600,000","5,900,000","6,600,000","20,300,000","21,400,000","15,700,000","7,800,000"
InvestedCapital,"2,786,694,000","2,813,445,000","1,826,320,000","1,991,412,000","1,425,096,000","1,061,267,000","816,105,000","790,530,000","600,056,000","570,991,000","404,541,000","337,027,000","372,982,000","417,371,000","387,657,000","379,732,000","337,386,000","295,133,000","256,826,000","251,802,000","208,200,000","173,700,000","193,600,000","190,300,000","158,700,000","169,700,000","82,500,000","77,600,000","82,900,000","92,100,000","98,800,000","97,400,000","100,600,000"
TangibleBookValue,"-382,236,000","-650,579,000","151,073,000","74,061,000","745,360,000","637,301,000","305,897,000","583,314,000","500,056,000","339,678,000","178,672,000","112,334,000","146,491,000","142,199,000","344,398,000","333,749,000","291,741,000","249,327,000","211,584,000","183,026,000","146,100,000","130,200,000","145,700,000","130,900,000","93,300,000","143,700,000","51,400,000","51,100,000","55,600,000","64,000,000","38,000,000","29,100,000","22,000,000"
TotalDebt,"1,806,339,000","1,962,570,000","913,012,000","1,141,910,000","463,279,000","226,148,000","287,623,000","107,179,000","107,253,000","200,000,000","200,000,000","200,000,000","200,000,000","250,000,000","18,000,000","18,000,000","18,008,000","18,027,000","18,043,000","47,068,000","40,000,000","20,500,000","24,400,000","35,000,000","40,200,000",,,,,,,,"2,000,000"
NetDebt,"1,521,631,000","1,785,266,000","756,316,000","997,047,000","288,270,000","62,400,000","188,252,000",,,,"59,760,000","172,873,000","136,719,000","230,434,000",,,,,,"44,699,000","33,800,000","19,000,000","23,200,000","29,200,000","36,700,000",,,,,,,,"900,000"
ShareIssued,"61,412,000","60,890,000","63,075,000","63,109,000","65,309,000","66,307,000","65,623,000","68,647,000","68,430,000","68,468,000","65,296,000","64,517,524","68,424,000","70,910,000","83,374,000","85,482,000","86,724,000","89,200,000","91,708,000","94,168,000","88,662,924","91,077,532","95,116,868","108,044,000","109,296,000","108,612,000","89,572,000","86,980,000","80,900,000","80,900,000","80,900,000","81,272,000","82,400,000"
OrdinarySharesNumber,"61,412,000","60,890,000","63,075,000","63,109,000","65,309,000","66,307,000","65,623,000","68,647,000","68,430,000","68,468,000","65,296,000","64,517,524","68,424,000","70,910,000","83,374,000","85,482,000","86,724,000","89,200,000","91,708,000","94,168,000","88,662,924","91,077,532","95,116,868","108,044,000","109,296,000","108,612,000","89,572,000","86,980,000","80,900,000","80,900,000","80,900,000","81,272,000","82,400,000"
