name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,06/30/2018,12/31/2017,06/30/2017,12/31/2016,06/30/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997
		GainsLossesNotAffectingRetainedEarnings,"4,013,000,000","1,470,000,000","4,218,000,000",,"3,621,000,000","3,495,000,000","4,362,000,000","4,963,000,000","5,897,000,000","32,100,000,000","27,990,000,000","29,040,000,000","29,786,000,000","36,527,000,000","29,663,000,000",,"32,558,000,000",,"28,993,000,000",,,,,,,,,,,,"17,699,179,260","23,696,001,430",,"31,567,687,450","27,979,380,780","38,869,609,590","38,163,380,660","31,222,437,600","29,387,764,340","9,893,625,760","6,559,753,200","-2,379,328,840","1,391,422,880",,"2,212,666,470","1,731,088,920","-537,768,720","-2,063,525,880","1,663,455,360","1,604,651,820","-687,629,980","540,445,500","903,874,400","17,495,003,750","822,413,110","-5,458,237,400","19,953,831,800","-1,338,899,100","-1,007,023,360","-2,008,791,000","1,004,816,400","3,396,111,250","6,133,967,140","31,631,381,320","34,334,036,050",,"26,562,019,120",,,,,,,,,,,
			UnrealizedGainLoss,"1,879,000,000","1,785,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			MinimumPensionLiabilities,"-336,000,000","-420,000,000",,,,,,,,,"-306,000,000","-316,000,000",,"-539,000,000","-504,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			ForeignCurrencyTranslationAdjustments,"-2,079,000,000","-1,815,000,000",,,,,,,,,"-538,000,000","-832,000,000",,"9,000,000","-741,000,000",,"-841,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FixedAssetsRevaluationReserve,"253,000,000","249,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherEquityAdjustments,"1,094,000,000","1,671,000,000",,,,,,,,"32,100,000,000","28,834,000,000","30,188,000,000","29,786,000,000","37,057,000,000","30,908,000,000",,"33,399,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherEquityInterest,,,,,,,,,,,,,,,,,,,"3,000,000,000",,,,"5,000,000,000",,"25,781,000,000",,"19,168,000,000",,"19,928,000,000",,"-718,340",,,,"-685,870",,,,,"787,960",,"825,010","1,688,620","2,067,000,000",,,,,,,,,,,,,,,,,,,,,,"33,594,600,400",,"32,419,610,640","31,776,178,200",,,,,,,,,
	MinorityInterest,"893,000,000","899,000,000","862,000,000","835,000,000","803,000,000","734,000,000","715,000,000","674,000,000","606,000,000","619,000,000","638,000,000","619,000,000","576,000,000","12,469,000,000","8,047,000,000","7,990,000,000","3,331,000,000","1,020,000,000","927,000,000","831,000,000","777,000,000","742,000,000","729,000,000","997,000,000","1,011,000,000","997,000,000","915,000,000","1,067,000,000","1,075,000,000","1,137,000,000","1,597,588,160","1,908,645,570","1,905,000,000","2,000,247,210","2,326,471,040","2,176,591,620","2,109,927,120","1,937,273,280","2,948,929,480","1,849,342,120","1,810,153,800","1,778,721,560",,,"1,661,771,160","1,457,231,270","2,210,089,280","1,762,762,560","422,827,560,960","401,257,919,220","1,727,015,250","1,854,671,700","1,627,843,030","1,919,279,250","1,961,212,260","1,717,471,360","1,530,032,000","1,474,280,500","1,463,330,820","1,583,981,100","1,384,858,200","1,441,777,650","1,291,529,620","1,103,051,180","1,076,055,250","953,179,300","973,914,200","821,175,840","822,946,800","751,512,460","617,752,170","304,031,882","344,718,875","262,396,926","184,908,906","210,679,168","204,084,529","228,620,964"
TotalCapitalization,"186,112,000,000","189,439,000,000","182,996,000,000","188,483,000,000","182,523,000,000","180,281,000,000","160,483,000,000","164,993,000,000","167,714,000,000","175,183,000,000","173,526,000,000","178,915,000,000","184,346,000,000","193,802,000,000","179,847,000,000","187,459,000,000","201,733,000,000","82,875,000,000","77,595,000,000","77,030,000,000","54,310,000,000","75,109,000,000","224,617,000,000","215,595,000,000","358,055,000,000","208,571,000,000","200,826,000,000","335,760,000,000","312,038,000,000","348,003,000,000","91,943,928,300","33,862,677,610","157,817,000,000","138,189,285,170","111,724,793,650","143,903,119,500","157,566,343,140","128,546,466,000","122,627,580,360","147,192,503,920","155,411,838,400","274,554,252,890","157,915,520,850","155,173,000,000","271,320,482,790","250,467,120,970","143,948,662,160","149,090,951,100","31,460,540,160","29,603,675,180","152,987,348,160","24,520,784,400","127,268,122,850","21,891,864,750","112,558,145,610","121,953,631,140","22,773,318,400","139,081,442,500","159,278,277,380","153,862,413,600","140,679,002,400","155,725,684,800","151,033,369,000","32,973,634,760","35,606,405,770","34,604,279,900","120,607,348,190","33,372,660,960","32,743,044,100","30,576,060,100","64,893,735,684","24,619,963,830","29,518,318,250","28,541,654,592","57,669,851,421","22,704,197,684","21,045,562,367","18,782,091,504"
PreferredStockEquity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"20,895,270","21,261,970","119,130,900","214,982,070","214,836,720","215,183,960","215,113,080",,"296,178,590","295,508,500",,"295,682,940","296,229,120","1,282,087,840","1,416,965,160","1,439,639,040","1,836,786,580","1,780,215,260","1,926,731,100","1,880,754,040","2,059,312,500","2,147,994,380","2,284,560,960","2,227,605,800","2,579,130,400","2,546,780,060","2,673,997,200","2,648,526,600","2,553,647,350","2,425,477,720","857,046,960","785,257,880","524,196,300","499,876,370","468,575,280","482,950,000",,,,,,,,,
