name,ttm,01/31/2020,01/31/2019,01/31/2018,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004
	ResearchAndDevelopment,"2,522,000,000","2,522,000,000","1,975,000,000","1,755,000,000","1,503,000,000","1,300,000,000","1,239,000,000","1,082,000,000","999,214,000","775,051,000","652,968,000","496,552,000","429,204,000","285,941,000","148,254,000","72,561,000",
OperatingIncome,"1,520,000,000","1,520,000,000","2,059,000,000","1,779,000,000","1,491,000,000","1,220,000,000","1,043,000,000","1,161,000,000","871,943,000","735,171,000","427,993,000","219,295,000","312,525,000","235,341,000","124,339,000","93,595,000","218,756,000"
NetNonOperatingInterestIncomeExpense,"-149,000,000","-149,000,000","-134,000,000","-74,000,000","-26,000,000","-26,000,000","-24,000,000","-4,000,000","-4,654,000","-3,906,000","-4,069,000","-6,958,000","-18,316,000",,,,
	InterestIncomeNonOperating,,,,,,,,,,,,,"284,000",,,,
	InterestExpenseNonOperating,"149,000,000","149,000,000","134,000,000","74,000,000","26,000,000","26,000,000","24,000,000","4,000,000","4,654,000","3,906,000","4,069,000","6,958,000","18,600,000",,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,"18,316,000",,,,
OtherIncomeExpense,"67,000,000","67,000,000","958,000,000","96,000,000","8,000,000","19,000,000","29,000,000","-10,000,000","25,825,000","63,148,000","-7,549,000","11,112,000","25,076,000","-48,000","-5,063,000","-1,332,000",
	GainOnSaleOfSecurity,"60,000,000","60,000,000","161,000,000","120,000,000","77,000,000","49,000,000","38,000,000","30,000,000","26,557,000",,,,,,,,
	SpecialIncomeCharges,"-79,000,000","-79,000,000","-9,000,000","-90,000,000","-52,000,000","-23,000,000","-16,000,000","-68,000,000",,"63,148,000","-7,549,000","11,112,000","25,076,000","-48,000","-5,063,000","-1,332,000",
		GainOnSaleOfBusiness,"-79,000,000","-79,000,000","-9,000,000","-90,000,000","-52,000,000","-23,000,000","-16,000,000","-68,000,000",,,,,,,,,
	OtherNonOperatingIncomeExpenses,"86,000,000","86,000,000","806,000,000","66,000,000","-17,000,000","-7,000,000","7,000,000","28,000,000","-732,000",,,,,,,,
PretaxIncome,"1,438,000,000","1,438,000,000","2,883,000,000","1,801,000,000","1,473,000,000","1,213,000,000","1,048,000,000","1,147,000,000","893,114,000","794,413,000","416,375,000","223,449,000","319,285,000","240,478,000","122,547,000","95,340,000",
TaxProvision,"-4,918,000,000","-4,918,000,000","461,000,000","1,231,000,000","287,000,000","216,000,000","162,000,000","133,000,000","147,412,000","70,477,000","58,936,000","26,351,000","29,152,000","22,341,000","36,832,000","28,565,000",
NetIncomeCommonStockholders,"6,412,000,000","6,412,000,000","2,422,000,000","570,000,000","1,186,000,000","997,000,000","886,000,000","1,014,000,000","745,702,000","723,936,000","357,439,000","197,098,000","290,133,000","218,137,000","85,890,000","66,775,000","16,781,000"
	NetIncome,"6,412,000,000","6,412,000,000","2,422,000,000","570,000,000","1,186,000,000","997,000,000","886,000,000","1,014,000,000","745,702,000","723,936,000","357,439,000","197,098,000","290,133,000","218,137,000","85,890,000","66,775,000","16,781,000"
		NetIncomeIncludingNoncontrollingInterests,"6,356,000,000","6,356,000,000","2,422,000,000","570,000,000","1,186,000,000","997,000,000","886,000,000","1,014,000,000","745,702,000","723,936,000","357,439,000","197,098,000","290,133,000","218,137,000","85,890,000","66,775,000","16,781,000"
			NetIncomeContinuousOperations,"6,356,000,000","6,356,000,000","2,422,000,000","570,000,000","1,186,000,000","997,000,000","886,000,000","1,014,000,000","745,702,000","723,936,000","357,439,000","197,098,000","290,133,000","218,137,000","85,715,000","66,775,000","16,781,000"
			NetIncomeExtraordinary,,,,,,,,,,,,,"0",,"175,000",,
		MinorityInterests,"56,000,000","56,000,000",,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"6,412,000,000","6,412,000,000","2,422,000,000","570,000,000","1,186,000,000","997,000,000","886,000,000","1,014,000,000","745,702,000","723,936,000","357,439,000","197,098,000","290,133,000","218,137,000","85,890,000","66,775,000","16,781,000"
BasicEPS,,,"5.94","1.4","2.82","2.35","2.06","2.36","1.75","1.72","0.87","0.5","0.75","0.62","0.26","0.2","0.05"
DilutedEPS,,,"5.85","1.38","2.78","2.34","2.04","2.34","1.72","1.68","0.84","0.49","0.73","0.61","0.26","0.2","0.05"
BasicAverageShares,,,"407,766,000","406,738,000","420,520,000","424,003,000","430,355,000","429,093,000","426,658,000","421,188,000","409,805,000","394,269,000","385,068,000","350,493,000","332,500,000","332,500,000","332,500,000"
DilutedAverageShares,,,"414,267,000","413,368,000","423,994,000","426,547,000","434,513,000","433,415,000","433,974,000","431,750,000","423,446,000","399,776,000","397,185,000","359,189,000","332,500,000","332,500,000","332,500,000"
TotalOperatingIncomeAsReported,"1,441,000,000","1,441,000,000","2,050,000,000","1,689,000,000","1,439,000,000","1,197,000,000","1,027,000,000","1,093,000,000","871,943,000","735,171,000","427,993,000","219,295,000","312,525,000","235,341,000","120,639,000","93,595,000",
TotalExpenses,"9,291,000,000","9,291,000,000","6,915,000,000","6,143,000,000","5,602,000,000","5,351,000,000","4,992,000,000","4,046,000,000","3,733,104,000","3,031,925,000","2,429,350,000","1,804,642,000","1,568,502,000","1,090,470,000","579,565,000","293,479,000",
NetIncomeFromContinuingAndDiscontinuedOperation,"6,412,000,000","6,412,000,000","2,422,000,000","570,000,000","1,186,000,000","997,000,000","886,000,000","1,014,000,000","745,702,000","723,936,000","357,439,000","197,098,000","290,133,000","218,137,000","85,715,000","66,775,000","16,781,000"
NormalizedIncome,"6,423,400,000","6,423,400,000","2,294,320,000","548,100,000","1,165,875,000","975,628,000","867,410,000","1,047,592,000","723,526,905","666,390,226.545","363,919,473.158","187,296,421.224","267,346,539.289","218,180,540.681","89,256,294.728","67,707,916.929","16,781,000"
InterestIncome,,,,,,,,,,,,,"284,000",,,,
InterestExpense,"149,000,000","149,000,000","134,000,000","74,000,000","26,000,000","26,000,000","24,000,000","4,000,000","4,654,000","3,906,000","4,069,000","6,958,000","18,600,000",,,,
NetInterestIncome,"-149,000,000","-149,000,000","-134,000,000","-74,000,000","-26,000,000","-26,000,000","-24,000,000","-4,000,000","-4,654,000","-3,906,000","-4,069,000","-6,958,000","-18,316,000",,,,
EBIT,"1,587,000,000","1,587,000,000","3,017,000,000","1,875,000,000","1,499,000,000","1,239,000,000","1,072,000,000","1,151,000,000","897,768,000","798,319,000","420,444,000","230,407,000","337,885,000","235,341,000","124,339,000","93,595,000","218,756,000"
EBITDA,"2,460,000,000"
ReconciledCostOfRevenue,"1,799,000,000","1,799,000,000","1,258,000,000","1,141,000,000","1,053,000,000","1,018,000,000","917,000,000","730,000,000","721,323,000","621,987,000","493,715,000","359,728,000","304,105,000","218,674,000","123,382,000","65,192,000",
ReconciledDepreciation,"873,000,000","873,000,000","630,000,000","336,000,000","345,000,000","335,000,000","345,000,000","337,000,000","354,868,000","315,871,000","260,551,000","198,486,000","158,628,000","104,027,000","66,573,000","39,461,000",
NetIncomeFromContinuingOperationNetMinorityInterest,"6,412,000,000","6,412,000,000","2,422,000,000","570,000,000","1,186,000,000","997,000,000","886,000,000","1,014,000,000","745,702,000","723,936,000","357,439,000","197,098,000","290,133,000","218,137,000","85,715,000","66,775,000","16,781,000"
TotalUnusualItemsExcludingGoodwill,"-19,000,000","-19,000,000","152,000,000","30,000,000","25,000,000","26,000,000","22,000,000","-38,000,000","26,557,000","63,148,000","-7,549,000","11,112,000","25,076,000","-48,000","-5,063,000","-1,332,000",
TotalUnusualItems,"-19,000,000","-19,000,000","152,000,000","30,000,000","25,000,000","26,000,000","22,000,000","-38,000,000","26,557,000","63,148,000","-7,549,000","11,112,000","25,076,000","-48,000","-5,063,000","-1,332,000",
NormalizedEBITDA,"2,479,000,000","2,479,000,000","3,495,000,000","2,181,000,000","1,819,000,000","1,548,000,000","1,395,000,000","1,526,000,000","1,226,079,000","1,051,042,000","688,544,000","417,781,000","471,437,000","339,416,000","195,975,000","134,388,000","218,756,000"
TaxRateForCalcs,"0.4","0.4","0.16","0.27","0.195","0.178","0.155","0.116","0.165","0.089","0.142","0.118","0.091","0.093","0.301","0.3","0.4"
TaxEffectOfUnusualItems,"-7,600,000","-7,600,000","24,320,000","8,100,000","4,875,000","4,628,000","3,410,000","-4,408,000","4,381,905","5,602,226.545","-1,068,526.842","1,310,421.224","2,289,539.289","-4,459.319","-1,521,705.272","-399,083.071","0"
