name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
DilutedEPS,,"0.37","0.93","5.39","1.19","0.01","-2.97","-10.17","2.04","2.26","-0.76","-3.39","-1.81","1.81","3.78","1.41","0.86","0.635","0.395","0.373","0.195","0.11","0.123","0.038","0.098","0.098","0.055","0.038"
BasicAverageShares,,"115,700,000","97,105,000","90,854,000","82,929,000","80,003,000","78,425,000","78,111,000","76,345,000","77,991,000","78,079,000","78,122,000","84,536,000","85,589,840","84,301,031","82,828,767","80,510,000","78,946,000","75,550,000","61,308,000","59,872,000","59,348,000","60,060,000","59,700,000","56,080,000","51,282,051","50,909,091","36,363,636"
DilutedAverageShares,,"117,800,000","100,338,000","93,378,000","91,407,000","90,904,000","78,425,000","78,111,000","103,804,000","107,051,000","78,079,000","78,122,000","84,536,000","88,427,072","86,531,217","85,765,957","83,508,000","81,224,000","78,188,000","63,672,000","61,772,000","60,784,000","61,496,000","61,832,000","56,080,000","51,282,051","50,909,091","36,363,636"
TotalOperatingIncomeAsReported,"571,900,000","571,900,000","634,092,000","445,714,000","543,016,000","467,846,000","-240,422,000","-771,972,000","442,589,000","499,581,000","153,226,000","-194,598,000","-86,441,000",,,,,,,,,,,,,,,
RentExpenseSupplemental,,,,,,,"421,388,000","69,502,000",,,,,,,,,,,,,,,,,,,,
TotalExpenses,"4,556,400,000","4,556,400,000","2,953,826,000","2,594,735,000","2,492,090,000","2,330,470,000","2,515,534,000","2,558,201,000","2,464,105,000","2,242,676,000","2,081,176,000","2,031,496,000","2,028,161,000","1,938,984,000","1,773,622,000","1,168,918,000","926,909,000","979,812,000","555,423,000","441,680,000","248,236,000","150,300,000","134,500,000","99,300,000","53,600,000","49,500,000","41,300,000","39,800,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"43,900,000","43,900,000","93,519,000","473,463,000","109,310,000","686,000","-233,195,000","-794,339,000","211,971,000","242,351,000","-59,467,000","-264,948,000","-153,323,000","160,053,000","327,088,000","120,930,000","71,484,000","51,471,000","36,014,000","23,758,000","18,575,000","6,700,000","7,500,000","3,800,000","5,500,000","5,000,000","2,700,000","1,300,000"
NormalizedIncome,"170,263,000","170,263,000","108,822,720","552,353,400","108,652,244","24,711,200","37,431,070","241,019,395","207,272,150","253,914,650.399","82,757,550","172,265,375.587","28,342,900","167,480,550","165,432,200","128,573,315.441","89,979,339.815","55,260,629.198","39,644,851.138","24,278,028.818","18,549,769.26","8,805,714.286","6,937,500","4,734,426.23","5,260,000","4,820,000","2,634,146.341","760,000"
InterestIncome,"1,400,000","1,400,000","1,005,000","3,552,000","24,186,000","11,531,000","3,730,000","1,387,000","948,000","423,000","1,579,000","6,522,000","8,362,000",,,,,,,,,,,,,,,
InterestExpense,"535,600,000","535,600,000","539,417,000","466,761,000","459,243,000","443,127,000","45,982,000","97,092,000","81,440,000","99,564,000","130,215,000","134,984,000","169,827,000",,,,,,,,,,,,,,,
NetInterestIncome,"-534,200,000","-534,200,000","-538,412,000","-463,209,000","-435,057,000","-431,596,000","-42,252,000","-95,705,000","-80,492,000","-99,141,000","-128,636,000","-128,462,000","-161,465,000",,,,,,,,,,,,,,,
