name,ttm,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,03/31/2011,03/31/2010
TaxProvision,"7,022,000,000","1,904,000,000","1,342,976,674","1,910,177,200","1,864,527,963","1,791,318,163","1,036,660,255","1,481,601,551","1,667,472,626","1,272,265,568","1,810,000,000","1,124,000,000","1,278,000,000","1,284,000,000","1,450,000,000","1,214,000,000","1,172,000,000","1,102,000,000","1,204,000,000","935,000,000","972,000,000","989,000,000","895,000,000","782,000,000","948,000,000","716,000,000","-293,000,000","1,762,000,000","831,000,000","574,000,000","475,000,000","728,000,000","1,510,000,000","1,054,335,042","-81,389,582","1,009,678,074","1,278,736,064"
NetIncomeCommonStockholders,"20,504,000,000","5,414,000,000","3,964,976,486","5,516,531,477","5,609,487,896","5,290,004,141","4,359,497,998","5,095,330,309","5,171,480,765","4,726,690,928","5,483,000,000","4,066,000,000","4,609,000,000","4,520,000,000","4,542,000,000","5,733,000,000","3,708,000,000","3,539,000,000","4,224,000,000","3,464,000,000","3,238,000,000","3,215,000,000","3,824,000,000","3,244,000,000","3,687,000,000","3,259,000,000","6,134,000,000","5,882,000,000","4,143,000,000","4,717,000,000","3,310,000,000","4,214,000,000","5,286,000,000","5,013,282,010","7,741,783,727","3,453,245,750","3,394,056,667"
	NetIncome,"20,504,000,000","5,414,000,000","3,964,976,486","5,516,531,477","5,609,487,896","5,290,004,141","4,359,497,998","5,095,330,309","5,171,480,765","4,726,690,928","5,483,000,000","4,066,000,000","4,609,000,000","4,520,000,000","4,542,000,000","5,733,000,000","3,708,000,000","3,539,000,000","4,224,000,000","3,464,000,000","3,238,000,000","3,215,000,000","3,824,000,000","3,244,000,000","3,687,000,000","3,259,000,000","6,134,000,000","5,882,000,000","4,143,000,000","4,717,000,000","3,310,000,000","4,214,000,000","5,286,000,000","5,013,282,010","7,741,783,727","3,453,245,750","3,394,056,667"
		NetIncomeIncludingNoncontrollingInterests,"20,504,000,000","5,414,000,000","3,964,976,486","5,516,531,477","5,609,487,896","5,290,004,141","4,362,497,998","5,095,330,309","5,171,480,765","4,726,690,928","5,483,000,000","4,066,000,000","4,609,000,000","4,520,000,000","4,541,000,000","5,733,000,000","3,708,000,000","3,540,000,000","4,224,000,000","3,464,000,000","3,239,000,000","3,215,000,000","3,824,000,000","3,244,000,000","3,688,000,000","3,259,000,000","6,135,000,000","5,882,000,000","4,144,000,000","4,717,000,000","3,311,000,000","4,214,000,000","5,287,000,000","5,013,713,375","7,740,188,401","3,453,245,750","3,394,683,671"
			NetIncomeContinuousOperations,"20,504,000,000","5,414,000,000","3,964,976,486","5,516,531,477","5,609,487,896","5,290,004,141","4,362,497,998","5,095,330,309","5,171,480,765","4,726,690,928","5,483,000,000","4,066,000,000","4,609,000,000","4,520,000,000","4,541,000,000","5,733,000,000","3,708,000,000","3,540,000,000","4,224,000,000","3,464,000,000","3,239,000,000","3,215,000,000","3,824,000,000","3,244,000,000","3,688,000,000","3,259,000,000","4,192,000,000","5,831,000,000","4,268,000,000","4,717,000,000","3,262,000,000","4,172,000,000","5,268,000,000","5,013,713,375","3,392,076,688","3,453,245,750","3,008,258,074"
			NetIncomeDiscontinuousOperations,,,,"0","0","0",,"0","0","0",,,,,,,,,,"0","0",,"0","0","0","0","1,943,000,000","51,000,000","-124,000,000","0","49,000,000","42,000,000","19,000,000","0","4,348,111,713","0","386,425,597"
		MinorityInterests,,,"0","0","0","0","-3,000,000","0","0","0","0","0","0","0","1,000,000","0","0","-1,000,000","0","0","-1,000,000","0","0","0","-1,000,000","0","-1,000,000","0","-1,000,000","0","-1,000,000","0","-1,000,000","-431,365","1,595,326","0","-627,004"
DilutedNIAvailtoComStockholders,"20,504,000,000","5,414,000,000","3,964,976,486","5,516,531,477","5,609,487,896","5,290,004,141","4,359,497,998","5,095,330,309","5,171,480,765","4,726,690,928","5,483,000,000","4,066,000,000","4,609,000,000","4,520,000,000","4,542,000,000","5,733,000,000","3,708,000,000","3,539,000,000","4,224,000,000","3,464,000,000","3,238,000,000","3,215,000,000","3,824,000,000","3,244,000,000","3,687,000,000","3,259,000,000","6,134,000,000","5,882,000,000","4,143,000,000","4,717,000,000","3,310,000,000","4,214,000,000","5,286,000,000","5,013,282,010","7,741,783,727","3,453,245,750","3,394,056,667"
BasicEPS,,"4",,,,"3.897",,,,"3.482",,"2.995","3.4","3.35","3.346",,"2.735","2.6","3.112","2.556","2.389","2.35","2.817","2.394","5.15","2.4","4.519","4.334","3.052","3.5","2.439","3.105",,,,,
DilutedEPS,,"4",,,,"3.897",,,,"3.482",,"2.995","3.4","3.35","3.346",,"2.735","2.6","3.112","2.556","2.389","2.35","2.817","2.394","5.15","2.4","4.519","4.334","3.052","3.5","2.439","3.105",,,,,
BasicAverageShares,,"1,355,439,555",,,,"1,357,398,871",,,,"1,357,398,871",,"1,357,398,861","1,355,484,630","1,355,536,457","1,357,278,982",,"1,355,946,867","1,355,709,179","1,357,278,982","1,355,379,367","1,355,576,027","1,355,624,978","1,357,278,982","1,354,970,963","1,357,278,983","1,357,278,983","1,357,278,982","1,357,278,982",,"1,347,714,286","1,357,278,982","1,357,278,982",,,,,
DilutedAverageShares,,"1,357,398,871",,,,"1,357,398,871",,,,"1,357,398,871",,"1,357,398,861","1,355,484,630","1,357,278,983","1,357,278,982",,"1,355,946,867","1,357,278,983","1,357,278,982","1,355,379,367","1,355,576,027","1,357,278,983","1,357,278,982","1,354,970,963","1,357,278,983","1,357,278,983","1,357,278,982","1,357,278,982",,"1,357,278,983","1,357,278,982","1,357,278,982",,,,,
