name,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
				MachineryFurnitureEquipment,"8,756,000,000","7,518,000,000","7,501,000,000","7,423,000,000","7,159,000,000","7,003,000,000","6,978,000,000","6,732,000,000","6,715,000,000","6,295,000,000","6,173,000,000","5,518,000,000","5,514,000,000","5,412,000,000","5,203,000,000","4,198,000,000","4,076,000,000","3,936,000,000","3,621,000,000","3,558,000,000","3,276,000,000","2,840,000,000","2,769,000,000","2,725,000,000","2,670,000,000","2,401,100,000","2,066,100,000","2,070,500,000","2,072,196,000","2,560,158,000","2,527,205,000","3,165,690,000","3,028,647,000","2,943,948,000","2,522,887,000","2,514,135,000","1,405,752,000","1,351,026,000","1,336,379,000","1,361,068,000","1,355,108,000",,"1,348,129,000","2,181,110,000",,,,,,,,,,,,,,,,,,,,,"1,251,756,000",,"1,396,693,000",,"1,235,089,000",,,,,,,,,,,,,,,
				OtherProperties,"11,569,000,000","9,318,000,000","9,286,000,000","9,197,000,000","8,642,000,000","8,155,000,000","8,105,000,000","8,036,000,000","7,873,000,000","6,979,000,000","6,852,000,000","5,463,000,000","5,342,000,000","5,264,000,000","5,225,000,000","4,911,000,000","4,782,000,000","4,766,000,000","4,581,000,000","4,299,000,000","4,214,000,000","3,665,000,000","3,551,000,000","3,568,000,000","3,480,000,000","3,287,000,000","3,102,000,000","3,102,100,000","3,100,277,000",,,"166,571,000","199,178,000","230,806,000","198,577,000","195,711,000","12,317,000","11,320,000","10,709,000","306,361,000","16,215,000",,"1,394,655,000","238,851,000",,,,,,,,,,,,,,,,,,,,,"116,273,000",,,,"4,914,000",,,,,,,,,,,,,,,
				ConstructionInProgress,"1,493,000,000","1,491,000,000","1,174,000,000","923,000,000","939,000,000","1,156,000,000","947,000,000","775,000,000","659,000,000","1,052,000,000","949,000,000","2,579,000,000","1,965,000,000","1,735,000,000","1,522,000,000","1,884,000,000","1,721,000,000","1,408,000,000","1,408,000,000","1,424,000,000","1,211,000,000","1,220,000,000","1,055,000,000","823,000,000","636,000,000","809,800,000","1,082,000,000","884,200,000","751,826,000","552,387,000","451,920,000","258,759,000","307,358,000","196,874,000","485,393,000","401,841,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"137,466,000",,,,"14,389,000",,,,,,,,,,,,,,,
			AccumulatedDepreciation,"-2,677,000,000","-2,583,000,000","-2,488,000,000","-2,411,000,000","-2,350,000,000","-2,261,000,000","-2,180,000,000","-2,093,000,000","-2,030,000,000","-1,927,000,000","-1,844,000,000","-1,776,000,000","-1,708,000,000","-1,643,000,000","-1,586,000,000","-1,527,000,000","-1,474,000,000","-1,423,000,000","-1,370,000,000","-1,331,000,000","-1,289,000,000","-1,244,000,000","-1,207,000,000","-1,181,000,000","-1,142,000,000","-1,112,900,000","-1,070,600,000","-1,035,000,000","-997,761,000","-958,017,000","-918,426,000","-878,498,000","-856,420,000","-837,693,000","-819,800,000","-803,925,000","-806,962,000","-791,898,000","-776,926,000","-774,181,000","-758,038,000","-755,178,000","-739,327,000","-720,033,000","-632,318,000","-632,318,000","-632,318,000","-632,318,000","-632,318,000","-569,515,000","-569,515,000","-569,515,000","-569,515,000","-413,102,000","-413,102,000","-413,102,000","-413,102,000","-413,102,000","-413,102,000","-413,102,000","-413,102,000","-330,411,000","-330,411,000","-330,411,000","-330,411,000","-256,051,000","-256,051,000","-256,051,000","-256,051,000","-189,489,000","-189,489,000","-189,489,000","-189,489,000","-129,568,000","-129,568,000","-129,568,000","-129,568,000","-83,024,000","-83,024,000","-83,024,000","-83,024,000","-45,887,000","-45,887,000","-45,887,000"
		GoodwillAndOtherIntangibleAssets,"6,429,000,000","4,379,000,000","4,383,000,000","4,395,000,000","4,409,000,000","4,427,000,000","4,428,000,000","4,706,000,000","4,714,000,000","2,803,000,000","2,815,000,000","2,826,000,000","2,834,000,000","2,843,000,000","2,849,000,000","2,812,000,000","2,822,000,000","2,835,000,000","2,832,000,000","2,839,000,000","2,841,000,000","2,519,000,000","2,532,000,000","2,551,000,000","2,564,000,000","2,577,000,000","2,590,200,000","2,606,500,000","2,622,677,000","2,644,145,000","2,657,479,000","248,730,000","243,904,000","244,079,000","244,253,000","244,428,000","376,988,000","377,452,000","377,943,000","379,353,000","379,039,000","371,787,000","370,710,000","354,200,000","354,037,000","356,020,000","356,124,000","357,354,000","358,212,000","360,317,000","361,705,000","360,693,000","371,667,000","372,664,000","368,865,000","370,329,000","366,416,000","358,646,000","359,716,000","360,789,000","361,855,000","363,306,000","364,111,000","361,466,000","362,428,000","361,732,000","362,670,000","222,670,000","222,670,000","222,670,000","222,670,000","222,670,000","222,670,000","199,500,000","204,630,000","209,760,000","214,890,000","215,240,000","148,260,000","151,730,000",,,,
			Goodwill,"4,684,000,000",,,,"3,878,000,000","3,878,000,000","3,871,000,000",,"3,871,000,000",,,,"2,097,000,000",,,,"2,097,000,000",,,,"2,090,000,000",,,,"1,966,000,000",,,,"1,975,612,000","1,983,934,000","1,982,026,000",,"222,670,000",,,,"287,670,000","287,670,000","287,670,000","287,670,000","287,670,000",,,,"354,037,000","356,020,000","356,124,000","357,354,000","358,212,000","360,317,000","361,705,000","360,693,000","371,667,000","372,664,000","368,865,000","370,329,000","366,416,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"1,745,000,000",,,,"531,000,000","549,000,000","557,000,000",,"843,000,000",,,,"737,000,000",,,,"725,000,000",,,,"751,000,000",,,,"598,000,000",,,,"647,065,000","660,211,000","675,453,000","248,730,000","21,234,000","244,079,000","244,253,000","244,428,000","89,318,000","89,782,000","90,273,000","91,683,000","91,369,000",,,,,,,,,,,,,,,,,"358,646,000","359,716,000","360,789,000","361,855,000","363,306,000","364,111,000","361,466,000","362,428,000","361,732,000","362,670,000","222,670,000","222,670,000","222,670,000","222,670,000","222,670,000","222,670,000","199,500,000","204,630,000","209,760,000","214,890,000","215,240,000","148,260,000","151,730,000",,,,
		InvestmentsAndAdvances,"5,954,000,000","6,237,000,000","6,222,000,000","6,307,000,000","6,368,000,000","6,210,000,000","6,330,000,000","6,336,000,000","6,229,000,000","126,000,000","129,000,000","131,000,000","134,000,000","137,000,000","141,000,000","144,000,000","145,000,000","148,000,000","150,000,000","152,000,000","153,000,000","136,000,000","162,000,000","165,000,000","165,000,000","164,900,000","164,700,000","163,600,000","161,205,000","158,580,000","158,116,000","159,827,000","161,002,000","160,231,000","162,753,000","189,341,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LongTermEquityInvestment,"5,954,000,000","6,237,000,000","6,222,000,000","6,307,000,000","6,368,000,000","6,210,000,000","6,330,000,000","6,336,000,000","6,229,000,000","126,000,000","129,000,000","131,000,000","134,000,000","137,000,000","141,000,000","144,000,000","145,000,000","148,000,000","150,000,000","152,000,000","153,000,000","136,000,000","162,000,000","165,000,000","165,000,000","164,900,000","164,700,000","163,600,000","161,205,000","158,580,000","158,116,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				InvestmentsInOtherVenturesUnderEquityMethod,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"158,580,000","158,116,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
