name,ttm,12/31/2019,12/31/2018,12/31/2017,12/31/2016,12/31/2015,12/31/2014,12/31/2013,12/31/2012,12/31/2011,12/31/2010,12/31/2009,12/31/2008,12/31/2007,12/31/2006,12/31/2005,12/31/2004,12/31/2003,12/31/2002,12/31/2001,12/31/2000,12/31/1999,12/31/1998,12/31/1997,12/31/1996,12/31/1995,12/31/1994,12/31/1993
BasicEPS,,,"6.4","0.49","5.73","3.01","1.69","4.93","3.49","4.82","3.54","1.95","2.13","2.41","1.51","1.24","0.66","0.87","0.89","0.745","1.11","0.945","0.82","0.725","1.325","0.59","0.395","0.185"
DilutedEPS,,,"6.34","0.49","5.68","3","1.69","4.9","3.47","4.77","3.51","1.94","2.1","2.36","1.47","1.205","0.645","0.855","0.865","0.735","1.09","0.935","0.815","0.72","1.325","0.59","0.395","0.185"
BasicAverageShares,,,"108,427,000","110,914,000","112,379,000","111,182,000","78,696,000","83,839,000","89,189,000","90,522,000","91,393,000","91,512,000","91,338,000","95,254,000","94,624,000","92,696,000","83,134,000","82,510,000","84,208,000","91,532,000","91,764,000","93,778,000","103,116,000","110,328,000","117,684,000","132,542,373","129,873,418","117,837,838"
DilutedAverageShares,,,"109,458,000","112,380,000","113,239,000","111,556,000","79,102,000","84,322,000","89,884,000","91,522,000","92,184,000","92,046,000","92,530,000","97,216,000","97,136,000","95,496,000","85,054,000","84,292,000","86,274,000","93,048,000","93,212,000","95,026,000","104,272,000","111,336,000","119,976,000","132,542,373","129,873,418","117,837,838"
TotalOperatingIncomeAsReported,"635,013,000","666,123,000","911,540,000","587,749,000","574,551,000","442,435,000","271,298,000","582,909,000","406,164,000","587,840,000","414,848,000","186,280,000","220,917,000",,,,,,,,,,,,,,,
TotalExpenses,"2,861,195,000","2,923,304,000","2,673,838,000","2,484,227,000","2,167,566,000","3,069,608,000","2,118,145,000","2,000,146,000","2,227,571,000","2,281,165,000","1,940,958,000","1,807,471,000","2,181,865,000","2,021,356,000","2,101,847,000","1,943,603,000","1,395,256,000","1,017,413,000","874,690,000","818,449,000","767,387,000","731,799,000","695,147,000","709,143,000","761,055,000","1,127,200,000","987,000,000","854,800,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"506,863,000","533,228,000","693,562,000","54,850,000","643,675,000","334,906,000","133,316,000","413,171,000","311,536,000","436,280,000","323,720,000","178,368,000","194,202,000","229,690,000","142,969,000","114,867,000","54,839,000","74,165,000","74,745,000","68,167,000","101,776,000","88,829,000","84,732,000","79,982,000","156,059,000","78,200,000","51,300,000","21,800,000"
NormalizedIncome,"506,863,000","533,228,000","521,431,896","54,850,000","388,768,918","462,915,348","254,070,865","438,191,750","398,650,300","436,047,950","326,903,937.078","186,860,900","235,627,800","228,631,691.821","230,810,339.766","112,083,761.961","84,265,996.381","82,117,597.013","73,443,246.27","66,602,320.62","93,860,985.892","80,342,711.018","83,648,682.356","79,375,379.149","56,050,857.333","61,460,000","45,420,000","20,840,000"
InterestExpense,"61,994,000","57,695,000","52,405,000","115,350,000","65,181,000","132,722,000","41,358,000","31,559,000","32,800,000","37,574,000","25,533,000","24,584,000","38,175,000",,,,,,,,,,,,,,,
NetInterestIncome,"-61,994,000","-57,695,000","-52,405,000","-115,350,000","-65,181,000","-132,722,000","-41,358,000","-31,559,000","-32,800,000","-37,574,000","-25,533,000","-24,584,000","-38,175,000",,,,,,,,,,,,,,,
