name,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008
		InvestmentsAndAdvances,"151,879,000","133,552,000","80,515,000","79,397,000","78,090,000","76,233,000","77,021,000","75,373,000","74,440,000","75,574,000","70,621,000","67,373,000","68,365,000","63,752,000","60,265,000","59,830,000","59,075,000","52,557,000","87,871,000","92,665,000","88,096,000","86,334,000","90,322,000","182,319,000","175,226,000","170,937,000","169,669,000","162,719,000","156,808,000","105,660,000","3,441,000","3,104,000",,"70,780,000",,,"59,226,000",,"53,808,000","53,422,000","52,757,000","51,914,000","51,016,000","50,538,000","49,814,000",,"45,382,780","39,642,240",
			LongTermEquityInvestment,"149,814,000","130,736,000","75,125,000","73,880,000","73,266,000","72,078,000","70,986,000","69,423,000","67,644,000","65,830,000","61,671,000","58,158,000","55,564,000","53,724,000","46,001,000","45,740,000","43,896,000","42,394,000","76,356,000","74,722,000","71,383,000","67,926,000","64,942,000","158,350,000","153,454,000","150,168,000","146,223,000","141,097,000","123,338,000","101,999,000",,,,"70,780,000",,,,,,,,,,,,,,,
				InvestmentsInOtherVenturesUnderEquityMethod,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,458,000","6,458,000",,,,,,,,,,,,,,,,,,,,
				InvestmentsinJointVenturesatCost,"149,814,000","130,736,000","75,125,000","73,880,000","73,266,000","72,078,000","70,986,000","69,423,000","67,644,000","65,830,000","61,671,000","58,158,000","55,564,000","53,724,000","46,001,000","45,740,000","43,896,000","42,394,000","76,356,000","74,722,000","71,383,000","67,926,000","64,942,000","158,350,000","153,454,000","150,168,000","146,223,000","134,639,000","116,880,000","101,999,000",,,,,,,,,,,,,,,,,,,
			InvestmentinFinancialAssets,"2,065,000","2,816,000","5,390,000","5,517,000","4,824,000","4,155,000","6,035,000","5,950,000","6,796,000","9,744,000","8,950,000","9,215,000","12,801,000","10,028,000","14,264,000","14,090,000","15,179,000","10,163,000","11,515,000","17,943,000","16,713,000","18,408,000","25,380,000","23,969,000","21,772,000","20,769,000","23,446,000","21,622,000","33,470,000","3,661,000",,,,,,,,,,,,,,,,,,,
		FinancialAssets,,,,,"217,000",,,"2,995,000","2,037,000","2,768,000","1,453,000","489,000","685,000","1,585,000","0","0",,"629,000","580,000","305,000","200,000","250,000","35,000",,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentAccountsReceivable,"41,793,000","25,153,000","22,987,000","20,580,000","24,047,000","22,185,000","22,113,000","24,673,000","21,768,000","22,318,000","22,698,000","19,353,000","18,707,000","18,024,000","21,693,000","26,427,000","26,567,000","24,804,000","29,528,000","27,786,000","26,743,000","25,405,000","36,237,000","34,907,000","30,874,000","28,875,000","25,006,000","41,937,000","39,456,000",,,,,,,,,,,,,,,,,,,,
		NonCurrentNoteReceivables,"2,012,000","3,984,000","3,255,000","4,948,000","4,828,000","5,053,000",,"5,748,000","7,830,000","7,718,000","7,720,000","7,560,000","7,457,000","7,181,000","7,246,000","7,428,000",,"7,241,000","7,642,000","12,589,000","12,653,000","12,486,000","12,335,000","12,186,000","12,040,000","11,898,000",,"6,600,000",,,,,,,,,,,,,,,,,,,,,
		DuefromRelatedPartiesNonCurrent,"14,092,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,"0","1,336,000","0","3,725,000","2,479,000","10,907,000","12,051,000","20,264,000","36,559,000","27,433,000",,,,,,,,,,"3,352,000",,,,,,,,,,,,,,,,,,"357,000",,,,,,,,,"1,475,766","1,798,080",
			NonCurrentDeferredTaxesAssets,"0","1,336,000","0","3,725,000","2,479,000","10,907,000","12,051,000","20,264,000","36,559,000","27,433,000",,,,,,,,,,"3,352,000",,,,,,,,,,,,,,,,,,,,,,,,,,,"1,475,766","1,798,080",
		NonCurrentPrepaidAssets,"6,923,000","6,653,000","5,588,000","4,597,000","4,498,000","2,485,000",,"2,241,000","2,282,000","2,353,000","2,204,000","2,216,000","2,225,000","2,177,000","2,230,000","2,022,000",,"1,996,000","1,607,000","2,241,000","2,279,000","2,276,000","1,561,000","1,584,000","1,571,000","1,495,000",,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCurrentAssets,"35,066,000","58,183,000","217,002,000","202,761,000","35,386,000","32,813,000","40,773,000","41,369,000","41,352,000","27,009,000","23,258,000","22,145,000","18,578,000","15,991,000","17,747,000","12,009,000","20,331,000","10,193,000","10,701,000","9,948,000","8,968,000","9,368,000","5,689,000","5,292,000","5,177,000","2,677,000","42,008,000","24,004,000","25,199,000","2,091,000","1,334,000","1,183,000","1,081,000","996,000","927,000","1,027,000","1,038,000","699,000","3,100,000","2,081,000","1,871,000","1,780,000","1,228,000","7,716,000","82,764,000","49,449,318","708,555","702,986","17,283,072"
TotalLiabilitiesNetMinorityInterest,"674,190,000","631,419,000","775,868,000","835,266,000","887,697,000","894,951,000","1,158,114,000","982,344,000","1,057,716,000","1,118,764,000","1,056,715,000","975,713,000","926,085,000","881,571,000","811,635,000","824,018,000","781,072,000","711,843,000","653,011,000","631,764,000","601,190,000","593,258,000","711,275,000","682,241,000","655,719,000","638,359,000","670,927,000","439,746,000","432,376,000","110,146,000","88,684,000","80,717,000","87,722,000","87,707,000","67,081,000","61,199,000","53,891,000","49,215,000","40,963,000","60,421,000","57,521,000","47,691,000","30,856,000","35,224,000","36,812,000","17,503,765","15,141,323","21,541,840","11,945,053"
	CurrentLiabilities,"212,926,000","165,062,000","143,045,000","145,974,000","198,654,000","207,250,000","485,642,000","496,365,000","512,720,000","494,544,000","207,087,000","188,144,000","185,434,000","176,041,000","151,408,000","122,912,000","105,842,000","98,920,000","88,788,000","84,559,000","91,827,000","84,719,000","82,248,000","70,428,000","76,246,000","98,821,000","78,004,000","91,272,000","130,571,000","43,881,000","25,925,000","20,344,000","28,407,000","30,321,000","23,398,000","20,128,000","18,101,000","16,494,000","15,657,000","32,609,000","29,953,000","11,770,000","13,202,000","16,481,000","17,581,000","5,585,938","5,792,139","12,192,656","11,103,591"
		PayablesAndAccruedExpenses,"176,558,000","136,766,000","113,626,000","118,457,000","152,600,000","147,222,000","146,396,000","138,499,000","143,070,000","121,540,000","105,157,000","94,671,000","93,454,000","94,902,000","75,795,000","63,921,000","64,111,000","69,430,000","61,829,000","63,873,000","67,669,000","69,665,000","71,360,000","57,169,000","49,991,000","81,470,000","51,860,000","54,001,000","46,220,000","38,163,000","24,688,000","18,968,000","27,037,000","28,864,000","22,015,000","18,739,000","16,712,000","15,003,000","14,937,000","14,515,000","14,043,000","10,051,000","10,569,000","13,347,000","16,015,000","2,911,546","3,160,895","9,603,837","8,556,484"
			Payables,"176,558,000","136,766,000","113,626,000","118,457,000","152,600,000","147,222,000","146,396,000","138,499,000","143,070,000","121,540,000","105,157,000","94,671,000","93,454,000","94,902,000","75,795,000","63,921,000","64,111,000","69,430,000","61,829,000","63,873,000","67,669,000","69,665,000","71,360,000","57,169,000","49,991,000","81,470,000","51,860,000","54,001,000","46,220,000","38,163,000","24,688,000","18,968,000","27,037,000","28,864,000","22,015,000","18,739,000","16,712,000",,"14,937,000","14,515,000","14,043,000",,,"13,347,000",,"2,911,546","3,160,895","2,103,837","1,056,484"
				AccountsPayable,"80,792,000","83,370,000","59,662,000","61,720,000","72,612,000","80,318,000","70,021,000","75,080,000","80,902,000","95,092,000","93,433,000","89,329,000","86,541,000","81,722,000","66,960,000","57,421,000","54,035,000","58,744,000","52,050,000","58,090,000","59,862,000","53,055,000","58,081,000","43,794,000","36,494,000","65,812,000","39,363,000","47,105,000","37,912,000","24,366,000","17,427,000","16,102,000","18,821,000","22,610,000","21,934,000","18,637,000","16,610,000",,"14,835,000","14,413,000","13,941,000",,,"13,347,000",,"2,911,546",,,"1,056,484"
				TotalTaxPayable,"95,766,000","53,396,000","53,964,000","56,737,000","79,988,000","66,904,000","76,375,000","63,419,000","62,168,000","26,448,000","11,724,000","5,342,000","6,913,000","13,180,000","8,835,000","6,500,000","10,076,000","10,686,000","9,779,000","5,783,000","7,807,000","16,610,000","13,279,000","13,375,000","13,497,000","15,658,000","12,497,000","6,896,000","8,308,000","13,797,000","7,189,000","2,794,000","8,135,000","6,254,000",,,,,,,,,,,,,,,
				DuetoRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"72,000","72,000","81,000",,"81,000","102,000","102,000",,"102,000","102,000","102,000",,,,,,,,
			CurrentAccruedExpenses,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","7,500,000","7,500,000"
		CurrentProvisions,,,,,"3,044,000","3,170,000","2,349,000","1,819,000","1,819,000","1,819,000",,,,,"483,000","483,000","483,000","483,000","1,062,000","1,062,000","1,062,000","1,062,000","1,332,000","1,345,000","1,345,000","1,351,000","4,217,000","4,217,000","4,218,000","4,217,000","1,237,000","1,376,000","1,370,000","1,376,000","1,383,000","1,389,000","1,389,000",,"720,000","720,000","658,000",,,"2,223,000",,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,501,000",,,,,,,,,,,,,,,,,,,
		CurrentDebtAndCapitalLeaseObligation,"22,033,000","26,030,000","25,835,000","26,470,000","29,748,000","25,008,000","289,174,000","289,482,000","299,070,000","302,630,000","27,287,000","20,688,000","20,325,000","13,935,000","18,405,000","14,137,000","13,964,000","11,726,000","13,692,000","11,642,000","13,737,000","10,456,000","8,277,000","10,496,000","22,804,000","12,965,000","9,391,000","9,600,000","48,967,000",,,,,"81,000",,,,"102,000",,"17,374,000","15,252,000","1,061,000",,,,"2,674,392","2,631,244","2,588,819","2,547,107"
			CurrentDebt,"22,033,000","26,030,000","25,835,000","26,470,000","29,748,000","25,008,000","289,174,000","289,482,000","299,070,000","302,630,000","27,287,000","20,688,000","20,325,000","13,935,000","18,405,000","14,137,000","13,964,000","11,726,000","13,692,000","11,642,000","13,737,000","10,456,000","8,277,000","10,496,000","22,804,000","12,965,000","9,391,000","9,600,000","48,967,000",,,,,"81,000",,,,"102,000",,"17,374,000","15,252,000","1,061,000",,,,"2,572,553","2,631,244","2,588,819","2,445,268"
				CurrentNotesPayable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0",,"0","2,572,553",,,"2,445,268"
				OtherCurrentBorrowings,"22,033,000",,,,,"25,008,000","289,174,000","289,482,000","299,070,000","302,630,000","27,287,000","20,688,000","20,325,000","13,935,000","18,405,000","14,137,000","13,964,000","11,726,000","13,692,000","11,642,000","13,737,000","10,456,000","8,277,000","10,496,000","22,804,000","12,965,000","9,391,000","9,600,000",,,,,,"81,000",,,,,,"17,374,000","15,252,000","1,061,000",,,,,"2,631,244","2,588,819",
			CurrentCapitalLeaseObligation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"101,839",,,"101,839"
		CurrentDeferredLiabilities,,"0","0","0","12,000,000","30,000,000","45,000,000","60,000,000","63,000,000","60,000,000","60,000,000","60,000,000","60,000,000","57,450,000","45,692,000","29,556,000","12,492,000",,,,,,,,,,"9,254,000","18,622,000","28,009,000",,,,,,,,,,,,,,,,,,,,
			CurrentDeferredRevenue,,"0","0","0","12,000,000","30,000,000","45,000,000","60,000,000","63,000,000","60,000,000","60,000,000","60,000,000","60,000,000","57,450,000","45,692,000","29,556,000","12,492,000",,,,,,,,,,"9,254,000","18,622,000","28,009,000",,,,,,,,,,,,,,,,,,,,
		OtherCurrentLiabilities,"14,335,000","2,266,000","3,584,000","1,047,000","1,262,000","1,850,000","2,723,000","6,565,000","5,761,000","8,555,000","14,643,000","12,785,000","11,655,000","9,754,000","11,033,000","14,815,000","14,792,000","17,281,000","12,205,000","7,982,000","9,359,000","3,536,000","1,279,000","1,418,000","2,106,000","3,035,000","3,282,000","4,832,000","3,157,000",,,,,,,,,"1,389,000",,,,"658,000","2,633,000","911,000","1,566,000",,,,
	TotalNonCurrentLiabilitiesNetMinorityInterest,"461,264,000","466,357,000","632,823,000","689,292,000","689,043,000","687,701,000","672,472,000","485,979,000","544,996,000","624,220,000","849,628,000","787,569,000","740,651,000","705,530,000","660,227,000","701,106,000","675,230,000","612,923,000","564,223,000","547,205,000","509,363,000","508,539,000","629,027,000","611,813,000","579,473,000","539,538,000","592,923,000","348,474,000","301,805,000","66,265,000","62,759,000","60,373,000","59,315,000","57,386,000","43,683,000","41,071,000","35,790,000","32,721,000","25,306,000","27,812,000","27,568,000","35,921,000","17,654,000","18,743,000","19,231,000","11,917,827","9,349,184","9,349,184","841,462"
		LongTermProvisions,"89,004,000","75,419,000","76,318,000","73,680,000","114,262,000","114,051,000","99,046,000","92,420,000","93,553,000","96,627,000","82,305,000","82,075,000","81,632,000","81,162,000","68,568,000","69,432,000","67,148,000","63,539,000","53,762,000","52,377,000","51,963,000","51,957,000","45,409,000","45,443,000","45,497,000","45,449,000","52,520,000","50,958,000","52,529,000","27,659,000","24,350,000","24,106,000","25,544,000","26,731,000","17,916,000","18,736,000","20,166,000",,"13,060,000","12,948,000","13,171,000",,,"4,788,000",,,,,
		LongTermDebtAndCapitalLeaseObligation,"202,976,000","235,821,000","340,358,000","420,616,000","453,372,000","454,527,000","457,756,000","288,354,000","343,464,000","399,551,000","634,418,000","561,671,000","506,566,000","472,845,000","430,296,000","448,119,000","405,862,000","451,466,000","405,519,000","396,356,000","370,074,000","368,832,000","390,119,000","373,056,000","339,344,000","300,447,000","309,732,000","61,312,000","16,811,000",,,,,,,,,,,,,"8,642,000",,,,,,,
			LongTermDebt,"202,976,000","235,821,000","340,358,000","420,616,000","453,372,000","454,527,000","457,756,000","288,354,000","343,464,000","399,551,000","634,418,000","561,671,000","506,566,000","472,845,000","430,296,000","448,119,000","405,862,000","451,466,000","405,519,000","396,356,000","370,074,000","368,832,000","390,119,000","373,056,000","339,344,000","300,447,000","309,732,000","61,312,000","16,811,000",,,,,,,,,,,,,"8,642,000",,,,,,,
